Geneid	HF1_1_Cbr	HF1_2_Cbr	HF1_3_Cbr	HF1_1_Cni	HF1_2_Cni	HF1_3_Cni
CBRIG.I.g1588.t3__CNIGO.Cnig_chr_I.g1197.t1	476	565	456	447	418	538
CBRIG.I.g1627.t1__CNIGO.Cnig_chr_I.g1233.t1	309	276	259	230	255	288
CBRIG.I.g1631.t1__CNIGO.Cnig_chr_I.g1237.t2	495	558	613	1710	1954	1851
CBRIG.I.g1656.t1__CNIGO.Cnig_chr_I.g1262.t1	1015	1056	922	300	250	297
CBRIG.I.g1681.t2__CNIGO.Cnig_chr_I.g1290.t1	1569	1476	1393	744	794	749
CBRIG.I.g1726.t1__CNIGO.Cnig_chr_I.g1339.t1	181	248	207	87	114	106
CBRIG.I.g1749.t1__CNIGO.Cnig_chr_I.g1361.t1	684	615	603	248	243	195
CBRIG.I.g1751.t1__CNIGO.Cnig_chr_I.g1365.t1	694	600	661	263	317	280
CBRIG.I.g1758.t1__CNIGO.Cnig_chr_I.g1372.t1	89	91	55	104	51	108
CBRIG.I.g1794.t1__CNIGO.Cnig_chr_I.g1410.t1	508	370	426	430	472	449
CBRIG.I.g1820.t1__CNIGO.Cnig_chr_I.g1433.t1	161	94	137	68	56	88
CBRIG.I.g1835.t1__CNIGO.Cnig_chr_I.g1453.t1	179	139	150	223	174	219
CBRIG.I.g1846.t1__CNIGO.Cnig_chr_I.g1468.t1	564	552	574	347	302	263
CBRIG.I.g1847.t1__CNIGO.Cnig_chr_I.g1469.t1	249	261	209	179	186	156
CBRIG.I.g1871.t1__CNIGO.Cnig_chr_I.g1486.t2	209	175	145	241	207	256
CBRIG.I.g1944.t2__CNIGO.Cnig_chr_I.g1546.t1	427	514	529	138	135	166
CBRIG.I.g1966.t1__CNIGO.Cnig_chr_I.g1570.t3	107	111	112	146	118	110
CBRIG.I.g1967.t1__CNIGO.Cnig_chr_I.g1571.t1	1177	1196	1116	429	334	399
CBRIG.I.g1994.t1__CNIGO.Cnig_chr_I.g1673.t1	1133	931	1004	352	309	385
CBRIG.I.g2029.t1__CNIGO.Cnig_chr_I.g1635.t1	53	34	96	80	55	81
CBRIG.I.g2051.t1__CNIGO.Cnig_chr_I.g1615.t2	281	319	325	241	235	284
CBRIG.I.g2085.t3__CNIGO.Cnig_chr_I.g1709.t1	427	489	567	317	262	250
CBRIG.I.g2123.t1__CNIGO.Cnig_chr_I.g1766.t2	1209	1241	1320	371	381	337
CBRIG.I.g2149.t1__CNIGO.Cnig_chr_I.g1742.t1	235	302	225	498	524	426
CBRIG.I.g2162.t1__CNIGO.Cnig_chr_I.g1789.t1	85	93	80	134	103	47
CBRIG.I.g2171.t1__CNIGO.Cnig_chr_I.g1796.t1	213	157	233	379	330	367
CBRIG.I.g2193.t3__CNIGO.Cnig_chr_I.g1821.t1	374	360	314	658	634	713
CBRIG.I.g2199.t2__CNIGO.Cnig_chr_I.g1827.t1	96	91	34	71	62	61
CBRIG.I.g2203.t1__CNIGO.Cnig_chr_I.g1831.t1	403	316	348	148	117	104
CBRIG.I.g2294.t2__CNIGO.Cnig_chr_I.g1920.t1	300	266	280	511	561	454
CBRIG.I.g2299.t1__CNIGO.Cnig_chr_I.g1925.t1	47	65	33	115	102	183
CBRIG.I.g2398.t1__CNIGO.Cnig_chr_I.g2084.t1	186	191	141	194	186	230
CBRIG.I.g2416.t2__CNIGO.Cnig_chr_I.g2070.t2	501	560	551	79	117	90
CBRIG.I.g2417.t2__CNIGO.Cnig_chr_I.g2069.t2	250	246	210	310	341	436
CBRIG.I.g2423.t1__CNIGO.Cnig_chr_I.g2063.t2	320	350	270	203	166	187
CBRIG.I.g2513.t1__CNIGO.Cnig_chr_I.g1992.t1	272	265	300	689	874	729
CBRIG.I.g2517.t1__CNIGO.Cnig_chr_I.g1988.t1	116	100	114	319	281	305
CBRIG.I.g2526.t1__CNIGO.Cnig_chr_I.g2100.t1	99	114	103	101	106	70
CBRIG.I.g2529.t1__CNIGO.Cnig_chr_I.g2102.t1	146	153	168	157	155	158
CBRIG.I.g2547.t2__CNIGO.Cnig_chr_I.g2120.t2	505	435	481	98	197	152
CBRIG.I.g2549.t2__CNIGO.Cnig_chr_I.g2123.t2	219	258	207	244	203	214
CBRIG.I.g2552.t2__CNIGO.Cnig_chr_I.g2128.t1	638	626	653	1754	1978	1895
CBRIG.I.g2560.t1__CNIGO.Cnig_chr_I.g2135.t1	93	71	99	339	349	289
CBRIG.I.g2619.t1__CNIGO.Cnig_chr_I.g2205.t1	403	489	399	1129	1137	1140
CBRIG.I.g2640.t1__CNIGO.Cnig_chr_I.g2225.t2	315	272	244	1051	995	1018
CBRIG.I.g2651.t1__CNIGO.Cnig_chr_I.g2235.t1	171	182	222	556	532	525
CBRIG.I.g2655.t1__CNIGO.Cnig_chr_I.g2248.t1	360	330	391	142	179	235
CBRIG.I.g2683.t1__CNIGO.Cnig_chr_I.g2275.t1	172	130	140	211	236	275
CBRIG.I.g2697.t1__CNIGO.Cnig_chr_I.g2287.t1	211	193	173	316	386	382
CBRIG.I.g2725.t1__CNIGO.Cnig_chr_I.g2319.t1	77	65	63	107	93	99
CBRIG.I.g2735.t1__CNIGO.Cnig_chr_I.g2327.t1	1042	1199	1064	241	184	219
CBRIG.I.g2758.t1__CNIGO.Cnig_chr_I.g2361.t1	201	221	168	389	409	413
CBRIG.I.g2782.t1__CNIGO.Cnig_chr_I.g2394.t2	217	176	161	135	151	150
CBRIG.I.g2795.t3__CNIGO.Cnig_chr_I.g2411.t2	234	215	243	902	804	816
CBRIG.I.g2830.t1__CNIGO.Cnig_chr_I.g2443.t1	402	379	308	292	367	315
CBRIG.I.g2847.t1__CNIGO.Cnig_chr_I.g2464.t1	321	294	337	298	324	300
CBRIG.I.g2850.t1__CNIGO.Cnig_chr_I.g2467.t1	305	226	227	617	535	530
CBRIG.I.g2874.t1__CNIGO.Cnig_chr_I.g2498.t1	67	53	45	131	148	204
CBRIG.I.g2910.t1__CNIGO.Cnig_chr_I.g2525.t2	90	35	78	133	106	125
CBRIG.I.g2924.t1__CNIGO.Cnig_chr_I.g2539.t1	981	922	923	4634	4318	4814
CBRIG.I.g2950.t1__CNIGO.Cnig_chr_I.g2578.t1	899	978	895	196	186	212
CBRIG.I.g2968.t1__CNIGO.Cnig_chr_I.g2595.t1	50	68	55	125	148	107
CBRIG.I.g2975.t1__CNIGO.Cnig_chr_I.g2601.t1	1662	1682	1712	282	273	306
CBRIG.I.g3000.t1__CNIGO.Cnig_chr_I.g2632.t1	384	401	374	416	410	515
CBRIG.I.g3003.t1__CNIGO.Cnig_chr_I.g2635.t3	507	486	514	153	222	133
CBRIG.I.g3031.t1__CNIGO.Cnig_chr_I.g2664.t1	193	154	199	657	588	721
CBRIG.I.g3119.t1__CNIGO.Cnig_chr_I.g2776.t1	934	926	1012	205	210	241
CBRIG.I.g3152.t1__CNIGO.Cnig_chr_I.g2813.t1	408	419	499	117	103	124
CBRIG.I.g3171.t1__CNIGO.Cnig_chr_I.g2897.t1	41	26	63	149	145	129
CBRIG.I.g3204.t1__CNIGO.Cnig_chr_I.g2954.t1	238	241	193	172	105	104
CBRIG.I.g3213.t1__CNIGO.Cnig_chr_I.g2964.t1	168	136	144	204	186	201
CBRIG.I.g3222.t1__CNIGO.Cnig_chr_I.g2975.t1	266	246	243	110	53	62
CBRIG.I.g3263.t2__CNIGO.Cnig_chr_I.g3034.t1	503	544	483	2397	2475	2337
CBRIG.I.g3279.t1__CNIGO.Cnig_chr_I.g3060.t2	646	593	565	64	100	78
CBRIG.I.g3280.t1__CNIGO.Cnig_chr_I.g3061.t2	1185	1210	1180	596	624	642
CBRIG.I.g3459.t1__CNIGO.Cnig_chr_I.g3225.t1	86	63	78	76	62	73
CBRIG.I.g3476.t1__CNIGO.Cnig_chr_I.g3202.t1	100	66	52	168	178	170
CBRIG.I.g3527.t2__CNIGO.Cnig_chr_I.g3435.t1	1516	1342	1388	405	427	461
CBRIG.I.g3532.t2__CNIGO.Cnig_chr_I.g3442.t1	702	630	622	208	204	274
CBRIG.I.g3581.t2__CNIGO.Cnig_chr_I.g3511.t1	66	69	49	73	32	66
CBRIG.I.g3612.t5__CNIGO.Cnig_chr_I.g3562.t3	1529	1526	1495	689	693	665
CBRIG.I.g3663.t1__CNIGO.Cnig_chr_I.g3607.t1	116	99	97	119	164	112
CBRIG.I.g3685.t1__CNIGO.Cnig_chr_I.g3646.t1	69	98	98	150	172	137
CBRIG.I.g3715.t2__CNIGO.Cnig_chr_I.g3733.t3	256	415	321	277	272	256
CBRIG.I.g3773.t1__CNIGO.Cnig_chr_I.g3793.t2	345	314	268	701	541	597
CBRIG.I.g3779.t1__CNIGO.Cnig_chr_I.g3798.t1	129	103	128	173	204	236
CBRIG.I.g3892.t1__CNIGO.Cnig_chr_I.g3948.t1	62	92	92	109	112	98
CBRIG.I.g3901.t1__CNIGO.Cnig_chr_I.g3940.t1	302	333	346	204	153	157
CBRIG.I.g3903.t1__CNIGO.Cnig_chr_I.g3938.t1	644	723	652	331	264	389
CBRIG.I.g3915.t1__CNIGO.Cnig_chr_I.g3926.t1	602	598	554	1606	1627	1695
CBRIG.I.g3919.t1__CNIGO.Cnig_chr_I.g3921.t1	147	156	151	402	402	395
CBRIG.I.g3920.t1__CNIGO.Cnig_chr_I.g3920.t1	231	184	194	65	83	83
CBRIG.I.g730.t1__CNIGO.Cnig_chr_I.g100.t1	78	80	86	54	128	84
CBRIG.I.g779.t1__CNIGO.Cnig_chr_I.g222.t1	201	221	225	440	459	462
CBRIG.I.g801.t1__CNIGO.Cnig_chr_I.g250.t1	878	844	707	270	289	301
CBRIG.I.g821.t1__CNIGO.Cnig_chr_I.g294.t2	724	650	706	2064	2044	2115
CBRIG.I.g829.t1__CNIGO.Cnig_chr_I.g302.t2	227	185	182	675	660	652
CBRIG.I.g833.t2__CNIGO.Cnig_chr_I.g300.t2	566	549	643	415	518	553
CBRIG.I.g841.t2__CNIGO.Cnig_chr_I.g309.t1	34	27	50	56	27	32
CBRIG.I.g885.t1__CNIGO.Cnig_chr_I.g370.t1	679	584	671	96	99	115
CBRIG.I.g886.t1__CNIGO.Cnig_chr_I.g371.t1	517	620	544	239	241	262
CBRIG.I.g894.t1__CNIGO.Cnig_chr_I.g379.t2	141	109	165	221	261	301
CBRIG.I.g898.t1__CNIGO.Cnig_chr_I.g383.t1	476	524	460	135	115	131
CBRIG.I.g919.t3__CNIGO.Cnig_chr_I.g408.t1	233	252	183	165	246	151
CBRIG.I.g942.t1__CNIGO.Cnig_chr_I.g430.t1	438	426	441	1263	1558	1393
CBRIG.I.g943.t1__CNIGO.Cnig_chr_I.g429.t1	95	50	75	98	108	126
CBRIG.I.g944.t1__CNIGO.Cnig_chr_I.g428.t2	551	545	553	254	311	254
CBRIG.I.g975.t1__CNIGO.Cnig_chr_I.g463.t2	423	515	477	471	519	506
CBRIG.II.g3927.t1__CNIGO.Cnig_chr_II.g3973.t1	1093	1091	1039	227	194	202
CBRIG.II.g3934.t1__CNIGO.Cnig_chr_II.g3981.t1	903	902	853	203	222	216
CBRIG.II.g3961.t1__CNIGO.Cnig_chr_II.g4012.t1	294	352	389	601	531	567
CBRIG.II.g3980.t1__CNIGO.Cnig_chr_II.g4031.t1	99	69	103	402	434	313
CBRIG.II.g3989.t1__CNIGO.Cnig_chr_II.g4041.t1	515	456	454	294	260	325
CBRIG.II.g4041.t1__CNIGO.Cnig_chr_II.g4120.t1	271	229	283	494	421	525
CBRIG.II.g4104.t1__CNIGO.Cnig_chr_II.g4192.t2	432	567	489	228	270	292
CBRIG.II.g4126.t1__CNIGO.Cnig_chr_II.g4222.t2	1801	1789	1877	311	276	278
CBRIG.II.g4142.t1__CNIGO.Cnig_chr_II.g4205.t1	151	152	156	110	128	144
CBRIG.II.g4167.t2__CNIGO.Cnig_chr_II.g4238.t3	713	657	743	405	409	381
CBRIG.II.g4218.t1__CNIGO.Cnig_chr_II.g7837.t1	190	233	218	66	45	45
CBRIG.II.g4249.t1__CNIGO.Cnig_chr_II.g4388.t3	193	147	152	792	834	794
CBRIG.II.g4252.t1__CNIGO.Cnig_chr_II.g4392.t1	210	201	185	549	599	604
CBRIG.II.g4263.t1__CNIGO.Cnig_chr_II.g4400.t1	196	210	205	733	633	612
CBRIG.II.g4298.t1__CNIGO.Cnig_chr_II.g4465.t2	3816	3922	3863	571	584	603
CBRIG.II.g4312.t1__CNIGO.Cnig_chr_II.g4485.t1	102	163	116	367	421	393
CBRIG.II.g4339.t1__CNIGO.Cnig_chr_II.g4523.t2	117	112	98	229	254	228
CBRIG.II.g4375.t1__CNIGO.Cnig_chr_II.g4562.t1	287	268	293	518	536	529
CBRIG.II.g4383.t1__CNIGO.Cnig_chr_II.g4568.t1	1110	1179	1163	44	46	60
CBRIG.II.g4385.t2__CNIGO.Cnig_chr_II.g4570.t1	181	165	185	372	383	339
CBRIG.II.g4386.t1__CNIGO.Cnig_chr_II.g4571.t1	970	1058	958	192	162	202
CBRIG.II.g4400.t1__CNIGO.Cnig_chr_II.g4586.t1	135	96	139	124	117	174
CBRIG.II.g4412.t1__CNIGO.Cnig_chr_II.g4602.t1	1054	1091	1057	346	377	359
CBRIG.II.g4426.t1__CNIGO.Cnig_chr_II.g4616.t1	133	90	112	131	130	117
CBRIG.II.g4439.t1__CNIGO.Cnig_chr_II.g4662.t2	279	393	347	473	437	366
CBRIG.II.g4456.t1__CNIGO.Cnig_chr_II.g4644.t1	254	371	296	598	576	574
CBRIG.II.g4459.t1__CNIGO.Cnig_chr_II.g4666.t2	1301	1263	1332	228	168	204
CBRIG.II.g4477.t1__CNIGO.Cnig_chr_II.g4688.t1	215	189	166	88	84	104
CBRIG.II.g4502.t1__CNIGO.Cnig_chr_II.g4713.t1	823	728	744	251	213	269
CBRIG.II.g4516.t1__CNIGO.Cnig_chr_II.g4735.t1	370	315	448	380	363	301
CBRIG.II.g4578.t1__CNIGO.Cnig_chr_II.g4808.t2	987	926	1016	249	236	233
CBRIG.II.g4650.t1__CNIGO.Cnig_chr_II.g5039.t1	174	159	145	362	417	446
CBRIG.II.g4655.t2__CNIGO.Cnig_chr_II.g5030.t1	368	360	355	1073	1080	1133
CBRIG.II.g4665.t1__CNIGO.Cnig_chr_II.g5016.t1	788	871	778	198	150	205
CBRIG.II.g4674.t1__CNIGO.Cnig_chr_II.g5009.t1	974	1165	909	289	319	301
CBRIG.II.g4703.t1__CNIGO.Cnig_chr_II.g4962.t1	1590	1613	1553	583	517	538
CBRIG.II.g4714.t1__CNIGO.Cnig_chr_II.g4953.t1	344	304	324	1032	926	948
CBRIG.II.g4757.t1__CNIGO.Cnig_chr_II.g5079.t1	211	174	251	470	469	477
CBRIG.II.g4793.t1__CNIGO.Cnig_chr_II.g5128.t1	305	241	261	106	56	79
CBRIG.II.g4807.t1__CNIGO.Cnig_chr_II.g5147.t1	253	290	243	219	225	232
CBRIG.II.g4811.t1__CNIGO.Cnig_chr_II.g5152.t1	1289	1391	1311	162	257	179
CBRIG.II.g4836.t1__CNIGO.Cnig_chr_II.g5176.t1	7378	7615	7303	320	316	391
CBRIG.II.g4879.t1__CNIGO.Cnig_chr_II.g5216.t1	498	631	454	252	353	387
CBRIG.II.g4886.t2__CNIGO.Cnig_chr_II.g5224.t1	104	116	91	271	333	300
CBRIG.II.g4901.t1__CNIGO.Cnig_chr_II.g5240.t1	502	390	489	1854	1869	2071
CBRIG.II.g4930.t1__CNIGO.Cnig_chr_II.g5267.t1	1421	1553	1544	192	242	244
CBRIG.II.g4947.t2__CNIGO.Cnig_chr_II.g5288.t1	856	739	777	395	388	396
CBRIG.II.g4958.t1__CNIGO.Cnig_chr_II.g5299.t1	391	384	384	186	158	163
CBRIG.II.g4979.t1__CNIGO.Cnig_chr_II.g5314.t1	58	84	73	147	95	147
CBRIG.II.g4992.t1__CNIGO.Cnig_chr_II.g5327.t1	33	60	69	119	70	108
CBRIG.II.g5005.t1__CNIGO.Cnig_chr_II.g5342.t1	235	250	172	859	862	791
CBRIG.II.g5016.t1__CNIGO.Cnig_chr_II.g5353.t1	577	627	602	119	158	124
CBRIG.II.g5020.t1__CNIGO.Cnig_chr_II.g5356.t1	1574	1645	1502	741	750	686
CBRIG.II.g5046.t1__CNIGO.Cnig_chr_II.g5384.t1	156	145	144	169	130	128
CBRIG.II.g5054.t1__CNIGO.Cnig_chr_II.g5394.t1	350	386	375	198	225	207
CBRIG.II.g5057.t1__CNIGO.Cnig_chr_II.g5398.t1	73	47	98	31	41	51
CBRIG.II.g5066.t1__CNIGO.Cnig_chr_II.g5407.t2	115	180	176	147	119	166
CBRIG.II.g5093.t1__CNIGO.Cnig_chr_II.g5434.t1	46	59	61	44	25	60
CBRIG.II.g5098.t1__CNIGO.Cnig_chr_II.g5438.t3	429	373	310	351	412	370
CBRIG.II.g5124.t3__CNIGO.Cnig_chr_II.g5457.t2	176	249	205	393	453	365
CBRIG.II.g5133.t2__CNIGO.Cnig_chr_II.g5467.t1	281	278	348	293	291	279
CBRIG.II.g5149.t1__CNIGO.Cnig_chr_II.g5483.t1	39	39	67	84	116	121
CBRIG.II.g5155.t1__CNIGO.Cnig_chr_II.g5488.t1	38	35	36	50	59	73
CBRIG.II.g5158.t1__CNIGO.Cnig_chr_II.g5492.t1	156	135	110	44	92	58
CBRIG.II.g5168.t1__CNIGO.Cnig_chr_II.g5502.t1	220	208	283	103	74	54
CBRIG.II.g5201.t2__CNIGO.Cnig_chr_II.g5532.t1	144	165	142	173	142	165
CBRIG.II.g5205.t1__CNIGO.Cnig_chr_II.g5539.t1	272	328	254	331	337	326
CBRIG.II.g5212.t2__CNIGO.Cnig_chr_II.g5547.t2	3227	3111	3138	779	790	692
CBRIG.II.g5288.t3__CNIGO.Cnig_chr_II.g5630.t3	794	869	726	254	267	258
CBRIG.II.g5299.t1__CNIGO.Cnig_chr_II.g5640.t1	1675	1660	1556	348	326	305
CBRIG.II.g5327.t1__CNIGO.Cnig_chr_II.g5663.t1	95	99	97	302	280	379
CBRIG.II.g5330.t1__CNIGO.Cnig_chr_II.g5666.t1	243	250	319	77	119	146
CBRIG.II.g5331.t3__CNIGO.Cnig_chr_II.g5667.t2	143	163	160	326	297	262
CBRIG.II.g5355.t1__CNIGO.Cnig_chr_II.g5694.t1	204	255	213	659	836	713
CBRIG.II.g5374.t1__CNIGO.Cnig_chr_II.g5717.t1	122	129	106	756	861	856
CBRIG.II.g5433.t1__CNIGO.Cnig_chr_II.g5789.t1	142	120	141	448	419	475
CBRIG.II.g5476.t1__CNIGO.Cnig_chr_II.g5832.t1	838	894	893	2772	2646	2755
CBRIG.II.g5479.t2__CNIGO.Cnig_chr_II.g5836.t1	265	174	229	96	116	112
CBRIG.II.g5552.t1__CNIGO.Cnig_chr_II.g5909.t1	755	618	742	366	317	388
CBRIG.II.g5560.t1__CNIGO.Cnig_chr_II.g5918.t1	436	340	293	1583	1384	1549
CBRIG.II.g5586.t1__CNIGO.Cnig_chr_II.g5741.t3	69	61	44	192	102	148
CBRIG.II.g5587.t1__CNIGO.Cnig_chr_II.g5947.t1	313	350	370	812	745	732
CBRIG.II.g5635.t1__CNIGO.Cnig_chr_II.g5995.t1	472	425	385	1802	1867	1799
CBRIG.II.g5638.t1__CNIGO.Cnig_chr_II.g5998.t1	81	60	97	105	109	137
CBRIG.II.g5639.t1__CNIGO.Cnig_chr_II.g5999.t2	890	803	745	135	141	121
CBRIG.II.g5674.t1__CNIGO.Cnig_chr_II.g6035.t2	219	215	153	1429	1372	1623
CBRIG.II.g5695.t2__CNIGO.Cnig_chr_II.g6059.t1	430	348	372	81	103	109
CBRIG.II.g5715.t3__CNIGO.Cnig_chr_II.g6077.t2	2584	2668	2659	196	229	249
CBRIG.II.g5716.t1__CNIGO.Cnig_chr_II.g6079.t2	1314	1252	1161	160	192	161
CBRIG.II.g5729.t1__CNIGO.Cnig_chr_II.g6095.t1	396	317	321	214	166	160
CBRIG.II.g5745.t1__CNIGO.Cnig_chr_II.g6110.t1	165	160	192	803	867	887
CBRIG.II.g5781.t1__CNIGO.Cnig_chr_II.g6154.t1	368	319	286	520	550	436
CBRIG.II.g5836.t1__CNIGO.Cnig_chr_II.g6217.t1	489	408	450	181	265	172
CBRIG.II.g5842.t1__CNIGO.Cnig_chr_II.g6223.t1	544	552	563	594	642	612
CBRIG.II.g5867.t1__CNIGO.Cnig_chr_II.g6251.t4	215	213	198	231	187	244
CBRIG.II.g5873.t1__CNIGO.Cnig_chr_II.g6257.t1	249	274	211	1785	1754	1753
CBRIG.II.g5874.t2__CNIGO.Cnig_chr_II.g6258.t2	224	247	266	203	191	211
CBRIG.II.g5882.t1__CNIGO.Cnig_chr_II.g6266.t1	402	353	420	154	212	186
CBRIG.II.g5924.t2__CNIGO.Cnig_chr_II.g6308.t1	73	130	101	139	93	94
CBRIG.II.g5991.t2__CNIGO.Cnig_chr_II.g6374.t1	430	510	436	107	98	103
CBRIG.II.g6008.t1__CNIGO.Cnig_chr_II.g6386.t2	91	149	85	717	758	733
CBRIG.II.g6022.t1__CNIGO.Cnig_chr_II.g6402.t1	193	156	202	362	355	321
CBRIG.II.g6036.t1__CNIGO.Cnig_chr_II.g6418.t1	44	62	64	52	68	49
CBRIG.II.g6040.t1__CNIGO.Cnig_chr_II.g6422.t1	160	132	164	452	432	475
CBRIG.II.g6044.t1__CNIGO.Cnig_chr_II.g6427.t2	395	476	403	199	183	196
CBRIG.II.g6067.t1__CNIGO.Cnig_chr_II.g6453.t3	454	553	451	351	329	399
CBRIG.II.g6090.t1__CNIGO.Cnig_chr_II.g6472.t1	187	222	175	52	45	64
CBRIG.II.g6092.t1__CNIGO.Cnig_chr_II.g6474.t1	1571	1565	1775	565	606	630
CBRIG.II.g6102.t1__CNIGO.Cnig_chr_II.g6488.t2	358	336	371	502	385	430
CBRIG.II.g6106.t1__CNIGO.Cnig_chr_II.g6491.t1	117	104	71	73	115	93
CBRIG.II.g6128.t1__CNIGO.Cnig_chr_II.g6511.t1	184	163	156	185	177	153
CBRIG.II.g6166.t2__CNIGO.Cnig_chr_II.g6571.t1	1468	1669	1625	735	839	635
CBRIG.II.g6167.t1__CNIGO.Cnig_chr_II.g6572.t1	60	68	90	136	147	133
CBRIG.II.g6168.t1__CNIGO.Cnig_chr_II.g6573.t1	252	188	287	145	175	139
CBRIG.II.g6184.t2__CNIGO.Cnig_chr_II.g6592.t1	2458	2434	2324	767	709	812
CBRIG.II.g6195.t1__CNIGO.Cnig_chr_II.g6605.t1	378	327	396	137	151	108
CBRIG.II.g6257.t1__CNIGO.Cnig_chr_II.g6682.t1	201	149	197	59	113	99
CBRIG.II.g6276.t1__CNIGO.Cnig_chr_II.g6702.t1	260	198	233	652	741	700
CBRIG.II.g6277.t1__CNIGO.Cnig_chr_II.g6703.t1	241	209	177	123	71	116
CBRIG.II.g6298.t1__CNIGO.Cnig_chr_II.g6722.t1	502	571	479	96	104	96
CBRIG.II.g6305.t1__CNIGO.Cnig_chr_II.g6730.t1	183	188	217	158	139	135
CBRIG.II.g6319.t1__CNIGO.Cnig_chr_II.g6742.t1	86	117	116	93	80	62
CBRIG.II.g6327.t1__CNIGO.Cnig_chr_II.g6748.t1	538	534	439	165	183	151
CBRIG.II.g6358.t1__CNIGO.Cnig_chr_II.g6822.t1	47	78	66	89	119	80
CBRIG.II.g6410.t1__CNIGO.Cnig_chr_II.g6886.t1	70	71	61	127	92	137
CBRIG.II.g6424.t1__CNIGO.Cnig_chr_II.g6956.t1	79	80	75	90	61	66
CBRIG.II.g6453.t1__CNIGO.Cnig_chr_II.g6757.t1	181	179	182	906	867	974
CBRIG.II.g6463.t3__CNIGO.Cnig_chr_II.g6768.t1	203	187	156	278	349	371
CBRIG.II.g6547.t1__CNIGO.Cnig_chr_II.g6959.t2	117	117	114	133	150	96
CBRIG.II.g6558.t1__CNIGO.Cnig_chr_II.g6971.t3	162	155	126	167	208	224
CBRIG.II.g6561.t1__CNIGO.Cnig_chr_II.g6981.t1	102	103	107	233	174	152
CBRIG.II.g6656.t1__CNIGO.Cnig_chr_II.g7190.t1	429	434	445	330	481	368
CBRIG.II.g6685.t1__CNIGO.Cnig_chr_II.g7206.t1	354	316	424	126	62	126
CBRIG.II.g6686.t1__CNIGO.Cnig_chr_II.g7207.t1	111	99	119	121	153	168
CBRIG.II.g6702.t2__CNIGO.Cnig_chr_II.g7236.t1	69	112	121	78	87	63
CBRIG.II.g6703.t1__CNIGO.Cnig_chr_II.g7237.t1	498	464	554	498	452	477
CBRIG.II.g6705.t2__CNIGO.Cnig_chr_II.g7242.t1	346	382	383	225	177	130
CBRIG.II.g6721.t1__CNIGO.Cnig_chr_II.g7263.t2	125	110	110	111	133	66
