gene_id	HF1_1_Cbr	HF1_1_Cni	HF1_2_Cbr	HF1_2_Cni	HF1_3_Cbr	HF1_3_Cni
CBRIG.I.g2655.t1__CNIGO.Cnig_chr_I.g2248.t1	359	142	661	179	391	235
CBRIG.I.g2683.t1__CNIGO.Cnig_chr_I.g2275.t1	172	211	130	236	140	274
CBRIG.I.g2697.t1__CNIGO.Cnig_chr_I.g2287.t1	211	633	193	386	347	383
CBRIG.I.g2725.t1__CNIGO.Cnig_chr_I.g2319.t1	77	107	65	93	63	99
CBRIG.I.g2735.t1__CNIGO.Cnig_chr_I.g2327.t1	1042	245	1202	185	1065	221
CBRIG.I.g2758.t1__CNIGO.Cnig_chr_I.g2361.t1	208	404	230	428	177	419
CBRIG.I.g2782.t1__CNIGO.Cnig_chr_I.g2394.t2	217	273	176	304	323	151
CBRIG.I.g2795.t3__CNIGO.Cnig_chr_I.g2411.t2	235	919	226	812	249	830
CBRIG.I.g2830.t1__CNIGO.Cnig_chr_I.g2443.t1	403	273	380	347	310	291
CBRIG.I.g2847.t1__CNIGO.Cnig_chr_I.g2464.t1	643	298	295	326	338	300
CBRIG.I.g2850.t1__CNIGO.Cnig_chr_I.g2467.t1	611	617	226	535	227	529
CBRIG.I.g2874.t1__CNIGO.Cnig_chr_I.g2498.t1	126	179	59	190	44	241
CBRIG.I.g2910.t1__CNIGO.Cnig_chr_I.g2525.t2	90	133	35	106	78	125
CBRIG.I.g2924.t1__CNIGO.Cnig_chr_I.g2539.t1	1010	4710	938	4389	947	4887
CBRIG.I.g2950.t1__CNIGO.Cnig_chr_I.g2578.t1	930	163	1002	167	931	183
CBRIG.I.g2968.t1__CNIGO.Cnig_chr_I.g2595.t1	57	142	67	176	53	132
CBRIG.I.g2975.t1__CNIGO.Cnig_chr_I.g2601.t1	1714	293	1730	290	1769	311
CBRIG.I.g3000.t1__CNIGO.Cnig_chr_I.g2632.t1	384	416	404	410	376	515
CBRIG.I.g3003.t1__CNIGO.Cnig_chr_I.g2635.t3	507	308	486	222	1029	133
CBRIG.I.g3031.t1__CNIGO.Cnig_chr_I.g2664.t1	192	665	152	591	203	721
CBRIG.I.g3119.t1__CNIGO.Cnig_chr_I.g2776.t1	934	413	926	423	1012	241
CBRIG.I.g3152.t1__CNIGO.Cnig_chr_I.g2813.t1	409	121	418	106	502	126
CBRIG.I.g3171.t1__CNIGO.Cnig_chr_I.g2897.t1	41	149	53	145	63	129
CBRIG.I.g3204.t1__CNIGO.Cnig_chr_I.g2954.t1	238	172	241	105	193	104
CBRIG.I.g3213.t1__CNIGO.Cnig_chr_I.g2964.t1	339	204	273	186	144	203
CBRIG.I.g3222.t1__CNIGO.Cnig_chr_I.g2975.t1	266	221	246	53	243	125
CBRIG.I.g3263.t2__CNIGO.Cnig_chr_I.g3034.t1	510	2405	552	2483	490	2343
CBRIG.I.g3279.t1__CNIGO.Cnig_chr_I.g3060.t2	646	64	595	101	565	164
CBRIG.I.g3280.t1__CNIGO.Cnig_chr_I.g3061.t2	1191	599	1212	626	1188	645
CBRIG.I.g3459.t1__CNIGO.Cnig_chr_I.g3225.t1	86	76	63	62	78	73
CBRIG.I.g3476.t1__CNIGO.Cnig_chr_I.g3202.t1	101	170	66	357	105	170
CBRIG.I.g3527.t2__CNIGO.Cnig_chr_I.g3435.t1	1518	414	1347	429	1392	468
CBRIG.I.g3532.t2__CNIGO.Cnig_chr_I.g3442.t1	702	210	636	194	623	279
CBRIG.I.g3581.t2__CNIGO.Cnig_chr_I.g3511.t1	66	98	69	99	49	93
CBRIG.I.g3612.t5__CNIGO.Cnig_chr_I.g3562.t3	1531	685	1531	700	1507	676
CBRIG.I.g3663.t1__CNIGO.Cnig_chr_I.g3607.t1	116	119	98	164	195	112
CBRIG.I.g3685.t1__CNIGO.Cnig_chr_I.g3646.t1	69	150	98	172	197	137
CBRIG.I.g3715.t2__CNIGO.Cnig_chr_I.g3733.t3	513	277	415	546	321	513
CBRIG.I.g3773.t1__CNIGO.Cnig_chr_I.g3793.t2	348	654	316	510	272	601
CBRIG.I.g3779.t1__CNIGO.Cnig_chr_I.g3798.t1	260	173	103	204	128	236
CBRIG.I.g3892.t1__CNIGO.Cnig_chr_I.g3948.t1	62	222	92	231	92	207
CBRIG.I.g3901.t1__CNIGO.Cnig_chr_I.g3940.t1	304	206	333	153	346	157
CBRIG.I.g3903.t1__CNIGO.Cnig_chr_I.g3938.t1	649	336	725	272	661	396
CBRIG.I.g3915.t1__CNIGO.Cnig_chr_I.g3926.t1	609	1624	609	1643	562	1713
CBRIG.I.g3919.t1__CNIGO.Cnig_chr_I.g3921.t1	147	402	156	805	151	394
CBRIG.I.g3920.t1__CNIGO.Cnig_chr_I.g3920.t1	259	82	209	139	229	116
CBRIG.I.g730.t1__CNIGO.Cnig_chr_I.g100.t1	78	54	161	128	86	84
CBRIG.I.g779.t1__CNIGO.Cnig_chr_I.g222.t1	204	440	223	460	224	468
CBRIG.I.g801.t1__CNIGO.Cnig_chr_I.g250.t1	893	286	854	307	723	315
CBRIG.I.g821.t1__CNIGO.Cnig_chr_I.g294.t2	724	2009	646	1991	695	2073
CBRIG.I.g829.t1__CNIGO.Cnig_chr_I.g302.t2	227	675	186	660	367	652
CBRIG.I.g833.t2__CNIGO.Cnig_chr_I.g300.t2	569	205	551	270	648	284
CBRIG.I.g841.t2__CNIGO.Cnig_chr_I.g309.t1	38	57	30	28	55	32
CBRIG.I.g885.t1__CNIGO.Cnig_chr_I.g370.t1	690	105	595	106	676	125
CBRIG.I.g886.t1__CNIGO.Cnig_chr_I.g371.t1	519	242	624	245	549	262
CBRIG.I.g894.t1__CNIGO.Cnig_chr_I.g379.t2	147	221	112	261	335	301
CBRIG.I.g898.t1__CNIGO.Cnig_chr_I.g383.t1	476	136	524	115	459	132
CBRIG.I.g919.t3__CNIGO.Cnig_chr_I.g408.t1	236	170	255	251	185	154
CBRIG.I.g942.t1__CNIGO.Cnig_chr_I.g430.t1	438	1263	426	1557	441	1394
CBRIG.I.g943.t1__CNIGO.Cnig_chr_I.g429.t1	140	120	67	130	81	171
CBRIG.I.g944.t1__CNIGO.Cnig_chr_I.g428.t2	551	509	545	623	553	254
CBRIG.I.g975.t1__CNIGO.Cnig_chr_I.g463.t2	423	943	1032	519	478	506
CBRIG.II.g3927.t1__CNIGO.Cnig_chr_II.g3973.t1	1143	236	1132	203	1076	216
CBRIG.II.g3934.t1__CNIGO.Cnig_chr_II.g3981.t1	1807	203	901	223	853	216
CBRIG.II.g3961.t1__CNIGO.Cnig_chr_II.g4012.t1	294	601	352	531	389	567
CBRIG.II.g3980.t1__CNIGO.Cnig_chr_II.g4031.t1	99	402	69	434	103	313
CBRIG.II.g3989.t1__CNIGO.Cnig_chr_II.g4041.t1	514	299	455	263	454	327
CBRIG.II.g4041.t1__CNIGO.Cnig_chr_II.g4120.t1	285	506	237	436	300	535
CBRIG.II.g4104.t1__CNIGO.Cnig_chr_II.g4192.t2	433	233	568	276	497	298
CBRIG.II.g4126.t1__CNIGO.Cnig_chr_II.g4222.t2	1801	316	1792	282	1878	284
CBRIG.II.g4142.t1__CNIGO.Cnig_chr_II.g4205.t1	151	110	152	128	156	144
CBRIG.II.g4167.t2__CNIGO.Cnig_chr_II.g4238.t3	735	232	677	252	762	258
CBRIG.II.g4218.t1__CNIGO.Cnig_chr_II.g7837.t1	190	66	233	45	218	45
CBRIG.II.g4249.t1__CNIGO.Cnig_chr_II.g4388.t3	194	796	151	835	316	794
CBRIG.II.g4252.t1__CNIGO.Cnig_chr_II.g4392.t1	213	550	208	601	185	610
CBRIG.II.g4263.t1__CNIGO.Cnig_chr_II.g4400.t1	196	733	421	633	205	611
CBRIG.II.g4298.t1__CNIGO.Cnig_chr_II.g4465.t2	3841	574	3949	585	3895	597
CBRIG.II.g4312.t1__CNIGO.Cnig_chr_II.g4485.t1	206	367	163	421	233	393
CBRIG.II.g4339.t1__CNIGO.Cnig_chr_II.g4523.t2	237	229	229	254	204	228
CBRIG.II.g4375.t1__CNIGO.Cnig_chr_II.g4562.t1	288	519	273	540	298	530
CBRIG.II.g4383.t1__CNIGO.Cnig_chr_II.g4568.t1	1110	122	1179	125	1163	147
CBRIG.II.g4385.t2__CNIGO.Cnig_chr_II.g4570.t1	363	372	166	765	371	340
CBRIG.II.g4386.t1__CNIGO.Cnig_chr_II.g4571.t1	970	412	1058	167	958	430
CBRIG.II.g4400.t1__CNIGO.Cnig_chr_II.g4586.t1	135	124	96	117	139	174
CBRIG.II.g4412.t1__CNIGO.Cnig_chr_II.g4602.t1	1056	347	1095	378	1057	725
CBRIG.II.g4426.t1__CNIGO.Cnig_chr_II.g4616.t1	133	131	90	130	112	117
CBRIG.II.g4439.t1__CNIGO.Cnig_chr_II.g4662.t2	279	473	787	437	347	366
CBRIG.II.g4456.t1__CNIGO.Cnig_chr_II.g4644.t1	256	598	375	576	299	574
CBRIG.II.g4459.t1__CNIGO.Cnig_chr_II.g4666.t2	2603	228	2527	168	1332	409
CBRIG.II.g4477.t1__CNIGO.Cnig_chr_II.g4688.t1	222	90	193	86	169	105
CBRIG.II.g4502.t1__CNIGO.Cnig_chr_II.g4713.t1	823	506	728	213	744	539
CBRIG.II.g4516.t1__CNIGO.Cnig_chr_II.g4735.t1	370	380	315	363	448	301
CBRIG.II.g4578.t1__CNIGO.Cnig_chr_II.g4808.t2	992	253	926	479	1016	236
CBRIG.II.g4650.t1__CNIGO.Cnig_chr_II.g5039.t1	174	361	159	835	145	446
CBRIG.II.g4655.t2__CNIGO.Cnig_chr_II.g5030.t1	368	1073	360	1080	712	1133
CBRIG.II.g4665.t1__CNIGO.Cnig_chr_II.g5016.t1	788	199	871	302	780	206
CBRIG.II.g4674.t1__CNIGO.Cnig_chr_II.g5009.t1	973	290	1166	320	909	301
CBRIG.II.g4703.t1__CNIGO.Cnig_chr_II.g4962.t1	1591	584	1614	1037	1553	539
CBRIG.II.g4714.t1__CNIGO.Cnig_chr_II.g4953.t1	343	1032	609	926	649	948
CBRIG.II.g4757.t1__CNIGO.Cnig_chr_II.g5079.t1	211	470	174	469	251	477
CBRIG.II.g4793.t1__CNIGO.Cnig_chr_II.g5128.t1	305	215	241	113	523	80
CBRIG.II.g4807.t1__CNIGO.Cnig_chr_II.g5147.t1	253	219	290	225	243	232
CBRIG.II.g4811.t1__CNIGO.Cnig_chr_II.g5152.t1	1288	164	1392	258	1311	362
CBRIG.II.g4836.t1__CNIGO.Cnig_chr_II.g5176.t1	7378	338	7617	338	7304	407
CBRIG.II.g4879.t1__CNIGO.Cnig_chr_II.g5216.t1	500	255	633	355	459	389
CBRIG.II.g4886.t2__CNIGO.Cnig_chr_II.g5224.t1	104	271	116	333	91	300
CBRIG.II.g4901.t1__CNIGO.Cnig_chr_II.g5240.t1	503	1858	394	1869	1001	2072
CBRIG.II.g4930.t1__CNIGO.Cnig_chr_II.g5267.t1	1421	389	1553	486	1544	491
CBRIG.II.g4947.t2__CNIGO.Cnig_chr_II.g5288.t1	859	397	741	390	784	399
CBRIG.II.g4958.t1__CNIGO.Cnig_chr_II.g5299.t1	391	186	384	319	384	327
CBRIG.II.g4979.t1__CNIGO.Cnig_chr_II.g5314.t1	59	147	91	98	75	148
CBRIG.II.g4992.t1__CNIGO.Cnig_chr_II.g5327.t1	33	119	60	70	69	108
CBRIG.II.g5005.t1__CNIGO.Cnig_chr_II.g5342.t1	497	859	521	862	179	791
CBRIG.II.g5016.t1__CNIGO.Cnig_chr_II.g5353.t1	577	119	627	158	602	124
CBRIG.II.g5020.t1__CNIGO.Cnig_chr_II.g5356.t1	1541	754	1615	761	1506	693
CBRIG.II.g5046.t1__CNIGO.Cnig_chr_II.g5384.t1	163	192	156	147	157	140
CBRIG.II.g5054.t1__CNIGO.Cnig_chr_II.g5394.t1	706	198	386	451	378	208
CBRIG.II.g5057.t1__CNIGO.Cnig_chr_II.g5398.t1	73	31	47	41	98	51
CBRIG.II.g5066.t1__CNIGO.Cnig_chr_II.g5407.t2	120	150	184	123	182	173
CBRIG.II.g5093.t1__CNIGO.Cnig_chr_II.g5434.t1	46	44	59	25	61	60
CBRIG.II.g5098.t1__CNIGO.Cnig_chr_II.g5438.t3	441	361	390	421	319	377
CBRIG.II.g5124.t3__CNIGO.Cnig_chr_II.g5457.t2	360	343	512	453	418	320
CBRIG.II.g5133.t2__CNIGO.Cnig_chr_II.g5467.t1	280	297	278	585	348	569
CBRIG.II.g5149.t1__CNIGO.Cnig_chr_II.g5483.t1	39	84	39	116	135	121
CBRIG.II.g5155.t1__CNIGO.Cnig_chr_II.g5488.t1	38	50	35	59	36	73
CBRIG.II.g5158.t1__CNIGO.Cnig_chr_II.g5492.t1	156	89	135	92	110	58
CBRIG.II.g5168.t1__CNIGO.Cnig_chr_II.g5502.t1	220	233	208	176	282	148
CBRIG.II.g5201.t2__CNIGO.Cnig_chr_II.g5532.t1	147	174	169	145	143	169
CBRIG.II.g5205.t1__CNIGO.Cnig_chr_II.g5539.t1	311	366	373	374	279	356
CBRIG.II.g5212.t2__CNIGO.Cnig_chr_II.g5547.t2	3251	785	3132	803	3163	693
CBRIG.II.g5288.t3__CNIGO.Cnig_chr_II.g5630.t3	795	255	869	536	727	258
CBRIG.II.g5299.t1__CNIGO.Cnig_chr_II.g5640.t1	1675	698	1660	653	1555	305
CBRIG.II.g5327.t1__CNIGO.Cnig_chr_II.g5663.t1	95	302	100	279	97	379
CBRIG.II.g5330.t1__CNIGO.Cnig_chr_II.g5666.t1	242	77	249	119	319	146
CBRIG.II.g5331.t3__CNIGO.Cnig_chr_II.g5667.t2	145	329	169	301	162	210
CBRIG.II.g5355.t1__CNIGO.Cnig_chr_II.g5694.t1	206	661	255	845	213	718
CBRIG.II.g5374.t1__CNIGO.Cnig_chr_II.g5717.t1	247	756	129	860	106	857
CBRIG.II.g5433.t1__CNIGO.Cnig_chr_II.g5789.t1	142	455	120	420	142	487
CBRIG.II.g5476.t1__CNIGO.Cnig_chr_II.g5832.t1	851	2798	904	2666	908	2771
CBRIG.II.g5479.t2__CNIGO.Cnig_chr_II.g5836.t1	265	205	174	126	229	237
CBRIG.II.g5552.t1__CNIGO.Cnig_chr_II.g5909.t1	756	365	618	318	744	388
CBRIG.II.g5560.t1__CNIGO.Cnig_chr_II.g5918.t1	443	1596	344	1395	295	1557
CBRIG.II.g5586.t1__CNIGO.Cnig_chr_II.g5741.t3	69	192	61	102	44	148
CBRIG.II.g5587.t1__CNIGO.Cnig_chr_II.g5947.t1	314	811	349	747	370	732
CBRIG.II.g5635.t1__CNIGO.Cnig_chr_II.g5995.t1	471	1828	428	1886	392	1807
CBRIG.II.g5638.t1__CNIGO.Cnig_chr_II.g5998.t1	81	105	60	109	97	137
CBRIG.II.g5639.t1__CNIGO.Cnig_chr_II.g5999.t2	892	142	808	145	747	127
CBRIG.II.g5674.t1__CNIGO.Cnig_chr_II.g6035.t2	222	1432	215	1379	154	1625
CBRIG.II.g5695.t2__CNIGO.Cnig_chr_II.g6059.t1	430	169	348	208	372	221
CBRIG.II.g5715.t3__CNIGO.Cnig_chr_II.g6077.t2	2584	197	2668	471	2658	249
CBRIG.II.g5716.t1__CNIGO.Cnig_chr_II.g6079.t2	1314	331	1255	194	1161	161
CBRIG.II.g5729.t1__CNIGO.Cnig_chr_II.g6095.t1	396	214	316	167	321	160
CBRIG.II.g5745.t1__CNIGO.Cnig_chr_II.g6110.t1	184	809	171	874	213	895
CBRIG.II.g5781.t1__CNIGO.Cnig_chr_II.g6154.t1	367	550	318	579	282	458
CBRIG.II.g5836.t1__CNIGO.Cnig_chr_II.g6217.t1	499	195	433	283	460	177
CBRIG.II.g5842.t1__CNIGO.Cnig_chr_II.g6223.t1	554	551	172	599	537	636
CBRIG.II.g5867.t1__CNIGO.Cnig_chr_II.g6251.t4	224	238	218	190	202	245
CBRIG.II.g5873.t1__CNIGO.Cnig_chr_II.g6257.t1	504	1785	274	1753	211	1752
CBRIG.II.g5874.t2__CNIGO.Cnig_chr_II.g6258.t2	227	208	250	195	268	216
CBRIG.II.g5882.t1__CNIGO.Cnig_chr_II.g6266.t1	402	154	354	211	420	375
CBRIG.II.g5924.t2__CNIGO.Cnig_chr_II.g6308.t1	73	140	130	93	101	189
CBRIG.II.g5991.t2__CNIGO.Cnig_chr_II.g6374.t1	475	94	545	100	473	99
CBRIG.II.g6008.t1__CNIGO.Cnig_chr_II.g6386.t2	92	717	300	759	86	1465
CBRIG.II.g6022.t1__CNIGO.Cnig_chr_II.g6402.t1	194	723	155	356	202	321
CBRIG.II.g6036.t1__CNIGO.Cnig_chr_II.g6418.t1	44	105	62	68	64	99
CBRIG.II.g6040.t1__CNIGO.Cnig_chr_II.g6422.t1	322	452	265	432	166	475
CBRIG.II.g6044.t1__CNIGO.Cnig_chr_II.g6427.t2	791	200	476	183	403	196
CBRIG.II.g6067.t1__CNIGO.Cnig_chr_II.g6453.t3	455	325	556	286	455	363
CBRIG.II.g6090.t1__CNIGO.Cnig_chr_II.g6472.t1	187	52	221	45	175	64
CBRIG.II.g6092.t1__CNIGO.Cnig_chr_II.g6474.t1	1597	577	1594	625	1797	657
CBRIG.II.g6102.t1__CNIGO.Cnig_chr_II.g6488.t2	376	520	352	397	384	450
CBRIG.II.g6106.t1__CNIGO.Cnig_chr_II.g6491.t1	121	74	109	118	72	100
CBRIG.II.g6128.t1__CNIGO.Cnig_chr_II.g6511.t1	184	185	163	177	156	153
CBRIG.II.g6166.t2__CNIGO.Cnig_chr_II.g6571.t1	1473	748	1676	849	1633	645
CBRIG.II.g6167.t1__CNIGO.Cnig_chr_II.g6572.t1	60	136	68	147	90	133
CBRIG.II.g6168.t1__CNIGO.Cnig_chr_II.g6573.t1	253	145	190	175	575	139
CBRIG.II.g6184.t2__CNIGO.Cnig_chr_II.g6592.t1	2461	775	2450	712	2335	817
CBRIG.II.g6195.t1__CNIGO.Cnig_chr_II.g6605.t1	378	277	328	152	397	109
CBRIG.II.g6257.t1__CNIGO.Cnig_chr_II.g6682.t1	200	60	153	114	199	99
CBRIG.II.g6276.t1__CNIGO.Cnig_chr_II.g6702.t1	525	652	397	741	469	700
CBRIG.II.g6277.t1__CNIGO.Cnig_chr_II.g6703.t1	241	123	209	71	177	116
CBRIG.II.g6298.t1__CNIGO.Cnig_chr_II.g6722.t1	502	193	571	104	959	96
CBRIG.II.g6305.t1__CNIGO.Cnig_chr_II.g6730.t1	368	158	378	139	217	135
CBRIG.II.g6319.t1__CNIGO.Cnig_chr_II.g6742.t1	86	93	117	80	233	62
CBRIG.II.g6327.t1__CNIGO.Cnig_chr_II.g6748.t1	538	166	534	369	439	151
CBRIG.II.g6358.t1__CNIGO.Cnig_chr_II.g6822.t1	51	90	90	122	71	82
CBRIG.II.g6410.t1__CNIGO.Cnig_chr_II.g6886.t1	80	128	77	100	73	140
CBRIG.II.g6424.t1__CNIGO.Cnig_chr_II.g6956.t1	79	90	80	61	75	67
CBRIG.II.g6453.t1__CNIGO.Cnig_chr_II.g6757.t1	179	917	182	872	182	982
CBRIG.II.g6463.t3__CNIGO.Cnig_chr_II.g6768.t1	222	296	194	375	174	389
CBRIG.II.g6547.t1__CNIGO.Cnig_chr_II.g6959.t2	117	133	117	150	114	96
CBRIG.II.g6558.t1__CNIGO.Cnig_chr_II.g6971.t3	162	336	155	208	126	224
CBRIG.II.g6561.t1__CNIGO.Cnig_chr_II.g6981.t1	206	233	103	174	109	153
CBRIG.II.g6656.t1__CNIGO.Cnig_chr_II.g7190.t1	429	330	434	481	445	368
CBRIG.II.g6685.t1__CNIGO.Cnig_chr_II.g7206.t1	361	139	319	72	441	143
CBRIG.II.g6686.t1__CNIGO.Cnig_chr_II.g7207.t1	112	122	101	156	121	171
CBRIG.II.g6702.t2__CNIGO.Cnig_chr_II.g7236.t1	69	163	112	88	121	66
CBRIG.II.g6703.t1__CNIGO.Cnig_chr_II.g7237.t1	997	498	465	452	554	477
CBRIG.II.g6705.t2__CNIGO.Cnig_chr_II.g7242.t1	346	225	382	177	383	130
CBRIG.II.g6721.t1__CNIGO.Cnig_chr_II.g7263.t2	125	111	110	133	110	66
