Geneid	Cbr_1_Cbr	Cbr_2_Cbr	Cbr_3_Cbr	Cni_1_Cni	Cni_2_Cni	Cni_3_Cni
CBRIG.I.g1820.t1__CNIGO.Cnig_chr_I.g1433.t1	112	107	137	380	436	452
CBRIG.I.g1835.t1__CNIGO.Cnig_chr_I.g1453.t1	404	419	390	766	720	745
CBRIG.I.g1846.t1__CNIGO.Cnig_chr_I.g1468.t1	516	668	465	2005	1895	1816
CBRIG.I.g1847.t1__CNIGO.Cnig_chr_I.g1469.t1	2399	2322	2235	399	388	340
CBRIG.I.g1871.t1__CNIGO.Cnig_chr_I.g1486.t2	362	352	417	502	417	415
CBRIG.I.g1944.t2__CNIGO.Cnig_chr_I.g1546.t1	704	653	782	315	293	263
CBRIG.I.g1966.t1__CNIGO.Cnig_chr_I.g1570.t3	257	222	231	193	191	229
CBRIG.I.g1967.t1__CNIGO.Cnig_chr_I.g1571.t1	811	835	785	1499	1513	1601
CBRIG.I.g1994.t1__CNIGO.Cnig_chr_I.g1673.t1	1452	1336	1393	795	676	619
CBRIG.I.g2029.t1__CNIGO.Cnig_chr_I.g1635.t1	1021	1002	1119	111	115	115
CBRIG.I.g2051.t1__CNIGO.Cnig_chr_I.g1615.t2	545	494	531	505	509	568
CBRIG.I.g2085.t3__CNIGO.Cnig_chr_I.g1709.t1	1039	898	1018	444	443	484
CBRIG.I.g2123.t1__CNIGO.Cnig_chr_I.g1766.t2	2414	2429	2437	826	799	669
CBRIG.I.g2149.t1__CNIGO.Cnig_chr_I.g1742.t1	1554	1522	1534	495	458	423
CBRIG.I.g2162.t1__CNIGO.Cnig_chr_I.g1789.t1	164	208	228	344	339	389
CBRIG.I.g2171.t1__CNIGO.Cnig_chr_I.g1796.t1	395	291	349	2286	2288	2306
CBRIG.I.g2193.t3__CNIGO.Cnig_chr_I.g1821.t1	1832	1843	1759	622	631	640
CBRIG.I.g2199.t2__CNIGO.Cnig_chr_I.g1827.t1	190	132	156	114	90	116
CBRIG.I.g2203.t1__CNIGO.Cnig_chr_I.g1831.t1	254	201	197	395	442	392
CBRIG.I.g2294.t2__CNIGO.Cnig_chr_I.g1920.t1	588	538	491	2168	2041	2406
CBRIG.I.g2299.t1__CNIGO.Cnig_chr_I.g1925.t1	66	81	68	145	63	86
CBRIG.I.g2398.t1__CNIGO.Cnig_chr_I.g2084.t1	789	749	724	409	324	430
CBRIG.I.g2416.t2__CNIGO.Cnig_chr_I.g2070.t2	280	277	125	594	563	628
CBRIG.I.g2417.t2__CNIGO.Cnig_chr_I.g2069.t2	377	362	407	2298	2163	2228
CBRIG.I.g2423.t1__CNIGO.Cnig_chr_I.g2063.t2	2391	2491	2146	327	327	297
CBRIG.I.g2513.t1__CNIGO.Cnig_chr_I.g1992.t1	568	567	674	1570	1582	1618
CBRIG.I.g2517.t1__CNIGO.Cnig_chr_I.g1988.t1	174	165	202	437	425	438
CBRIG.I.g2526.t1__CNIGO.Cnig_chr_I.g2100.t1	162	223	148	220	227	198
CBRIG.I.g2529.t1__CNIGO.Cnig_chr_I.g2102.t1	1239	1337	1271	300	307	307
CBRIG.I.g2547.t2__CNIGO.Cnig_chr_I.g2120.t2	212	209	224	231	208	250
CBRIG.I.g2549.t2__CNIGO.Cnig_chr_I.g2123.t2	482	374	405	923	819	756
CBRIG.I.g2552.t2__CNIGO.Cnig_chr_I.g2128.t1	2461	2441	2600	1241	1425	1375
CBRIG.I.g2560.t1__CNIGO.Cnig_chr_I.g2135.t1	682	613	553	208	180	194
CBRIG.I.g2619.t1__CNIGO.Cnig_chr_I.g2205.t1	742	819	693	9002	8949	9146
CBRIG.I.g2640.t1__CNIGO.Cnig_chr_I.g2225.t2	592	500	540	6205	6424	6341
CBRIG.I.g2651.t1__CNIGO.Cnig_chr_I.g2235.t1	408	405	380	971	1222	1117
CBRIG.I.g2655.t1__CNIGO.Cnig_chr_I.g2248.t1	638	628	629	406	396	513
CBRIG.I.g2683.t1__CNIGO.Cnig_chr_I.g2275.t1	250	210	244	716	813	720
CBRIG.I.g2697.t1__CNIGO.Cnig_chr_I.g2287.t1	401	455	425	314	312	333
CBRIG.I.g2725.t1__CNIGO.Cnig_chr_I.g2319.t1	108	192	163	171	175	146
CBRIG.I.g2735.t1__CNIGO.Cnig_chr_I.g2327.t1	830	798	893	429	408	535
CBRIG.I.g2758.t1__CNIGO.Cnig_chr_I.g2361.t1	383	402	367	373	431	382
CBRIG.I.g2782.t1__CNIGO.Cnig_chr_I.g2394.t2	424	394	438	933	1026	1059
CBRIG.I.g2795.t3__CNIGO.Cnig_chr_I.g2411.t2	2663	2704	2683	506	442	458
CBRIG.I.g2830.t1__CNIGO.Cnig_chr_I.g2443.t1	2224	2189	2207	640	669	641
CBRIG.I.g2847.t1__CNIGO.Cnig_chr_I.g2464.t1	535	617	581	618	527	616
CBRIG.I.g2850.t1__CNIGO.Cnig_chr_I.g2467.t1	501	566	483	936	1081	989
CBRIG.I.g2874.t1__CNIGO.Cnig_chr_I.g2498.t1	798	790	683	127	88	60
CBRIG.I.g2910.t1__CNIGO.Cnig_chr_I.g2525.t2	255	218	180	117	151	114
CBRIG.I.g2924.t1__CNIGO.Cnig_chr_I.g2539.t1	2090	1803	1889	7719	7539	7635
CBRIG.I.g2950.t1__CNIGO.Cnig_chr_I.g2578.t1	1235	1244	1150	394	352	351
CBRIG.I.g2968.t1__CNIGO.Cnig_chr_I.g2595.t1	97	103	142	728	572	684
CBRIG.I.g2975.t1__CNIGO.Cnig_chr_I.g2601.t1	692	727	627	1800	2016	1970
CBRIG.I.g3000.t1__CNIGO.Cnig_chr_I.g2632.t1	741	793	745	1840	1748	1920
CBRIG.I.g3003.t1__CNIGO.Cnig_chr_I.g2635.t3	308	226	301	341	327	415
CBRIG.I.g3031.t1__CNIGO.Cnig_chr_I.g2664.t1	483	381	343	363	235	314
CBRIG.I.g3119.t1__CNIGO.Cnig_chr_I.g2776.t1	468	535	495	1393	1153	1418
CBRIG.I.g3152.t1__CNIGO.Cnig_chr_I.g2813.t1	897	1035	935	175	241	179
CBRIG.I.g3171.t1__CNIGO.Cnig_chr_I.g2897.t1	692	467	604	111	105	118
CBRIG.I.g3204.t1__CNIGO.Cnig_chr_I.g2954.t1	454	450	467	281	244	192
CBRIG.I.g3213.t1__CNIGO.Cnig_chr_I.g2964.t1	650	641	583	315	357	382
CBRIG.I.g3222.t1__CNIGO.Cnig_chr_I.g2975.t1	82	147	129	125	139	111
CBRIG.I.g3263.t2__CNIGO.Cnig_chr_I.g3034.t1	960	1060	870	7869	7797	7886
CBRIG.I.g3279.t1__CNIGO.Cnig_chr_I.g3060.t2	147	208	156	356	358	371
CBRIG.I.g3280.t1__CNIGO.Cnig_chr_I.g3061.t2	1048	1111	1076	2314	2226	2190
CBRIG.I.g3459.t1__CNIGO.Cnig_chr_I.g3225.t1	525	397	405	160	178	142
CBRIG.I.g3476.t1__CNIGO.Cnig_chr_I.g3202.t1	139	168	180	1009	1096	1030
CBRIG.I.g3527.t2__CNIGO.Cnig_chr_I.g3435.t1	810	1005	1000	5705	5727	5654
CBRIG.I.g3532.t2__CNIGO.Cnig_chr_I.g3442.t1	488	445	442	460	477	532
CBRIG.I.g3581.t2__CNIGO.Cnig_chr_I.g3511.t1	134	123	95	444	475	546
CBRIG.I.g3612.t5__CNIGO.Cnig_chr_I.g3562.t3	9079	9073	9369	1265	1428	1339
CBRIG.I.g3663.t1__CNIGO.Cnig_chr_I.g3607.t1	729	734	867	289	224	242
CBRIG.I.g3685.t1__CNIGO.Cnig_chr_I.g3646.t1	319	336	313	272	362	325
CBRIG.I.g3715.t2__CNIGO.Cnig_chr_I.g3733.t3	585	634	521	2423	2283	2306
CBRIG.I.g3773.t1__CNIGO.Cnig_chr_I.g3793.t2	1832	1862	1871	671	592	653
CBRIG.I.g3779.t1__CNIGO.Cnig_chr_I.g3798.t1	347	414	395	420	339	324
CBRIG.I.g3892.t1__CNIGO.Cnig_chr_I.g3948.t1	717	768	773	101	77	105
CBRIG.I.g3901.t1__CNIGO.Cnig_chr_I.g3940.t1	714	763	607	355	326	360
CBRIG.I.g3903.t1__CNIGO.Cnig_chr_I.g3938.t1	685	767	591	1142	1301	1362
CBRIG.I.g3915.t1__CNIGO.Cnig_chr_I.g3926.t1	1096	1036	1124	956	1049	1140
CBRIG.I.g3919.t1__CNIGO.Cnig_chr_I.g3921.t1	986	1083	1010	245	234	270
CBRIG.I.g3920.t1__CNIGO.Cnig_chr_I.g3920.t1	141	142	166	429	384	372
CBRIG.I.g730.t1__CNIGO.Cnig_chr_I.g100.t1	169	216	160	588	528	525
CBRIG.I.g779.t1__CNIGO.Cnig_chr_I.g222.t1	490	474	453	4454	4628	4509
CBRIG.I.g801.t1__CNIGO.Cnig_chr_I.g250.t1	568	509	524	629	576	539
CBRIG.I.g821.t1__CNIGO.Cnig_chr_I.g294.t2	1270	1304	1382	2632	2662	2665
CBRIG.I.g829.t1__CNIGO.Cnig_chr_I.g302.t2	372	442	409	1345	1399	1303
CBRIG.I.g833.t2__CNIGO.Cnig_chr_I.g300.t2	1177	1303	1202	3968	3776	3745
CBRIG.I.g841.t2__CNIGO.Cnig_chr_I.g309.t1	57	107	107	370	426	345
CBRIG.I.g885.t1__CNIGO.Cnig_chr_I.g370.t1	586	593	645	205	198	209
CBRIG.I.g886.t1__CNIGO.Cnig_chr_I.g371.t1	639	590	491	1231	1044	1161
CBRIG.I.g894.t1__CNIGO.Cnig_chr_I.g379.t2	260	263	283	1537	1574	1600
CBRIG.I.g898.t1__CNIGO.Cnig_chr_I.g383.t1	199	261	291	209	254	205
CBRIG.I.g919.t3__CNIGO.Cnig_chr_I.g408.t1	2270	2348	2438	347	451	346
CBRIG.I.g942.t1__CNIGO.Cnig_chr_I.g430.t1	2857	2783	2897	1037	902	799
CBRIG.I.g943.t1__CNIGO.Cnig_chr_I.g429.t1	333	413	332	125	144	127
CBRIG.I.g944.t1__CNIGO.Cnig_chr_I.g428.t2	1017	1075	1000	450	528	490
CBRIG.I.g975.t1__CNIGO.Cnig_chr_I.g463.t2	1968	1915	1935	999	1045	942
CBRIG.II.g3927.t1__CNIGO.Cnig_chr_II.g3973.t1	4457	4216	4360	408	401	516
CBRIG.II.g3934.t1__CNIGO.Cnig_chr_II.g3981.t1	2453	2564	2627	436	446	467
CBRIG.II.g3961.t1__CNIGO.Cnig_chr_II.g4012.t1	1320	1108	1186	656	561	713
CBRIG.II.g3980.t1__CNIGO.Cnig_chr_II.g4031.t1	172	175	163	280	306	266
CBRIG.II.g3989.t1__CNIGO.Cnig_chr_II.g4041.t1	435	454	532	1373	1498	1387
CBRIG.II.g4041.t1__CNIGO.Cnig_chr_II.g4120.t1	579	541	576	3481	3697	3436
CBRIG.II.g4104.t1__CNIGO.Cnig_chr_II.g4192.t2	2068	2029	1951	505	554	539
CBRIG.II.g4126.t1__CNIGO.Cnig_chr_II.g4222.t2	708	702	741	584	648	532
CBRIG.II.g4142.t1__CNIGO.Cnig_chr_II.g4205.t1	861	798	912	313	240	291
CBRIG.II.g4167.t2__CNIGO.Cnig_chr_II.g4238.t3	665	707	742	1510	1357	1417
CBRIG.II.g4218.t1__CNIGO.Cnig_chr_II.g7837.t1	241	204	227	98	74	63
CBRIG.II.g4249.t1__CNIGO.Cnig_chr_II.g4388.t3	266	281	326	850	953	908
CBRIG.II.g4252.t1__CNIGO.Cnig_chr_II.g4392.t1	723	919	723	454	363	377
CBRIG.II.g4263.t1__CNIGO.Cnig_chr_II.g4400.t1	947	894	879	413	425	406
CBRIG.II.g4298.t1__CNIGO.Cnig_chr_II.g4465.t2	2335	2213	2297	1357	1285	1228
CBRIG.II.g4312.t1__CNIGO.Cnig_chr_II.g4485.t1	318	277	291	465	467	524
CBRIG.II.g4339.t1__CNIGO.Cnig_chr_II.g4523.t2	109	104	87	846	909	871
CBRIG.II.g4375.t1__CNIGO.Cnig_chr_II.g4562.t1	596	562	566	681	612	622
CBRIG.II.g4383.t1__CNIGO.Cnig_chr_II.g4568.t1	730	841	840	114	110	108
CBRIG.II.g4385.t2__CNIGO.Cnig_chr_II.g4570.t1	1714	1717	1743	254	229	261
CBRIG.II.g4386.t1__CNIGO.Cnig_chr_II.g4571.t1	406	517	487	387	447	345
CBRIG.II.g4400.t1__CNIGO.Cnig_chr_II.g4586.t1	872	801	832	169	212	162
CBRIG.II.g4412.t1__CNIGO.Cnig_chr_II.g4602.t1	714	664	815	697	634	690
CBRIG.II.g4426.t1__CNIGO.Cnig_chr_II.g4616.t1	300	260	237	474	508	480
CBRIG.II.g4439.t1__CNIGO.Cnig_chr_II.g4662.t2	716	616	701	2281	2305	2276
CBRIG.II.g4456.t1__CNIGO.Cnig_chr_II.g4644.t1	594	615	566	2182	2187	2203
CBRIG.II.g4459.t1__CNIGO.Cnig_chr_II.g4666.t2	1688	1760	1738	381	393	379
CBRIG.II.g4477.t1__CNIGO.Cnig_chr_II.g4688.t1	1124	1069	1106	240	233	208
CBRIG.II.g4502.t1__CNIGO.Cnig_chr_II.g4713.t1	421	469	587	1036	904	1013
CBRIG.II.g4516.t1__CNIGO.Cnig_chr_II.g4735.t1	1596	1446	1431	803	604	624
CBRIG.II.g4578.t1__CNIGO.Cnig_chr_II.g4808.t2	666	649	633	1058	1020	992
CBRIG.II.g4650.t1__CNIGO.Cnig_chr_II.g5039.t1	288	252	282	273	251	250
CBRIG.II.g4655.t2__CNIGO.Cnig_chr_II.g5030.t1	5888	5546	5614	760	710	740
CBRIG.II.g4665.t1__CNIGO.Cnig_chr_II.g5016.t1	3380	3706	3541	347	404	474
CBRIG.II.g4674.t1__CNIGO.Cnig_chr_II.g5009.t1	3421	3415	3556	739	638	658
CBRIG.II.g4703.t1__CNIGO.Cnig_chr_II.g4962.t1	1148	1047	1026	3258	3042	3198
CBRIG.II.g4714.t1__CNIGO.Cnig_chr_II.g4953.t1	638	777	694	3135	3050	3215
CBRIG.II.g4757.t1__CNIGO.Cnig_chr_II.g5079.t1	394	480	455	1533	1534	1409
CBRIG.II.g4793.t1__CNIGO.Cnig_chr_II.g5128.t1	477	454	551	654	553	637
CBRIG.II.g4807.t1__CNIGO.Cnig_chr_II.g5147.t1	459	519	419	420	410	445
CBRIG.II.g4811.t1__CNIGO.Cnig_chr_II.g5152.t1	2841	2797	2799	413	431	401
CBRIG.II.g4836.t1__CNIGO.Cnig_chr_II.g5176.t1	2493	2548	2489	2678	2581	2509
CBRIG.II.g4879.t1__CNIGO.Cnig_chr_II.g5216.t1	1227	1101	1223	650	501	555
CBRIG.II.g4886.t2__CNIGO.Cnig_chr_II.g5224.t1	208	145	176	705	680	861
CBRIG.II.g4901.t1__CNIGO.Cnig_chr_II.g5240.t1	898	1072	892	1893	2010	1909
CBRIG.II.g4930.t1__CNIGO.Cnig_chr_II.g5267.t1	503	478	459	572	466	470
CBRIG.II.g4947.t2__CNIGO.Cnig_chr_II.g5288.t1	847	719	871	762	850	811
CBRIG.II.g4958.t1__CNIGO.Cnig_chr_II.g5299.t1	376	369	415	1561	1475	1528
CBRIG.II.g4979.t1__CNIGO.Cnig_chr_II.g5314.t1	461	391	413	156	134	146
CBRIG.II.g4992.t1__CNIGO.Cnig_chr_II.g5327.t1	114	100	85	460	592	543
CBRIG.II.g5005.t1__CNIGO.Cnig_chr_II.g5342.t1	478	471	445	3360	3444	3408
CBRIG.II.g5016.t1__CNIGO.Cnig_chr_II.g5353.t1	321	230	247	322	356	258
CBRIG.II.g5020.t1__CNIGO.Cnig_chr_II.g5356.t1	6244	5970	6360	1524	1577	1411
CBRIG.II.g5046.t1__CNIGO.Cnig_chr_II.g5384.t1	336	268	306	636	633	625
CBRIG.II.g5054.t1__CNIGO.Cnig_chr_II.g5394.t1	366	391	487	775	784	848
CBRIG.II.g5057.t1__CNIGO.Cnig_chr_II.g5398.t1	285	317	328	75	96	98
CBRIG.II.g5066.t1__CNIGO.Cnig_chr_II.g5407.t2	685	629	674	309	283	341
CBRIG.II.g5093.t1__CNIGO.Cnig_chr_II.g5434.t1	110	96	112	374	368	343
CBRIG.II.g5098.t1__CNIGO.Cnig_chr_II.g5438.t3	3872	3808	3844	890	811	811
CBRIG.II.g5124.t3__CNIGO.Cnig_chr_II.g5457.t2	438	455	389	1271	1162	1257
CBRIG.II.g5133.t2__CNIGO.Cnig_chr_II.g5467.t1	1927	1937	1874	628	658	591
CBRIG.II.g5149.t1__CNIGO.Cnig_chr_II.g5483.t1	70	126	79	440	417	388
CBRIG.II.g5155.t1__CNIGO.Cnig_chr_II.g5488.t1	68	63	71	664	677	693
CBRIG.II.g5158.t1__CNIGO.Cnig_chr_II.g5492.t1	140	126	128	518	536	602
CBRIG.II.g5168.t1__CNIGO.Cnig_chr_II.g5502.t1	285	228	237	537	548	430
CBRIG.II.g5201.t2__CNIGO.Cnig_chr_II.g5532.t1	693	691	637	256	332	356
CBRIG.II.g5205.t1__CNIGO.Cnig_chr_II.g5539.t1	724	711	599	755	621	586
CBRIG.II.g5212.t2__CNIGO.Cnig_chr_II.g5547.t2	11079	10812	11029	1596	1583	1584
CBRIG.II.g5288.t3__CNIGO.Cnig_chr_II.g5630.t3	432	482	520	1079	1207	1068
CBRIG.II.g5299.t1__CNIGO.Cnig_chr_II.g5640.t1	708	724	603	4085	3972	3806
CBRIG.II.g5327.t1__CNIGO.Cnig_chr_II.g5663.t1	137	234	223	330	370	373
CBRIG.II.g5330.t1__CNIGO.Cnig_chr_II.g5666.t1	505	488	594	313	244	204
CBRIG.II.g5331.t3__CNIGO.Cnig_chr_II.g5667.t2	415	355	300	1153	1164	1155
CBRIG.II.g5355.t1__CNIGO.Cnig_chr_II.g5694.t1	2015	2130	1818	515	477	514
CBRIG.II.g5374.t1__CNIGO.Cnig_chr_II.g5717.t1	205	261	249	2951	3268	3070
CBRIG.II.g5433.t1__CNIGO.Cnig_chr_II.g5789.t1	438	443	465	184	234	177
CBRIG.II.g5476.t1__CNIGO.Cnig_chr_II.g5832.t1	1802	1679	1860	5391	5269	5575
CBRIG.II.g5479.t2__CNIGO.Cnig_chr_II.g5836.t1	733	892	778	266	224	231
CBRIG.II.g5552.t1__CNIGO.Cnig_chr_II.g5909.t1	796	665	640	6108	6178	6252
CBRIG.II.g5560.t1__CNIGO.Cnig_chr_II.g5918.t1	576	573	637	1605	1745	1664
CBRIG.II.g5586.t1__CNIGO.Cnig_chr_II.g5741.t3	838	723	795	134	176	157
CBRIG.II.g5587.t1__CNIGO.Cnig_chr_II.g5947.t1	723	692	691	1415	1527	1544
CBRIG.II.g5635.t1__CNIGO.Cnig_chr_II.g5995.t1	1629	1496	1744	950	885	1000
CBRIG.II.g5638.t1__CNIGO.Cnig_chr_II.g5998.t1	126	96	134	453	512	428
CBRIG.II.g5639.t1__CNIGO.Cnig_chr_II.g5999.t2	288	280	348	283	319	246
CBRIG.II.g5674.t1__CNIGO.Cnig_chr_II.g6035.t2	735	986	794	386	483	448
CBRIG.II.g5695.t2__CNIGO.Cnig_chr_II.g6059.t1	705	774	691	224	226	210
CBRIG.II.g5715.t3__CNIGO.Cnig_chr_II.g6077.t2	994	837	1050	2179	2253	2220
CBRIG.II.g5716.t1__CNIGO.Cnig_chr_II.g6079.t2	250	314	283	371	406	335
CBRIG.II.g5729.t1__CNIGO.Cnig_chr_II.g6095.t1	344	315	324	894	900	1010
CBRIG.II.g5745.t1__CNIGO.Cnig_chr_II.g6110.t1	1000	989	1035	380	312	327
CBRIG.II.g5781.t1__CNIGO.Cnig_chr_II.g6154.t1	334	282	325	2166	1868	1909
CBRIG.II.g5836.t1__CNIGO.Cnig_chr_II.g6217.t1	398	465	450	493	343	436
CBRIG.II.g5842.t1__CNIGO.Cnig_chr_II.g6223.t1	1197	1123	1110	1207	1271	1216
CBRIG.II.g5867.t1__CNIGO.Cnig_chr_II.g6251.t4	350	480	408	406	422	522
CBRIG.II.g5873.t1__CNIGO.Cnig_chr_II.g6257.t1	4299	4213	4175	561	460	493
CBRIG.II.g5874.t2__CNIGO.Cnig_chr_II.g6258.t2	365	375	377	1202	1270	1185
CBRIG.II.g5882.t1__CNIGO.Cnig_chr_II.g6266.t1	1142	1289	1095	426	390	352
CBRIG.II.g5924.t2__CNIGO.Cnig_chr_II.g6308.t1	250	255	179	218	234	202
CBRIG.II.g5991.t2__CNIGO.Cnig_chr_II.g6374.t1	272	352	375	176	189	199
CBRIG.II.g6008.t1__CNIGO.Cnig_chr_II.g6386.t2	170	224	197	389	396	434
CBRIG.II.g6022.t1__CNIGO.Cnig_chr_II.g6402.t1	386	405	378	1380	1386	1387
CBRIG.II.g6036.t1__CNIGO.Cnig_chr_II.g6418.t1	314	405	439	107	129	123
CBRIG.II.g6040.t1__CNIGO.Cnig_chr_II.g6422.t1	335	274	347	1509	1435	1567
CBRIG.II.g6044.t1__CNIGO.Cnig_chr_II.g6427.t2	388	409	432	1301	1234	1158
CBRIG.II.g6067.t1__CNIGO.Cnig_chr_II.g6453.t3	2531	2691	2542	831	815	799
CBRIG.II.g6090.t1__CNIGO.Cnig_chr_II.g6472.t1	145	141	134	818	888	739
CBRIG.II.g6092.t1__CNIGO.Cnig_chr_II.g6474.t1	1095	1066	1110	1196	1098	1057
CBRIG.II.g6102.t1__CNIGO.Cnig_chr_II.g6488.t2	784	697	755	2263	2393	2274
CBRIG.II.g6106.t1__CNIGO.Cnig_chr_II.g6491.t1	141	183	241	152	163	208
CBRIG.II.g6128.t1__CNIGO.Cnig_chr_II.g6511.t1	340	352	358	560	636	629
CBRIG.II.g6166.t2__CNIGO.Cnig_chr_II.g6571.t1	22037	22139	22612	1322	1376	1468
CBRIG.II.g6167.t1__CNIGO.Cnig_chr_II.g6572.t1	317	294	368	97	143	151
CBRIG.II.g6168.t1__CNIGO.Cnig_chr_II.g6573.t1	276	240	238	648	690	634
CBRIG.II.g6184.t2__CNIGO.Cnig_chr_II.g6592.t1	1623	1539	1590	14701	14332	14355
CBRIG.II.g6195.t1__CNIGO.Cnig_chr_II.g6605.t1	275	197	303	757	839	688
CBRIG.II.g6257.t1__CNIGO.Cnig_chr_II.g6682.t1	815	708	746	151	208	183
CBRIG.II.g6276.t1__CNIGO.Cnig_chr_II.g6702.t1	454	441	531	1294	1413	1240
CBRIG.II.g6277.t1__CNIGO.Cnig_chr_II.g6703.t1	1007	1005	1046	235	169	191
CBRIG.II.g6298.t1__CNIGO.Cnig_chr_II.g6722.t1	2139	2206	2155	230	157	219
CBRIG.II.g6305.t1__CNIGO.Cnig_chr_II.g6730.t1	467	501	368	303	300	256
CBRIG.II.g6319.t1__CNIGO.Cnig_chr_II.g6742.t1	677	657	595	239	174	144
CBRIG.II.g6327.t1__CNIGO.Cnig_chr_II.g6748.t1	632	604	539	277	299	309
CBRIG.II.g6358.t1__CNIGO.Cnig_chr_II.g6822.t1	699	645	680	177	195	136
CBRIG.II.g6410.t1__CNIGO.Cnig_chr_II.g6886.t1	491	518	455	293	287	229
CBRIG.II.g6424.t1__CNIGO.Cnig_chr_II.g6956.t1	167	144	197	162	181	209
CBRIG.II.g6453.t1__CNIGO.Cnig_chr_II.g6757.t1	421	407	447	513	403	471
CBRIG.II.g6463.t3__CNIGO.Cnig_chr_II.g6768.t1	368	485	425	954	982	1056
CBRIG.II.g6547.t1__CNIGO.Cnig_chr_II.g6959.t2	136	75	136	950	769	852
CBRIG.II.g6558.t1__CNIGO.Cnig_chr_II.g6971.t3	142	133	158	1617	1693	1484
CBRIG.II.g6561.t1__CNIGO.Cnig_chr_II.g6981.t1	731	666	805	170	131	196
