gene_id	HF1_1_Cbr	HF1_1_Cni	HF1_2_Cbr	HF_2_Cni	HF1_3_Cbr	HF1_3_Cni
CBRIG.I.g3171.t1__CNIGO.Cnig_chr_I.g2897.t1	82	189	52	170	126	191
CBRIG.I.g3204.t1__CNIGO.Cnig_chr_I.g2954.t1	378	329	328	199	276	196
CBRIG.I.g3213.t1__CNIGO.Cnig_chr_I.g2964.t1	313	359	254	307	270	327
CBRIG.I.g3222.t1__CNIGO.Cnig_chr_I.g2975.t1	375	219	298	105	304	123
CBRIG.I.g3263.t2__CNIGO.Cnig_chr_I.g3034.t1	781	2810	833	2934	740	2718
CBRIG.I.g3279.t1__CNIGO.Cnig_chr_I.g3060.t2	697	114	664	183	624	140
CBRIG.I.g3280.t1__CNIGO.Cnig_chr_I.g3061.t2	1722	1153	1782	1210	1774	1229
CBRIG.I.g3459.t1__CNIGO.Cnig_chr_I.g3225.t1	86	78	64	63	81	75
CBRIG.I.g3476.t1__CNIGO.Cnig_chr_I.g3202.t1	180	239	114	231	95	208
CBRIG.I.g3527.t2__CNIGO.Cnig_chr_I.g3435.t1	1910	811	1756	841	1838	918
CBRIG.I.g3532.t2__CNIGO.Cnig_chr_I.g3442.t1	882	401	812	372	861	532
CBRIG.I.g3581.t2__CNIGO.Cnig_chr_I.g3511.t1	111	130	94	70	88	110
CBRIG.I.g3612.t5__CNIGO.Cnig_chr_I.g3562.t3	2058	1132	2050	1140	1990	1105
CBRIG.I.g3663.t1__CNIGO.Cnig_chr_I.g3607.t1	222	228	189	259	186	205
CBRIG.I.g3685.t1__CNIGO.Cnig_chr_I.g3646.t1	108	218	150	268	145	233
CBRIG.I.g3715.t2__CNIGO.Cnig_chr_I.g3733.t3	489	509	672	521	553	487
CBRIG.I.g3773.t1__CNIGO.Cnig_chr_I.g3793.t2	676	959	608	768	498	838
CBRIG.I.g3779.t1__CNIGO.Cnig_chr_I.g3798.t1	209	292	165	298	196	353
CBRIG.I.g3892.t1__CNIGO.Cnig_chr_I.g3948.t1	124	162	182	190	182	176
CBRIG.I.g3901.t1__CNIGO.Cnig_chr_I.g3940.t1	501	406	484	303	496	311
CBRIG.I.g3903.t1__CNIGO.Cnig_chr_I.g3938.t1	974	649	986	528	1040	765
CBRIG.I.g3915.t1__CNIGO.Cnig_chr_I.g3926.t1	1182	2200	1183	2214	1092	2242
CBRIG.I.g3919.t1__CNIGO.Cnig_chr_I.g3921.t1	293	547	311	554	302	545
CBRIG.I.g3920.t1__CNIGO.Cnig_chr_I.g3920.t1	295	118	266	196	276	163
CBRIG.I.g730.t1__CNIGO.Cnig_chr_I.g100.t1	130	107	158	206	168	166
CBRIG.I.g779.t1__CNIGO.Cnig_chr_I.g222.t1	404	639	442	679	442	686
CBRIG.I.g801.t1__CNIGO.Cnig_chr_I.g250.t1	1077	480	1054	522	940	532
CBRIG.I.g821.t1__CNIGO.Cnig_chr_I.g294.t2	1414	2681	1263	2600	1354	2717
CBRIG.I.g829.t1__CNIGO.Cnig_chr_I.g302.t2	351	865	285	822	281	801
CBRIG.I.g833.t2__CNIGO.Cnig_chr_I.g300.t2	827	245	889	323	1000	340
CBRIG.I.g841.t2__CNIGO.Cnig_chr_I.g309.t1	69	73	40	30	81	46
CBRIG.I.g885.t1__CNIGO.Cnig_chr_I.g370.t1	767	191	678	194	781	230
CBRIG.I.g886.t1__CNIGO.Cnig_chr_I.g371.t1	753	465	858	474	803	509
CBRIG.I.g894.t1__CNIGO.Cnig_chr_I.g379.t2	218	359	164	368	253	461
CBRIG.I.g898.t1__CNIGO.Cnig_chr_I.g383.t1	610	270	638	229	589	263
CBRIG.I.g919.t3__CNIGO.Cnig_chr_I.g408.t1	396	306	496	464	332	279
CBRIG.I.g942.t1__CNIGO.Cnig_chr_I.g430.t1	866	1689	843	1978	874	1826
CBRIG.I.g943.t1__CNIGO.Cnig_chr_I.g429.t1	192	173	94	157	110	200
CBRIG.I.g944.t1__CNIGO.Cnig_chr_I.g428.t2	788	481	829	589	793	481
CBRIG.I.g975.t1__CNIGO.Cnig_chr_I.g463.t2	801	844	962	991	908	949
CBRIG.II.g3927.t1__CNIGO.Cnig_chr_II.g3973.t1	1319	415	1284	355	1240	379
CBRIG.II.g3934.t1__CNIGO.Cnig_chr_II.g3981.t1	1099	397	1111	436	1051	423
CBRIG.II.g3961.t1__CNIGO.Cnig_chr_II.g4012.t1	579	889	693	878	769	944
CBRIG.II.g3980.t1__CNIGO.Cnig_chr_II.g4031.t1	186	500	130	502	191	415
CBRIG.II.g3989.t1__CNIGO.Cnig_chr_II.g4041.t1	795	576	706	506	757	631
CBRIG.II.g4041.t1__CNIGO.Cnig_chr_II.g4120.t1	540	764	449	646	571	803
CBRIG.II.g4104.t1__CNIGO.Cnig_chr_II.g4192.t2	598	403	770	479	702	517
CBRIG.II.g4126.t1__CNIGO.Cnig_chr_II.g4222.t2	1807	325	1796	289	1884	292
CBRIG.II.g4142.t1__CNIGO.Cnig_chr_II.g4205.t1	257	220	276	254	296	287
CBRIG.II.g4167.t2__CNIGO.Cnig_chr_II.g4238.t3	963	368	915	394	1004	406
CBRIG.II.g4218.t1__CNIGO.Cnig_chr_II.g7837.t1	190	66	233	45	218	45
CBRIG.II.g4249.t1__CNIGO.Cnig_chr_II.g4388.t3	257	968	196	963	198	929
CBRIG.II.g4252.t1__CNIGO.Cnig_chr_II.g4392.t1	419	758	406	799	365	788
CBRIG.II.g4263.t1__CNIGO.Cnig_chr_II.g4400.t1	390	928	419	841	409	816
CBRIG.II.g4298.t1__CNIGO.Cnig_chr_II.g4465.t2	4325	1094	4425	1118	4400	1145
CBRIG.II.g4312.t1__CNIGO.Cnig_chr_II.g4485.t1	203	468	325	582	231	508
CBRIG.II.g4339.t1__CNIGO.Cnig_chr_II.g4523.t2	132	340	127	361	115	318
CBRIG.II.g4375.t1__CNIGO.Cnig_chr_II.g4562.t1	523	791	493	791	542	808
CBRIG.II.g4383.t1__CNIGO.Cnig_chr_II.g4568.t1	1153	69	1224	72	1222	89
CBRIG.II.g4385.t2__CNIGO.Cnig_chr_II.g4570.t1	353	495	326	490	365	457
CBRIG.II.g4386.t1__CNIGO.Cnig_chr_II.g4571.t1	1161	389	1217	326	1159	411
CBRIG.II.g4400.t1__CNIGO.Cnig_chr_II.g4586.t1	234	219	170	193	251	278
CBRIG.II.g4412.t1__CNIGO.Cnig_chr_II.g4602.t1	1326	628	1402	684	1359	653
CBRIG.II.g4426.t1__CNIGO.Cnig_chr_II.g4616.t1	250	255	175	212	216	215
CBRIG.II.g4439.t1__CNIGO.Cnig_chr_II.g4662.t2	487	706	692	784	607	677
CBRIG.II.g4456.t1__CNIGO.Cnig_chr_II.g4644.t1	502	707	734	748	589	727
CBRIG.II.g4459.t1__CNIGO.Cnig_chr_II.g4666.t2	1518	309	1416	225	1531	281
CBRIG.II.g4477.t1__CNIGO.Cnig_chr_II.g4688.t1	301	139	270	133	268	165
CBRIG.II.g4502.t1__CNIGO.Cnig_chr_II.g4713.t1	1014	451	900	378	965	475
CBRIG.II.g4516.t1__CNIGO.Cnig_chr_II.g4735.t1	733	746	623	669	746	597
CBRIG.II.g4578.t1__CNIGO.Cnig_chr_II.g4808.t2	1218	430	1146	406	1230	399
CBRIG.II.g4650.t1__CNIGO.Cnig_chr_II.g5039.t1	336	526	312	566	283	588
CBRIG.II.g4655.t2__CNIGO.Cnig_chr_II.g5030.t1	725	1398	709	1388	700	1441
CBRIG.II.g4665.t1__CNIGO.Cnig_chr_II.g5016.t1	967	369	1005	275	958	381
CBRIG.II.g4674.t1__CNIGO.Cnig_chr_II.g5009.t1	1253	574	1479	629	1201	596
CBRIG.II.g4703.t1__CNIGO.Cnig_chr_II.g4962.t1	1997	998	1977	898	1929	924
CBRIG.II.g4714.t1__CNIGO.Cnig_chr_II.g4953.t1	650	1347	575	1198	611	1244
CBRIG.II.g4757.t1__CNIGO.Cnig_chr_II.g5079.t1	396	660	328	622	476	708
CBRIG.II.g4793.t1__CNIGO.Cnig_chr_II.g5128.t1	410	155	296	84	339	114
CBRIG.II.g4807.t1__CNIGO.Cnig_chr_II.g5147.t1	358	345	400	348	366	368
CBRIG.II.g4811.t1__CNIGO.Cnig_chr_II.g5152.t1	1446	234	1644	370	1481	258
CBRIG.II.g4836.t1__CNIGO.Cnig_chr_II.g5176.t1	7652	449	7882	449	7640	541
CBRIG.II.g4879.t1__CNIGO.Cnig_chr_II.g5216.t1	749	506	982	702	839	768
CBRIG.II.g4886.t2__CNIGO.Cnig_chr_II.g5224.t1	207	373	231	448	182	390
CBRIG.II.g4901.t1__CNIGO.Cnig_chr_II.g5240.t1	959	2311	751	2218	943	2522
CBRIG.II.g4930.t1__CNIGO.Cnig_chr_II.g5267.t1	1604	376	1784	469	1772	478
CBRIG.II.g4947.t2__CNIGO.Cnig_chr_II.g5288.t1	1208	756	1079	748	1136	744
CBRIG.II.g4958.t1__CNIGO.Cnig_chr_II.g5299.t1	538	335	509	281	512	293
CBRIG.II.g4979.t1__CNIGO.Cnig_chr_II.g5314.t1	116	204	168	178	146	219
CBRIG.II.g4992.t1__CNIGO.Cnig_chr_II.g5327.t1	66	151	120	129	137	176
CBRIG.II.g5005.t1__CNIGO.Cnig_chr_II.g5342.t1	351	1065	364	1085	251	937
CBRIG.II.g5016.t1__CNIGO.Cnig_chr_II.g5353.t1	674	220	765	293	703	227
CBRIG.II.g5020.t1__CNIGO.Cnig_chr_II.g5356.t1	2228	1460	2292	1469	2125	1320
CBRIG.II.g5046.t1__CNIGO.Cnig_chr_II.g5384.t1	295	324	274	266	271	254
CBRIG.II.g5054.t1__CNIGO.Cnig_chr_II.g5394.t1	532	390	591	446	565	411
CBRIG.II.g5057.t1__CNIGO.Cnig_chr_II.g5398.t1	103	47	87	64	148	80
CBRIG.II.g5066.t1__CNIGO.Cnig_chr_II.g5407.t2	231	261	298	236	341	332
CBRIG.II.g5093.t1__CNIGO.Cnig_chr_II.g5434.t1	89	88	83	50	120	120
CBRIG.II.g5098.t1__CNIGO.Cnig_chr_II.g5438.t3	776	703	748	784	620	679
CBRIG.II.g5124.t3__CNIGO.Cnig_chr_II.g5457.t2	350	496	463	672	407	495
CBRIG.II.g5133.t2__CNIGO.Cnig_chr_II.g5467.t1	559	566	551	560	624	555
CBRIG.II.g5149.t1__CNIGO.Cnig_chr_II.g5483.t1	77	122	76	154	134	186
CBRIG.II.g5155.t1__CNIGO.Cnig_chr_II.g5488.t1	76	87	70	93	72	108
CBRIG.II.g5158.t1__CNIGO.Cnig_chr_II.g5492.t1	199	88	226	184	167	116
CBRIG.II.g5168.t1__CNIGO.Cnig_chr_II.g5502.t1	321	195	278	145	336	104
CBRIG.II.g5201.t2__CNIGO.Cnig_chr_II.g5532.t1	288	316	306	284	280	306
CBRIG.II.g5205.t1__CNIGO.Cnig_chr_II.g5539.t1	547	602	662	664	503	579
CBRIG.II.g5212.t2__CNIGO.Cnig_chr_II.g5547.t2	4005	1538	3899	1572	3828	1358
CBRIG.II.g5288.t3__CNIGO.Cnig_chr_II.g5630.t3	906	360	980	376	838	364
CBRIG.II.g5299.t1__CNIGO.Cnig_chr_II.g5640.t1	2017	692	1980	649	1858	607
CBRIG.II.g5327.t1__CNIGO.Cnig_chr_II.g5663.t1	185	395	195	376	189	469
CBRIG.II.g5330.t1__CNIGO.Cnig_chr_II.g5666.t1	319	154	367	238	464	292
CBRIG.II.g5331.t3__CNIGO.Cnig_chr_II.g5667.t2	223	453	249	439	275	349
CBRIG.II.g5355.t1__CNIGO.Cnig_chr_II.g5694.t1	402	856	494	1081	417	914
CBRIG.II.g5374.t1__CNIGO.Cnig_chr_II.g5717.t1	154	877	164	986	136	961
CBRIG.II.g5433.t1__CNIGO.Cnig_chr_II.g5789.t1	282	579	240	537	281	609
CBRIG.II.g5476.t1__CNIGO.Cnig_chr_II.g5832.t1	1658	3603	1769	3535	1779	3643
CBRIG.II.g5479.t2__CNIGO.Cnig_chr_II.g5836.t1	360	163	288	200	340	197
CBRIG.II.g5552.t1__CNIGO.Cnig_chr_II.g5909.t1	1118	729	933	633	1126	773
CBRIG.II.g5560.t1__CNIGO.Cnig_chr_II.g5918.t1	869	2018	673	1723	580	1841
CBRIG.II.g5586.t1__CNIGO.Cnig_chr_II.g5741.t3	69	192	61	102	44	148
CBRIG.II.g5587.t1__CNIGO.Cnig_chr_II.g5947.t1	597	1104	673	1074	711	1075
CBRIG.II.g5635.t1__CNIGO.Cnig_chr_II.g5995.t1	899	2261	821	2283	748	2180
CBRIG.II.g5638.t1__CNIGO.Cnig_chr_II.g5998.t1	162	185	120	168	194	233
CBRIG.II.g5639.t1__CNIGO.Cnig_chr_II.g5999.t2	998	253	914	260	848	228
CBRIG.II.g5674.t1__CNIGO.Cnig_chr_II.g6035.t2	437	1647	423	1586	303	1774
CBRIG.II.g5695.t2__CNIGO.Cnig_chr_II.g6059.t1	510	165	450	205	479	218
CBRIG.II.g5715.t3__CNIGO.Cnig_chr_II.g6077.t2	2768	303	2886	352	2898	379
CBRIG.II.g5716.t1__CNIGO.Cnig_chr_II.g6079.t2	1439	301	1406	360	1290	296
CBRIG.II.g5729.t1__CNIGO.Cnig_chr_II.g6095.t1	609	428	482	332	480	320
CBRIG.II.g5745.t1__CNIGO.Cnig_chr_II.g6110.t1	325	936	300	998	376	1046
CBRIG.II.g5781.t1__CNIGO.Cnig_chr_II.g6154.t1	471	887	398	868	351	719
CBRIG.II.g5836.t1__CNIGO.Cnig_chr_II.g6217.t1	668	365	669	521	620	340
CBRIG.II.g5842.t1__CNIGO.Cnig_chr_II.g6223.t1	999	977	226	1030	921	1082
CBRIG.II.g5867.t1__CNIGO.Cnig_chr_II.g6251.t4	381	406	359	331	340	406
CBRIG.II.g5873.t1__CNIGO.Cnig_chr_II.g6257.t1	497	2032	547	2025	421	1963
CBRIG.II.g5874.t2__CNIGO.Cnig_chr_II.g6258.t2	425	407	437	381	473	424
CBRIG.II.g5882.t1__CNIGO.Cnig_chr_II.g6266.t1	555	308	563	421	602	370
CBRIG.II.g5924.t2__CNIGO.Cnig_chr_II.g6308.t1	143	206	218	178	194	185
CBRIG.II.g5991.t2__CNIGO.Cnig_chr_II.g6374.t1	536	127	607	136	538	132
CBRIG.II.g6008.t1__CNIGO.Cnig_chr_II.g6386.t2	183	807	296	905	172	817
CBRIG.II.g6022.t1__CNIGO.Cnig_chr_II.g6402.t1	388	554	309	509	404	522
CBRIG.II.g6036.t1__CNIGO.Cnig_chr_II.g6418.t1	88	95	124	129	112	98
CBRIG.II.g6040.t1__CNIGO.Cnig_chr_II.g6422.t1	320	601	264	555	328	629
CBRIG.II.g6044.t1__CNIGO.Cnig_chr_II.g6427.t2	587	394	653	362	591	388
CBRIG.II.g6067.t1__CNIGO.Cnig_chr_II.g6453.t3	777	570	854	497	818	643
CBRIG.II.g6090.t1__CNIGO.Cnig_chr_II.g6472.t1	238	104	266	90	238	128
CBRIG.II.g6092.t1__CNIGO.Cnig_chr_II.g6474.t1	2132	1109	2168	1201	2401	1264
CBRIG.II.g6102.t1__CNIGO.Cnig_chr_II.g6488.t2	710	853	673	715	730	786
CBRIG.II.g6106.t1__CNIGO.Cnig_chr_II.g6491.t1	185	134	202	210	132	158
CBRIG.II.g6128.t1__CNIGO.Cnig_chr_II.g6511.t1	368	368	326	339	308	306
CBRIG.II.g6166.t2__CNIGO.Cnig_chr_II.g6571.t1	2190	1452	2491	1656	2248	1254
CBRIG.II.g6167.t1__CNIGO.Cnig_chr_II.g6572.t1	120	195	136	214	180	222
CBRIG.II.g6168.t1__CNIGO.Cnig_chr_II.g6573.t1	376	289	352	346	411	277
CBRIG.II.g6184.t2__CNIGO.Cnig_chr_II.g6592.t1	3216	1532	3136	1400	3130	1612
CBRIG.II.g6195.t1__CNIGO.Cnig_chr_II.g6605.t1	510	273	470	297	498	213
CBRIG.II.g6257.t1__CNIGO.Cnig_chr_II.g6682.t1	259	119	261	222	295	195
CBRIG.II.g6276.t1__CNIGO.Cnig_chr_II.g6702.t1	496	894	382	921	449	917
CBRIG.II.g6277.t1__CNIGO.Cnig_chr_II.g6703.t1	363	246	279	142	292	232
CBRIG.II.g6298.t1__CNIGO.Cnig_chr_II.g6722.t1	570	176	661	191	553	173
CBRIG.II.g6305.t1__CNIGO.Cnig_chr_II.g6730.t1	329	315	310	275	338	267
CBRIG.II.g6319.t1__CNIGO.Cnig_chr_II.g6742.t1	138	146	172	130	155	101
CBRIG.II.g6327.t1__CNIGO.Cnig_chr_II.g6748.t1	620	247	622	277	517	218
CBRIG.II.g6358.t1__CNIGO.Cnig_chr_II.g6822.t1	85	128	143	186	118	137
CBRIG.II.g6410.t1__CNIGO.Cnig_chr_II.g6886.t1	114	196	100	162	106	197
CBRIG.II.g6424.t1__CNIGO.Cnig_chr_II.g6956.t1	128	130	114	93	113	104
CBRIG.II.g6453.t1__CNIGO.Cnig_chr_II.g6757.t1	333	1080	340	1041	337	1153
CBRIG.II.g6463.t3__CNIGO.Cnig_chr_II.g6768.t1	404	479	360	532	316	521
CBRIG.II.g6547.t1__CNIGO.Cnig_chr_II.g6959.t2	140	168	156	185	133	123
CBRIG.II.g6558.t1__CNIGO.Cnig_chr_II.g6971.t3	179	245	172	284	142	276
CBRIG.II.g6561.t1__CNIGO.Cnig_chr_II.g6981.t1	204	332	205	275	213	257
CBRIG.II.g6656.t1__CNIGO.Cnig_chr_II.g7190.t1	537	611	550	855	552	673
CBRIG.II.g6685.t1__CNIGO.Cnig_chr_II.g7206.t1	426	215	355	107	498	216
CBRIG.II.g6686.t1__CNIGO.Cnig_chr_II.g7207.t1	185	204	166	233	189	256
CBRIG.II.g6702.t2__CNIGO.Cnig_chr_II.g7236.t1	135	145	194	173	179	127
CBRIG.II.g6703.t1__CNIGO.Cnig_chr_II.g7237.t1	507	539	485	529	574	541
