gene_id	HF1_1_Cbr	HF1_1_Cni
CBRIG.II.g5057.t1__CNIGO.Cnig_chr_II.g5398.t1	73	31
CBRIG.II.g5066.t1__CNIGO.Cnig_chr_II.g5407.t2	120	150
CBRIG.II.g5093.t1__CNIGO.Cnig_chr_II.g5434.t1	46	44
CBRIG.II.g5098.t1__CNIGO.Cnig_chr_II.g5438.t3	441	361
CBRIG.II.g5124.t3__CNIGO.Cnig_chr_II.g5457.t2	183	343
CBRIG.II.g5133.t2__CNIGO.Cnig_chr_II.g5467.t1	280	297
CBRIG.II.g5149.t1__CNIGO.Cnig_chr_II.g5483.t1	39	84
CBRIG.II.g5155.t1__CNIGO.Cnig_chr_II.g5488.t1	38	50
CBRIG.II.g5158.t1__CNIGO.Cnig_chr_II.g5492.t1	156	45
CBRIG.II.g5168.t1__CNIGO.Cnig_chr_II.g5502.t1	220	126
CBRIG.II.g5201.t2__CNIGO.Cnig_chr_II.g5532.t1	147	174
CBRIG.II.g5205.t1__CNIGO.Cnig_chr_II.g5539.t1	311	366
CBRIG.II.g5212.t2__CNIGO.Cnig_chr_II.g5547.t2	3251	785
CBRIG.II.g5288.t3__CNIGO.Cnig_chr_II.g5630.t3	795	255
CBRIG.II.g5299.t1__CNIGO.Cnig_chr_II.g5640.t1	1675	350
CBRIG.II.g5327.t1__CNIGO.Cnig_chr_II.g5663.t1	95	302
CBRIG.II.g5330.t1__CNIGO.Cnig_chr_II.g5666.t1	242	77
CBRIG.II.g5331.t3__CNIGO.Cnig_chr_II.g5667.t2	145	329
CBRIG.II.g5355.t1__CNIGO.Cnig_chr_II.g5694.t1	206	661
CBRIG.II.g5374.t1__CNIGO.Cnig_chr_II.g5717.t1	124	756
CBRIG.II.g5433.t1__CNIGO.Cnig_chr_II.g5789.t1	142	455
CBRIG.II.g5476.t1__CNIGO.Cnig_chr_II.g5832.t1	851	2798
CBRIG.II.g5479.t2__CNIGO.Cnig_chr_II.g5836.t1	265	105
CBRIG.II.g5552.t1__CNIGO.Cnig_chr_II.g5909.t1	756	365
CBRIG.II.g5560.t1__CNIGO.Cnig_chr_II.g5918.t1	443	1596
CBRIG.II.g5586.t1__CNIGO.Cnig_chr_II.g5741.t3	69	192
CBRIG.II.g5587.t1__CNIGO.Cnig_chr_II.g5947.t1	314	811
CBRIG.II.g5635.t1__CNIGO.Cnig_chr_II.g5995.t1	471	1828
CBRIG.II.g5638.t1__CNIGO.Cnig_chr_II.g5998.t1	81	105
CBRIG.II.g5639.t1__CNIGO.Cnig_chr_II.g5999.t2	892	142
CBRIG.II.g5674.t1__CNIGO.Cnig_chr_II.g6035.t2	222	1432
CBRIG.II.g5695.t2__CNIGO.Cnig_chr_II.g6059.t1	430	86
CBRIG.II.g5715.t3__CNIGO.Cnig_chr_II.g6077.t2	2584	197
CBRIG.II.g5716.t1__CNIGO.Cnig_chr_II.g6079.t2	1314	169
CBRIG.II.g5729.t1__CNIGO.Cnig_chr_II.g6095.t1	396	214
CBRIG.II.g5745.t1__CNIGO.Cnig_chr_II.g6110.t1	184	809
CBRIG.II.g5781.t1__CNIGO.Cnig_chr_II.g6154.t1	367	550
CBRIG.II.g5836.t1__CNIGO.Cnig_chr_II.g6217.t1	499	195
CBRIG.II.g5842.t1__CNIGO.Cnig_chr_II.g6223.t1	554	551
CBRIG.II.g5867.t1__CNIGO.Cnig_chr_II.g6251.t4	224	238
CBRIG.II.g5873.t1__CNIGO.Cnig_chr_II.g6257.t1	255	1785
CBRIG.II.g5874.t2__CNIGO.Cnig_chr_II.g6258.t2	227	208
CBRIG.II.g5882.t1__CNIGO.Cnig_chr_II.g6266.t1	402	154
CBRIG.II.g5924.t2__CNIGO.Cnig_chr_II.g6308.t1	73	140
CBRIG.II.g5991.t2__CNIGO.Cnig_chr_II.g6374.t1	475	94
CBRIG.II.g6008.t1__CNIGO.Cnig_chr_II.g6386.t2	92	717
CBRIG.II.g6022.t1__CNIGO.Cnig_chr_II.g6402.t1	194	362
CBRIG.II.g6036.t1__CNIGO.Cnig_chr_II.g6418.t1	44	53
CBRIG.II.g6040.t1__CNIGO.Cnig_chr_II.g6422.t1	162	452
CBRIG.II.g6044.t1__CNIGO.Cnig_chr_II.g6427.t2	396	200
CBRIG.II.g6067.t1__CNIGO.Cnig_chr_II.g6453.t3	455	325
CBRIG.II.g6090.t1__CNIGO.Cnig_chr_II.g6472.t1	187	52
CBRIG.II.g6092.t1__CNIGO.Cnig_chr_II.g6474.t1	1597	577
CBRIG.II.g6102.t1__CNIGO.Cnig_chr_II.g6488.t2	376	520
CBRIG.II.g6106.t1__CNIGO.Cnig_chr_II.g6491.t1	121	74
CBRIG.II.g6128.t1__CNIGO.Cnig_chr_II.g6511.t1	184	185
CBRIG.II.g6166.t2__CNIGO.Cnig_chr_II.g6571.t1	1473	748
CBRIG.II.g6167.t1__CNIGO.Cnig_chr_II.g6572.t1	60	136
CBRIG.II.g6168.t1__CNIGO.Cnig_chr_II.g6573.t1	253	145
CBRIG.II.g6184.t2__CNIGO.Cnig_chr_II.g6592.t1	2461	775
CBRIG.II.g6195.t1__CNIGO.Cnig_chr_II.g6605.t1	378	139
CBRIG.II.g6257.t1__CNIGO.Cnig_chr_II.g6682.t1	200	60
CBRIG.II.g6276.t1__CNIGO.Cnig_chr_II.g6702.t1	264	652
CBRIG.II.g6277.t1__CNIGO.Cnig_chr_II.g6703.t1	241	123
CBRIG.II.g6298.t1__CNIGO.Cnig_chr_II.g6722.t1	502	97
CBRIG.II.g6305.t1__CNIGO.Cnig_chr_II.g6730.t1	185	158
CBRIG.II.g6319.t1__CNIGO.Cnig_chr_II.g6742.t1	86	93
CBRIG.II.g6327.t1__CNIGO.Cnig_chr_II.g6748.t1	538	166
CBRIG.II.g6358.t1__CNIGO.Cnig_chr_II.g6822.t1	51	90
CBRIG.II.g6410.t1__CNIGO.Cnig_chr_II.g6886.t1	80	128
CBRIG.II.g6424.t1__CNIGO.Cnig_chr_II.g6956.t1	79	90
CBRIG.II.g6453.t1__CNIGO.Cnig_chr_II.g6757.t1	179	917
CBRIG.II.g6463.t3__CNIGO.Cnig_chr_II.g6768.t1	222	296
CBRIG.II.g6547.t1__CNIGO.Cnig_chr_II.g6959.t2	117	133
CBRIG.II.g6558.t1__CNIGO.Cnig_chr_II.g6971.t3	162	169
CBRIG.II.g6561.t1__CNIGO.Cnig_chr_II.g6981.t1	104	233
CBRIG.II.g6656.t1__CNIGO.Cnig_chr_II.g7190.t1	429	330
CBRIG.II.g6685.t1__CNIGO.Cnig_chr_II.g7206.t1	361	139
CBRIG.II.g6686.t1__CNIGO.Cnig_chr_II.g7207.t1	112	122
CBRIG.II.g6702.t2__CNIGO.Cnig_chr_II.g7236.t1	69	84
CBRIG.II.g6703.t1__CNIGO.Cnig_chr_II.g7237.t1	499	498
CBRIG.II.g6705.t2__CNIGO.Cnig_chr_II.g7242.t1	346	225
CBRIG.II.g6721.t1__CNIGO.Cnig_chr_II.g7263.t2	125	111
CBRIG.II.g6744.t1__CNIGO.Cnig_chr_II.g7289.t1	118	173
CBRIG.II.g6766.t2__CNIGO.Cnig_chr_II.g7312.t1	99	199
CBRIG.II.g6793.t2__CNIGO.Cnig_chr_II.g7356.t1	198	17
CBRIG.II.g6843.t1__CNIGO.Cnig_chr_II.g7423.t1	102	72
CBRIG.II.g7093.t1__CNIGO.Cnig_chr_II.g7964.t1	100	658
CBRIG.II.g7094.t1__CNIGO.Cnig_chr_II.g7965.t1	102	90
CBRIG.II.g7112.t1__CNIGO.Cnig_chr_II.g7975.t1	221	241
CBRIG.II.g7117.t5__CNIGO.Cnig_chr_II.g7868.t1	511	166
CBRIG.II.g7130.t1__CNIGO.Cnig_chr_II.g8011.t1	76	135
CBRIG.II.g7165.t3__CNIGO.Cnig_chr_II.g7938.t1	229	297
CBRIG.II.g7317.t1__CNIGO.Cnig_chr_II.g8257.t1	123	290
CBRIG.II.g7367.t1__CNIGO.Cnig_chr_II.g8307.t2	223	272
CBRIG.II.g7381.t1__CNIGO.Cnig_chr_II.g8319.t1	283	1086
CBRIG.II.g7397.t1__CNIGO.Cnig_chr_II.g8336.t1	706	213
CBRIG.III.g10012.t1__CNIGO.Cnig_chr_III.g11463.t3	827	1985
CBRIG.III.g10014.t1__CNIGO.Cnig_chr_III.g11461.t3	1073	2906
CBRIG.III.g10036.t2__CNIGO.Cnig_chr_III.g11471.t2	129	147
CBRIG.III.g10037.t1__CNIGO.Cnig_chr_III.g11472.t1	292	325
CBRIG.III.g10063.t4__CNIGO.Cnig_chr_III.g11503.t3	670	2168
CBRIG.III.g10082.t1__CNIGO.Cnig_chr_III.g11528.t1	135	301
CBRIG.III.g10088.t1__CNIGO.Cnig_chr_III.g11549.t1	63	47
CBRIG.III.g10148.t2__CNIGO.Cnig_chr_III.g11631.t1	362	250
CBRIG.III.g10152.t1__CNIGO.Cnig_chr_III.g11635.t1	233	103
CBRIG.III.g10176.t1__CNIGO.Cnig_chr_III.g8965.t1	338	59
CBRIG.III.g10183.t1__CNIGO.Cnig_chr_III.g11749.t1	129	458
CBRIG.III.g10202.t1__CNIGO.Cnig_chr_III.g11730.t1	698	606
CBRIG.III.g10204.t1__CNIGO.Cnig_chr_III.g11729.t1	58	99
CBRIG.III.g10209.t1__CNIGO.Cnig_chr_III.g11723.t2	1164	514
CBRIG.III.g10213.t1__CNIGO.Cnig_chr_III.g11716.t1	92	313
CBRIG.III.g10218.t1__CNIGO.Cnig_chr_III.g11708.t1	201	441
CBRIG.III.g10247.t1__CNIGO.Cnig_chr_III.g11678.t1	33	239
CBRIG.III.g10268.t2__CNIGO.Cnig_chr_III.g11773.t1	236	523
CBRIG.III.g10320.t1__CNIGO.Cnig_chr_III.g11822.t1	411	1119
CBRIG.III.g10321.t1__CNIGO.Cnig_chr_III.g11823.t1	167	205
CBRIG.III.g10323.t1__CNIGO.Cnig_chr_III.g11826.t1	232	114
CBRIG.III.g10335.t2__CNIGO.Cnig_chr_III.g11917.t2	664	831
CBRIG.III.g10344.t2__CNIGO.Cnig_chr_III.g11905.t2	210	425
CBRIG.III.g10355.t1__CNIGO.Cnig_chr_III.g11838.t2	63	110
CBRIG.III.g7423.t1__CNIGO.Cnig_chr_III.g8347.t1	605	94
CBRIG.III.g7436.t2__CNIGO.Cnig_chr_III.g8362.t1	265	2472
CBRIG.III.g7440.t1__CNIGO.Cnig_chr_III.g8368.t1	201	1025
CBRIG.III.g7485.t3__CNIGO.Cnig_chr_III.g8425.t2	337	202
CBRIG.III.g7496.t1__CNIGO.Cnig_chr_III.g8441.t1	144	360
CBRIG.III.g7541.t1__CNIGO.Cnig_chr_III.g8501.t1	189	149
CBRIG.III.g7617.t1__CNIGO.Cnig_chr_III.g8707.t1	106	83
CBRIG.III.g7639.t1__CNIGO.Cnig_chr_III.g8686.t1	60	571
CBRIG.III.g7647.t3__CNIGO.Cnig_chr_III.g8677.t3	4550	1119
CBRIG.III.g7667.t3__CNIGO.Cnig_chr_III.g8653.t1	368	289
CBRIG.III.g7683.t1__CNIGO.Cnig_chr_III.g8637.t1	271	1399
CBRIG.III.g7690.t1__CNIGO.Cnig_chr_III.g8628.t1	323	766
CBRIG.III.g7698.t1__CNIGO.Cnig_chr_III.g8615.t1	91	125
CBRIG.III.g7712.t1__CNIGO.Cnig_chr_III.g8597.t1	248	125
CBRIG.III.g7725.t1__CNIGO.Cnig_chr_III.g10041.t1	210	464
CBRIG.III.g7739.t1__CNIGO.Cnig_chr_III.g8744.t3	980	492
CBRIG.III.g7758.t2__CNIGO.Cnig_chr_III.g8765.t1	394	183
CBRIG.III.g7784.t1__CNIGO.Cnig_chr_III.g8830.t2	2945	359
