# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "briggsae.cds.small.gff" "-o" "counts/Cbr_fc.counts.txt" "alignments/Cbr_1_Cbr.sorted.bam" "alignments/Cbr_2_Cbr.sorted.bam" "alignments/Cbr_3_Cbr.sorted.bam" "alignments/hf1_split/HF1_1_Cbr.sorted.bam" "alignments/hf1_split/HF1_2_Cbr.sorted.bam" "alignments/hf1_split/HF1_3_Cbr.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/Cbr_1_Cbr.sorted.bam	alignments/Cbr_2_Cbr.sorted.bam	alignments/Cbr_3_Cbr.sorted.bam	alignments/hf1_split/HF1_1_Cbr.sorted.bam	alignments/hf1_split/HF1_2_Cbr.sorted.bam	alignments/hf1_split/HF1_3_Cbr.sorted.bam
CBRIG.I.g1585.t1__CNIGO.Cnig_chr_I.g1194.t1	CBRIG.I.g1585.t1	1	1677	+	1677	2768	2816	2562	706	670	612
CBRIG.I.g1588.t3__CNIGO.Cnig_chr_I.g1197.t1	CBRIG.I.g1588.t3	1	2565	+	2565	1969	1973	2192	476	565	456
CBRIG.I.g1627.t1__CNIGO.Cnig_chr_I.g1233.t1	CBRIG.I.g1627.t1	1	1428	+	1428	540	526	545	309	276	259
CBRIG.I.g1631.t1__CNIGO.Cnig_chr_I.g1237.t2	CBRIG.I.g1631.t1	1	2958	+	2958	1249	1225	1146	495	558	613
CBRIG.I.g1656.t1__CNIGO.Cnig_chr_I.g1262.t1	CBRIG.I.g1656.t1	1	1284	+	1284	432	508	505	1015	1056	922
CBRIG.I.g1681.t2__CNIGO.Cnig_chr_I.g1290.t1	CBRIG.I.g1681.t2	1	3942	+	3942	1567	1590	1629	1569	1476	1393
CBRIG.I.g1726.t1__CNIGO.Cnig_chr_I.g1339.t1	CBRIG.I.g1726.t1	1	522	+	522	193	231	212	181	248	207
CBRIG.I.g1749.t1__CNIGO.Cnig_chr_I.g1361.t1	CBRIG.I.g1749.t1	1	1092	+	1092	2304	2211	2309	684	615	603
CBRIG.I.g1751.t1__CNIGO.Cnig_chr_I.g1365.t1	CBRIG.I.g1751.t1	1	1419	+	1419	1062	1010	1256	694	600	661
CBRIG.I.g1758.t1__CNIGO.Cnig_chr_I.g1372.t1	CBRIG.I.g1758.t1	1	414	+	414	277	381	370	89	91	55
CBRIG.I.g1794.t1__CNIGO.Cnig_chr_I.g1410.t1	CBRIG.I.g1794.t1	1	2277	+	2277	794	760	948	508	370	426
CBRIG.I.g1820.t1__CNIGO.Cnig_chr_I.g1433.t1	CBRIG.I.g1820.t1	1	303	+	303	112	107	137	161	94	137
CBRIG.I.g1835.t1__CNIGO.Cnig_chr_I.g1453.t1	CBRIG.I.g1835.t1	1	963	+	963	404	419	390	179	139	150
CBRIG.I.g1846.t1__CNIGO.Cnig_chr_I.g1468.t1	CBRIG.I.g1846.t1	1	1485	+	1485	516	668	465	564	552	574
CBRIG.I.g1847.t1__CNIGO.Cnig_chr_I.g1469.t1	CBRIG.I.g1847.t1	1	1125	+	1125	2399	2322	2235	249	261	209
CBRIG.I.g1871.t1__CNIGO.Cnig_chr_I.g1486.t2	CBRIG.I.g1871.t1	1	444	+	444	362	352	417	209	175	145
CBRIG.I.g1944.t2__CNIGO.Cnig_chr_I.g1546.t1	CBRIG.I.g1944.t2	1	834	+	834	704	653	782	427	514	529
CBRIG.I.g1966.t1__CNIGO.Cnig_chr_I.g1570.t3	CBRIG.I.g1966.t1	1	507	+	507	257	222	231	107	111	112
CBRIG.I.g1967.t1__CNIGO.Cnig_chr_I.g1571.t1	CBRIG.I.g1967.t1	1	1968	+	1968	811	835	785	1177	1196	1116
CBRIG.I.g1994.t1__CNIGO.Cnig_chr_I.g1673.t1	CBRIG.I.g1994.t1	1	1755	+	1755	1452	1336	1393	1133	931	1004
CBRIG.I.g2029.t1__CNIGO.Cnig_chr_I.g1635.t1	CBRIG.I.g2029.t1	1	309	+	309	1021	1002	1119	53	34	96
CBRIG.I.g2051.t1__CNIGO.Cnig_chr_I.g1615.t2	CBRIG.I.g2051.t1	1	1401	+	1401	545	494	531	281	319	325
CBRIG.I.g2085.t3__CNIGO.Cnig_chr_I.g1709.t1	CBRIG.I.g2085.t3	1	2475	+	2475	1039	898	1018	427	489	567
CBRIG.I.g2123.t1__CNIGO.Cnig_chr_I.g1766.t2	CBRIG.I.g2123.t1	1	2079	+	2079	2414	2429	2437	1209	1241	1320
CBRIG.I.g2149.t1__CNIGO.Cnig_chr_I.g1742.t1	CBRIG.I.g2149.t1	1	1242	+	1242	1554	1522	1534	235	302	225
CBRIG.I.g2162.t1__CNIGO.Cnig_chr_I.g1789.t1	CBRIG.I.g2162.t1	1	438	+	438	164	208	228	85	93	80
CBRIG.I.g2171.t1__CNIGO.Cnig_chr_I.g1796.t1	CBRIG.I.g2171.t1	1	960	+	960	395	291	349	213	157	233
CBRIG.I.g2193.t3__CNIGO.Cnig_chr_I.g1821.t1	CBRIG.I.g2193.t3	1	1581	+	1581	1832	1843	1759	374	360	314
CBRIG.I.g2199.t2__CNIGO.Cnig_chr_I.g1827.t1	CBRIG.I.g2199.t2	1	393	+	393	190	132	156	96	91	34
CBRIG.I.g2203.t1__CNIGO.Cnig_chr_I.g1831.t1	CBRIG.I.g2203.t1	1	528	+	528	254	201	197	403	316	348
CBRIG.I.g2294.t2__CNIGO.Cnig_chr_I.g1920.t1	CBRIG.I.g2294.t2	1	1344	+	1344	588	538	491	300	266	280
CBRIG.I.g2299.t1__CNIGO.Cnig_chr_I.g1925.t1	CBRIG.I.g2299.t1	1	219	+	219	66	81	68	47	65	33
CBRIG.I.g2398.t1__CNIGO.Cnig_chr_I.g2084.t1	CBRIG.I.g2398.t1	1	936	+	936	789	749	724	186	191	141
CBRIG.I.g2416.t2__CNIGO.Cnig_chr_I.g2070.t2	CBRIG.I.g2416.t2	1	540	+	540	280	277	125	501	560	551
CBRIG.I.g2417.t2__CNIGO.Cnig_chr_I.g2069.t2	CBRIG.I.g2417.t2	1	1041	+	1041	377	362	407	250	246	210
CBRIG.I.g2423.t1__CNIGO.Cnig_chr_I.g2063.t2	CBRIG.I.g2423.t1	1	831	+	831	2391	2491	2146	320	350	270
CBRIG.I.g2513.t1__CNIGO.Cnig_chr_I.g1992.t1	CBRIG.I.g2513.t1	1	1509	+	1509	568	567	674	272	265	300
CBRIG.I.g2517.t1__CNIGO.Cnig_chr_I.g1988.t1	CBRIG.I.g2517.t1	1	510	+	510	174	165	202	116	100	114
CBRIG.I.g2526.t1__CNIGO.Cnig_chr_I.g2100.t1	CBRIG.I.g2526.t1	1	465	+	465	162	223	148	99	114	103
CBRIG.I.g2529.t1__CNIGO.Cnig_chr_I.g2102.t1	CBRIG.I.g2529.t1	1	804	+	804	1239	1337	1271	146	153	168
CBRIG.I.g2547.t2__CNIGO.Cnig_chr_I.g2120.t2	CBRIG.I.g2547.t2	1	606	+	606	212	209	224	505	435	481
CBRIG.I.g2549.t2__CNIGO.Cnig_chr_I.g2123.t2	CBRIG.I.g2549.t2	1	1092	+	1092	482	374	405	219	258	207
CBRIG.I.g2552.t2__CNIGO.Cnig_chr_I.g2128.t1	CBRIG.I.g2552.t2	1	3156	+	3156	2461	2441	2600	638	626	653
CBRIG.I.g2560.t1__CNIGO.Cnig_chr_I.g2135.t1	CBRIG.I.g2560.t1	1	477	+	477	682	613	553	93	71	99
CBRIG.I.g2619.t1__CNIGO.Cnig_chr_I.g2205.t1	CBRIG.I.g2619.t1	1	1929	+	1929	742	819	693	403	489	399
CBRIG.I.g2640.t1__CNIGO.Cnig_chr_I.g2225.t2	CBRIG.I.g2640.t1	1	1323	+	1323	592	500	540	315	272	244
CBRIG.I.g2651.t1__CNIGO.Cnig_chr_I.g2235.t1	CBRIG.I.g2651.t1	1	954	+	954	408	405	380	171	182	222
CBRIG.I.g2655.t1__CNIGO.Cnig_chr_I.g2248.t1	CBRIG.I.g2655.t1	1	549	+	549	638	628	629	360	330	391
CBRIG.I.g2683.t1__CNIGO.Cnig_chr_I.g2275.t1	CBRIG.I.g2683.t1	1	606	+	606	250	210	244	172	130	140
CBRIG.I.g2697.t1__CNIGO.Cnig_chr_I.g2287.t1	CBRIG.I.g2697.t1	1	912	+	912	401	455	425	211	193	173
CBRIG.I.g2725.t1__CNIGO.Cnig_chr_I.g2319.t1	CBRIG.I.g2725.t1	1	399	+	399	108	192	163	77	65	63
CBRIG.I.g2735.t1__CNIGO.Cnig_chr_I.g2327.t1	CBRIG.I.g2735.t1	1	1080	+	1080	830	798	893	1042	1199	1064
CBRIG.I.g2758.t1__CNIGO.Cnig_chr_I.g2361.t1	CBRIG.I.g2758.t1	1	957	+	957	383	402	367	201	221	168
CBRIG.I.g2782.t1__CNIGO.Cnig_chr_I.g2394.t2	CBRIG.I.g2782.t1	1	951	+	951	424	394	438	217	176	161
CBRIG.I.g2795.t3__CNIGO.Cnig_chr_I.g2411.t2	CBRIG.I.g2795.t3	1	1119	+	1119	2663	2704	2683	234	215	243
CBRIG.I.g2830.t1__CNIGO.Cnig_chr_I.g2443.t1	CBRIG.I.g2830.t1	1	1800	+	1800	2224	2189	2207	402	379	308
CBRIG.I.g2847.t1__CNIGO.Cnig_chr_I.g2464.t1	CBRIG.I.g2847.t1	1	1533	+	1533	535	617	581	321	294	337
CBRIG.I.g2850.t1__CNIGO.Cnig_chr_I.g2467.t1	CBRIG.I.g2850.t1	1	1263	+	1263	501	566	483	305	226	227
CBRIG.I.g2874.t1__CNIGO.Cnig_chr_I.g2498.t1	CBRIG.I.g2874.t1	1	273	+	273	798	790	683	67	53	45
CBRIG.I.g2910.t1__CNIGO.Cnig_chr_I.g2525.t2	CBRIG.I.g2910.t1	1	330	+	330	255	218	180	90	35	78
CBRIG.I.g2924.t1__CNIGO.Cnig_chr_I.g2539.t1	CBRIG.I.g2924.t1	1	4650	+	4650	2090	1803	1889	981	922	923
CBRIG.I.g2950.t1__CNIGO.Cnig_chr_I.g2578.t1	CBRIG.I.g2950.t1	1	762	+	762	1235	1244	1150	899	978	895
CBRIG.I.g2968.t1__CNIGO.Cnig_chr_I.g2595.t1	CBRIG.I.g2968.t1	1	324	+	324	97	103	142	50	68	55
CBRIG.I.g2975.t1__CNIGO.Cnig_chr_I.g2601.t1	CBRIG.I.g2975.t1	1	1641	+	1641	692	727	627	1662	1682	1712
CBRIG.I.g3000.t1__CNIGO.Cnig_chr_I.g2632.t1	CBRIG.I.g3000.t1	1	1920	+	1920	741	793	745	384	401	374
CBRIG.I.g3003.t1__CNIGO.Cnig_chr_I.g2635.t3	CBRIG.I.g3003.t1	1	819	+	819	308	226	301	507	486	514
CBRIG.I.g3031.t1__CNIGO.Cnig_chr_I.g2664.t1	CBRIG.I.g3031.t1	1	891	+	891	483	381	343	193	154	199
CBRIG.I.g3119.t1__CNIGO.Cnig_chr_I.g2776.t1	CBRIG.I.g3119.t1	1	1164	+	1164	468	535	495	934	926	1012
CBRIG.I.g3152.t1__CNIGO.Cnig_chr_I.g2813.t1	CBRIG.I.g3152.t1	1	576	+	576	897	1035	935	408	419	499
CBRIG.I.g3171.t1__CNIGO.Cnig_chr_I.g2897.t1	CBRIG.I.g3171.t1	1	234	+	234	692	467	604	41	26	63
CBRIG.I.g3204.t1__CNIGO.Cnig_chr_I.g2954.t1	CBRIG.I.g3204.t1	1	597	+	597	454	450	467	238	241	193
CBRIG.I.g3213.t1__CNIGO.Cnig_chr_I.g2964.t1	CBRIG.I.g3213.t1	1	834	+	834	650	641	583	168	136	144
CBRIG.I.g3222.t1__CNIGO.Cnig_chr_I.g2975.t1	CBRIG.I.g3222.t1	1	327	+	327	82	147	129	266	246	243
CBRIG.I.g3263.t2__CNIGO.Cnig_chr_I.g3034.t1	CBRIG.I.g3263.t2	1	2436	+	2436	960	1060	870	503	544	483
CBRIG.I.g3279.t1__CNIGO.Cnig_chr_I.g3060.t2	CBRIG.I.g3279.t1	1	420	+	420	147	208	156	646	593	565
CBRIG.I.g3280.t1__CNIGO.Cnig_chr_I.g3061.t2	CBRIG.I.g3280.t1	1	2727	+	2727	1048	1111	1076	1185	1210	1180
CBRIG.I.g3459.t1__CNIGO.Cnig_chr_I.g3225.t1	CBRIG.I.g3459.t1	1	369	+	369	525	397	405	86	63	78
CBRIG.I.g3476.t1__CNIGO.Cnig_chr_I.g3202.t1	CBRIG.I.g3476.t1	1	381	+	381	139	168	180	100	66	52
CBRIG.I.g3527.t2__CNIGO.Cnig_chr_I.g3435.t1	CBRIG.I.g3527.t2	1	2349	+	2349	810	1005	1000	1516	1342	1388
CBRIG.I.g3532.t2__CNIGO.Cnig_chr_I.g3442.t1	CBRIG.I.g3532.t2	1	1101	+	1101	488	445	442	702	630	622
CBRIG.I.g3581.t2__CNIGO.Cnig_chr_I.g3511.t1	CBRIG.I.g3581.t2	1	321	+	321	134	123	95	66	69	49
CBRIG.I.g3612.t5__CNIGO.Cnig_chr_I.g3562.t3	CBRIG.I.g3612.t5	1	3858	+	3858	9079	9073	9369	1529	1526	1495
CBRIG.I.g3663.t1__CNIGO.Cnig_chr_I.g3607.t1	CBRIG.I.g3663.t1	1	648	+	648	729	734	867	116	99	97
CBRIG.I.g3685.t1__CNIGO.Cnig_chr_I.g3646.t1	CBRIG.I.g3685.t1	1	462	+	462	319	336	313	69	98	98
CBRIG.I.g3715.t2__CNIGO.Cnig_chr_I.g3733.t3	CBRIG.I.g3715.t2	1	1473	+	1473	585	634	521	256	415	321
CBRIG.I.g3773.t1__CNIGO.Cnig_chr_I.g3793.t2	CBRIG.I.g3773.t1	1	1587	+	1587	1832	1862	1871	345	314	268
CBRIG.I.g3779.t1__CNIGO.Cnig_chr_I.g3798.t1	CBRIG.I.g3779.t1	1	522	+	522	347	414	395	129	103	128
CBRIG.I.g3892.t1__CNIGO.Cnig_chr_I.g3948.t1	CBRIG.I.g3892.t1	1	372	+	372	717	768	773	62	92	92
CBRIG.I.g3901.t1__CNIGO.Cnig_chr_I.g3940.t1	CBRIG.I.g3901.t1	1	861	+	861	714	763	607	302	333	346
CBRIG.I.g3903.t1__CNIGO.Cnig_chr_I.g3938.t1	CBRIG.I.g3903.t1	1	1698	+	1698	685	767	591	644	723	652
CBRIG.I.g3915.t1__CNIGO.Cnig_chr_I.g3926.t1	CBRIG.I.g3915.t1	1	2721	+	2721	1096	1036	1124	602	598	554
CBRIG.I.g3919.t1__CNIGO.Cnig_chr_I.g3921.t1	CBRIG.I.g3919.t1	1	660	+	660	986	1083	1010	147	156	151
CBRIG.I.g3920.t1__CNIGO.Cnig_chr_I.g3920.t1	CBRIG.I.g3920.t1	1	351	+	351	141	142	166	231	184	194
CBRIG.I.g730.t1__CNIGO.Cnig_chr_I.g100.t1	CBRIG.I.g730.t1	1	441	+	441	169	216	160	78	80	86
CBRIG.I.g779.t1__CNIGO.Cnig_chr_I.g222.t1	CBRIG.I.g779.t1	1	1152	+	1152	490	474	453	201	221	225
CBRIG.I.g801.t1__CNIGO.Cnig_chr_I.g250.t1	CBRIG.I.g801.t1	1	1329	+	1329	568	509	524	878	844	707
CBRIG.I.g821.t1__CNIGO.Cnig_chr_I.g294.t2	CBRIG.I.g821.t1	1	3393	+	3393	1270	1304	1382	724	650	706
CBRIG.I.g829.t1__CNIGO.Cnig_chr_I.g302.t2	CBRIG.I.g829.t1	1	1080	+	1080	372	442	409	227	185	182
CBRIG.I.g833.t2__CNIGO.Cnig_chr_I.g300.t2	CBRIG.I.g833.t2	1	2925	+	2925	1177	1303	1202	566	549	643
CBRIG.I.g841.t2__CNIGO.Cnig_chr_I.g309.t1	CBRIG.I.g841.t2	1	237	+	237	57	107	107	34	27	50
CBRIG.I.g885.t1__CNIGO.Cnig_chr_I.g370.t1	CBRIG.I.g885.t1	1	540	+	540	586	593	645	679	584	671
CBRIG.I.g886.t1__CNIGO.Cnig_chr_I.g371.t1	CBRIG.I.g886.t1	1	1467	+	1467	639	590	491	517	620	544
CBRIG.I.g894.t1__CNIGO.Cnig_chr_I.g379.t2	CBRIG.I.g894.t1	1	648	+	648	260	263	283	141	109	165
CBRIG.I.g898.t1__CNIGO.Cnig_chr_I.g383.t1	CBRIG.I.g898.t1	1	615	+	615	199	261	291	476	524	460
CBRIG.I.g919.t3__CNIGO.Cnig_chr_I.g408.t1	CBRIG.I.g919.t3	1	1131	+	1131	2270	2348	2438	233	252	183
CBRIG.I.g942.t1__CNIGO.Cnig_chr_I.g430.t1	CBRIG.I.g942.t1	1	2361	+	2361	2857	2783	2897	438	426	441
CBRIG.I.g943.t1__CNIGO.Cnig_chr_I.g429.t1	CBRIG.I.g943.t1	1	306	+	306	333	413	332	95	50	75
CBRIG.I.g944.t1__CNIGO.Cnig_chr_I.g428.t2	CBRIG.I.g944.t1	1	1299	+	1299	1017	1075	1000	551	545	553
CBRIG.I.g975.t1__CNIGO.Cnig_chr_I.g463.t2	CBRIG.I.g975.t1	1	2400	+	2400	1968	1915	1935	423	515	477
CBRIG.II.g3927.t1__CNIGO.Cnig_chr_II.g3973.t1	CBRIG.II.g3927.t1	1	1068	+	1068	4457	4216	4360	1093	1091	1039
CBRIG.II.g3934.t1__CNIGO.Cnig_chr_II.g3981.t1	CBRIG.II.g3934.t1	1	1065	+	1065	2453	2564	2627	903	902	853
CBRIG.II.g3961.t1__CNIGO.Cnig_chr_II.g4012.t1	CBRIG.II.g3961.t1	1	1557	+	1557	1320	1108	1186	294	352	389
CBRIG.II.g3980.t1__CNIGO.Cnig_chr_II.g4031.t1	CBRIG.II.g3980.t1	1	528	+	528	172	175	163	99	69	103
CBRIG.II.g3989.t1__CNIGO.Cnig_chr_II.g4041.t1	CBRIG.II.g3989.t1	1	1230	+	1230	435	454	532	515	456	454
CBRIG.II.g4041.t1__CNIGO.Cnig_chr_II.g4120.t1	CBRIG.II.g4041.t1	1	1269	+	1269	579	541	576	271	229	283
CBRIG.II.g4104.t1__CNIGO.Cnig_chr_II.g4192.t2	CBRIG.II.g4104.t1	1	1266	+	1266	2068	2029	1951	432	567	489
CBRIG.II.g4126.t1__CNIGO.Cnig_chr_II.g4222.t2	CBRIG.II.g4126.t1	1	1770	+	1770	708	702	741	1801	1789	1877
CBRIG.II.g4142.t1__CNIGO.Cnig_chr_II.g4205.t1	CBRIG.II.g4142.t1	1	720	+	720	861	798	912	151	152	156
CBRIG.II.g4167.t2__CNIGO.Cnig_chr_II.g4238.t3	CBRIG.II.g4167.t2	1	1809	+	1809	665	707	742	713	657	743
CBRIG.II.g4218.t1__CNIGO.Cnig_chr_II.g7837.t1	CBRIG.II.g4218.t1	1	279	+	279	241	204	227	190	233	218
CBRIG.II.g4249.t1__CNIGO.Cnig_chr_II.g4388.t3	CBRIG.II.g4249.t1	1	777	+	777	266	281	326	193	147	152
CBRIG.II.g4252.t1__CNIGO.Cnig_chr_II.g4392.t1	CBRIG.II.g4252.t1	1	954	+	954	723	919	723	210	201	185
CBRIG.II.g4263.t1__CNIGO.Cnig_chr_II.g4400.t1	CBRIG.II.g4263.t1	1	1119	+	1119	947	894	879	196	210	205
CBRIG.II.g4298.t1__CNIGO.Cnig_chr_II.g4465.t2	CBRIG.II.g4298.t1	1	2784	+	2784	2335	2213	2297	3816	3922	3863
CBRIG.II.g4312.t1__CNIGO.Cnig_chr_II.g4485.t1	CBRIG.II.g4312.t1	1	654	+	654	318	277	291	102	163	116
CBRIG.II.g4339.t1__CNIGO.Cnig_chr_II.g4523.t2	CBRIG.II.g4339.t1	1	219	+	219	109	104	87	117	112	98
CBRIG.II.g4375.t1__CNIGO.Cnig_chr_II.g4562.t1	CBRIG.II.g4375.t1	1	1365	+	1365	596	562	566	287	268	293
CBRIG.II.g4383.t1__CNIGO.Cnig_chr_II.g4568.t1	CBRIG.II.g4383.t1	1	678	+	678	730	841	840	1110	1179	1163
CBRIG.II.g4385.t2__CNIGO.Cnig_chr_II.g4570.t1	CBRIG.II.g4385.t2	1	897	+	897	1714	1717	1743	181	165	185
CBRIG.II.g4386.t1__CNIGO.Cnig_chr_II.g4571.t1	CBRIG.II.g4386.t1	1	1074	+	1074	406	517	487	970	1058	958
CBRIG.II.g4400.t1__CNIGO.Cnig_chr_II.g4586.t1	CBRIG.II.g4400.t1	1	537	+	537	872	801	832	135	96	139
CBRIG.II.g4412.t1__CNIGO.Cnig_chr_II.g4602.t1	CBRIG.II.g4412.t1	1	1788	+	1788	714	664	815	1054	1091	1057
CBRIG.II.g4426.t1__CNIGO.Cnig_chr_II.g4616.t1	CBRIG.II.g4426.t1	1	579	+	579	300	260	237	133	90	112
CBRIG.II.g4439.t1__CNIGO.Cnig_chr_II.g4662.t2	CBRIG.II.g4439.t1	1	1662	+	1662	716	616	701	279	393	347
CBRIG.II.g4456.t1__CNIGO.Cnig_chr_II.g4644.t1	CBRIG.II.g4456.t1	1	1326	+	1326	594	615	566	254	371	296
CBRIG.II.g4459.t1__CNIGO.Cnig_chr_II.g4666.t2	CBRIG.II.g4459.t1	1	2169	+	2169	1688	1760	1738	1301	1263	1332
CBRIG.II.g4477.t1__CNIGO.Cnig_chr_II.g4688.t1	CBRIG.II.g4477.t1	1	909	+	909	1124	1069	1106	215	189	166
CBRIG.II.g4502.t1__CNIGO.Cnig_chr_II.g4713.t1	CBRIG.II.g4502.t1	1	1221	+	1221	421	469	587	823	728	744
CBRIG.II.g4516.t1__CNIGO.Cnig_chr_II.g4735.t1	CBRIG.II.g4516.t1	1	1824	+	1824	1596	1446	1431	370	315	448
CBRIG.II.g4578.t1__CNIGO.Cnig_chr_II.g4808.t2	CBRIG.II.g4578.t1	1	1704	+	1704	666	649	633	987	926	1016
CBRIG.II.g4650.t1__CNIGO.Cnig_chr_II.g5039.t1	CBRIG.II.g4650.t1	1	678	+	678	288	252	282	174	159	145
CBRIG.II.g4655.t2__CNIGO.Cnig_chr_II.g5030.t1	CBRIG.II.g4655.t2	1	2037	+	2037	5888	5546	5614	368	360	355
CBRIG.II.g4665.t1__CNIGO.Cnig_chr_II.g5016.t1	CBRIG.II.g4665.t1	1	1080	+	1080	3380	3706	3541	788	871	778
CBRIG.II.g4674.t1__CNIGO.Cnig_chr_II.g5009.t1	CBRIG.II.g4674.t1	1	1749	+	1749	3421	3415	3556	974	1165	909
CBRIG.II.g4703.t1__CNIGO.Cnig_chr_II.g4962.t1	CBRIG.II.g4703.t1	1	2688	+	2688	1148	1047	1026	1590	1613	1553
CBRIG.II.g4714.t1__CNIGO.Cnig_chr_II.g4953.t1	CBRIG.II.g4714.t1	1	1614	+	1614	638	777	694	344	304	324
CBRIG.II.g4757.t1__CNIGO.Cnig_chr_II.g5079.t1	CBRIG.II.g4757.t1	1	1119	+	1119	394	480	455	211	174	251
