Geneid	Cbr_1_Cbr	Cbr_2_Cbr	Cbr_3_Cbr	HF1_1_Cbr	HF1_2_Cbr	HF1_3_Cbr	Cni_1_Cni	Cni_2_Cni	Cni_3_Cni	HF1_1_Cni	HF1_2_Cni	HF1_3_Cni
CBRIG.I.g2560.t1__CNIGO.Cnig_chr_I.g2135.t1	682	613	553	93	71	99	208	180	194	339	349	289
CBRIG.I.g2619.t1__CNIGO.Cnig_chr_I.g2205.t1	742	819	693	403	489	399	9002	8949	9146	1129	1137	1140
CBRIG.I.g2640.t1__CNIGO.Cnig_chr_I.g2225.t2	592	500	540	315	272	244	6205	6424	6341	1051	995	1018
CBRIG.I.g2651.t1__CNIGO.Cnig_chr_I.g2235.t1	408	405	380	171	182	222	971	1222	1117	556	532	525
CBRIG.I.g2655.t1__CNIGO.Cnig_chr_I.g2248.t1	638	628	629	360	330	391	406	396	513	142	179	235
CBRIG.I.g2683.t1__CNIGO.Cnig_chr_I.g2275.t1	250	210	244	172	130	140	716	813	720	211	236	275
CBRIG.I.g2697.t1__CNIGO.Cnig_chr_I.g2287.t1	401	455	425	211	193	173	314	312	333	316	386	382
CBRIG.I.g2725.t1__CNIGO.Cnig_chr_I.g2319.t1	108	192	163	77	65	63	171	175	146	107	93	99
CBRIG.I.g2735.t1__CNIGO.Cnig_chr_I.g2327.t1	830	798	893	1042	1199	1064	429	408	535	241	184	219
CBRIG.I.g2758.t1__CNIGO.Cnig_chr_I.g2361.t1	383	402	367	201	221	168	373	431	382	389	409	413
CBRIG.I.g2782.t1__CNIGO.Cnig_chr_I.g2394.t2	424	394	438	217	176	161	933	1026	1059	135	151	150
CBRIG.I.g2795.t3__CNIGO.Cnig_chr_I.g2411.t2	2663	2704	2683	234	215	243	506	442	458	902	804	816
CBRIG.I.g2830.t1__CNIGO.Cnig_chr_I.g2443.t1	2224	2189	2207	402	379	308	640	669	641	292	367	315
CBRIG.I.g2847.t1__CNIGO.Cnig_chr_I.g2464.t1	535	617	581	321	294	337	618	527	616	298	324	300
CBRIG.I.g2850.t1__CNIGO.Cnig_chr_I.g2467.t1	501	566	483	305	226	227	936	1081	989	617	535	530
CBRIG.I.g2874.t1__CNIGO.Cnig_chr_I.g2498.t1	798	790	683	67	53	45	127	88	60	131	148	204
CBRIG.I.g2910.t1__CNIGO.Cnig_chr_I.g2525.t2	255	218	180	90	35	78	117	151	114	133	106	125
CBRIG.I.g2924.t1__CNIGO.Cnig_chr_I.g2539.t1	2090	1803	1889	981	922	923	7719	7539	7635	4634	4318	4814
CBRIG.I.g2950.t1__CNIGO.Cnig_chr_I.g2578.t1	1235	1244	1150	899	978	895	394	352	351	196	186	212
CBRIG.I.g2968.t1__CNIGO.Cnig_chr_I.g2595.t1	97	103	142	50	68	55	728	572	684	125	148	107
CBRIG.I.g2975.t1__CNIGO.Cnig_chr_I.g2601.t1	692	727	627	1662	1682	1712	1800	2016	1970	282	273	306
CBRIG.I.g3000.t1__CNIGO.Cnig_chr_I.g2632.t1	741	793	745	384	401	374	1840	1748	1920	416	410	515
CBRIG.I.g3003.t1__CNIGO.Cnig_chr_I.g2635.t3	308	226	301	507	486	514	341	327	415	153	222	133
CBRIG.I.g3031.t1__CNIGO.Cnig_chr_I.g2664.t1	483	381	343	193	154	199	363	235	314	657	588	721
CBRIG.I.g3119.t1__CNIGO.Cnig_chr_I.g2776.t1	468	535	495	934	926	1012	1393	1153	1418	205	210	241
CBRIG.I.g3152.t1__CNIGO.Cnig_chr_I.g2813.t1	897	1035	935	408	419	499	175	241	179	117	103	124
CBRIG.I.g3171.t1__CNIGO.Cnig_chr_I.g2897.t1	692	467	604	41	26	63	111	105	118	149	145	129
CBRIG.I.g3204.t1__CNIGO.Cnig_chr_I.g2954.t1	454	450	467	238	241	193	281	244	192	172	105	104
CBRIG.I.g3213.t1__CNIGO.Cnig_chr_I.g2964.t1	650	641	583	168	136	144	315	357	382	204	186	201
CBRIG.I.g3222.t1__CNIGO.Cnig_chr_I.g2975.t1	82	147	129	266	246	243	125	139	111	110	53	62
CBRIG.I.g3263.t2__CNIGO.Cnig_chr_I.g3034.t1	960	1060	870	503	544	483	7869	7797	7886	2397	2475	2337
CBRIG.I.g3279.t1__CNIGO.Cnig_chr_I.g3060.t2	147	208	156	646	593	565	356	358	371	64	100	78
CBRIG.I.g3280.t1__CNIGO.Cnig_chr_I.g3061.t2	1048	1111	1076	1185	1210	1180	2314	2226	2190	596	624	642
CBRIG.I.g3459.t1__CNIGO.Cnig_chr_I.g3225.t1	525	397	405	86	63	78	160	178	142	76	62	73
CBRIG.I.g3476.t1__CNIGO.Cnig_chr_I.g3202.t1	139	168	180	100	66	52	1009	1096	1030	168	178	170
CBRIG.I.g3527.t2__CNIGO.Cnig_chr_I.g3435.t1	810	1005	1000	1516	1342	1388	5705	5727	5654	405	427	461
CBRIG.I.g3532.t2__CNIGO.Cnig_chr_I.g3442.t1	488	445	442	702	630	622	460	477	532	208	204	274
CBRIG.I.g3581.t2__CNIGO.Cnig_chr_I.g3511.t1	134	123	95	66	69	49	444	475	546	73	32	66
CBRIG.I.g3612.t5__CNIGO.Cnig_chr_I.g3562.t3	9079	9073	9369	1529	1526	1495	1265	1428	1339	689	693	665
CBRIG.I.g3663.t1__CNIGO.Cnig_chr_I.g3607.t1	729	734	867	116	99	97	289	224	242	119	164	112
CBRIG.I.g3685.t1__CNIGO.Cnig_chr_I.g3646.t1	319	336	313	69	98	98	272	362	325	150	172	137
CBRIG.I.g3715.t2__CNIGO.Cnig_chr_I.g3733.t3	585	634	521	256	415	321	2423	2283	2306	277	272	256
CBRIG.I.g3773.t1__CNIGO.Cnig_chr_I.g3793.t2	1832	1862	1871	345	314	268	671	592	653	701	541	597
CBRIG.I.g3779.t1__CNIGO.Cnig_chr_I.g3798.t1	347	414	395	129	103	128	420	339	324	173	204	236
CBRIG.I.g3892.t1__CNIGO.Cnig_chr_I.g3948.t1	717	768	773	62	92	92	101	77	105	109	112	98
CBRIG.I.g3901.t1__CNIGO.Cnig_chr_I.g3940.t1	714	763	607	302	333	346	355	326	360	204	153	157
CBRIG.I.g3903.t1__CNIGO.Cnig_chr_I.g3938.t1	685	767	591	644	723	652	1142	1301	1362	331	264	389
CBRIG.I.g3915.t1__CNIGO.Cnig_chr_I.g3926.t1	1096	1036	1124	602	598	554	956	1049	1140	1606	1627	1695
CBRIG.I.g3919.t1__CNIGO.Cnig_chr_I.g3921.t1	986	1083	1010	147	156	151	245	234	270	402	402	395
CBRIG.I.g3920.t1__CNIGO.Cnig_chr_I.g3920.t1	141	142	166	231	184	194	429	384	372	65	83	83
CBRIG.I.g730.t1__CNIGO.Cnig_chr_I.g100.t1	169	216	160	78	80	86	588	528	525	54	128	84
CBRIG.I.g779.t1__CNIGO.Cnig_chr_I.g222.t1	490	474	453	201	221	225	4454	4628	4509	440	459	462
CBRIG.I.g801.t1__CNIGO.Cnig_chr_I.g250.t1	568	509	524	878	844	707	629	576	539	270	289	301
CBRIG.I.g821.t1__CNIGO.Cnig_chr_I.g294.t2	1270	1304	1382	724	650	706	2632	2662	2665	2064	2044	2115
CBRIG.I.g829.t1__CNIGO.Cnig_chr_I.g302.t2	372	442	409	227	185	182	1345	1399	1303	675	660	652
CBRIG.I.g833.t2__CNIGO.Cnig_chr_I.g300.t2	1177	1303	1202	566	549	643	3968	3776	3745	415	518	553
CBRIG.I.g841.t2__CNIGO.Cnig_chr_I.g309.t1	57	107	107	34	27	50	370	426	345	56	27	32
CBRIG.I.g885.t1__CNIGO.Cnig_chr_I.g370.t1	586	593	645	679	584	671	205	198	209	96	99	115
CBRIG.I.g886.t1__CNIGO.Cnig_chr_I.g371.t1	639	590	491	517	620	544	1231	1044	1161	239	241	262
CBRIG.I.g894.t1__CNIGO.Cnig_chr_I.g379.t2	260	263	283	141	109	165	1537	1574	1600	221	261	301
CBRIG.I.g898.t1__CNIGO.Cnig_chr_I.g383.t1	199	261	291	476	524	460	209	254	205	135	115	131
CBRIG.I.g919.t3__CNIGO.Cnig_chr_I.g408.t1	2270	2348	2438	233	252	183	347	451	346	165	246	151
CBRIG.I.g942.t1__CNIGO.Cnig_chr_I.g430.t1	2857	2783	2897	438	426	441	1037	902	799	1263	1558	1393
CBRIG.I.g943.t1__CNIGO.Cnig_chr_I.g429.t1	333	413	332	95	50	75	125	144	127	98	108	126
CBRIG.I.g944.t1__CNIGO.Cnig_chr_I.g428.t2	1017	1075	1000	551	545	553	450	528	490	254	311	254
CBRIG.I.g975.t1__CNIGO.Cnig_chr_I.g463.t2	1968	1915	1935	423	515	477	999	1045	942	471	519	506
CBRIG.II.g3927.t1__CNIGO.Cnig_chr_II.g3973.t1	4457	4216	4360	1093	1091	1039	408	401	516	227	194	202
CBRIG.II.g3934.t1__CNIGO.Cnig_chr_II.g3981.t1	2453	2564	2627	903	902	853	436	446	467	203	222	216
CBRIG.II.g3961.t1__CNIGO.Cnig_chr_II.g4012.t1	1320	1108	1186	294	352	389	656	561	713	601	531	567
CBRIG.II.g3980.t1__CNIGO.Cnig_chr_II.g4031.t1	172	175	163	99	69	103	280	306	266	402	434	313
CBRIG.II.g3989.t1__CNIGO.Cnig_chr_II.g4041.t1	435	454	532	515	456	454	1373	1498	1387	294	260	325
CBRIG.II.g4041.t1__CNIGO.Cnig_chr_II.g4120.t1	579	541	576	271	229	283	3481	3697	3436	494	421	525
CBRIG.II.g4104.t1__CNIGO.Cnig_chr_II.g4192.t2	2068	2029	1951	432	567	489	505	554	539	228	270	292
CBRIG.II.g4126.t1__CNIGO.Cnig_chr_II.g4222.t2	708	702	741	1801	1789	1877	584	648	532	311	276	278
CBRIG.II.g4142.t1__CNIGO.Cnig_chr_II.g4205.t1	861	798	912	151	152	156	313	240	291	110	128	144
CBRIG.II.g4167.t2__CNIGO.Cnig_chr_II.g4238.t3	665	707	742	713	657	743	1510	1357	1417	405	409	381
CBRIG.II.g4218.t1__CNIGO.Cnig_chr_II.g7837.t1	241	204	227	190	233	218	98	74	63	66	45	45
CBRIG.II.g4249.t1__CNIGO.Cnig_chr_II.g4388.t3	266	281	326	193	147	152	850	953	908	792	834	794
CBRIG.II.g4252.t1__CNIGO.Cnig_chr_II.g4392.t1	723	919	723	210	201	185	454	363	377	549	599	604
CBRIG.II.g4263.t1__CNIGO.Cnig_chr_II.g4400.t1	947	894	879	196	210	205	413	425	406	733	633	612
CBRIG.II.g4298.t1__CNIGO.Cnig_chr_II.g4465.t2	2335	2213	2297	3816	3922	3863	1357	1285	1228	571	584	603
CBRIG.II.g4312.t1__CNIGO.Cnig_chr_II.g4485.t1	318	277	291	102	163	116	465	467	524	367	421	393
CBRIG.II.g4339.t1__CNIGO.Cnig_chr_II.g4523.t2	109	104	87	117	112	98	846	909	871	229	254	228
CBRIG.II.g4375.t1__CNIGO.Cnig_chr_II.g4562.t1	596	562	566	287	268	293	681	612	622	518	536	529
CBRIG.II.g4383.t1__CNIGO.Cnig_chr_II.g4568.t1	730	841	840	1110	1179	1163	114	110	108	44	46	60
CBRIG.II.g4385.t2__CNIGO.Cnig_chr_II.g4570.t1	1714	1717	1743	181	165	185	254	229	261	372	383	339
CBRIG.II.g4386.t1__CNIGO.Cnig_chr_II.g4571.t1	406	517	487	970	1058	958	387	447	345	192	162	202
CBRIG.II.g4400.t1__CNIGO.Cnig_chr_II.g4586.t1	872	801	832	135	96	139	169	212	162	124	117	174
CBRIG.II.g4412.t1__CNIGO.Cnig_chr_II.g4602.t1	714	664	815	1054	1091	1057	697	634	690	346	377	359
CBRIG.II.g4426.t1__CNIGO.Cnig_chr_II.g4616.t1	300	260	237	133	90	112	474	508	480	131	130	117
CBRIG.II.g4439.t1__CNIGO.Cnig_chr_II.g4662.t2	716	616	701	279	393	347	2281	2305	2276	473	437	366
CBRIG.II.g4456.t1__CNIGO.Cnig_chr_II.g4644.t1	594	615	566	254	371	296	2182	2187	2203	598	576	574
CBRIG.II.g4459.t1__CNIGO.Cnig_chr_II.g4666.t2	1688	1760	1738	1301	1263	1332	381	393	379	228	168	204
CBRIG.II.g4477.t1__CNIGO.Cnig_chr_II.g4688.t1	1124	1069	1106	215	189	166	240	233	208	88	84	104
CBRIG.II.g4502.t1__CNIGO.Cnig_chr_II.g4713.t1	421	469	587	823	728	744	1036	904	1013	251	213	269
CBRIG.II.g4516.t1__CNIGO.Cnig_chr_II.g4735.t1	1596	1446	1431	370	315	448	803	604	624	380	363	301
CBRIG.II.g4578.t1__CNIGO.Cnig_chr_II.g4808.t2	666	649	633	987	926	1016	1058	1020	992	249	236	233
CBRIG.II.g4650.t1__CNIGO.Cnig_chr_II.g5039.t1	288	252	282	174	159	145	273	251	250	362	417	446
CBRIG.II.g4655.t2__CNIGO.Cnig_chr_II.g5030.t1	5888	5546	5614	368	360	355	760	710	740	1073	1080	1133
CBRIG.II.g4665.t1__CNIGO.Cnig_chr_II.g5016.t1	3380	3706	3541	788	871	778	347	404	474	198	150	205
CBRIG.II.g4674.t1__CNIGO.Cnig_chr_II.g5009.t1	3421	3415	3556	974	1165	909	739	638	658	289	319	301
CBRIG.II.g4703.t1__CNIGO.Cnig_chr_II.g4962.t1	1148	1047	1026	1590	1613	1553	3258	3042	3198	583	517	538
CBRIG.II.g4714.t1__CNIGO.Cnig_chr_II.g4953.t1	638	777	694	344	304	324	3135	3050	3215	1032	926	948
CBRIG.II.g4757.t1__CNIGO.Cnig_chr_II.g5079.t1	394	480	455	211	174	251	1533	1534	1409	470	469	477
CBRIG.II.g4793.t1__CNIGO.Cnig_chr_II.g5128.t1	477	454	551	305	241	261	654	553	637	106	56	79
CBRIG.II.g4807.t1__CNIGO.Cnig_chr_II.g5147.t1	459	519	419	253	290	243	420	410	445	219	225	232
CBRIG.II.g4811.t1__CNIGO.Cnig_chr_II.g5152.t1	2841	2797	2799	1289	1391	1311	413	431	401	162	257	179
CBRIG.II.g4836.t1__CNIGO.Cnig_chr_II.g5176.t1	2493	2548	2489	7378	7615	7303	2678	2581	2509	320	316	391
CBRIG.II.g4879.t1__CNIGO.Cnig_chr_II.g5216.t1	1227	1101	1223	498	631	454	650	501	555	252	353	387
CBRIG.II.g4886.t2__CNIGO.Cnig_chr_II.g5224.t1	208	145	176	104	116	91	705	680	861	271	333	300
CBRIG.II.g4901.t1__CNIGO.Cnig_chr_II.g5240.t1	898	1072	892	502	390	489	1893	2010	1909	1854	1869	2071
CBRIG.II.g4930.t1__CNIGO.Cnig_chr_II.g5267.t1	503	478	459	1421	1553	1544	572	466	470	192	242	244
CBRIG.II.g4947.t2__CNIGO.Cnig_chr_II.g5288.t1	847	719	871	856	739	777	762	850	811	395	388	396
CBRIG.II.g4958.t1__CNIGO.Cnig_chr_II.g5299.t1	376	369	415	391	384	384	1561	1475	1528	186	158	163
CBRIG.II.g4979.t1__CNIGO.Cnig_chr_II.g5314.t1	461	391	413	58	84	73	156	134	146	147	95	147
CBRIG.II.g4992.t1__CNIGO.Cnig_chr_II.g5327.t1	114	100	85	33	60	69	460	592	543	119	70	108
CBRIG.II.g5005.t1__CNIGO.Cnig_chr_II.g5342.t1	478	471	445	235	250	172	3360	3444	3408	859	862	791
CBRIG.II.g5016.t1__CNIGO.Cnig_chr_II.g5353.t1	321	230	247	577	627	602	322	356	258	119	158	124
CBRIG.II.g5020.t1__CNIGO.Cnig_chr_II.g5356.t1	6244	5970	6360	1574	1645	1502	1524	1577	1411	741	750	686
CBRIG.II.g5046.t1__CNIGO.Cnig_chr_II.g5384.t1	336	268	306	156	145	144	636	633	625	169	130	128
CBRIG.II.g5054.t1__CNIGO.Cnig_chr_II.g5394.t1	366	391	487	350	386	375	775	784	848	198	225	207
CBRIG.II.g5057.t1__CNIGO.Cnig_chr_II.g5398.t1	285	317	328	73	47	98	75	96	98	31	41	51
CBRIG.II.g5066.t1__CNIGO.Cnig_chr_II.g5407.t2	685	629	674	115	180	176	309	283	341	147	119	166
CBRIG.II.g5093.t1__CNIGO.Cnig_chr_II.g5434.t1	110	96	112	46	59	61	374	368	343	44	25	60
CBRIG.II.g5098.t1__CNIGO.Cnig_chr_II.g5438.t3	3872	3808	3844	429	373	310	890	811	811	351	412	370
CBRIG.II.g5124.t3__CNIGO.Cnig_chr_II.g5457.t2	438	455	389	176	249	205	1271	1162	1257	393	453	365
CBRIG.II.g5133.t2__CNIGO.Cnig_chr_II.g5467.t1	1927	1937	1874	281	278	348	628	658	591	293	291	279
CBRIG.II.g5149.t1__CNIGO.Cnig_chr_II.g5483.t1	70	126	79	39	39	67	440	417	388	84	116	121
CBRIG.II.g5155.t1__CNIGO.Cnig_chr_II.g5488.t1	68	63	71	38	35	36	664	677	693	50	59	73
CBRIG.II.g5158.t1__CNIGO.Cnig_chr_II.g5492.t1	140	126	128	156	135	110	518	536	602	44	92	58
CBRIG.II.g5168.t1__CNIGO.Cnig_chr_II.g5502.t1	285	228	237	220	208	283	537	548	430	103	74	54
CBRIG.II.g5201.t2__CNIGO.Cnig_chr_II.g5532.t1	693	691	637	144	165	142	256	332	356	173	142	165
CBRIG.II.g5205.t1__CNIGO.Cnig_chr_II.g5539.t1	724	711	599	272	328	254	755	621	586	331	337	326
CBRIG.II.g5212.t2__CNIGO.Cnig_chr_II.g5547.t2	11079	10812	11029	3227	3111	3138	1596	1583	1584	779	790	692
CBRIG.II.g5288.t3__CNIGO.Cnig_chr_II.g5630.t3	432	482	520	794	869	726	1079	1207	1068	254	267	258
CBRIG.II.g5299.t1__CNIGO.Cnig_chr_II.g5640.t1	708	724	603	1675	1660	1556	4085	3972	3806	348	326	305
CBRIG.II.g5327.t1__CNIGO.Cnig_chr_II.g5663.t1	137	234	223	95	99	97	330	370	373	302	280	379
CBRIG.II.g5330.t1__CNIGO.Cnig_chr_II.g5666.t1	505	488	594	243	250	319	313	244	204	77	119	146
CBRIG.II.g5331.t3__CNIGO.Cnig_chr_II.g5667.t2	415	355	300	143	163	160	1153	1164	1155	326	297	262
CBRIG.II.g5355.t1__CNIGO.Cnig_chr_II.g5694.t1	2015	2130	1818	204	255	213	515	477	514	659	836	713
CBRIG.II.g5374.t1__CNIGO.Cnig_chr_II.g5717.t1	205	261	249	122	129	106	2951	3268	3070	756	861	856
CBRIG.II.g5433.t1__CNIGO.Cnig_chr_II.g5789.t1	438	443	465	142	120	141	184	234	177	448	419	475
CBRIG.II.g5476.t1__CNIGO.Cnig_chr_II.g5832.t1	1802	1679	1860	838	894	893	5391	5269	5575	2772	2646	2755
