# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "nigoni.cds.small.gff" "-o" "counts/Cni_fc.counts.txt" "alignments/Cni_1_Cni.sorted.bam" "alignments/Cni_2_Cni.sorted.bam" "alignments/Cni_3_Cni.sorted.bam" "alignments/hf1_split/HF1_1_Cni.sorted.bam" "alignments/hf1_split/HF1_2_Cni.sorted.bam" "alignments/hf1_split/HF1_3_Cni.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/Cni_1_Cni.sorted.bam	alignments/Cni_2_Cni.sorted.bam	alignments/Cni_3_Cni.sorted.bam	alignments/hf1_split/HF1_1_Cni.sorted.bam	alignments/hf1_split/HF1_2_Cni.sorted.bam	alignments/hf1_split/HF1_3_Cni.sorted.bam
CBRIG.I.g1656.t1__CNIGO.Cnig_chr_I.g1262.t1	CNIGO.Cnig_chr_I.g1262.t1	1	1305	+	1305	973	1093	1038	300	250	297
CBRIG.I.g1681.t2__CNIGO.Cnig_chr_I.g1290.t1	CNIGO.Cnig_chr_I.g1290.t1	1	3840	+	3840	7628	7407	7495	744	794	749
CBRIG.I.g1726.t1__CNIGO.Cnig_chr_I.g1339.t1	CNIGO.Cnig_chr_I.g1339.t1	1	522	+	522	446	457	458	87	114	106
CBRIG.I.g1749.t1__CNIGO.Cnig_chr_I.g1361.t1	CNIGO.Cnig_chr_I.g1361.t1	1	1110	+	1110	391	424	425	248	243	195
CBRIG.I.g1751.t1__CNIGO.Cnig_chr_I.g1365.t1	CNIGO.Cnig_chr_I.g1365.t1	1	1419	+	1419	566	590	575	263	317	280
CBRIG.I.g1758.t1__CNIGO.Cnig_chr_I.g1372.t1	CNIGO.Cnig_chr_I.g1372.t1	1	414	+	414	191	114	178	104	51	108
CBRIG.I.g1794.t1__CNIGO.Cnig_chr_I.g1410.t1	CNIGO.Cnig_chr_I.g1410.t1	1	2304	+	2304	2692	2864	2712	430	472	449
CBRIG.I.g1820.t1__CNIGO.Cnig_chr_I.g1433.t1	CNIGO.Cnig_chr_I.g1433.t1	1	333	+	333	380	436	452	68	56	88
CBRIG.I.g1835.t1__CNIGO.Cnig_chr_I.g1453.t1	CNIGO.Cnig_chr_I.g1453.t1	1	963	+	963	766	720	745	223	174	219
CBRIG.I.g1846.t1__CNIGO.Cnig_chr_I.g1468.t1	CNIGO.Cnig_chr_I.g1468.t1	1	1641	+	1641	2005	1895	1816	347	302	263
CBRIG.I.g1847.t1__CNIGO.Cnig_chr_I.g1469.t1	CNIGO.Cnig_chr_I.g1469.t1	1	915	+	915	399	388	340	179	186	156
CBRIG.I.g1871.t1__CNIGO.Cnig_chr_I.g1486.t2	CNIGO.Cnig_chr_I.g1486.t2	1	1149	+	1149	502	417	415	241	207	256
CBRIG.I.g1944.t2__CNIGO.Cnig_chr_I.g1546.t1	CNIGO.Cnig_chr_I.g1546.t1	1	783	+	783	315	293	263	138	135	166
CBRIG.I.g1966.t1__CNIGO.Cnig_chr_I.g1570.t3	CNIGO.Cnig_chr_I.g1570.t3	1	558	+	558	193	191	229	146	118	110
CBRIG.I.g1967.t1__CNIGO.Cnig_chr_I.g1571.t1	CNIGO.Cnig_chr_I.g1571.t1	1	1971	+	1971	1499	1513	1601	429	334	399
CBRIG.I.g1994.t1__CNIGO.Cnig_chr_I.g1673.t1	CNIGO.Cnig_chr_I.g1673.t1	1	1758	+	1758	795	676	619	352	309	385
CBRIG.I.g2029.t1__CNIGO.Cnig_chr_I.g1635.t1	CNIGO.Cnig_chr_I.g1635.t1	1	309	+	309	111	115	115	80	55	81
CBRIG.I.g2051.t1__CNIGO.Cnig_chr_I.g1615.t2	CNIGO.Cnig_chr_I.g1615.t2	1	1395	+	1395	505	509	568	241	235	284
CBRIG.I.g2085.t3__CNIGO.Cnig_chr_I.g1709.t1	CNIGO.Cnig_chr_I.g1709.t1	1	1146	+	1146	444	443	484	317	262	250
CBRIG.I.g2123.t1__CNIGO.Cnig_chr_I.g1766.t2	CNIGO.Cnig_chr_I.g1766.t2	1	1959	+	1959	826	799	669	371	381	337
CBRIG.I.g2149.t1__CNIGO.Cnig_chr_I.g1742.t1	CNIGO.Cnig_chr_I.g1742.t1	1	1242	+	1242	495	458	423	498	524	426
CBRIG.I.g2162.t1__CNIGO.Cnig_chr_I.g1789.t1	CNIGO.Cnig_chr_I.g1789.t1	1	438	+	438	344	339	389	134	103	47
CBRIG.I.g2171.t1__CNIGO.Cnig_chr_I.g1796.t1	CNIGO.Cnig_chr_I.g1796.t1	1	972	+	972	2286	2288	2306	379	330	367
CBRIG.I.g2193.t3__CNIGO.Cnig_chr_I.g1821.t1	CNIGO.Cnig_chr_I.g1821.t1	1	1587	+	1587	622	631	640	658	634	713
CBRIG.I.g2199.t2__CNIGO.Cnig_chr_I.g1827.t1	CNIGO.Cnig_chr_I.g1827.t1	1	369	+	369	114	90	116	71	62	61
CBRIG.I.g2203.t1__CNIGO.Cnig_chr_I.g1831.t1	CNIGO.Cnig_chr_I.g1831.t1	1	528	+	528	395	442	392	148	117	104
CBRIG.I.g2294.t2__CNIGO.Cnig_chr_I.g1920.t1	CNIGO.Cnig_chr_I.g1920.t1	1	1101	+	1101	2168	2041	2406	511	561	454
CBRIG.I.g2299.t1__CNIGO.Cnig_chr_I.g1925.t1	CNIGO.Cnig_chr_I.g1925.t1	1	219	+	219	145	63	86	115	102	183
CBRIG.I.g2398.t1__CNIGO.Cnig_chr_I.g2084.t1	CNIGO.Cnig_chr_I.g2084.t1	1	936	+	936	409	324	430	194	186	230
CBRIG.I.g2416.t2__CNIGO.Cnig_chr_I.g2070.t2	CNIGO.Cnig_chr_I.g2070.t2	1	522	+	522	594	563	628	79	117	90
CBRIG.I.g2417.t2__CNIGO.Cnig_chr_I.g2069.t2	CNIGO.Cnig_chr_I.g2069.t2	1	948	+	948	2298	2163	2228	310	341	436
CBRIG.I.g2423.t1__CNIGO.Cnig_chr_I.g2063.t2	CNIGO.Cnig_chr_I.g2063.t2	1	858	+	858	327	327	297	203	166	187
CBRIG.I.g2513.t1__CNIGO.Cnig_chr_I.g1992.t1	CNIGO.Cnig_chr_I.g1992.t1	1	1323	+	1323	1570	1582	1618	689	874	729
CBRIG.I.g2517.t1__CNIGO.Cnig_chr_I.g1988.t1	CNIGO.Cnig_chr_I.g1988.t1	1	519	+	519	437	425	438	319	281	305
CBRIG.I.g2526.t1__CNIGO.Cnig_chr_I.g2100.t1	CNIGO.Cnig_chr_I.g2100.t1	1	465	+	465	220	227	198	101	106	70
CBRIG.I.g2529.t1__CNIGO.Cnig_chr_I.g2102.t1	CNIGO.Cnig_chr_I.g2102.t1	1	804	+	804	300	307	307	157	155	158
CBRIG.I.g2547.t2__CNIGO.Cnig_chr_I.g2120.t2	CNIGO.Cnig_chr_I.g2120.t2	1	600	+	600	231	208	250	98	197	152
CBRIG.I.g2549.t2__CNIGO.Cnig_chr_I.g2123.t2	CNIGO.Cnig_chr_I.g2123.t2	1	1044	+	1044	923	819	756	244	203	214
CBRIG.I.g2552.t2__CNIGO.Cnig_chr_I.g2128.t1	CNIGO.Cnig_chr_I.g2128.t1	1	3231	+	3231	1241	1425	1375	1754	1978	1895
CBRIG.I.g2560.t1__CNIGO.Cnig_chr_I.g2135.t1	CNIGO.Cnig_chr_I.g2135.t1	1	477	+	477	208	180	194	339	349	289
CBRIG.I.g2619.t1__CNIGO.Cnig_chr_I.g2205.t1	CNIGO.Cnig_chr_I.g2205.t1	1	2019	+	2019	9002	8949	9146	1129	1137	1140
CBRIG.I.g2640.t1__CNIGO.Cnig_chr_I.g2225.t2	CNIGO.Cnig_chr_I.g2225.t2	1	1275	+	1275	6205	6424	6341	1051	995	1018
CBRIG.I.g2651.t1__CNIGO.Cnig_chr_I.g2235.t1	CNIGO.Cnig_chr_I.g2235.t1	1	957	+	957	971	1222	1117	556	532	525
CBRIG.I.g2655.t1__CNIGO.Cnig_chr_I.g2248.t1	CNIGO.Cnig_chr_I.g2248.t1	1	1089	+	1089	406	396	513	142	179	235
CBRIG.I.g2683.t1__CNIGO.Cnig_chr_I.g2275.t1	CNIGO.Cnig_chr_I.g2275.t1	1	606	+	606	716	813	720	211	236	275
CBRIG.I.g2697.t1__CNIGO.Cnig_chr_I.g2287.t1	CNIGO.Cnig_chr_I.g2287.t1	1	867	+	867	314	312	333	316	386	382
CBRIG.I.g2725.t1__CNIGO.Cnig_chr_I.g2319.t1	CNIGO.Cnig_chr_I.g2319.t1	1	399	+	399	171	175	146	107	93	99
CBRIG.I.g2735.t1__CNIGO.Cnig_chr_I.g2327.t1	CNIGO.Cnig_chr_I.g2327.t1	1	1110	+	1110	429	408	535	241	184	219
CBRIG.I.g2758.t1__CNIGO.Cnig_chr_I.g2361.t1	CNIGO.Cnig_chr_I.g2361.t1	1	963	+	963	373	431	382	389	409	413
CBRIG.I.g2782.t1__CNIGO.Cnig_chr_I.g2394.t2	CNIGO.Cnig_chr_I.g2394.t2	1	807	+	807	933	1026	1059	135	151	150
CBRIG.I.g2795.t3__CNIGO.Cnig_chr_I.g2411.t2	CNIGO.Cnig_chr_I.g2411.t2	1	1116	+	1116	506	442	458	902	804	816
CBRIG.I.g2830.t1__CNIGO.Cnig_chr_I.g2443.t1	CNIGO.Cnig_chr_I.g2443.t1	1	1623	+	1623	640	669	641	292	367	315
CBRIG.I.g2847.t1__CNIGO.Cnig_chr_I.g2464.t1	CNIGO.Cnig_chr_I.g2464.t1	1	1539	+	1539	618	527	616	298	324	300
CBRIG.I.g2850.t1__CNIGO.Cnig_chr_I.g2467.t1	CNIGO.Cnig_chr_I.g2467.t1	1	1263	+	1263	936	1081	989	617	535	530
CBRIG.I.g2874.t1__CNIGO.Cnig_chr_I.g2498.t1	CNIGO.Cnig_chr_I.g2498.t1	1	273	+	273	127	88	60	131	148	204
CBRIG.I.g2910.t1__CNIGO.Cnig_chr_I.g2525.t2	CNIGO.Cnig_chr_I.g2525.t2	1	324	+	324	117	151	114	133	106	125
CBRIG.I.g2924.t1__CNIGO.Cnig_chr_I.g2539.t1	CNIGO.Cnig_chr_I.g2539.t1	1	4638	+	4638	7719	7539	7635	4634	4318	4814
CBRIG.I.g2950.t1__CNIGO.Cnig_chr_I.g2578.t1	CNIGO.Cnig_chr_I.g2578.t1	1	966	+	966	394	352	351	196	186	212
CBRIG.I.g2968.t1__CNIGO.Cnig_chr_I.g2595.t1	CNIGO.Cnig_chr_I.g2595.t1	1	324	+	324	728	572	684	125	148	107
CBRIG.I.g2975.t1__CNIGO.Cnig_chr_I.g2601.t1	CNIGO.Cnig_chr_I.g2601.t1	1	1626	+	1626	1800	2016	1970	282	273	306
CBRIG.I.g3000.t1__CNIGO.Cnig_chr_I.g2632.t1	CNIGO.Cnig_chr_I.g2632.t1	1	2253	+	2253	1840	1748	1920	416	410	515
CBRIG.I.g3003.t1__CNIGO.Cnig_chr_I.g2635.t3	CNIGO.Cnig_chr_I.g2635.t3	1	834	+	834	341	327	415	153	222	133
CBRIG.I.g3031.t1__CNIGO.Cnig_chr_I.g2664.t1	CNIGO.Cnig_chr_I.g2664.t1	1	813	+	813	363	235	314	657	588	721
CBRIG.I.g3119.t1__CNIGO.Cnig_chr_I.g2776.t1	CNIGO.Cnig_chr_I.g2776.t1	1	1107	+	1107	1393	1153	1418	205	210	241
CBRIG.I.g3152.t1__CNIGO.Cnig_chr_I.g2813.t1	CNIGO.Cnig_chr_I.g2813.t1	1	576	+	576	175	241	179	117	103	124
CBRIG.I.g3171.t1__CNIGO.Cnig_chr_I.g2897.t1	CNIGO.Cnig_chr_I.g2897.t1	1	234	+	234	111	105	118	149	145	129
CBRIG.I.g3204.t1__CNIGO.Cnig_chr_I.g2954.t1	CNIGO.Cnig_chr_I.g2954.t1	1	666	+	666	281	244	192	172	105	104
CBRIG.I.g3213.t1__CNIGO.Cnig_chr_I.g2964.t1	CNIGO.Cnig_chr_I.g2964.t1	1	891	+	891	315	357	382	204	186	201
CBRIG.I.g3222.t1__CNIGO.Cnig_chr_I.g2975.t1	CNIGO.Cnig_chr_I.g2975.t1	1	327	+	327	125	139	111	110	53	62
CBRIG.I.g3263.t2__CNIGO.Cnig_chr_I.g3034.t1	CNIGO.Cnig_chr_I.g3034.t1	1	3924	+	3924	7869	7797	7886	2397	2475	2337
CBRIG.I.g3279.t1__CNIGO.Cnig_chr_I.g3060.t2	CNIGO.Cnig_chr_I.g3060.t2	1	426	+	426	356	358	371	64	100	78
CBRIG.I.g3280.t1__CNIGO.Cnig_chr_I.g3061.t2	CNIGO.Cnig_chr_I.g3061.t2	1	2763	+	2763	2314	2226	2190	596	624	642
CBRIG.I.g3459.t1__CNIGO.Cnig_chr_I.g3225.t1	CNIGO.Cnig_chr_I.g3225.t1	1	375	+	375	160	178	142	76	62	73
CBRIG.I.g3476.t1__CNIGO.Cnig_chr_I.g3202.t1	CNIGO.Cnig_chr_I.g3202.t1	1	381	+	381	1009	1096	1030	168	178	170
CBRIG.I.g3527.t2__CNIGO.Cnig_chr_I.g3435.t1	CNIGO.Cnig_chr_I.g3435.t1	1	2349	+	2349	5705	5727	5654	405	427	461
CBRIG.I.g3532.t2__CNIGO.Cnig_chr_I.g3442.t1	CNIGO.Cnig_chr_I.g3442.t1	1	1200	+	1200	460	477	532	208	204	274
CBRIG.I.g3581.t2__CNIGO.Cnig_chr_I.g3511.t1	CNIGO.Cnig_chr_I.g3511.t1	1	261	+	261	444	475	546	73	32	66
CBRIG.I.g3612.t5__CNIGO.Cnig_chr_I.g3562.t3	CNIGO.Cnig_chr_I.g3562.t3	1	3360	+	3360	1265	1428	1339	689	693	665
CBRIG.I.g3663.t1__CNIGO.Cnig_chr_I.g3607.t1	CNIGO.Cnig_chr_I.g3607.t1	1	675	+	675	289	224	242	119	164	112
CBRIG.I.g3685.t1__CNIGO.Cnig_chr_I.g3646.t1	CNIGO.Cnig_chr_I.g3646.t1	1	762	+	762	272	362	325	150	172	137
CBRIG.I.g3715.t2__CNIGO.Cnig_chr_I.g3733.t3	CNIGO.Cnig_chr_I.g3733.t3	1	1461	+	1461	2423	2283	2306	277	272	256
CBRIG.I.g3773.t1__CNIGO.Cnig_chr_I.g3793.t2	CNIGO.Cnig_chr_I.g3793.t2	1	1617	+	1617	671	592	653	701	541	597
CBRIG.I.g3779.t1__CNIGO.Cnig_chr_I.g3798.t1	CNIGO.Cnig_chr_I.g3798.t1	1	912	+	912	420	339	324	173	204	236
CBRIG.I.g3892.t1__CNIGO.Cnig_chr_I.g3948.t1	CNIGO.Cnig_chr_I.g3948.t1	1	273	+	273	101	77	105	109	112	98
CBRIG.I.g3901.t1__CNIGO.Cnig_chr_I.g3940.t1	CNIGO.Cnig_chr_I.g3940.t1	1	861	+	861	355	326	360	204	153	157
CBRIG.I.g3903.t1__CNIGO.Cnig_chr_I.g3938.t1	CNIGO.Cnig_chr_I.g3938.t1	1	1536	+	1536	1142	1301	1362	331	264	389
CBRIG.I.g3915.t1__CNIGO.Cnig_chr_I.g3926.t1	CNIGO.Cnig_chr_I.g3926.t1	1	2700	+	2700	956	1049	1140	1606	1627	1695
CBRIG.I.g3919.t1__CNIGO.Cnig_chr_I.g3921.t1	CNIGO.Cnig_chr_I.g3921.t1	1	660	+	660	245	234	270	402	402	395
CBRIG.I.g3920.t1__CNIGO.Cnig_chr_I.g3920.t1	CNIGO.Cnig_chr_I.g3920.t1	1	351	+	351	429	384	372	65	83	83
CBRIG.I.g730.t1__CNIGO.Cnig_chr_I.g100.t1	CNIGO.Cnig_chr_I.g100.t1	1	441	+	441	588	528	525	54	128	84
CBRIG.I.g779.t1__CNIGO.Cnig_chr_I.g222.t1	CNIGO.Cnig_chr_I.g222.t1	1	1122	+	1122	4454	4628	4509	440	459	462
CBRIG.I.g801.t1__CNIGO.Cnig_chr_I.g250.t1	CNIGO.Cnig_chr_I.g250.t1	1	1488	+	1488	629	576	539	270	289	301
CBRIG.I.g821.t1__CNIGO.Cnig_chr_I.g294.t2	CNIGO.Cnig_chr_I.g294.t2	1	3426	+	3426	2632	2662	2665	2064	2044	2115
CBRIG.I.g829.t1__CNIGO.Cnig_chr_I.g302.t2	CNIGO.Cnig_chr_I.g302.t2	1	1629	+	1629	1345	1399	1303	675	660	652
CBRIG.I.g833.t2__CNIGO.Cnig_chr_I.g300.t2	CNIGO.Cnig_chr_I.g300.t2	1	2358	+	2358	3968	3776	3745	415	518	553
CBRIG.I.g841.t2__CNIGO.Cnig_chr_I.g309.t1	CNIGO.Cnig_chr_I.g309.t1	1	225	+	225	370	426	345	56	27	32
CBRIG.I.g885.t1__CNIGO.Cnig_chr_I.g370.t1	CNIGO.Cnig_chr_I.g370.t1	1	543	+	543	205	198	209	96	99	115
CBRIG.I.g886.t1__CNIGO.Cnig_chr_I.g371.t1	CNIGO.Cnig_chr_I.g371.t1	1	1377	+	1377	1231	1044	1161	239	241	262
CBRIG.I.g894.t1__CNIGO.Cnig_chr_I.g379.t2	CNIGO.Cnig_chr_I.g379.t2	1	1290	+	1290	1537	1574	1600	221	261	301
CBRIG.I.g898.t1__CNIGO.Cnig_chr_I.g383.t1	CNIGO.Cnig_chr_I.g383.t1	1	615	+	615	209	254	205	135	115	131
CBRIG.I.g919.t3__CNIGO.Cnig_chr_I.g408.t1	CNIGO.Cnig_chr_I.g408.t1	1	867	+	867	347	451	346	165	246	151
CBRIG.I.g942.t1__CNIGO.Cnig_chr_I.g430.t1	CNIGO.Cnig_chr_I.g430.t1	1	2361	+	2361	1037	902	799	1263	1558	1393
CBRIG.I.g943.t1__CNIGO.Cnig_chr_I.g429.t1	CNIGO.Cnig_chr_I.g429.t1	1	306	+	306	125	144	127	98	108	126
CBRIG.I.g944.t1__CNIGO.Cnig_chr_I.g428.t2	CNIGO.Cnig_chr_I.g428.t2	1	1224	+	1224	450	528	490	254	311	254
CBRIG.I.g975.t1__CNIGO.Cnig_chr_I.g463.t2	CNIGO.Cnig_chr_I.g463.t2	1	2430	+	2430	999	1045	942	471	519	506
CBRIG.II.g3927.t1__CNIGO.Cnig_chr_II.g3973.t1	CNIGO.Cnig_chr_II.g3973.t1	1	1068	+	1068	408	401	516	227	194	202
CBRIG.II.g3934.t1__CNIGO.Cnig_chr_II.g3981.t1	CNIGO.Cnig_chr_II.g3981.t1	1	1071	+	1071	436	446	467	203	222	216
CBRIG.II.g3961.t1__CNIGO.Cnig_chr_II.g4012.t1	CNIGO.Cnig_chr_II.g4012.t1	1	1557	+	1557	656	561	713	601	531	567
CBRIG.II.g3980.t1__CNIGO.Cnig_chr_II.g4031.t1	CNIGO.Cnig_chr_II.g4031.t1	1	645	+	645	280	306	266	402	434	313
CBRIG.II.g3989.t1__CNIGO.Cnig_chr_II.g4041.t1	CNIGO.Cnig_chr_II.g4041.t1	1	1254	+	1254	1373	1498	1387	294	260	325
CBRIG.II.g4041.t1__CNIGO.Cnig_chr_II.g4120.t1	CNIGO.Cnig_chr_II.g4120.t1	1	1269	+	1269	3481	3697	3436	494	421	525
CBRIG.II.g4104.t1__CNIGO.Cnig_chr_II.g4192.t2	CNIGO.Cnig_chr_II.g4192.t2	1	1281	+	1281	505	554	539	228	270	292
CBRIG.II.g4126.t1__CNIGO.Cnig_chr_II.g4222.t2	CNIGO.Cnig_chr_II.g4222.t2	1	1377	+	1377	584	648	532	311	276	278
CBRIG.II.g4142.t1__CNIGO.Cnig_chr_II.g4205.t1	CNIGO.Cnig_chr_II.g4205.t1	1	720	+	720	313	240	291	110	128	144
CBRIG.II.g4167.t2__CNIGO.Cnig_chr_II.g4238.t3	CNIGO.Cnig_chr_II.g4238.t3	1	1692	+	1692	1510	1357	1417	405	409	381
CBRIG.II.g4218.t1__CNIGO.Cnig_chr_II.g7837.t1	CNIGO.Cnig_chr_II.g7837.t1	1	237	+	237	98	74	63	66	45	45
CBRIG.II.g4249.t1__CNIGO.Cnig_chr_II.g4388.t3	CNIGO.Cnig_chr_II.g4388.t3	1	2112	+	2112	850	953	908	792	834	794
CBRIG.II.g4252.t1__CNIGO.Cnig_chr_II.g4392.t1	CNIGO.Cnig_chr_II.g4392.t1	1	954	+	954	454	363	377	549	599	604
CBRIG.II.g4263.t1__CNIGO.Cnig_chr_II.g4400.t1	CNIGO.Cnig_chr_II.g4400.t1	1	1116	+	1116	413	425	406	733	633	612
CBRIG.II.g4298.t1__CNIGO.Cnig_chr_II.g4465.t2	CNIGO.Cnig_chr_II.g4465.t2	1	3189	+	3189	1357	1285	1228	571	584	603
CBRIG.II.g4312.t1__CNIGO.Cnig_chr_II.g4485.t1	CNIGO.Cnig_chr_II.g4485.t1	1	654	+	654	465	467	524	367	421	393
CBRIG.II.g4339.t1__CNIGO.Cnig_chr_II.g4523.t2	CNIGO.Cnig_chr_II.g4523.t2	1	1155	+	1155	846	909	871	229	254	228
CBRIG.II.g4375.t1__CNIGO.Cnig_chr_II.g4562.t1	CNIGO.Cnig_chr_II.g4562.t1	1	1503	+	1503	681	612	622	518	536	529
CBRIG.II.g4383.t1__CNIGO.Cnig_chr_II.g4568.t1	CNIGO.Cnig_chr_II.g4568.t1	1	288	+	288	114	110	108	44	46	60
CBRIG.II.g4385.t2__CNIGO.Cnig_chr_II.g4570.t1	CNIGO.Cnig_chr_II.g4570.t1	1	621	+	621	254	229	261	372	383	339
CBRIG.II.g4386.t1__CNIGO.Cnig_chr_II.g4571.t1	CNIGO.Cnig_chr_II.g4571.t1	1	978	+	978	387	447	345	192	162	202
CBRIG.II.g4400.t1__CNIGO.Cnig_chr_II.g4586.t1	CNIGO.Cnig_chr_II.g4586.t1	1	537	+	537	169	212	162	124	117	174
CBRIG.II.g4412.t1__CNIGO.Cnig_chr_II.g4602.t1	CNIGO.Cnig_chr_II.g4602.t1	1	1785	+	1785	697	634	690	346	377	359
