gene_id	HF2_Cbr	HF2_Cni
I.g1083.t2__Cnig_chr_I.g63.t1	3536	5636
I.g1084.t2__Cnig_chr_I.g60.t2	4122	5408
I.g1085.t1__Cnig_chr_I.g59.t1	969	1813
I.g1086.t1__Cnig_chr_I.g58.t1	1176	719
I.g1087.t1__Cnig_chr_I.g57.t1	31	19
I.g1088.t1__Cnig_chr_I.g56.t1	105	35
I.g1089.t2__Cnig_chr_I.g55.t2	120	9
I.g1090.t1__Cnig_chr_I.g54.t1	4937	2181
I.g1091.t1__Cnig_chr_I.g53.t1	580	285
I.g1092.t1__Cnig_chr_I.g52.t2	1170	798
I.g1093.t2__Cnig_chr_I.g51.t2	6	15
I.g1094.t2__Cnig_chr_I.g50.t1	2010	1315
I.g1095.t1__Cnig_chr_I.g49.t1	1858	1384
I.g1096.t1__Cnig_chr_I.g48.t2	2564	1483
I.g1097.t1__Cnig_chr_I.g47.t2	87	44
I.g1099.t2__Cnig_chr_I.g46.t2	159	74
I.g1100.t1__Cnig_chr_I.g45.t1	929	987
I.g1101.t1__Cnig_chr_I.g44.t1	5440	4220
I.g1102.t1__Cnig_chr_I.g43.t1	3056	1427
I.g1103.t1__Cnig_chr_I.g42.t1	2025	1566
I.g1104.t1__Cnig_chr_I.g41.t3	28	10
I.g1105.t1__Cnig_chr_I.g40.t1	304	984
I.g1109.t1__Cnig_chr_I.g38.t3	2	5
I.g1112.t2__Cnig_chr_I.g35.t2	179	173
I.g1114.t2__Cnig_chr_I.g34.t2	21	12
I.g1115.t3__Cnig_chr_I.g33.t3	1972	839
I.g1116.t1__Cnig_chr_I.g29.t1	2019	1253
I.g1117.t1__Cnig_chr_I.g28.t1	4560	2914
I.g1119.t1__Cnig_chr_I.g26.t1	637	1039
I.g1120.t1__Cnig_chr_I.g25.t1	1798	2421
I.g1121.t1__Cnig_chr_I.g24.t1	5	2
I.g1123.t1__Cnig_chr_I.g22.t2	1	2
I.g1125.t1__Cnig_chr_I.g19.t1	176	270
I.g1126.t1__Cnig_chr_I.g18.t1	2	3
I.g1129.t1__Cnig_chr_I.g16.t1	321	5249
I.g1130.t2__Cnig_chr_I.g15.t1	1	0
I.g1131.t2__Cnig_chr_I.g9.t1	1	1
I.g1132.t1__Cnig_chr_I.g8.t1	67	66
I.g1133.t3__Cnig_chr_I.g6.t1	3987	811
I.g1134.t1__Cnig_chr_I.g5.t1	42098	42665
I.g1135.t1__Cnig_chr_I.g4.t1	5781	5047
I.g1141.t1__Cnig_chr_I.g623.t1	331	195
I.g1142.t1__Cnig_chr_I.g624.t1	440	533
I.g1143.t2__Cnig_chr_I.g625.t1	2572	3680
I.g1144.t2__Cnig_chr_I.g1613.t1	79	2926
I.g1147.t1__Cnig_chr_I.g632.t2	5	1
I.g1148.t1__Cnig_chr_I.g633.t1	0	0
I.g1149.t1__Cnig_chr_I.g635.t1	71	35
I.g1150.t1__Cnig_chr_I.g639.t1	0	10
I.g1151.t1__Cnig_chr_I.g640.t1	203	172
I.g1152.t1__Cnig_chr_I.g641.t1	1	3
I.g1154.t1__Cnig_chr_I.g644.t3	1693	3989
I.g1155.t1__Cnig_chr_I.g645.t1	47	99
I.g1156.t1__Cnig_chr_I.g646.t2	300	1564
I.g1158.t1__Cnig_chr_I.g647.t1	1984	1939
I.g1159.t1__Cnig_chr_I.g648.t1	99047	78685
I.g1160.t1__Cnig_chr_I.g649.t1	135	180
I.g1161.t1__Cnig_chr_I.g650.t3	6455	4093
I.g1162.t2__Cnig_chr_I.g651.t2	11975	3635
I.g1163.t2__Cnig_chr_I.g653.t1	14955	9580
I.g1165.t1__Cnig_chr_I.g655.t1	933	2364
I.g1166.t1__Cnig_chr_I.g657.t2	802	1019
I.g1167.t1__Cnig_chr_I.g656.t1	2219	727
I.g1168.t3__Cnig_chr_I.g658.t2	321	111
I.g1169.t1__Cnig_chr_I.g659.t1	45	10
I.g1170.t1__Cnig_chr_I.g660.t2	575	214
I.g1171.t1__Cnig_chr_I.g662.t1	14	55
I.g1172.t1__Cnig_chr_I.g663.t2	7478	1003
I.g1173.t2__Cnig_chr_I.g666.t3	180	1488
I.g1175.t2__Cnig_chr_I.g668.t2	5190	3886
I.g1176.t1__Cnig_chr_I.g674.t1	66	0
I.g1180.t1__Cnig_chr_I.g698.t1	1136	346
I.g1181.t1__Cnig_chr_I.g697.t1	4262	2194
I.g1182.t2__Cnig_chr_I.g696.t1	2428	827
I.g1183.t1__Cnig_chr_I.g695.t1	4669	1122
I.g1184.t1__Cnig_chr_I.g694.t2	10209	3703
I.g1185.t1__Cnig_chr_I.g693.t1	33	9
I.g1186.t1__Cnig_chr_I.g692.t1	1809	453
I.g1187.t1__Cnig_chr_I.g691.t1	40908	24965
I.g1188.t1__Cnig_chr_I.g690.t1	43745	17028
I.g1189.t1__Cnig_chr_I.g689.t1	3556	1916
I.g1190.t1__Cnig_chr_I.g688.t1	718	702
I.g1191.t1__Cnig_chr_I.g687.t1	12	6
I.g1195.t1__Cnig_chr_I.g683.t2	6	2
I.g1196.t1__Cnig_chr_I.g682.t3	8629	3359
I.g1197.t1__Cnig_chr_I.g680.t1	11120	1249
I.g1198.t1__Cnig_chr_I.g702.t1	1798	913
I.g1199.t1__Cnig_chr_I.g704.t1	138	16
I.g1200.t1__Cnig_chr_I.g705.t1	36	37
I.g1201.t1__Cnig_chr_I.g706.t1	51	23
I.g1205.t1__Cnig_chr_I.g676.t1	1	0
I.g1211.t2__Cnig_chr_I.g751.t1	4831	1826
I.g1212.t1__Cnig_chr_I.g752.t1	12994	8770
I.g1213.t3__Cnig_chr_I.g753.t3	144	2
I.g1217.t1__Cnig_chr_I.g763.t1	13190	7107
I.g1218.t2__Cnig_chr_I.g766.t1	24	748
I.g1221.t1__Cnig_chr_I.g778.t1	84	67
I.g1222.t1__Cnig_chr_I.g779.t1	73	56
I.g1226.t1__Cnig_chr_I.g549.t1	768	2217
I.g1232.t1__Cnig_chr_I.g788.t1	1972	1718
I.g1233.t1__Cnig_chr_I.g787.t1	1848	619
I.g1234.t1__Cnig_chr_I.g786.t1	2550	1828
I.g1235.t2__Cnig_chr_I.g785.t1	186	93
I.g1236.t2__Cnig_chr_I.g784.t1	332	293
I.g1237.t1__Cnig_chr_I.g783.t1	4165	2060
I.g1241.t1__Cnig_chr_I.g794.t1	324	564
I.g1242.t1__Cnig_chr_I.g795.t3	4483	4243
I.g1243.t1__Cnig_chr_I.g798.t1	40970	25998
I.g1244.t1__Cnig_chr_I.g799.t1	1471	823
I.g1245.t1__Cnig_chr_I.g800.t1	3716	2900
I.g1246.t1__Cnig_chr_I.g803.t1	3972	3133
I.g1247.t1__Cnig_chr_I.g804.t1	1660	1415
I.g1248.t3__Cnig_chr_I.g805.t1	1493	1293
I.g1249.t1__Cnig_chr_I.g806.t1	2575	2071
I.g1252.t1__Cnig_chr_I.g809.t3	140	96
I.g1254.t3__Cnig_chr_I.g811.t1	9919	5791
I.g1255.t1__Cnig_chr_I.g814.t1	27	15
I.g1256.t3__Cnig_chr_I.g815.t2	39	13
I.g1258.t2__Cnig_chr_I.g818.t1	5192	6081
I.g1259.t1__Cnig_chr_I.g819.t1	161	124
I.g1263.t1__Cnig_chr_I.g825.t1	33412	31434
I.g1264.t3__Cnig_chr_I.g830.t1	3530	4033
I.g1265.t1__Cnig_chr_I.g831.t1	3772	1321
I.g1266.t2__Cnig_chr_I.g833.t1	6644	1746
I.g1268.t1__Cnig_chr_I.g835.t2	322	1079
I.g1269.t1__Cnig_chr_I.g836.t1	7131	4802
I.g1271.t2__Cnig_chr_I.g838.t2	57	14
I.g1272.t1__Cnig_chr_I.g839.t1	2969	1693
I.g1273.t2__Cnig_chr_I.g840.t1	1186	1231
I.g1274.t1__Cnig_chr_I.g841.t1	66	52
I.g1275.t1__Cnig_chr_I.g842.t1	3919	1972
I.g1276.t1__Cnig_chr_I.g843.t1	6281	3047
I.g1280.t1__Cnig_chr_I.g851.t1	1333	1039
I.g1281.t2__Cnig_chr_I.g852.t1	309	130
I.g1282.t1__Cnig_chr_I.g853.t1	233	98
I.g1283.t1__Cnig_chr_I.g854.t1	5	6
I.g1285.t3__Cnig_chr_I.g856.t1	2	1
I.g1287.t2__Cnig_chr_I.g857.t1	46	10
I.g1288.t1__Cnig_chr_I.g858.t1	3257	3609
I.g1289.t1__Cnig_chr_I.g859.t1	7153	7167
I.g1290.t1__Cnig_chr_I.g860.t1	674	776
I.g1291.t1__Cnig_chr_I.g861.t1	3071	2772
I.g1292.t3__Cnig_chr_I.g862.t2	9213	8715
I.g1293.t1__Cnig_chr_I.g864.t1	18036	18791
I.g1295.t1__Cnig_chr_I.g865.t2	802	771
I.g1296.t2__Cnig_chr_I.g866.t3	36	19
I.g1297.t1__Cnig_chr_I.g867.t1	2731	1671
I.g1298.t1__Cnig_chr_I.g868.t1	3680	1540
I.g1299.t1__Cnig_chr_I.g869.t1	10517	4217
I.g1300.t3__Cnig_chr_I.g870.t3	6516	7616
I.g1306.t1__Cnig_chr_I.g872.t1	8	2
I.g1309.t1__Cnig_chr_I.g874.t1	224	217
I.g1311.t1__Cnig_chr_I.g875.t3	1024	1833
I.g1313.t1__Cnig_chr_I.g878.t1	11152	3401
I.g1314.t3__Cnig_chr_I.g879.t1	343	140
I.g1315.t1__Cnig_chr_I.g880.t1	148	101
I.g1316.t1__Cnig_chr_I.g881.t2	4966	4536
I.g1317.t1__Cnig_chr_I.g882.t1	3063	2039
I.g1318.t3__Cnig_chr_I.g883.t1	345	156
I.g1319.t1__Cnig_chr_I.g884.t1	14	36
I.g1320.t1__Cnig_chr_I.g885.t1	3	0
I.g1321.t3__Cnig_chr_I.g886.t2	4	17
I.g1322.t1__Cnig_chr_I.g887.t1	7793	9778
I.g1323.t1__Cnig_chr_I.g888.t1	2391	2653
I.g1325.t1__Cnig_chr_I.g890.t1	176	273
I.g1326.t1__Cnig_chr_I.g892.t1	24	2
I.g1327.t3__Cnig_chr_I.g893.t1	322	246
I.g1328.t1__Cnig_chr_I.g899.t1	2501	3701
I.g1329.t1__Cnig_chr_I.g901.t2	515	199
I.g1330.t1__Cnig_chr_I.g902.t1	21	16
I.g1331.t1__Cnig_chr_I.g903.t1	5993	6170
I.g1332.t2__Cnig_chr_I.g904.t1	142	241
I.g1333.t2__Cnig_chr_I.g905.t1	5398	7668
I.g1334.t1__Cnig_chr_I.g906.t1	14833	5082
I.g1336.t1__Cnig_chr_I.g908.t1	5672	3699
I.g1337.t1__Cnig_chr_I.g909.t1	36134	23963
I.g1339.t1__Cnig_chr_I.g928.t1	124	14
I.g1340.t2__Cnig_chr_I.g929.t1	138	14
I.g1341.t1__Cnig_chr_I.g930.t1	14318	5594
I.g1342.t1__Cnig_chr_I.g931.t1	53	18
I.g1343.t2__Cnig_chr_I.g932.t1	4858	2963
I.g1344.t1__Cnig_chr_I.g933.t1	1112	1054
I.g1347.t1__Cnig_chr_I.g934.t1	52	134
I.g1348.t1__Cnig_chr_I.g935.t1	12	2
I.g1349.t1__Cnig_chr_I.g938.t2	145	16
I.g1350.t2__Cnig_chr_I.g940.t1	10230	4034
I.g1351.t1__Cnig_chr_I.g941.t1	10099	3998
I.g1352.t1__Cnig_chr_I.g942.t1	2795	686
I.g1353.t1__Cnig_chr_I.g949.t1	578	319
I.g1354.t1__Cnig_chr_I.g950.t2	1618	1015
I.g1355.t1__Cnig_chr_I.g951.t1	175	29
I.g1356.t4__Cnig_chr_I.g952.t1	15242	9870
I.g1357.t4__Cnig_chr_I.g953.t1	71	49
I.g1359.t1__Cnig_chr_I.g954.t1	595	195
I.g1360.t1__Cnig_chr_I.g956.t2	24	4
I.g1361.t1__Cnig_chr_I.g957.t1	6966	3719
I.g1362.t1__Cnig_chr_I.g958.t1	2038	2034
I.g1363.t1__Cnig_chr_I.g959.t1	3652	10928
I.g1364.t1__Cnig_chr_I.g990.t1	5	1
I.g1365.t1__Cnig_chr_I.g989.t1	10	3
I.g1366.t3__Cnig_chr_I.g988.t2	847	579
I.g1367.t1__Cnig_chr_I.g986.t1	0	0
I.g1368.t1__Cnig_chr_I.g985.t1	1	0
I.g1369.t1__Cnig_chr_I.g983.t1	10	12
I.g1370.t1__Cnig_chr_I.g982.t2	15	193
I.g1371.t3__Cnig_chr_I.g981.t2	2	0
I.g1372.t1__Cnig_chr_I.g980.t1	6620	605
I.g1373.t2__Cnig_chr_I.g979.t3	58	59
I.g1374.t2__Cnig_chr_I.g978.t1	1162	800
I.g1376.t2__Cnig_chr_I.g977.t1	7	12
I.g1377.t3__Cnig_chr_I.g976.t2	195	142
I.g1378.t2__Cnig_chr_I.g975.t1	3663	1882
I.g1379.t1__Cnig_chr_I.g974.t1	1047	1567
I.g1380.t1__Cnig_chr_I.g973.t1	6532	3637
I.g1381.t1__Cnig_chr_I.g972.t1	12425	12482
I.g1382.t1__Cnig_chr_I.g971.t1	2456	1310
I.g1383.t2__Cnig_chr_I.g970.t1	189	130
I.g1387.t2__Cnig_chr_I.g968.t1	863	495
I.g1388.t1__Cnig_chr_I.g967.t1	8915	3883
I.g1389.t1__Cnig_chr_I.g966.t1	1106	1059
I.g1390.t1__Cnig_chr_I.g964.t1	346	200
I.g1391.t1__Cnig_chr_I.g963.t1	11	16
I.g1392.t1__Cnig_chr_I.g962.t1	5812	5408
I.g1394.t1__Cnig_chr_I.g961.t1	4066	5652
I.g1395.t1__Cnig_chr_I.g960.t2	2518	5354
I.g1397.t1__Cnig_chr_I.g991.t1	2	10
I.g1398.t1__Cnig_chr_I.g992.t1	5231	1328
I.g1399.t2__Cnig_chr_I.g994.t1	7	3
I.g1400.t1__Cnig_chr_I.g995.t1	9	7
I.g1401.t2__Cnig_chr_I.g996.t1	2152	1893
I.g1402.t1__Cnig_chr_I.g997.t1	5	10
I.g1403.t1__Cnig_chr_I.g998.t1	4624	2135
I.g1404.t1__Cnig_chr_I.g1000.t1	7448	1666
I.g1405.t1__Cnig_chr_I.g1001.t1	48517	31192
I.g1406.t1__Cnig_chr_I.g1002.t1	10373	11101
I.g1407.t1__Cnig_chr_I.g1004.t1	1574	732
I.g1408.t1__Cnig_chr_I.g1005.t1	930	1979
I.g1409.t2__Cnig_chr_I.g1006.t1	4536	4799
I.g1410.t1__Cnig_chr_I.g1007.t1	5561	9181
I.g1412.t2__Cnig_chr_I.g1009.t1	19402	8931
I.g1413.t1__Cnig_chr_I.g1010.t1	2681	553
I.g1414.t1__Cnig_chr_I.g1011.t1	15676	5134
I.g1415.t1__Cnig_chr_I.g1012.t1	4201	1228
I.g1416.t1__Cnig_chr_I.g1013.t2	7963	3478
I.g1417.t1__Cnig_chr_I.g1015.t1	2249	6494
I.g1418.t1__Cnig_chr_I.g1016.t1	4	2
I.g1419.t1__Cnig_chr_I.g1019.t1	525	259
I.g1422.t1__Cnig_chr_I.g1020.t1	26	40
I.g1423.t1__Cnig_chr_I.g1021.t1	3	5
I.g1424.t1__Cnig_chr_I.g1022.t1	36	30
I.g1425.t1__Cnig_chr_I.g1023.t2	342	63
I.g1426.t2__Cnig_chr_I.g1025.t2	6316	3492
I.g1427.t3__Cnig_chr_I.g1026.t1	12990	9171
I.g1428.t1__Cnig_chr_I.g1028.t1	2996	2273
I.g1429.t1__Cnig_chr_I.g1029.t1	1991	1186
I.g1430.t2__Cnig_chr_I.g1030.t2	39	28
I.g1431.t1__Cnig_chr_I.g1031.t1	4528	2280
I.g1432.t1__Cnig_chr_I.g1032.t1	3223	2416
I.g1434.t1__Cnig_chr_I.g1034.t1	2537	2810
I.g1435.t1__Cnig_chr_I.g1035.t1	2928	3770
I.g1436.t1__Cnig_chr_I.g1036.t1	2092	2368
I.g1437.t2__Cnig_chr_I.g1037.t1	352	399
I.g1438.t3__Cnig_chr_I.g1038.t3	3909	4255
I.g1439.t1__Cnig_chr_I.g1039.t1	4127	1907
I.g1440.t1__Cnig_chr_I.g1040.t1	1616	2057
I.g1441.t3__Cnig_chr_I.g1041.t3	3974	2173
I.g1443.t1__Cnig_chr_I.g1042.t2	1082	208
I.g1444.t1__Cnig_chr_I.g1043.t1	787	1493
I.g1445.t1__Cnig_chr_I.g1044.t1	5	2
I.g1446.t1__Cnig_chr_I.g1045.t1	15	53
I.g1447.t1__Cnig_chr_I.g1046.t1	33	9
I.g1449.t1__Cnig_chr_I.g1047.t1	5	2
I.g1450.t1__Cnig_chr_I.g1048.t1	3	3
I.g1451.t1__Cnig_chr_I.g1050.t1	391	228
I.g1452.t1__Cnig_chr_I.g1051.t1	4439	2689
I.g1453.t1__Cnig_chr_I.g1052.t1	5683	4497
I.g1454.t3__Cnig_chr_I.g1053.t2	25335	23995
I.g1455.t1__Cnig_chr_I.g1054.t1	21198	17048
I.g1456.t3__Cnig_chr_I.g1056.t1	8096	2856
I.g1457.t1__Cnig_chr_I.g1057.t1	2796	2750
I.g1459.t1__Cnig_chr_I.g1058.t2	2510	2447
I.g1460.t1__Cnig_chr_I.g1059.t2	4264	5870
I.g1461.t1__Cnig_chr_I.g1060.t1	4505	8620
I.g1462.t3__Cnig_chr_I.g1062.t1	537	4
I.g1463.t1__Cnig_chr_I.g1063.t1	3	2
I.g1464.t1__Cnig_chr_I.g1064.t1	152	45
I.g1465.t1__Cnig_chr_I.g1065.t1	12090	7840
I.g1466.t3__Cnig_chr_I.g1066.t3	121	53
I.g1467.t3__Cnig_chr_I.g1067.t1	7	1
I.g1468.t1__Cnig_chr_I.g1069.t1	12	0
I.g1469.t1__Cnig_chr_I.g1070.t1	2	3
I.g1470.t3__Cnig_chr_I.g1071.t3	40	26
I.g1473.t1__Cnig_chr_I.g1073.t1	10	2
I.g1475.t1__Cnig_chr_I.g1078.t2	4	11
I.g1476.t1__Cnig_chr_I.g1079.t1	9	51
I.g1479.t1__Cnig_chr_I.g1080.t1	11	18
I.g1482.t1__Cnig_chr_I.g1085.t2	5151	1741
I.g1483.t1__Cnig_chr_I.g1291.t3	1575	1105
I.g1487.t2__Cnig_chr_I.g1099.t1	5	2
I.g1488.t2__Cnig_chr_I.g1101.t2	2095	535
I.g1489.t1__Cnig_chr_I.g1102.t1	278	343
I.g1490.t3__Cnig_chr_I.g1103.t1	3691	2432
I.g1491.t2__Cnig_chr_I.g1105.t1	5505	7864
I.g1492.t2__Cnig_chr_I.g1106.t1	10731	7502
I.g1493.t1__Cnig_chr_I.g1107.t1	5094	7727
I.g1494.t1__Cnig_chr_I.g1108.t1	12880	526
I.g1495.t1__Cnig_chr_I.g1110.t1	226	114
I.g1498.t1__Cnig_chr_I.g1111.t1	521	870
I.g1499.t1__Cnig_chr_I.g1112.t1	2727	7737
I.g1501.t1__Cnig_chr_I.g1113.t1	2196	4948
I.g1502.t1__Cnig_chr_I.g1114.t1	34225	38429
I.g1503.t1__Cnig_chr_I.g1115.t1	182	99
I.g1504.t1__Cnig_chr_I.g1116.t2	6489	7842
I.g1505.t2__Cnig_chr_I.g1117.t1	5651	59
I.g1506.t3__Cnig_chr_I.g1118.t1	944	725
I.g1507.t1__Cnig_chr_I.g1119.t1	24	3
I.g1509.t4__Cnig_chr_I.g1122.t4	5306	4562
I.g1510.t1__Cnig_chr_I.g1123.t1	7599	2912
I.g1512.t1__Cnig_chr_I.g1124.t1	68	4
I.g1513.t1__Cnig_chr_I.g1125.t2	21511	13430
I.g1514.t1__Cnig_chr_I.g1126.t1	11709	13980
I.g1515.t2__Cnig_chr_I.g1127.t2	11134	5350
I.g1516.t1__Cnig_chr_I.g1128.t1	1597	757
I.g1518.t1__Cnig_chr_I.g1129.t1	6943	4130
I.g1519.t2__Cnig_chr_I.g1130.t1	12	9
I.g1520.t1__Cnig_chr_I.g1131.t1	267	138
I.g1521.t1__Cnig_chr_I.g1132.t2	2435	1362
I.g1522.t1__Cnig_chr_I.g1133.t2	12860	8475
I.g1523.t1__Cnig_chr_I.g1134.t1	14018	3494
I.g1525.t1__Cnig_chr_I.g1138.t1	1076	401
I.g1526.t2__Cnig_chr_I.g1139.t2	1389	855
I.g1528.t1__Cnig_chr_I.g1140.t1	6998	4149
I.g1529.t1__Cnig_chr_I.g1141.t1	5781	4632
I.g1530.t1__Cnig_chr_I.g1142.t1	10420	6615
I.g1531.t1__Cnig_chr_I.g1143.t2	470	462
I.g1533.t1__Cnig_chr_I.g1144.t3	2533	4667
I.g1534.t1__Cnig_chr_I.g1145.t1	408	422
I.g1535.t1__Cnig_chr_I.g1146.t2	3509	2248
I.g1536.t1__Cnig_chr_I.g1147.t2	3179	1346
I.g1537.t2__Cnig_chr_I.g1148.t2	418	326
I.g1538.t2__Cnig_chr_I.g1149.t1	1795	1656
I.g1539.t2__Cnig_chr_I.g1150.t1	9033	5955
I.g1540.t1__Cnig_chr_I.g1151.t2	2721	1375
I.g1541.t3__Cnig_chr_I.g1152.t3	15	6
I.g1542.t1__Cnig_chr_I.g1154.t1	4	2
I.g1543.t1__Cnig_chr_I.g1155.t1	4	1
I.g1544.t1__Cnig_chr_I.g1156.t1	5	1
I.g1545.t1__Cnig_chr_I.g1157.t2	2	2
I.g1546.t1__Cnig_chr_I.g1158.t1	3	1
I.g1547.t1__Cnig_chr_I.g1159.t1	9	5
I.g1548.t1__Cnig_chr_I.g1160.t1	4081	4828
I.g1549.t1__Cnig_chr_I.g1161.t1	1127	1144
I.g1550.t2__Cnig_chr_I.g1162.t1	44	26
I.g1551.t1__Cnig_chr_I.g1163.t1	7420	2583
I.g1552.t1__Cnig_chr_I.g1164.t1	10676	5501
I.g1553.t2__Cnig_chr_I.g1165.t2	2800	2497
I.g1554.t1__Cnig_chr_I.g1166.t1	11	4
I.g1555.t1__Cnig_chr_I.g1167.t2	2	5
I.g1556.t1__Cnig_chr_I.g1168.t1	2	3
I.g1557.t1__Cnig_chr_I.g1169.t1	21	8
I.g1558.t1__Cnig_chr_I.g1170.t1	4621	4961
I.g1560.t2__Cnig_chr_I.g1171.t3	2666	2492
I.g1562.t1__Cnig_chr_I.g1172.t2	2563	2954
I.g1563.t1__Cnig_chr_I.g1173.t2	6755	5994
I.g1564.t1__Cnig_chr_I.g1175.t1	5572	3017
I.g1565.t1__Cnig_chr_I.g1176.t2	122	124
I.g1566.t1__Cnig_chr_I.g1177.t1	1609	1057
I.g1567.t1__Cnig_chr_I.g1178.t1	33	37
I.g1568.t1__Cnig_chr_I.g1179.t1	4	6
I.g1569.t1__Cnig_chr_I.g1180.t1	156	56
I.g1571.t3__Cnig_chr_I.g1182.t2	97	4
I.g1572.t1__Cnig_chr_I.g1183.t1	2729	1872
I.g1575.t2__Cnig_chr_I.g1184.t1	7331	5350
I.g1576.t1__Cnig_chr_I.g1185.t3	5243	4451
I.g1577.t1__Cnig_chr_I.g1187.t1	2367	2552
I.g1578.t1__Cnig_chr_I.g1188.t1	1702	2550
I.g1579.t1__Cnig_chr_I.g1189.t1	1455	2341
I.g1581.t2__Cnig_chr_I.g1191.t1	5	5
I.g1582.t1__Cnig_chr_I.g1192.t1	3	7
I.g1584.t1__Cnig_chr_I.g1193.t1	22	39
I.g1585.t1__Cnig_chr_I.g1194.t1	4198	3731
I.g1586.t1__Cnig_chr_I.g1195.t1	2585	4158
I.g1587.t1__Cnig_chr_I.g1196.t1	5756	5658
I.g1588.t3__Cnig_chr_I.g1197.t1	5216	3334
I.g1589.t1__Cnig_chr_I.g1198.t1	129	117
I.g1591.t1__Cnig_chr_I.g1201.t1	6122	7585
I.g1592.t1__Cnig_chr_I.g1202.t1	3494	5862
I.g1593.t1__Cnig_chr_I.g1203.t1	99	16
I.g1594.t1__Cnig_chr_I.g1204.t1	4149	4543
I.g1595.t1__Cnig_chr_I.g1205.t1	8609	7412
I.g1596.t2__Cnig_chr_I.g1206.t1	42	7
I.g1597.t1__Cnig_chr_I.g1207.t1	3323	11013
I.g1598.t2__Cnig_chr_I.g1208.t3	5904	6611
I.g1599.t1__Cnig_chr_I.g1209.t1	3248	3174
I.g1601.t1__Cnig_chr_I.g1211.t1	84	10
I.g1603.t1__Cnig_chr_I.g1213.t1	5	0
I.g1604.t1__Cnig_chr_I.g1214.t1	0	0
I.g1605.t1__Cnig_chr_I.g1215.t2	5	8
I.g1610.t1__Cnig_chr_I.g1216.t2	5534	3217
I.g1611.t1__Cnig_chr_I.g1217.t1	2699	2561
I.g1614.t1__Cnig_chr_I.g1220.t1	114	164
I.g1615.t1__Cnig_chr_I.g1221.t1	4734	4356
I.g1616.t1__Cnig_chr_I.g1222.t2	12049	11794
I.g1617.t1__Cnig_chr_I.g1224.t1	5028	7544
I.g1618.t1__Cnig_chr_I.g1225.t2	114808	187795
I.g1619.t1__Cnig_chr_I.g1226.t1	8868	13238
