Geneid	BF1_Cbr	BF2_Cbr	BF3_Cbr	BM1_Cbr	BM2_Cbr	BM3_Cbr	9F1_Cni	9F2_Cni	9F3_Cni	9M1_Cni	9M2_Cni	9M3_Cni
V.g17807.t1__Cnig_chr_V.g21044.t1	30	15	71	25	33	20	44	69	47	90	58	80
V.g17995.t1__Cnig_chr_V.g21347.t1	53	41	60	15	26	23	11	7	14	5	5	5
V.g17740.t1__Cnig_chr_V.g20922.t1	48	26	51	53	42	45	7	2	3	7	2	6
V.g17739.t1__Cnig_chr_V.g20921.t1	2068	1038	1394	1175	895	1063	122	139	95	120	154	124
V.g17681.t1__Cnig_chr_V.g20858.t1	1	0	0	1	0	0	95	138	136	70	138	135
V.g17683.t1__Cnig_chr_V.g20859.t1	0	0	0	0	1	0	39	48	38	27	46	49
V.g17602.t1__Cnig_chr_V.g20733.t2	3488	1588	1554	3467	3053	2720	461	405	626	279	424	487
III.g10281.t1__Cnig_chr_III.g11793.t1	663	280	419	463	362	345	20	23	17	10	16	19
V.g17539.t1__Cnig_chr_V.g20664.t1	345	192	237	122	84	127	122	84	81	97	113	137
V.g17540.t1__Cnig_chr_V.g20665.t1	132	107	74	79	28	51	43	39	19	32	20	30
V.g17660.t1__Cnig_chr_V.g20813.t1	80	84	63	63	40	46	229	215	212	232	211	221
V.g17663.t1__Cnig_chr_V.g20814.t2	187	169	142	211	150	182	114	114	82	145	138	124
V.g17960.t1__Cnig_chr_V.g21303.t1	64	54	76	41	49	44	19	20	24	19	20	37
V.g18448.t1__Cnig_chr_V.g22011.t1	11	8	5	20	17	18	5	5	7	12	27	25
V.g17542.t1__Cnig_chr_V.g20669.t2	17	3	15	26	23	26	275	206	124	121	192	193
V.g17508.t1__Cnig_chr_V.g20626.t1	97	62	63	70	81	65	61	45	43	47	50	46
V.g17845.t1__Cnig_chr_V.g21274.t1	24	21	23	16	37	25	23	31	12	15	24	18
V.g17752.t1__Cnig_chr_V.g20948.t1	35	30	17	71	20	94	241	195	234	314	257	316
V.g17951.t1__Cnig_chr_V.g21282.t1	245	156	164	204	152	201	139	121	102	52	83	48
V.g18019.t1__Cnig_chr_V.g21388.t2	203	102	176	165	105	118	42	41	41	41	39	34
V.g18041.t1__Cnig_chr_V.g21413.t1	42	28	33	37	25	11	15	25	19	9	22	31
V.g14722.t1__Cnig_chr_V.g17414.t1	25	16	12	50	36	41	32	20	30	39	33	24
V.g18017.t1__Cnig_chr_V.g21387.t1	0	0	0	0	0	0	472	400	299	281	313	299
V.g17808.t1__Cnig_chr_V.g21045.t1	148	61	115	138	226	171	124	102	106	233	126	217
V.g17803.t1__Cnig_chr_V.g21042.t2	56	32	43	97	72	89	41	38	45	132	113	109
V.g17805.t1__Cnig_chr_V.g21043.t1	16	16	11	23	11	9	22	23	21	26	31	35
IV.g11198.t1__Cnig_chr_IV.g13083.t1	103	80	87	87	78	66	48	65	68	23	57	27
V.g15260.t1__Cnig_chr_V.g18138.t1	49	44	66	45	65	28	114	105	93	110	113	86
V.g17809.t1__Cnig_chr_V.g21048.t1	52	34	27	52	47	43	15	16	17	22	36	31
V.g17815.t1__Cnig_chr_V.g21053.t1	50	38	46	198	164	144	5	3	2	115	107	157
V.g17359.t1__Cnig_chr_V.g20438.t2	296	229	125	485	228	405	154	186	196	132	103	129
IV.g13658.t1__Cnig_chr_IV.g16024.t3	242	158	72	160	70	188	73	59	63	165	154	172
V.g15257.t2__Cnig_chr_V.g18136.t2	34	21	35	38	24	18	229	208	177	91	138	123
V.g17016.t2__Cnig_chr_V.g20552.t1	0	0	0	2	2	0	3	0	1	1	1	3
IV.g10565.t1__Cnig_chr_IV.g12138.t1	257	173	179	157	102	192	140	157	126	74	62	61
X.g18812.t1__Cnig_chr_X.g22474.t1	2	0	0	13	4	13	0	0	0	25	34	23
II.g7135.t1__Cnig_chr_II.g8014.t2	8	1	0	23	6	14	26	29	27	143	152	106
II.g4807.t1__Cnig_chr_II.g5147.t1	5	6	0	4	2	1	3	3	3	1	2	1
II.g7208.t1__Cnig_chr_II.g8131.t1	87	49	63	55	65	66	38	17	16	54	55	43
IV.g11002.t1__Cnig_chr_IV.g12805.t1	43	58	24	10	3	11	9	11	5	3	3	3
I.g764.t2__Cnig_chr_I.g202.t1	81	70	55	77	37	57	69	40	49	93	137	62
IV.g13265.t1__Cnig_chr_IV.g15318.t1	3	5	6	6	9	8	8	11	9	3	3	11
I.g760.t1__Cnig_chr_I.g178.t1	62	22	37	62	63	65	25	21	39	34	35	47
V.g15057.t1__Cnig_chr_V.g17907.t1	0	1	0	0	2	1	0	0	0	1	0	0
II.g7216.t1__Cnig_chr_II.g8135.t1	322	330	199	489	211	305	144	76	97	155	139	143
II.g7207.t2__Cnig_chr_II.g8130.t1	31	27	28	51	30	64	17	19	17	51	82	50
V.g15513.t2__Cnig_chr_V.g18462.t2	19	19	13	81	76	48	0	0	1	0	3	3
V.g16702.t1__Cnig_chr_V.g19724.t1	22	25	25	31	64	19	22	27	20	5	9	23
V.g15694.t1__Cnig_chr_V.g18650.t2	3	0	2	2	2	1	1	1	6	4	1	3
IV.g11943.t1__Cnig_chr_IV.g13696.t1	17	34	16	6	6	15	1	0	1	3	7	9
X.g20971.t1__Cnig_chr_X.g24926.t1	99	64	66	101	91	161	14	15	7	91	78	80
V.g16349.t3__Cnig_chr_V.g19362.t2	4	4	10	6	43	10	0	3	0	7	3	3
V.g16348.t1__Cnig_chr_V.g19360.t1	2	0	0	4	27	4	3	2	2	1	1	3
V.g15696.t2__Cnig_chr_V.g18652.t1	9	5	7	12	12	12	3	1	2	3	8	3
V.g17785.t1__Cnig_chr_V.g21013.t1	6	4	1	6	15	6	0	1	2	10	7	5
V.g15055.t2__Cnig_chr_V.g17905.t4	2	0	2	10	3	6	0	0	0	1	0	1
V.g17967.t1__Cnig_chr_V.g21312.t1	1	0	1	7	3	1	0	6	1	1	3	3
V.g14530.t3__Cnig_chr_V.g17147.t2	7	6	3	23	16	22	1	0	0	12	12	14
V.g17729.t1__Cnig_chr_V.g20908.t1	0	0	0	0	0	0	8	2	5	6	7	8
V.g14787.t2__Cnig_chr_V.g17474.t1	0	5	6	1	3	2	4	2	2	2	2	8
V.g15108.t2__Cnig_chr_V.g17955.t2	6	5	1	35	43	20	2	4	2	0	2	2
X.g19871.t1__Cnig_chr_X.g23720.t1	5	9	6	24	13	20	0	3	0	5	6	2
I.g3119.t1__Cnig_chr_I.g2776.t1	1583	917	659	1025	384	1065	332	300	306	562	549	615
X.g19622.t1__Cnig_chr_X.g23411.t2	375	206	259	375	260	294	180	151	144	325	322	298
II.g6618.t1__Cnig_chr_II.g7107.t2	502	321	319	321	231	317	1491	1682	1691	1655	1414	1764
V.g14041.t1__Cnig_chr_V.g18300.t2	0	0	0	0	0	0	2	12	2	440	396	1140
II.g6714.t2__Cnig_chr_II.g7255.t2	7	1	3	251	242	273	1	5	1	48	54	178
II.g6345.t3__Cnig_chr_II.g6908.t1	1118	713	1059	343	257	434	352	420	419	480	458	570
II.g6499.t1__Cnig_chr_II.g7071.t1	139	61	59	79	16	75	572	607	657	229	220	216
II.g6598.t1__Cnig_chr_II.g6648.t1	38	23	60	30	19	14	194	140	163	140	156	164
I.g3685.t1__Cnig_chr_I.g3646.t1	134	18	66	7237	8806	7321	1	2	2	20	24	127
X.g22224.t1__Cnig_chr_X.g26467.t1	1	0	0	12	15	1	4	4	3	367	300	371
II.g6715.t1__Cnig_chr_II.g7256.t1	64	6	50	4157	4452	3784	0	17	0	196	423	908
II.g6711.t1__Cnig_chr_II.g7248.t1	26	4	25	2020	1952	1778	0	8	0	262	285	667
I.g3663.t1__Cnig_chr_I.g3607.t1	121	17	114	7243	10307	7193	10	9	5	602	846	1738
II.g6710.t2__Cnig_chr_II.g7247.t1	13	8	7	732	818	464	4	10	7	280	365	636
II.g6718.t1__Cnig_chr_II.g7258.t1	31	6	35	1883	2170	1220	3	22	2	265	406	925
II.g6324.t1__Cnig_chr_II.g6745.t1	29	40	24	1	2	6	1	2	0	4	2	2
IV.g10875.t1__Cnig_chr_IV.g12588.t1	143	150	288	385	381	326	129	77	101	201	221	231
V.g17707.t1__Cnig_chr_V.g20885.t1	116	4	66	7252	6796	5568	2	18	2	12	4	334
III.g7485.t3__Cnig_chr_III.g8425.t2	12	11	3	26	12	20	15	24	14	10	13	16
I.g3213.t1__Cnig_chr_I.g2964.t1	126	16	48	130	286	197	50	24	26	68	118	72
III.g7646.t1__Cnig_chr_III.g8678.t1	1	1	5	6	3	6	5	4	2	23	30	20
I.g3661.t1__Cnig_chr_I.g3610.t3	48	8	39	2127	3424	2388	4	4	0	404	411	972
II.g4189.t1__Cnig_chr_II.g4285.t1	520	208	311	152	134	123	23	40	43	9	22	17
II.g6327.t1__Cnig_chr_II.g6748.t1	5	10	1	2	2	0	0	0	0	0	0	1
II.g6305.t1__Cnig_chr_II.g6730.t1	33	29	14	49	34	33	343	227	265	493	551	373
II.g6303.t1__Cnig_chr_II.g6728.t1	5	4	1	30	19	21	13	5	13	75	86	76
V.g14328.t1__Cnig_chr_V.g16933.t1	275	176	155	25	22	44	113	125	115	66	67	51
IV.g10495.t1__Cnig_chr_IV.g12027.t1	344	51	186	15173	14643	13455	70	121	52	2268	2709	5790
II.g6716.t1__Cnig_chr_II.g7257.t2	0	0	1	13	2	2	0	18	1	237	237	794
I.g3651.t1__Cnig_chr_I.g3619.t1	247	41	437	14176	25315	13971	18	59	9	1471	2311	5232
V.g14005.t1__Cnig_chr_V.g16484.t2	4	7	3	3	2	1	1	1	0	2	6	2
II.g7102.t1__Cnig_chr_II.g7915.t1	107	100	98	105	51	70	380	415	374	217	217	270
III.g7645.t1__Cnig_chr_III.g8679.t2	1	0	10	2	1	1	2	2	1	2	2	4
III.g7606.t1__Cnig_chr_III.g8719.t1	4	0	6	5	2	12	5	11	5	33	32	28
IV.g10494.t1__Cnig_chr_IV.g12028.t2	373	151	351	11586	13018	11361	32	52	27	1593	2481	4730
III.g10176.t1__Cnig_chr_III.g8965.t1	93	99	78	452	403	421	47	32	42	40	67	51
II.g6304.t2__Cnig_chr_II.g6729.t1	9059	5504	5716	503	258	1470	337	476	462	13	19	27
I.g2831.t1__Cnig_chr_I.g2444.t1	4	1	2	40	63	42	6	1	2	31	35	83
II.g6306.t1__Cnig_chr_II.g6731.t1	10	9	6	24	29	12	6	14	10	24	21	16
II.g5288.t3__Cnig_chr_II.g5630.t3	802	559	412	1179	717	1055	781	673	897	1474	1250	1338
II.g6307.t1__Cnig_chr_II.g6732.t1	13	10	19	46	23	29	12	10	13	12	12	11
II.g4191.t1__Cnig_chr_II.g4287.t1	127	106	94	237	195	196	174	229	269	99	87	159
II.g6717.t1__Cnig_chr_II.g7259.t1	12	2	10	471	711	465	1	5	0	238	260	308
I.g2913.t1__Cnig_chr_I.g2528.t2	156	88	116	1014	945	958	11	34	3	2372	2314	3468
II.g4603.t1__Cnig_chr_II.g4880.t1	1070	706	851	689	585	749	772	948	947	1379	1389	1502
III.g7488.t2__Cnig_chr_III.g8430.t1	280	205	182	354	362	360	462	323	478	381	565	451
II.g6301.t1__Cnig_chr_II.g6726.t1	21	15	13	12	5	8	286	219	218	338	331	260
III.g10423.t1__Cnig_chr_III.g11931.t1	6405	4564	8449	718	914	1366	1495	2809	1909	5	12	19
II.g6713.t1__Cnig_chr_II.g7253.t2	13	6	33	2188	2121	1777	0	13	2	200	217	690
IV.g10879.t1__Cnig_chr_IV.g12600.t1	25	23	40	248	191	165	84	70	68	278	501	248
I.g1424.t1__Cnig_chr_I.g1022.t1	92	94	162	135	140	92	125	134	89	237	205	193
III.g10422.t1__Cnig_chr_III.g11932.t1	2271	1752	5054	382	737	998	25	67	49	6	21	25
X.g21176.t1__Cnig_chr_X.g25154.t2	21	17	31	81	87	76	10	40	10	149	186	488
I.g979.t2__Cnig_chr_I.g467.t1	498	353	465	2953	3141	2491	7	15	5	322	454	719
X.g18953.t1__Cnig_chr_X.g22666.t1	17	20	23	27	56	17	39	24	30	464	487	509
X.g18853.t1__Cnig_chr_X.g22517.t2	36	10	14	1516	1049	1256	39	40	40	1843	1717	1845
X.g21237.t1__Cnig_chr_X.g24905.t1	0	0	0	11	8	6	0	0	0	0	0	0
II.g7234.t1__Cnig_chr_II.g8152.t1	640	394	620	2131	2610	2026	6	23	3	799	766	1741
X.g19192.t1__Cnig_chr_X.g22898.t1	174	95	123	220	200	197	39	29	16	158	224	147
III.g9726.t2__Cnig_chr_III.g10301.t1	0	0	0	0	0	0	0	0	0	2	1	3
X.g21155.t2__Cnig_chr_X.g26441.t1	0	0	0	4	1	3	0	0	0	0	0	0
IV.g10702.t1__Cnig_chr_IV.g12122.t1	119	77	108	95	159	216	82	72	74	118	114	115
V.g18063.t2__Cnig_chr_V.g21486.t1	102	82	59	980	630	775	0	0	0	21	18	33
IV.g10450.t1__Cnig_chr_IV.g12081.t1	0	0	0	0	0	0	1	13	0	568	531	968
III.g9048.t1__Cnig_chr_III.g10343.t2	115	94	56	1095	986	826	4	0	3	53	44	63
V.g14672.t3__Cnig_chr_V.g17355.t1	1	1	0	0	0	1	1	0	1	1	6	2
III.g7835.t1__Cnig_chr_III.g8852.t1	1	0	3	2	9	3	1	2	2	99	86	267
I.g1423.t1__Cnig_chr_I.g1021.t1	23	25	29	105	144	81	19	22	21	31	38	27
V.g18062.t1__Cnig_chr_V.g21489.t1	69	41	47	559	566	536	0	0	0	10	5	6
X.g19050.t1__Cnig_chr_X.g22756.t1	294	161	185	426	450	271	170	100	172	249	331	234
V.g15632.t1__Cnig_chr_V.g18580.t1	8	7	16	52	44	45	5	5	6	33	61	44
X.g21507.t1__Cnig_chr_X.g25553.t3	102	79	112	256	285	249	17	27	21	451	582	1296
V.g17310.t1__Cnig_chr_V.g20387.t1	12	7	5	5	4	8	2	0	1	26	28	29
X.g20258.t1__Cnig_chr_X.g24121.t2	32	12	21	31	52	32	23	10	11	37	32	44
X.g21377.t1__Cnig_chr_X.g25155.t2	172	105	153	353	337	294	20	29	19	160	164	226
X.g18910.t1__Cnig_chr_X.g22573.t1	668	439	518	957	983	838	126	569	269	96	164	415
X.g21506.t1__Cnig_chr_X.g25552.t1	264	204	258	496	550	532	6	12	5	130	105	182
V.g15357.t3__Cnig_chr_V.g18246.t3	3	1	1	10	9	10	1	0	0	0	0	0
V.g14262.t3__Cnig_chr_V.g16869.t2	1	1	0	19	17	9	3	3	2	14	5	5
V.g17314.t1__Cnig_chr_V.g20392.t1	1	0	0	1	3	3	0	0	0	0	0	0
I.g2132.t1__Cnig_chr_I.g1761.t1	167	112	155	292	318	237	0	3	5	179	148	253
II.g4179.t1__Cnig_chr_II.g4271.t1	0	0	0	0	0	0	0	0	0	2	3	4
V.g14905.t1__Cnig_chr_V.g17720.t1	0	0	0	0	0	0	0	0	1	10	4	3
V.g14467.t3__Cnig_chr_V.g17061.t1	1	0	0	2	1	0	5	0	0	5	4	3
V.g17312.t1__Cnig_chr_V.g20389.t2	0	0	1	0	0	2	1	0	1	1	2	0
V.g14727.t1__Cnig_chr_V.g17418.t1	4	2	5	0	2	1	0	0	0	0	1	0
V.g14897.t1__Cnig_chr_V.g17707.t1	2	0	1	3	0	4	0	0	0	3	2	0
V.g15008.t1__Cnig_chr_V.g17858.t2	0	0	0	0	3	2	0	0	0	0	0	0
V.g17560.t1__Cnig_chr_V.g20690.t3	0	0	0	0	0	0	0	0	1	0	0	0
V.g17311.t1__Cnig_chr_V.g20388.t1	0	1	0	1	0	0	0	0	1	2	1	1
V.g15454.t1__Cnig_chr_V.g18405.t1	0	0	1	0	1	0	0	0	2	12	12	7
X.g21413.t1__Cnig_chr_X.g25455.t1	22	23	23	3	0	7	0	0	0	2	4	2
V.g15453.t1__Cnig_chr_V.g18401.t1	0	1	0	9	5	7	0	1	0	1	1	1
V.g15416.t1__Cnig_chr_V.g18349.t1	21	14	13	53	42	28	0	0	0	9	10	6
V.g18059.t2__Cnig_chr_V.g21432.t3	6	3	3	23	18	15	0	1	0	1	5	5
V.g17307.t2__Cnig_chr_V.g20386.t3	0	1	0	0	7	1	1	5	1	3	10	2
V.g18182.t1__Cnig_chr_V.g18411.t3	0	0	0	0	0	0	0	1	0	5	5	9
V.g15445.t2__Cnig_chr_V.g18392.t2	6	2	2	30	14	21	11	7	13	79	49	68
V.g18450.t1__Cnig_chr_V.g22014.t2	0	0	0	0	0	1	1	1	1	4	5	1
IV.g11944.t1__Cnig_chr_IV.g13695.t3	2	0	2	0	0	1	0	0	1	2	1	0
I.g1176.t1__Cnig_chr_I.g674.t1	27	54	49	24	18	28	0	0	0	0	0	0
I.g1056.t1__Cnig_chr_I.g580.t3	53	33	27	4	9	9	5	4	1	2	2	1
IV.g11430.t1__Cnig_chr_IV.g13370.t1	29	17	10	1	0	3	0	0	0	2	0	0
III.g8323.t2__Cnig_chr_III.g9747.t1	11	11	14	12	18	15	17	19	12	28	27	27
IV.g12780.t1__Cnig_chr_IV.g14828.t2	23	36	31	5	4	7	2	3	3	3	4	3
I.g969.t2__Cnig_chr_I.g456.t3	5	2	4	3	0	6	0	1	1	5	2	2
I.g3028.t1__Cnig_chr_I.g736.t1	2	0	3	0	0	0	5	1	0	6	10	3
I.g1205.t1__Cnig_chr_I.g676.t1	2	0	0	2	2	4	9	3	9	13	10	7
I.g1130.t2__Cnig_chr_I.g15.t1	9	9	5	9	2	6	0	0	0	0	0	0
I.g1131.t2__Cnig_chr_I.g9.t1	15	24	19	16	15	17	0	0	0	2	1	2
I.g1005.t1__Cnig_chr_I.g496.t3	5	9	12	6	3	5	0	0	0	0	0	0
V.g13954.t2__Cnig_chr_V.g16409.t2	3	0	4	11	11	9	4	5	3	9	2	8
I.g3770.t1__Cnig_chr_I.g3789.t1	0	0	0	0	0	0	3	6	7	7	8	12
III.g8521.t2__Cnig_chr_III.g9746.t1	10	8	3	15	14	13	0	1	0	6	5	6
V.g16768.t1__Cnig_chr_V.g19800.t1	0	0	0	0	0	0	1	2	2	4	1	3
I.g1646.t1__Cnig_chr_I.g1254.t1	102	94	103	401	534	458	0	3	1	97	105	160
V.g13947.t1__Cnig_chr_V.g16402.t1	4	0	4	4	5	2	1	3	2	2	6	5
IV.g11717.t1__Cnig_chr_IV.g13940.t1	1	2	1	1	1	2	0	1	2	13	5	14
V.g16614.t1__Cnig_chr_V.g19653.t1	381	319	651	841	1108	726	8	7	3	565	457	846
IV.g11908.t3__Cnig_chr_IV.g13732.t1	1	0	1	1	0	1	1	3	0	1	0	3
IV.g11225.t1__Cnig_chr_IV.g13119.t1	0	0	0	0	0	0	0	0	0	0	1	0
V.g17098.t1__Cnig_chr_V.g20138.t1	4	1	2	9	12	9	2	2	1	16	23	13
V.g15050.t1__Cnig_chr_V.g17894.t3	0	1	0	0	0	0	1	0	0	3	2	0
IV.g11907.t3__Cnig_chr_IV.g13733.t3	2	6	7	2	7	3	0	0	1	6	3	2
V.g14832.t1__Cnig_chr_V.g17575.t2	0	0	0	0	1	1	0	0	1	0	0	0
IV.g11909.t2__Cnig_chr_IV.g13730.t1	1	2	1	13	12	5	0	0	0	1	0	0
V.g16769.t3__Cnig_chr_V.g19802.t1	0	0	0	3	0	0	1	3	0	28	29	42
V.g14399.t1__Cnig_chr_V.g17007.t1	2	1	1	2	1	0	30	16	28	28	30	23
V.g13994.t2__Cnig_chr_V.g16475.t1	1130	994	1369	436	372	434	353	386	358	318	426	273
X.g18983.t1__Cnig_chr_X.g22677.t1	482	365	431	527	361	430	304	253	309	335	294	278
II.g4196.t1__Cnig_chr_II.g4293.t2	612	715	503	488	228	487	526	502	531	239	224	290
II.g5127.t2__Cnig_chr_II.g5460.t1	2801	2596	1990	1063	670	1490	1255	1404	1402	1049	915	1133
IV.g10539.t1__Cnig_chr_IV.g11968.t1	1909	1789	1471	673	400	797	988	1196	1193	330	320	303
X.g18984.t1__Cnig_chr_X.g22678.t1	427	355	294	259	169	266	110	100	114	219	216	193
I.g3118.t4__Cnig_chr_I.g2773.t1	1273	1124	899	964	604	946	926	1139	1046	1124	875	1116
V.g16770.t1__Cnig_chr_V.g19803.t2	2	0	2	1	13	3	0	1	1	10	8	12
I.g1165.t1__Cnig_chr_I.g655.t1	1240	865	831	245	127	383	649	753	729	402	428	436
IV.g11690.t1__Cnig_chr_IV.g13969.t1	4198	8934	3926	41965	28155	13293	112515	92822	115548	104027	78543	91632
IV.g13479.t1__Cnig_chr_IV.g15752.t1	1035	980	856	2887	2774	1180	2816	2025	2702	15582	12172	12150
III.g9109.t1__Cnig_chr_III.g10433.t1	43	40	33	385	360	239	169	74	131	384	297	205
IV.g11342.t1__Cnig_chr_IV.g13229.t1	182559	152939	143431	176504	124817	119968	29750	88251	53418	12464	7994	53886
IV.g11595.t1__Cnig_chr_IV.g13536.t1	1995	6127	1596	26499	21322	8229	117466	73152	106963	103534	69222	78704
IV.g12319.t1__Cnig_chr_IV.g14303.t1	271817	190390	197484	234294	166494	154962	44888	150461	80197	15483	11645	84068
IV.g10680.t1__Cnig_chr_IV.g12299.t1	1867	5240	1689	27011	27780	8105	132230	74731	120812	137293	90843	95762
IV.g11591.t1__Cnig_chr_IV.g13532.t1	1918	6815	2017	18661	8982	4675	37264	57290	41897	11083	6612	18274
IV.g13478.t1__Cnig_chr_IV.g15749.t1	1853	5471	1848	27732	29342	7726	140461	75706	123973	142165	93556	97214
X.g21977.t1__Cnig_chr_X.g26131.t1	6	22	14	57	28	52	12	10	9	5	0	11
V.g17801.t1__Cnig_chr_V.g21040.t2	2	0	1	3	2	2	19	18	23	15	26	23
III.g8433.t1__Cnig_chr_III.g9707.t1	13438	15160	12086	31717	23875	14020	12419	25518	18033	6309	5278	15524
X.g22005.t1__Cnig_chr_X.g26168.t1	29	49	54	33	55	34	54	29	39	72	89	57
II.g6707.t1__Cnig_chr_II.g7240.t1	1458	5083	1459	23858	22139	8030	158148	89508	146491	161358	114421	119225
X.g21985.t1__Cnig_chr_X.g26144.t1	91	119	57	38	21	39	2	2	3	3	2	2
V.g14017.t1__Cnig_chr_V.g16501.t1	60	447	73	81	89	28	159	52	70	164	96	84
IV.g11191.t1__Cnig_chr_IV.g13077.t1	245265	186403	186465	270697	217766	226074	14055	82406	34451	3383	2855	68695
III.g8586.t1__Cnig_chr_III.g9835.t1	17970	12999	12269	12024	10596	17418	1304	12237	5282	111	180	9650
V.g14319.t1__Cnig_chr_V.g16912.t1	83115	65667	55821	136953	73096	58409	27714	104435	52198	11463	8723	72174
III.g7694.t1__Cnig_chr_III.g8619.t1	72182	48448	51462	58823	44956	49109	4787	8050	4587	6928	12373	12665
I.g1519.t2__Cnig_chr_I.g1130.t1	27	22	17	63	22	42	49	42	37	99	95	83
X.g22006.t1__Cnig_chr_X.g26169.t1	34	86	25	31	22	24	13	3	7	14	14	13
V.g18050.t1__Cnig_chr_V.g21423.t1	1	4	1	2	4	3	2	1	2	12	5	2
V.g14990.t1__Cnig_chr_V.g17838.t1	319	236	295	484	339	433	70	76	70	102	80	99
V.g14991.t1__Cnig_chr_V.g17839.t1	321	223	165	437	294	437	0	0	0	1	0	1
V.g18052.t1__Cnig_chr_V.g21427.t2	0	0	0	0	0	0	0	0	0	0	0	0
V.g14987.t1__Cnig_chr_V.g17833.t2	56	31	29	49	33	51	261	206	231	241	249	238
V.g14978.t1__Cnig_chr_V.g17822.t1	257	190	137	290	222	282	247	179	202	200	174	142
V.g14982.t1__Cnig_chr_V.g17826.t1	5	1	1	14	0	6	23	15	9	18	8	13
V.g14976.t1__Cnig_chr_V.g17820.t3	40	22	31	21	22	30	25	24	25	29	13	14
V.g14998.t1__Cnig_chr_V.g17844.t1	458	321	252	559	332	454	427	340	416	472	487	471
V.g14979.t1__Cnig_chr_V.g17823.t1	317	259	246	294	203	294	57	61	58	50	103	53
V.g14997.t1__Cnig_chr_V.g17843.t1	301	237	194	313	254	319	380	244	376	402	367	411
V.g14989.t1__Cnig_chr_V.g17837.t1	477	240	210	617	320	498	312	284	318	432	444	444
V.g14981.t1__Cnig_chr_V.g17831.t2	147	93	61	248	224	202	100	91	126	168	160	162
V.g14984.t1__Cnig_chr_V.g17828.t3	88	42	64	76	77	92	65	66	53	77	67	74
