# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "../references/annotations/briggsae.chr.transcript.ortho.gff" "-o" "counts/Cbr_Thomas_fc.counts.txt" "BAM/SRR580389.bam" "BAM/SRR580390.bam" "BAM/SRR580391.bam" "BAM/SRR580392.bam" "BAM/SRR580393.bam" "BAM/SRR580394.bam" 
Geneid	Chr	Start	End	Strand	Length	BAM/SRR580389.bam	BAM/SRR580390.bam	BAM/SRR580391.bam	BAM/SRR580392.bam	BAM/SRR580393.bam	BAM/SRR580394.bam
V.g17995.t1	V	16771276	16771663	+	388	6	13	6	3	9	7
V.g17740.t1	V	15751001	15753456	-	2456	5	15	3	316	9	158
V.g17739.t1	V	15748750	15750811	-	2062	234	364	354	343	175	254
V.g17681.t1	V	15561689	15562769	+	1081	0	0	2	1	0	0
V.g17683.t1	V	15570458	15571756	+	1299	0	0	0	0	0	0
V.g17602.t1	V	15180156	15181479	-	1324	709	1140	839	1114	992	861
III.g10281.t1	III	13973675	13974887	-	1213	91	80	121	106	121	99
V.g17539.t1	V	14911315	14912158	-	844	71	120	130	112	30	102
V.g17540.t1	V	14912244	14913378	-	1135	23	20	14	31	19	14
V.g17660.t1	V	15461170	15462539	-	1370	50	42	25	69	115	76
V.g17663.t1	V	15464586	15466999	-	2414	50	72	64	128	122	105
V.g17960.t1	V	16649856	16651485	-	1630	19	19	17	14	12	19
V.g18448.t1	V	19142997	19143867	+	871	7	4	6	21	23	20
V.g17542.t1	V	14916984	14918299	+	1316	5	9	17	30	5	29
V.g17508.t1	V	14831998	14833173	-	1176	16	10	17	14	33	15
V.g17845.t1	V	16124636	16125675	+	1040	7	10	10	22	29	16
V.g17752.t1	V	15793306	15793683	-	378	4	2	7	19	19	23
V.g17951.t1	V	16594099	16595163	-	1065	54	43	52	67	72	57
V.g18019.t1	V	16866844	16869757	+	2914	38	36	72	34	16	35
V.g18041.t1	V	16961550	16962035	+	486	0	2	5	10	4	4
V.g14722.t1	V	3465924	3466212	+	289	2	2	4	10	15	19
V.g18017.t1	V	16860677	16861713	-	1037	0	0	0	0	0	0
V.g17808.t1	V	15999175	16000166	+	992	48	51	28	49	21	73
V.g17803.t1	V	15986894	15988337	+	1444	35	42	25	62	65	46
V.g17805.t1	V	15995081	15995724	-	644	5	6	3	18	1	6
IV.g11198.t1	IV	4712877	4714552	-	1676	20	17	8	22	16	16
V.g15260.t1	V	5829645	5830201	+	557	19	8	19	19	12	17
V.g17809.t1	V	16000301	16001376	+	1076	16	8	7	35	54	30
V.g17815.t1	V	16017047	16019281	-	2235	29	46	41	136	139	134
V.g17359.t1	V	14243252	14245693	-	2442	186	119	100	188	592	183
IV.g13658.t1	IV	16645734	16648205	+	2472	49	51	35	69	79	46
V.g15257.t2	V	5824199	5826005	-	1807	12	6	8	10	14	3
V.g17016.t2	V	12958841	12959470	+	630	0	0	0	1	0	0
IV.g10565.t1	IV	538872	546094	+	7223	127	91	81	112	116	103
X.g18812.t1	X	1453788	1455470	+	1683	2	0	2	11	12	4
II.g7135.t1	II	15491321	15492728	-	1408	2	2	1	9	14	4
II.g4807.t1	II	5168415	5169618	-	1204	7	6	5	4	1	7
II.g7208.t1	II	15862551	15864102	+	1552	14	25	26	52	45	48
IV.g11002.t1	IV	3313468	3314898	+	1431	89	77	112	7	18	19
I.g764.t2	I	443821	447460	-	3640	68	75	68	51	128	81
IV.g13265.t1	IV	13784886	13785341	+	456	2	1	1	5	2	1
I.g760.t1	I	434350	436055	-	1706	12	17	15	47	57	27
V.g15057.t1	V	4803249	4803563	+	315	0	0	0	0	1	0
II.g7216.t1	II	15886814	15888346	+	1533	184	262	205	664	444	549
II.g7207.t2	II	15856807	15861117	-	4311	36	40	36	77	53	78
V.g15513.t2	V	7033265	7034294	+	1030	5	7	6	22	9	12
V.g16702.t1	V	11647532	11648254	+	723	12	9	7	32	32	42
V.g15694.t1	V	7767235	7768419	-	1185	1	0	2	0	2	3
IV.g11943.t1	IV	8106187	8107649	-	1463	60	98	106	10	8	20
X.g20971.t1	X	13632210	13633305	+	1096	58	57	59	82	118	101
V.g16349.t3	V	10249745	10251336	+	1592	0	0	0	3	8	5
V.g16348.t1	V	10248038	10248640	+	603	0	0	0	2	4	3
V.g15696.t2	V	7770879	7772412	+	1534	0	3	3	2	1	6
V.g17785.t1	V	15919805	15921461	+	1657	3	1	2	4	8	3
V.g15055.t2	V	4789290	4794511	-	5222	0	0	0	5	75	12
V.g17967.t1	V	16679051	16680673	+	1623	0	0	0	1	0	4
V.g14530.t3	V	2602145	2604267	+	2123	1	2	0	8	0	5
V.g17729.t1	V	15698546	15699658	+	1113	0	0	0	0	0	0
V.g14787.t2	V	3714036	3715129	+	1094	1	1	0	1	1	0
V.g15108.t2	V	4992978	4995852	-	2875	1	0	1	40	61	54
X.g19871.t1	X	7775015	7775760	+	746	3	0	0	4	11	9
I.g3119.t1	I	10996886	10998421	+	1536	1654	1993	1728	1330	1443	1628
X.g19622.t1	X	6216000	6217660	+	1661	166	172	140	135	248	170
II.g6618.t1	II	12987190	12988407	+	1218	234	225	242	237	425	336
V.g14041.t1	V	595272	595983	+	712	1	0	0	0	1	1
II.g6714.t2	II	13359515	13360289	-	775	0	0	0	147	325	170
II.g6345.t3	II	11697882	11699224	-	1343	724	808	880	225	412	323
II.g6499.t1	II	12452473	12452733	-	261	50	66	48	28	19	24
II.g6598.t1	II	12906455	12908800	+	2346	19	32	20	11	16	18
I.g3685.t1	I	14276816	14278392	+	1577	3	0	2	10136	12267	11593
X.g22224.t1	X	20555246	20556114	+	869	0	0	1	7	7	9
II.g6715.t1	II	13361210	13361951	-	742	0	0	0	2749	8956	3439
II.g6711.t1	II	13352144	13354399	-	2256	3	0	0	3997	5417	5300
I.g3663.t1	I	14107156	14109031	+	1876	1	1	0	8437	11525	9020
II.g6710.t2	II	13350239	13351599	+	1361	2	2	1	549	274	518
II.g6718.t1	II	13370894	13371746	-	853	0	0	0	1792	2628	1286
II.g6324.t1	II	11596324	11597067	-	744	24	32	45	4	7	28
IV.g10875.t1	IV	2427965	2429183	-	1219	25	31	37	302	358	322
V.g17707.t1	V	15626846	15627834	+	989	0	0	0	13827	20785	17832
III.g7485.t3	III	391902	393280	+	1379	11	5	10	25	16	32
I.g3213.t1	I	11442211	11444357	+	2147	5	11	4	110	63	108
III.g7646.t1	III	1277295	1277600	-	306	0	0	1	4	5	2
I.g3661.t1	I	14098532	14099913	+	1382	3	1	1	3856	4278	4969
II.g4189.t1	II	1678445	1679695	+	1251	90	77	58	90	58	45
II.g6327.t1	II	11603000	11603743	+	744	8	15	16	1	0	7
II.g6305.t1	II	11518395	11519931	-	1537	18	16	16	15	27	16
II.g6303.t1	II	11513995	11514932	-	938	1	1	3	13	15	13
V.g14328.t1	V	1728804	1729856	+	1053	117	100	117	17	12	19
IV.g10495.t1	IV	323864	324779	-	916	34	26	15	23874	36988	29493
II.g6716.t1	II	13362955	13364299	-	1345	0	0	0	17	9	4
I.g3651.t1	I	14036792	14040145	+	3354	1	1	2	2671	12026	2535
V.g14005.t1	V	470817	472621	+	1805	3	7	8	3	3	8
II.g7102.t1	II	15294012	15294622	-	611	48	71	48	38	23	18
III.g7645.t1	III	1272796	1275617	-	2822	0	0	1	1	0	1
III.g7606.t1	III	1060516	1062710	-	2195	0	3	2	1	3	7
IV.g10494.t1	IV	322483	323383	+	901	12	17	12	15847	26269	17308
III.g10176.t1	III	13305390	13308133	+	2744	59	62	55	284	159	270
II.g6304.t2	II	11515794	11518021	-	2228	3480	4509	3767	298	532	946
I.g2831.t1	I	9673288	9674190	+	903	0	1	0	8	82	5
II.g6306.t1	II	11520754	11521446	-	693	5	5	2	10	19	16
II.g5288.t3	II	7341615	7344833	-	3219	241	223	160	628	828	622
II.g6307.t1	II	11521952	11522608	-	657	11	6	6	17	24	14
II.g4191.t1	II	1685251	1686320	-	1070	115	42	54	512	329	428
II.g6717.t1	II	13368455	13369721	-	1267	0	0	0	613	700	711
I.g2913.t1	I	10040971	10042341	-	1371	6	3	8	859	632	769
II.g4603.t1	II	4107703	4109078	-	1376	659	484	622	399	598	499
III.g7488.t2	III	397087	399061	+	1975	45	33	63	210	188	194
II.g6301.t1	II	11509042	11510248	-	1207	19	8	13	6	6	12
III.g10423.t1	III	14558892	14559608	+	717	1671	1985	1554	129	231	417
II.g6713.t1	II	13356610	13357229	+	620	0	0	0	1554	1229	1136
IV.g10879.t1	IV	2439097	2440266	-	1170	10	3	7	150	126	133
I.g1424.t1	I	4060047	4061741	+	1695	68	35	47	81	67	113
III.g10422.t1	III	14557093	14557768	-	676	427	307	339	72	215	80
X.g21176.t1	X	14849089	14849701	-	613	3	3	2	24	13	17
I.g979.t2	I	1917023	1918352	-	1330	2	0	0	1610	825	1278
X.g18953.t1	X	2201564	2204201	-	2638	3	5	4	4	16	4
X.g18853.t1	X	1622299	1623381	-	1083	13	13	4	2124	1104	2643
X.g21237.t1	X	15179818	15180174	+	357	1	0	0	5	6	2
II.g7234.t1	II	15945093	15945682	-	590	2	2	0	1686	995	1393
X.g19192.t1	X	3712033	3713040	+	1008	39	43	40	121	55	90
III.g9726.t2	III	10693089	10694862	-	1774	0	0	0	0	1	0
X.g21155.t2	X	14711288	14712319	-	1032	0	0	0	1	1	2
IV.g10702.t1	IV	1513676	1514649	-	974	18	29	12	22	87	49
V.g18063.t2	V	17067997	17071078	+	3082	1	0	2	448	315	426
IV.g10450.t1	IV	97167	97658	+	492	0	0	0	0	0	0
III.g9048.t1	III	7931408	7932596	+	1189	4	0	2	757	599	691
V.g14672.t3	V	3277429	3279715	+	2287	0	0	0	1	2	0
III.g7835.t1	III	2499186	2500379	-	1194	0	1	0	12	20	17
I.g1423.t1	I	4057396	4057934	+	539	8	3	2	74	73	70
V.g18062.t1	V	17066344	17067568	-	1225	1	1	0	345	418	379
X.g19050.t1	X	2872465	2873013	-	549	54	88	47	74	106	89
V.g15632.t1	V	7520793	7521627	+	835	3	0	8	84	58	88
X.g21507.t1	X	16576336	16577139	+	804	12	9	6	170	87	125
V.g17310.t1	V	14113010	14114347	-	1338	5	4	2	2	19	3
X.g20258.t1	X	9799456	9800117	+	662	27	16	22	22	73	27
X.g21377.t1	X	15868445	15868990	-	546	48	83	49	149	133	152
X.g18910.t1	X	1919206	1919756	-	551	154	71	70	334	111	220
X.g21506.t1	X	16572495	16573314	-	820	22	23	25	208	170	153
V.g15357.t3	V	6238176	6239480	+	1305	2	3	3	7	7	5
V.g14262.t3	V	1504904	1506703	-	1800	1	2	0	6	3	6
V.g17314.t1	V	14125005	14125698	+	694	0	0	0	2	0	2
I.g2132.t1	I	6905219	6905611	+	393	25	23	22	159	111	118
II.g4179.t1	II	1619311	1619861	+	551	0	0	0	1	1	0
V.g14905.t1	V	4276120	4276703	-	584	0	0	0	0	0	0
V.g14467.t3	V	2336471	2337418	+	948	0	1	0	0	2	2
V.g17312.t1	V	14119381	14120662	-	1282	0	0	0	0	0	0
V.g14727.t1	V	3473104	3475362	-	2259	2	0	1	2	2	2
V.g14897.t1	V	4246567	4247291	-	725	0	0	1	3	5	3
V.g15008.t1	V	4601408	4601845	+	438	0	0	0	2	0	1
V.g17560.t1	V	14970221	14970517	+	297	0	0	0	0	0	0
V.g17311.t1	V	14117124	14118581	-	1458	0	0	0	0	0	1
V.g15454.t1	V	6790102	6790738	+	637	0	0	0	0	0	1
X.g21413.t1	X	16075800	16077066	-	1267	12	15	16	2	5	4
V.g15453.t1	V	6772191	6773596	+	1406	1	1	0	0	1	2
V.g15416.t1	V	6565127	6566596	+	1470	1	3	4	7	4	8
V.g18059.t2	V	17043008	17045915	+	2908	6	1	1	24	12	13
V.g17307.t2	V	14105757	14107123	-	1367	0	0	0	2	4	1
V.g18182.t1	V	17749663	17750717	-	1055	0	0	0	0	0	0
V.g15445.t2	V	6723139	6726449	+	3311	0	0	0	20	3	16
V.g18450.t1	V	19149134	19149601	+	468	0	0	0	0	1	0
IV.g11944.t1	IV	8109221	8110352	+	1132	2	1	2	3	1	2
I.g1176.t1	I	3042968	3045090	-	2123	22	23	26	9	8	12
I.g1056.t1	I	2466345	2469007	+	2663	37	46	48	4	5	9
IV.g11430.t1	IV	5952617	5953758	+	1142	16	25	38	2	3	3
III.g8323.t2	III	5006517	5007461	-	945	10	9	6	8	15	10
IV.g12780.t1	IV	11489203	11490319	+	1117	28	43	58	8	11	21
I.g969.t2	I	1875219	1876884	-	1666	5	12	4	6	2	6
I.g3028.t1	I	10560139	10560417	-	279	1	0	4	0	1	2
I.g1205.t1	I	3146308	3146679	-	372	1	1	2	3	1	4
I.g1130.t2	I	2806915	2808174	-	1260	7	14	15	3	1	11
I.g1131.t2	I	2808890	2812795	+	3906	17	26	40	1	11	9
I.g1005.t1	I	2117460	2117875	-	416	5	7	5	2	2	3
V.g13954.t2	V	336024	337304	+	1281	3	0	10	8	2	7
I.g3770.t1	I	14672179	14673051	-	873	0	0	0	0	0	0
III.g8521.t2	III	5780022	5781515	-	1494	1	1	0	4	3	8
V.g16768.t1	V	11952121	11952954	-	834	1	0	0	0	0	0
I.g1646.t1	I	4923466	4924073	-	608	0	0	1	243	308	253
V.g13947.t1	V	322923	323336	+	414	2	0	2	0	0	2
IV.g11717.t1	IV	7309252	7309625	+	374	0	2	0	1	5	1
V.g16614.t1	V	11321412	11321916	-	505	1	0	0	571	423	430
IV.g11908.t3	IV	7992139	7993492	-	1354	1	0	0	1	0	1
IV.g11225.t1	IV	4817196	4817681	-	486	0	0	0	0	0	0
V.g17098.t1	V	13201746	13202642	-	897	0	0	0	11	11	8
V.g15050.t1	V	4763536	4763820	+	285	0	0	0	0	0	0
IV.g11907.t3	IV	7989942	7990854	-	913	2	2	1	3	3	3
V.g14832.t1	V	3943093	3943807	-	715	0	0	0	1	0	0
IV.g11909.t2	IV	7998310	8001542	+	3233	0	0	1	3	5	6
V.g16769.t3	V	11954440	11955666	+	1227	0	0	0	0	0	0
V.g14399.t1	V	1985373	1986817	-	1445	2	0	0	0	0	0
V.g13994.t2	V	456610	458006	-	1397	792	866	713	420	454	475
X.g18983.t1	X	2356431	2358445	-	2015	306	335	288	323	261	296
II.g4196.t1	II	1735484	1739895	-	4412	1579	1329	1361	724	800	948
II.g5127.t2	II	6618508	6620704	+	2197	3976	4843	3861	1366	1930	1979
IV.g10539.t1	IV	445051	447253	+	2203	1921	2273	2029	556	728	737
X.g18984.t1	X	2360336	2363126	-	2791	295	327	278	199	263	243
I.g3118.t4	I	10994417	10996791	-	2375	1169	1363	1207	766	1323	1014
V.g16770.t1	V	11955913	11956545	-	633	3	3	1	10	8	5
I.g1165.t1	I	2976130	2978392	-	2263	1127	1326	1166	355	497	506
IV.g11690.t1	IV	7228727	7229677	-	951	5353	1945	1873	12055	1728	4260
IV.g13479.t1	IV	15406836	15410330	-	3495	454	207	255	1852	399	711
III.g9109.t1	III	8173027	8175147	-	2121	17	7	8	146	132	109
IV.g11342.t1	IV	5452986	5454013	-	1028	68844	37269	56493	67071	6014	31657
IV.g11595.t1	IV	6869083	6870040	+	958	3611	505	774	11144	1526	3571
IV.g12319.t1	IV	9643510	9644434	-	925	97981	26231	71735	76144	3408	39535
IV.g10680.t1	IV	1431873	1433866	+	1994	2788	412	696	18674	2797	5644
IV.g11591.t1	IV	6853610	6854574	-	965	3294	435	917	2646	91	908
IV.g13478.t1	IV	15400652	15403448	+	2797	3274	408	692	16955	2233	5077
X.g21977.t1	X	19167719	19168915	-	1197	53	8	17	53	8	28
V.g17801.t1	V	15976438	15976986	-	549	2	0	0	0	0	1
III.g8433.t1	III	5491653	5492614	+	962	5328	855	3097	3108	366	1145
X.g22005.t1	X	19317982	19319045	+	1064	52	21	42	25	38	32
II.g6707.t1	II	13339236	13340338	+	1103	2659	358	621	13171	1910	4443
X.g21985.t1	X	19221019	19221963	-	945	68	45	74	51	15	23
V.g14017.t1	V	505894	506946	-	1053	80	71	49	256	36	88
IV.g11191.t1	IV	4638222	4639091	+	870	92400	79474	83859	113661	10498	54757
III.g8586.t1	III	6062374	6063342	-	969	12205	22517	11737	8673	1533	5328
V.g14319.t1	V	1689209	1690203	-	995	41369	3790	20102	41485	1413	15639
III.g7694.t1	III	1576608	1578121	-	1514	21790	13164	23985	27813	1612	11665
I.g1519.t2	I	4385883	4386684	-	802	8	8	1	21	23	12
X.g22006.t1	X	19319279	19320231	+	953	31	24	31	15	30	14
V.g18050.t1	V	16991392	16991917	+	526	2	1	2	4	2	2
V.g14990.t1	V	4554538	4556723	+	2186	141	141	95	329	528	396
V.g14991.t1	V	4556983	4559058	+	2076	143	168	87	327	502	344
V.g18052.t1	V	16998279	16998895	-	617	0	0	0	0	0	0
V.g14987.t1	V	4545898	4547926	-	2029	11	10	8	14	12	12
V.g14978.t1	V	4526614	4528924	-	2311	53	80	50	102	147	122
V.g14982.t1	V	4535412	4535693	-	282	0	3	0	4	2	5
V.g14976.t1	V	4517027	4518161	-	1135	20	22	15	34	24	26
V.g14998.t1	V	4570673	4572353	-	1681	105	111	87	236	316	209
V.g14979.t1	V	4529264	4531189	-	1926	75	55	77	116	170	133
V.g14997.t1	V	4567253	4569280	-	2028	90	116	80	299	183	247
V.g14989.t1	V	4552001	4554067	+	2067	133	160	103	460	313	367
V.g14981.t1	V	4533406	4534611	-	1206	34	26	21	136	187	117
V.g14984.t1	V	4537311	4538733	-	1423	23	38	13	45	43	37
V.g14999.t1	V	4572863	4574715	-	1853	82	98	98	147	141	148
V.g14859.t1	V	4064570	4066837	+	2268	107	107	129	310	465	281
V.g15361.t1	V	6248039	6251354	+	3316	136	173	124	354	258	369
V.g15360.t2	V	6243550	6245191	+	1642	57	79	52	126	103	125
V.g18231.t1	V	18038066	18043236	+	5171	41	59	46	93	90	119
V.g18512.t1	V	19457985	19459179	+	1195	46	41	41	131	110	135
V.g15359.t1	V	6240732	6242544	-	1813	105	99	91	150	224	154
V.g18510.t1	V	19447714	19454997	-	7284	57	60	43	170	205	187
V.g18020.t1	V	16870134	16873944	-	3811	94	99	104	152	121	143
V.g18014.t1	V	16842283	16845046	-	2764	75	78	59	232	205	209
V.g18035.t1	V	16940959	16943144	-	2186	23	32	14	67	56	45
V.g15248.t1	V	5798039	5799775	+	1737	1	2	3	58	34	58
V.g14887.t2	V	4193983	4195559	+	1577	44	53	31	83	152	97
V.g14888.t1	V	4198651	4200600	+	1950	110	119	128	164	376	187
V.g14892.t1	V	4219110	4221701	-	2592	30	46	31	90	68	92
V.g14890.t1	V	4209909	4211026	+	1118	59	43	39	109	132	80
V.g14730.t1	V	3481428	3484189	-	2762	26	26	18	73	65	73
V.g15246.t1	V	5790879	5792724	-	1846	159	112	118	150	255	160
V.g14713.t3	V	3406710	3412661	-	5952	58	49	47	80	108	98
V.g15243.t1	V	5780915	5782061	+	1147	56	40	37	64	85	57
V.g15247.t1	V	5793398	5795556	+	2159	203	170	128	248	424	220
V.g14729.t1	V	3478837	3481223	-	2387	41	57	46	146	114	111
V.g15006.t3	V	4591336	4594122	+	2787	59	76	45	95	197	125
V.g15005.t1	V	4589357	4589722	+	366	0	0	0	0	0	0
V.g14716.t1	V	3426784	3430356	-	3573	104	87	93	138	197	170
V.g15053.t3	V	4776354	4779105	+	2752	2	0	0	7	13	13
V.g14891.t3	V	4214842	4216985	+	2144	70	46	45	130	127	135
IV.g11270.t2	IV	5059565	5061095	+	1531	1	2	0	5	2	7
V.g17248.t1	V	13872369	13877177	+	4809	6	0	2	94	94	78
V.g17242.t2	V	13845701	13846972	+	1272	0	1	0	1	4	2
V.g17551.t3	V	14941030	14943439	+	2410	0	0	0	3	4	2
V.g17241.t2	V	13835398	13836407	+	1010	1	0	1	0	3	1
IV.g11276.t1	IV	5086268	5088671	+	2404	3	2	4	25	30	39
X.g20389.t2	X	10519070	10522060	+	2991	13	3	2	3	0	4
V.g15077.t2	V	4882509	4883693	-	1185	7	3	8	5	8	4
V.g15440.t1	V	6697906	6698501	-	596	0	0	0	0	0	0
V.g15083.t3	V	4904339	4908587	-	4249	6	7	5	6	15	11
V.g15079.t1	V	4889006	4891885	+	2880	2	0	4	9	7	4
V.g15428.t1	V	6627142	6629239	-	2098	3	7	2	30	14	53
IV.g10709.t1	IV	1568013	1571508	-	3496	13	10	17	50	44	40
X.g22089.t2	X	19846584	19848822	+	2239	2	0	3	3	5	0
IV.g10561.t1	IV	522269	524333	+	2065	4	6	10	69	20	92
V.g15427.t3	V	6620739	6626352	-	5614	1	6	0	15	22	21
V.g14701.t1	V	3358654	3359736	+	1083	1877	2250	1726	1105	1448	1538
V.g15429.t2	V	6634215	6638107	-	3893	1	1	0	13	7	10
V.g14190.t1	V	1243191	1246215	+	3025	3	1	1	16	20	28
V.g15994.t2	V	8837543	8838908	-	1366	1	1	0	25	26	23
V.g16139.t1	V	9465344	9465670	+	327	0	0	0	0	2	1
V.g15298.t2	V	5996431	6001034	+	4604	70	39	71	128	42	104
V.g14567.t1	V	2817382	2819039	-	1658	0	0	1	3	2	1
V.g15051.t1	V	4763883	4764802	-	920	0	0	0	0	1	1
V.g15017.t2	V	4624475	4627035	-	2561	0	0	0	2	4	3
V.g14577.t1	V	2881124	2883692	+	2569	0	0	3	1	4	3
V.g15995.t2	V	8842299	8843450	-	1152	0	0	0	5	7	11
V.g15431.t1	V	6646045	6651706	-	5662	1	2	1	28	6	11
V.g15052.t1	V	4767208	4770243	-	3036	1	1	1	1	2	1
V.g14755.t1	V	3587939	3588786	-	848	10	11	1	16	14	24
V.g15267.t1	V	5854759	5856851	-	2093	0	0	0	4	4	2
V.g15279.t1	V	5893633	5895010	-	1378	2340	2340	1994	1135	1623	1296
V.g15266.t1	V	5849162	5849738	-	577	0	2	0	1	0	0
V.g14759.t1	V	3595608	3596459	+	852	67	16	15	43	21	14
V.g14753.t2	V	3583112	3583951	-	840	11	6	4	9	6	16
V.g17409.t1	V	14459329	14460728	-	1400	1	0	4	7	15	12
V.g14570.t3	V	2827870	2830506	-	2637	2	1	2	3	7	5
II.g6620.t1	II	12992831	12993857	+	1027	1497	1464	1450	876	1283	1099
V.g15066.t1	V	4836247	4837375	+	1129	0	0	2	2	2	4
II.g7146.t1	II	15545330	15546886	-	1557	2	4	2	4	22	6
V.g14757.t1	V	3592619	3593710	-	1092	2	3	1	3	1	0
V.g14758.t1	V	3594026	3595201	+	1176	0	1	1	11	6	4
V.g14756.t1	V	3590682	3591534	-	853	27	4	6	4	7	5
V.g14754.t1	V	3586166	3587197	-	1032	0	3	1	7	1	6
V.g14685.t1	V	3306217	3307226	-	1010	0	0	0	0	0	0
V.g18040.t2	V	16958336	16960111	-	1776	42	69	32	50	19	63
V.g14749.t1	V	3559291	3560122	-	832	7	27	3	60	60	48
V.g18047.t1	V	16974328	16975809	-	1482	3	4	3	8	2	7
V.g18038.t1	V	16952902	16956311	+	3410	1	2	0	0	0	2
V.g14849.t1	V	4022633	4023551	-	919	582	649	728	140	370	92
V.g14848.t1	V	4020955	4021848	+	894	91	68	157	217	137	346
V.g14746.t1	V	3553706	3554304	+	599	0	0	0	0	0	0
V.g14850.t1	V	4025134	4026043	-	910	728	702	805	180	1989	446
V.g18326.t1	V	18583902	18584618	-	717	82	73	101	149	55	131
I.g1834.t1	I	5694159	5694999	+	841	0	0	0	19	13	25
I.g3449.t1	I	12817667	12819816	-	2150	6	2	2	33	36	20
V.g14747.t2	V	3554832	3555560	-	729	0	0	0	5	0	2
V.g14788.t1	V	3717701	3721063	-	3363	0	0	0	0	0	0
I.g3450.t1	I	12823954	12824695	+	742	73	65	37	249	536	233
X.g21555.t1	X	16861704	16864110	+	2407	3	1	0	16	19	7
I.g1495.t1	I	4297506	4297993	-	488	606	706	611	431	784	655
II.g5847.t1	II	9717823	9718230	+	408	8	5	2	24	18	14
II.g6846.t1	II	13922951	13923369	+	419	1	0	0	1	1	1
II.g5965.t1	II	10171504	10171918	-	415	40	31	22	126	72	121
II.g5844.t1	II	9706719	9707047	-	329	13	2	2	37	26	22
II.g7240.t1	II	15973256	15973690	-	435	2	0	0	7	4	5
II.g6843.t1	II	13910246	13910749	-	504	0	2	1	13	4	5
I.g3448.t1	I	12812996	12813624	-	629	12	4	9	115	45	72
I.g3453.t1	I	12833855	12834324	-	470	49	21	21	259	274	244
II.g7244.t1	II	15992827	15993270	+	444	9	6	5	23	25	14
II.g5845.t1	II	9711650	9712029	-	380	47	38	30	175	144	147
X.g21988.t1	X	19232744	19233036	+	293	0	3	0	9	35	10
I.g3455.t1	I	12845201	12845847	-	647	45	38	26	242	286	218
III.g9319.t1	III	9033389	9033672	-	284	3	7	2	20	9	16
II.g5848.t1	II	9719593	9720076	-	484	7	8	2	1	25	34
II.g7247.t1	II	16007423	16007900	-	478	29	29	29	50	30	44
