# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "references/annotations/briggsae.chr.transcript.ortho.gff" "-o" "counts/Cbr_fc.counts.txt" "STAR/BAM/BF1_Cbr.bam" "STAR/BAM/BF2_Cbr.bam" "STAR/BAM/BF3_Cbr.bam" "STAR/BAM/BM1_Cbr.bam" "STAR/BAM/BM2_Cbr.bam" "STAR/BAM/BM3_Cbr.bam" 
Geneid	Chr	Start	End	Strand	Length	STAR/BAM/BF1_Cbr.bam	STAR/BAM/BF2_Cbr.bam	STAR/BAM/BF3_Cbr.bam	STAR/BAM/BM1_Cbr.bam	STAR/BAM/BM2_Cbr.bam	STAR/BAM/BM3_Cbr.bam
V.g14321.t1	V	1695775	1697502	-	1728	14	21	20	22	82	26
V.g14458.t1	V	2258355	2259071	-	717	54	31	47	50	30	57
V.g17807.t1	V	15996919	15997466	+	548	30	15	71	25	33	20
V.g17995.t1	V	16771276	16771663	+	388	53	41	60	15	26	23
V.g17740.t1	V	15751001	15753456	-	2456	48	26	51	53	42	45
V.g17739.t1	V	15748750	15750811	-	2062	2068	1038	1394	1175	895	1063
V.g17681.t1	V	15561689	15562769	+	1081	1	0	0	1	0	0
V.g17683.t1	V	15570458	15571756	+	1299	0	0	0	0	1	0
V.g17602.t1	V	15180156	15181479	-	1324	3488	1588	1554	3467	3053	2720
III.g10281.t1	III	13973675	13974887	-	1213	663	280	419	463	362	345
V.g17539.t1	V	14911315	14912158	-	844	345	192	237	122	84	127
V.g17540.t1	V	14912244	14913378	-	1135	132	107	74	79	28	51
V.g17660.t1	V	15461170	15462539	-	1370	80	84	63	63	40	46
V.g17663.t1	V	15464586	15466999	-	2414	187	169	142	211	150	182
V.g17960.t1	V	16649856	16651485	-	1630	64	54	76	41	49	44
V.g18448.t1	V	19142997	19143867	+	871	11	8	5	20	17	18
V.g17542.t1	V	14916984	14918299	+	1316	17	3	15	26	23	26
V.g17508.t1	V	14831998	14833173	-	1176	97	62	63	70	81	65
V.g17845.t1	V	16124636	16125675	+	1040	24	21	23	16	37	25
V.g17752.t1	V	15793306	15793683	-	378	35	30	17	71	20	94
V.g17951.t1	V	16594099	16595163	-	1065	245	156	164	204	152	201
V.g18019.t1	V	16866844	16869757	+	2914	203	102	176	165	105	118
V.g18041.t1	V	16961550	16962035	+	486	42	28	33	37	25	11
V.g14722.t1	V	3465924	3466212	+	289	25	16	12	50	36	41
V.g18017.t1	V	16860677	16861713	-	1037	0	0	0	0	0	0
V.g17808.t1	V	15999175	16000166	+	992	148	61	115	138	226	171
V.g17803.t1	V	15986894	15988337	+	1444	56	32	43	97	72	89
V.g17805.t1	V	15995081	15995724	-	644	16	16	11	23	11	9
IV.g11198.t1	IV	4712877	4714552	-	1676	103	80	87	87	78	66
V.g15260.t1	V	5829645	5830201	+	557	49	44	66	45	65	28
V.g17809.t1	V	16000301	16001376	+	1076	52	34	27	52	47	43
V.g17815.t1	V	16017047	16019281	-	2235	50	38	46	198	164	144
V.g17359.t1	V	14243252	14245693	-	2442	296	229	125	485	228	405
IV.g13658.t1	IV	16645734	16648205	+	2472	242	158	72	160	70	188
V.g15257.t2	V	5824199	5826005	-	1807	34	21	35	38	24	18
V.g17016.t2	V	12958841	12959470	+	630	0	0	0	2	2	0
IV.g10565.t1	IV	538872	546094	+	7223	257	173	179	157	102	192
X.g18812.t1	X	1453788	1455470	+	1683	2	0	0	13	4	13
II.g7135.t1	II	15491321	15492728	-	1408	8	1	0	23	6	14
II.g4807.t1	II	5168415	5169618	-	1204	5	6	0	4	2	1
II.g7208.t1	II	15862551	15864102	+	1552	87	49	63	55	65	66
IV.g11002.t1	IV	3313468	3314898	+	1431	43	58	24	10	3	11
I.g764.t2	I	443821	447460	-	3640	81	70	55	77	37	57
IV.g13265.t1	IV	13784886	13785341	+	456	3	5	6	6	9	8
I.g760.t1	I	434350	436055	-	1706	62	22	37	62	63	65
V.g15057.t1	V	4803249	4803563	+	315	0	1	0	0	2	1
II.g7216.t1	II	15886814	15888346	+	1533	322	330	199	489	211	305
II.g7207.t2	II	15856807	15861117	-	4311	31	27	28	51	30	64
V.g15513.t2	V	7033265	7034294	+	1030	19	19	13	81	76	48
V.g16702.t1	V	11647532	11648254	+	723	22	25	25	31	64	19
V.g15694.t1	V	7767235	7768419	-	1185	3	0	2	2	2	1
IV.g11943.t1	IV	8106187	8107649	-	1463	17	34	16	6	6	15
X.g20971.t1	X	13632210	13633305	+	1096	99	64	66	101	91	161
V.g16349.t3	V	10249745	10251336	+	1592	4	4	10	6	43	10
V.g16348.t1	V	10248038	10248640	+	603	2	0	0	4	27	4
V.g15696.t2	V	7770879	7772412	+	1534	9	5	7	12	12	12
V.g17785.t1	V	15919805	15921461	+	1657	6	4	1	6	15	6
V.g15055.t2	V	4789290	4794511	-	5222	2	0	2	10	3	6
V.g17967.t1	V	16679051	16680673	+	1623	1	0	1	7	3	1
V.g14530.t3	V	2602145	2604267	+	2123	7	6	3	23	16	22
V.g17729.t1	V	15698546	15699658	+	1113	0	0	0	0	0	0
V.g14787.t2	V	3714036	3715129	+	1094	0	5	6	1	3	2
V.g15108.t2	V	4992978	4995852	-	2875	6	5	1	35	43	20
X.g19871.t1	X	7775015	7775760	+	746	5	9	6	24	13	20
I.g3119.t1	I	10996886	10998421	+	1536	1583	917	659	1025	384	1065
X.g19622.t1	X	6216000	6217660	+	1661	375	206	259	375	260	294
II.g6618.t1	II	12987190	12988407	+	1218	502	321	319	321	231	317
V.g14041.t1	V	595272	595983	+	712	0	0	0	0	0	0
II.g6714.t2	II	13359515	13360289	-	775	7	1	3	251	242	273
II.g6345.t3	II	11697882	11699224	-	1343	1118	713	1059	343	257	434
II.g6499.t1	II	12452473	12452733	-	261	139	61	59	79	16	75
II.g6598.t1	II	12906455	12908800	+	2346	38	23	60	30	19	14
I.g3685.t1	I	14276816	14278392	+	1577	134	18	66	7237	8806	7321
X.g22224.t1	X	20555246	20556114	+	869	1	0	0	12	15	1
II.g6715.t1	II	13361210	13361951	-	742	64	6	50	4157	4452	3784
II.g6711.t1	II	13352144	13354399	-	2256	26	4	25	2020	1952	1778
I.g3663.t1	I	14107156	14109031	+	1876	121	17	114	7243	10307	7193
II.g6710.t2	II	13350239	13351599	+	1361	13	8	7	732	818	464
II.g6718.t1	II	13370894	13371746	-	853	31	6	35	1883	2170	1220
II.g6324.t1	II	11596324	11597067	-	744	29	40	24	1	2	6
IV.g10875.t1	IV	2427965	2429183	-	1219	143	150	288	385	381	326
V.g17707.t1	V	15626846	15627834	+	989	116	4	66	7252	6796	5568
III.g7485.t3	III	391902	393280	+	1379	12	11	3	26	12	20
I.g3213.t1	I	11442211	11444357	+	2147	126	16	48	130	286	197
III.g7646.t1	III	1277295	1277600	-	306	1	1	5	6	3	6
I.g3661.t1	I	14098532	14099913	+	1382	48	8	39	2127	3424	2388
II.g4189.t1	II	1678445	1679695	+	1251	520	208	311	152	134	123
II.g6327.t1	II	11603000	11603743	+	744	5	10	1	2	2	0
II.g6305.t1	II	11518395	11519931	-	1537	33	29	14	49	34	33
II.g6303.t1	II	11513995	11514932	-	938	5	4	1	30	19	21
V.g14328.t1	V	1728804	1729856	+	1053	275	176	155	25	22	44
IV.g10495.t1	IV	323864	324779	-	916	344	51	186	15173	14643	13455
II.g6716.t1	II	13362955	13364299	-	1345	0	0	1	13	2	2
I.g3651.t1	I	14036792	14040145	+	3354	247	41	437	14176	25315	13971
V.g14005.t1	V	470817	472621	+	1805	4	7	3	3	2	1
II.g7102.t1	II	15294012	15294622	-	611	107	100	98	105	51	70
III.g7645.t1	III	1272796	1275617	-	2822	1	0	10	2	1	1
III.g7606.t1	III	1060516	1062710	-	2195	4	0	6	5	2	12
IV.g10494.t1	IV	322483	323383	+	901	373	151	351	11586	13018	11361
III.g10176.t1	III	13305390	13308133	+	2744	93	99	78	452	403	421
II.g6304.t2	II	11515794	11518021	-	2228	9059	5504	5716	503	258	1470
I.g2831.t1	I	9673288	9674190	+	903	4	1	2	40	63	42
II.g6306.t1	II	11520754	11521446	-	693	10	9	6	24	29	12
II.g5288.t3	II	7341615	7344833	-	3219	802	559	412	1179	717	1055
II.g6307.t1	II	11521952	11522608	-	657	13	10	19	46	23	29
II.g4191.t1	II	1685251	1686320	-	1070	127	106	94	237	195	196
II.g6717.t1	II	13368455	13369721	-	1267	12	2	10	471	711	465
I.g2913.t1	I	10040971	10042341	-	1371	156	88	116	1014	945	958
II.g4603.t1	II	4107703	4109078	-	1376	1070	706	851	689	585	749
III.g7488.t2	III	397087	399061	+	1975	280	205	182	354	362	360
II.g6301.t1	II	11509042	11510248	-	1207	21	15	13	12	5	8
III.g10423.t1	III	14558892	14559608	+	717	6405	4564	8449	718	914	1366
II.g6713.t1	II	13356610	13357229	+	620	13	6	33	2188	2121	1777
IV.g10879.t1	IV	2439097	2440266	-	1170	25	23	40	248	191	165
I.g1424.t1	I	4060047	4061741	+	1695	92	94	162	135	140	92
III.g10422.t1	III	14557093	14557768	-	676	2271	1752	5054	382	737	998
X.g21176.t1	X	14849089	14849701	-	613	21	17	31	81	87	76
I.g979.t2	I	1917023	1918352	-	1330	498	353	465	2953	3141	2491
X.g18953.t1	X	2201564	2204201	-	2638	17	20	23	27	56	17
X.g18853.t1	X	1622299	1623381	-	1083	36	10	14	1516	1049	1256
X.g21237.t1	X	15179818	15180174	+	357	0	0	0	11	8	6
II.g7234.t1	II	15945093	15945682	-	590	640	394	620	2131	2610	2026
X.g19192.t1	X	3712033	3713040	+	1008	174	95	123	220	200	197
III.g9726.t2	III	10693089	10694862	-	1774	0	0	0	0	0	0
X.g21155.t2	X	14711288	14712319	-	1032	0	0	0	4	1	3
IV.g10702.t1	IV	1513676	1514649	-	974	119	77	108	95	159	216
V.g18063.t2	V	17067997	17071078	+	3082	102	82	59	980	630	775
IV.g10450.t1	IV	97167	97658	+	492	0	0	0	0	0	0
III.g9048.t1	III	7931408	7932596	+	1189	115	94	56	1095	986	826
V.g14672.t3	V	3277429	3279715	+	2287	1	1	0	0	0	1
III.g7835.t1	III	2499186	2500379	-	1194	1	0	3	2	9	3
I.g1423.t1	I	4057396	4057934	+	539	23	25	29	105	144	81
V.g18062.t1	V	17066344	17067568	-	1225	69	41	47	559	566	536
X.g19050.t1	X	2872465	2873013	-	549	294	161	185	426	450	271
V.g15632.t1	V	7520793	7521627	+	835	8	7	16	52	44	45
X.g21507.t1	X	16576336	16577139	+	804	102	79	112	256	285	249
V.g17310.t1	V	14113010	14114347	-	1338	12	7	5	5	4	8
X.g20258.t1	X	9799456	9800117	+	662	32	12	21	31	52	32
X.g21377.t1	X	15868445	15868990	-	546	172	105	153	353	337	294
X.g18910.t1	X	1919206	1919756	-	551	668	439	518	957	983	838
X.g21506.t1	X	16572495	16573314	-	820	264	204	258	496	550	532
V.g15357.t3	V	6238176	6239480	+	1305	3	1	1	10	9	10
V.g14262.t3	V	1504904	1506703	-	1800	1	1	0	19	17	9
V.g17314.t1	V	14125005	14125698	+	694	1	0	0	1	3	3
I.g2132.t1	I	6905219	6905611	+	393	167	112	155	292	318	237
II.g4179.t1	II	1619311	1619861	+	551	0	0	0	0	0	0
V.g14905.t1	V	4276120	4276703	-	584	0	0	0	0	0	0
V.g14467.t3	V	2336471	2337418	+	948	1	0	0	2	1	0
V.g17312.t1	V	14119381	14120662	-	1282	0	0	1	0	0	2
V.g14727.t1	V	3473104	3475362	-	2259	4	2	5	0	2	1
V.g14897.t1	V	4246567	4247291	-	725	2	0	1	3	0	4
V.g15008.t1	V	4601408	4601845	+	438	0	0	0	0	3	2
V.g17560.t1	V	14970221	14970517	+	297	0	0	0	0	0	0
V.g17311.t1	V	14117124	14118581	-	1458	0	1	0	1	0	0
V.g15454.t1	V	6790102	6790738	+	637	0	0	1	0	1	0
X.g21413.t1	X	16075800	16077066	-	1267	22	23	23	3	0	7
V.g15453.t1	V	6772191	6773596	+	1406	0	1	0	9	5	7
V.g15416.t1	V	6565127	6566596	+	1470	21	14	13	53	42	28
V.g18059.t2	V	17043008	17045915	+	2908	6	3	3	23	18	15
V.g17307.t2	V	14105757	14107123	-	1367	0	1	0	0	7	1
V.g18182.t1	V	17749663	17750717	-	1055	0	0	0	0	0	0
V.g15445.t2	V	6723139	6726449	+	3311	6	2	2	30	14	21
V.g18450.t1	V	19149134	19149601	+	468	0	0	0	0	0	1
IV.g11944.t1	IV	8109221	8110352	+	1132	2	0	2	0	0	1
I.g1176.t1	I	3042968	3045090	-	2123	27	54	49	24	18	28
I.g1056.t1	I	2466345	2469007	+	2663	53	33	27	4	9	9
IV.g11430.t1	IV	5952617	5953758	+	1142	29	17	10	1	0	3
III.g8323.t2	III	5006517	5007461	-	945	11	11	14	12	18	15
IV.g12780.t1	IV	11489203	11490319	+	1117	23	36	31	5	4	7
I.g969.t2	I	1875219	1876884	-	1666	5	2	4	3	0	6
I.g3028.t1	I	10560139	10560417	-	279	2	0	3	0	0	0
I.g1205.t1	I	3146308	3146679	-	372	2	0	0	2	2	4
I.g1130.t2	I	2806915	2808174	-	1260	9	9	5	9	2	6
I.g1131.t2	I	2808890	2812795	+	3906	15	24	19	16	15	17
I.g1005.t1	I	2117460	2117875	-	416	5	9	12	6	3	5
V.g13954.t2	V	336024	337304	+	1281	3	0	4	11	11	9
I.g3770.t1	I	14672179	14673051	-	873	0	0	0	0	0	0
III.g8521.t2	III	5780022	5781515	-	1494	10	8	3	15	14	13
V.g16768.t1	V	11952121	11952954	-	834	0	0	0	0	0	0
I.g1646.t1	I	4923466	4924073	-	608	102	94	103	401	534	458
V.g13947.t1	V	322923	323336	+	414	4	0	4	4	5	2
IV.g11717.t1	IV	7309252	7309625	+	374	1	2	1	1	1	2
V.g16614.t1	V	11321412	11321916	-	505	381	319	651	841	1108	726
IV.g11908.t3	IV	7992139	7993492	-	1354	1	0	1	1	0	1
IV.g11225.t1	IV	4817196	4817681	-	486	0	0	0	0	0	0
V.g17098.t1	V	13201746	13202642	-	897	4	1	2	9	12	9
V.g15050.t1	V	4763536	4763820	+	285	0	1	0	0	0	0
IV.g11907.t3	IV	7989942	7990854	-	913	2	6	7	2	7	3
V.g14832.t1	V	3943093	3943807	-	715	0	0	0	0	1	1
IV.g11909.t2	IV	7998310	8001542	+	3233	1	2	1	13	12	5
V.g16769.t3	V	11954440	11955666	+	1227	0	0	0	3	0	0
V.g14399.t1	V	1985373	1986817	-	1445	2	1	1	2	1	0
V.g13994.t2	V	456610	458006	-	1397	1130	994	1369	436	372	434
X.g18983.t1	X	2356431	2358445	-	2015	482	365	431	527	361	430
II.g4196.t1	II	1735484	1739895	-	4412	612	715	503	488	228	487
II.g5127.t2	II	6618508	6620704	+	2197	2801	2596	1990	1063	670	1490
IV.g10539.t1	IV	445051	447253	+	2203	1909	1789	1471	673	400	797
X.g18984.t1	X	2360336	2363126	-	2791	427	355	294	259	169	266
I.g3118.t4	I	10994417	10996791	-	2375	1273	1124	899	964	604	946
V.g16770.t1	V	11955913	11956545	-	633	2	0	2	1	13	3
I.g1165.t1	I	2976130	2978392	-	2263	1240	865	831	245	127	383
IV.g11690.t1	IV	7228727	7229677	-	951	4198	8934	3926	41965	28155	13293
IV.g13479.t1	IV	15406836	15410330	-	3495	1035	980	856	2887	2774	1180
III.g9109.t1	III	8173027	8175147	-	2121	43	40	33	385	360	239
IV.g11342.t1	IV	5452986	5454013	-	1028	182559	152939	143431	176504	124817	119968
IV.g11595.t1	IV	6869083	6870040	+	958	1995	6127	1596	26499	21322	8229
IV.g12319.t1	IV	9643510	9644434	-	925	271817	190390	197484	234294	166494	154962
IV.g10680.t1	IV	1431873	1433866	+	1994	1867	5240	1689	27011	27780	8105
IV.g11591.t1	IV	6853610	6854574	-	965	1918	6815	2017	18661	8982	4675
IV.g13478.t1	IV	15400652	15403448	+	2797	1853	5471	1848	27732	29342	7726
X.g21977.t1	X	19167719	19168915	-	1197	6	22	14	57	28	52
V.g17801.t1	V	15976438	15976986	-	549	2	0	1	3	2	2
III.g8433.t1	III	5491653	5492614	+	962	13438	15160	12086	31717	23875	14020
X.g22005.t1	X	19317982	19319045	+	1064	29	49	54	33	55	34
II.g6707.t1	II	13339236	13340338	+	1103	1458	5083	1459	23858	22139	8030
X.g21985.t1	X	19221019	19221963	-	945	91	119	57	38	21	39
V.g14017.t1	V	505894	506946	-	1053	60	447	73	81	89	28
IV.g11191.t1	IV	4638222	4639091	+	870	245265	186403	186465	270697	217766	226074
III.g8586.t1	III	6062374	6063342	-	969	17970	12999	12269	12024	10596	17418
V.g14319.t1	V	1689209	1690203	-	995	83115	65667	55821	136953	73096	58409
III.g7694.t1	III	1576608	1578121	-	1514	72182	48448	51462	58823	44956	49109
I.g1519.t2	I	4385883	4386684	-	802	27	22	17	63	22	42
X.g22006.t1	X	19319279	19320231	+	953	34	86	25	31	22	24
V.g18050.t1	V	16991392	16991917	+	526	1	4	1	2	4	3
V.g14990.t1	V	4554538	4556723	+	2186	319	236	295	484	339	433
V.g14991.t1	V	4556983	4559058	+	2076	321	223	165	437	294	437
V.g18052.t1	V	16998279	16998895	-	617	0	0	0	0	0	0
V.g14987.t1	V	4545898	4547926	-	2029	56	31	29	49	33	51
V.g14978.t1	V	4526614	4528924	-	2311	257	190	137	290	222	282
V.g14982.t1	V	4535412	4535693	-	282	5	1	1	14	0	6
V.g14976.t1	V	4517027	4518161	-	1135	40	22	31	21	22	30
V.g14998.t1	V	4570673	4572353	-	1681	458	321	252	559	332	454
V.g14979.t1	V	4529264	4531189	-	1926	317	259	246	294	203	294
V.g14997.t1	V	4567253	4569280	-	2028	301	237	194	313	254	319
V.g14989.t1	V	4552001	4554067	+	2067	477	240	210	617	320	498
V.g14981.t1	V	4533406	4534611	-	1206	147	93	61	248	224	202
V.g14984.t1	V	4537311	4538733	-	1423	88	42	64	76	77	92
V.g14999.t1	V	4572863	4574715	-	1853	278	162	193	259	189	202
V.g14859.t1	V	4064570	4066837	+	2268	610	413	387	851	747	791
V.g15361.t1	V	6248039	6251354	+	3316	480	507	376	633	520	650
V.g15360.t2	V	6243550	6245191	+	1642	309	219	201	225	183	218
V.g18231.t1	V	18038066	18043236	+	5171	110	118	69	103	97	86
V.g18512.t1	V	19457985	19459179	+	1195	271	278	414	283	379	242
V.g15359.t1	V	6240732	6242544	-	1813	559	417	367	418	278	412
V.g18510.t1	V	19447714	19454997	-	7284	243	175	165	306	282	272
V.g18020.t1	V	16870134	16873944	-	3811	433	315	631	291	292	258
V.g18014.t1	V	16842283	16845046	-	2764	349	295	320	445	294	372
V.g18035.t1	V	16940959	16943144	-	2186	107	59	64	93	54	72
V.g15248.t1	V	5798039	5799775	+	1737	33	17	13	130	87	128
V.g14887.t2	V	4193983	4195559	+	1577	160	133	125	224	154	195
V.g14888.t1	V	4198651	4200600	+	1950	495	272	243	521	249	493
V.g14892.t1	V	4219110	4221701	-	2592	84	78	66	163	122	124
V.g14890.t1	V	4209909	4211026	+	1118	187	103	126	218	175	168
V.g14730.t1	V	3481428	3484189	-	2762	59	38	40	79	67	72
V.g15246.t1	V	5790879	5792724	-	1846	774	485	705	489	303	417
V.g14713.t3	V	3406710	3412661	-	5952	106	62	87	145	86	113
V.g15243.t1	V	5780915	5782061	+	1147	156	94	72	148	80	132
V.g15247.t1	V	5793398	5795556	+	2159	953	683	805	900	596	706
V.g14729.t1	V	3478837	3481223	-	2387	151	136	106	164	138	190
V.g15006.t3	V	4591336	4594122	+	2787	328	199	262	227	159	253
V.g15005.t1	V	4589357	4589722	+	366	0	0	0	3	0	3
V.g14716.t1	V	3426784	3430356	-	3573	273	236	160	348	255	339
V.g15053.t3	V	4776354	4779105	+	2752	0	3	1	19	7	11
V.g14891.t3	V	4214842	4216985	+	2144	210	185	176	272	138	219
IV.g11270.t2	IV	5059565	5061095	+	1531	4	0	2	4	17	6
V.g17248.t1	V	13872369	13877177	+	4809	22	34	35	159	162	145
V.g17242.t2	V	13845701	13846972	+	1272	0	1	0	5	5	5
V.g17551.t3	V	14941030	14943439	+	2410	0	0	0	4	3	1
V.g17241.t2	V	13835398	13836407	+	1010	0	0	0	1	5	2
IV.g11276.t1	IV	5086268	5088671	+	2404	25	14	13	55	48	26
X.g20389.t2	X	10519070	10522060	+	2991	16	13	18	31	18	21
V.g15077.t2	V	4882509	4883693	-	1185	7	7	4	7	8	7
V.g15440.t1	V	6697906	6698501	-	596	0	0	0	0	0	0
V.g15083.t3	V	4904339	4908587	-	4249	25	10	18	50	38	35
V.g15079.t1	V	4889006	4891885	+	2880	26	16	24	21	25	24
V.g15428.t1	V	6627142	6629239	-	2098	24	5	8	31	16	37
IV.g10709.t1	IV	1568013	1571508	-	3496	37	43	45	56	65	47
X.g22089.t2	X	19846584	19848822	+	2239	3	1	1	3	7	5
IV.g10561.t1	IV	522269	524333	+	2065	34	11	28	58	72	41
V.g15427.t3	V	6620739	6626352	-	5614	15	14	18	19	19	31
V.g14701.t1	V	3358654	3359736	+	1083	1861	1917	1855	1023	846	1247
V.g15429.t2	V	6634215	6638107	-	3893	5	5	4	8	12	15
V.g14190.t1	V	1243191	1246215	+	3025	10	5	1	32	22	21
V.g15994.t2	V	8837543	8838908	-	1366	2	1	1	28	36	21
V.g16139.t1	V	9465344	9465670	+	327	3	0	0	5	0	2
V.g15298.t2	V	5996431	6001034	+	4604	50	162	105	468	625	398
V.g14567.t1	V	2817382	2819039	-	1658	4	3	5	4	4	3
V.g15051.t1	V	4763883	4764802	-	920	0	0	2	0	0	2
V.g15017.t2	V	4624475	4627035	-	2561	0	0	1	1	1	0
V.g14577.t1	V	2881124	2883692	+	2569	5	4	3	1	1	1
V.g15995.t2	V	8842299	8843450	-	1152	2	0	3	4	4	4
V.g15431.t1	V	6646045	6651706	-	5662	11	4	8	9	7	15
V.g15052.t1	V	4767208	4770243	-	3036	2	3	2	2	2	2
V.g14755.t1	V	3587939	3588786	-	848	14	22	10	190	141	66
V.g15267.t1	V	5854759	5856851	-	2093	0	1	2	3	3	1
V.g15279.t1	V	5893633	5895010	-	1378	1672	1932	1524	996	801	1114
V.g15266.t1	V	5849162	5849738	-	577	0	0	0	0	3	2
V.g14759.t1	V	3595608	3596459	+	852	26	213	39	704	628	323
V.g14753.t2	V	3583112	3583951	-	840	5	12	1	30	39	14
V.g17409.t1	V	14459329	14460728	-	1400	6	0	8	11	16	14
V.g14570.t3	V	2827870	2830506	-	2637	1	1	2	2	4	2
II.g6620.t1	II	12992831	12993857	+	1027	2259	1886	1901	1097	886	1249
V.g15066.t1	V	4836247	4837375	+	1129	4	0	0	3	4	3
II.g7146.t1	II	15545330	15546886	-	1557	4	3	1	14	5	3
V.g14757.t1	V	3592619	3593710	-	1092	4	11	5	12	18	14
V.g14758.t1	V	3594026	3595201	+	1176	2	13	2	31	12	29
V.g14756.t1	V	3590682	3591534	-	853	7	82	3	336	328	128
V.g14754.t1	V	3586166	3587197	-	1032	1	8	1	17	18	4
V.g14685.t1	V	3306217	3307226	-	1010	0	0	0	1	0	1
V.g18040.t2	V	16958336	16960111	-	1776	42	34	41	109	47	71
V.g14749.t1	V	3559291	3560122	-	832	11	39	19	190	156	89
V.g18047.t1	V	16974328	16975809	-	1482	2	4	2	4	11	12
V.g18038.t1	V	16952902	16956311	+	3410	3	5	3	3	5	2
V.g14849.t1	V	4022633	4023551	-	919	850	1487	990	1277	1158	1309
V.g14848.t1	V	4020955	4021848	+	894	53	108	48	82	101	115
V.g14746.t1	V	3553706	3554304	+	599	0	0	0	0	0	0
V.g14850.t1	V	4025134	4026043	-	910	612	1187	823	1739	2039	1974
V.g18326.t1	V	18583902	18584618	-	717	105	149	136	113	147	117
I.g1834.t1	I	5694159	5694999	+	841	6	1	13	11	8	10
I.g3449.t1	I	12817667	12819816	-	2150	13	7	7	42	33	60
V.g14747.t2	V	3554832	3555560	-	729	0	0	1	1	2	0
V.g14788.t1	V	3717701	3721063	-	3363	1	1	0	0	0	1
I.g3450.t1	I	12823954	12824695	+	742	170	156	272	431	566	383
X.g21555.t1	X	16861704	16864110	+	2407	3	7	2	20	31	17
I.g1495.t1	I	4297506	4297993	-	488	1073	789	899	373	328	368
II.g5847.t1	II	9717823	9718230	+	408	14	15	17	27	30	37
II.g6846.t1	II	13922951	13923369	+	419	1	0	2	3	5	1
II.g5965.t1	II	10171504	10171918	-	415	75	60	77	109	147	138
II.g5844.t1	II	9706719	9707047	-	329	18	6	14	87	109	67
II.g7240.t1	II	15973256	15973690	-	435	3	2	3	5	2	3
II.g6843.t1	II	13910246	13910749	-	504	0	0	11	17	25	10
I.g3448.t1	I	12812996	12813624	-	629	26	17	31	136	167	80
I.g3453.t1	I	12833855	12834324	-	470	108	100	165	290	378	283
II.g7244.t1	II	15992827	15993270	+	444	9	5	9	23	13	15
II.g5845.t1	II	9711650	9712029	-	380	163	124	177	241	224	218
