gene_id	HF1_Cbr	HF1_Cni	HF2_Cbr	HF2_Cni	HF3_Cbr	HF3_Cni	HM1_Cbr	HM1_Cni	HM2_Cbr	HM2_Cni	HM3_Cbr	HM3_Cni
I.g1085.t1__Cnig_chr_I.g59.t1	294	306	261	274	154	159	127	127	63	68	99	100
I.g1086.t1__Cnig_chr_I.g58.t1	267	266	174	173	137	136	999	998	699	689	743	743
I.g1087.t1__Cnig_chr_I.g57.t1	7	6	3	3	3	2	112	94	66	53	90	77
I.g1088.t1__Cnig_chr_I.g56.t1	18	15	13	10	8	8	42	33	21	18	29	23
I.g1089.t2__Cnig_chr_I.g55.t2	24	23	12	12	12	11	180	177	117	116	142	139
I.g1090.t1__Cnig_chr_I.g54.t1	799	712	628	565	407	370	115	104	82	69	87	76
I.g1091.t1__Cnig_chr_I.g53.t1	79	79	79	79	42	44	48	49	24	25	36	37
I.g1092.t1__Cnig_chr_I.g52.t2	295	233	254	198	158	126	177	142	109	87	140	113
I.g1093.t2__Cnig_chr_I.g51.t2	3	3	2	2	1	1	8	8	5	13	7	7
I.g1094.t2__Cnig_chr_I.g50.t1	331	311	302	284	151	138	213	176	105	90	168	138
I.g1095.t1__Cnig_chr_I.g49.t1	296	293	290	286	168	165	170	169	95	93	137	136
I.g1096.t1__Cnig_chr_I.g48.t2	421	461	365	400	220	237	158	172	83	93	121	126
I.g1097.t1__Cnig_chr_I.g47.t2	16	14	14	12	8	7	18	18	16	15	15	14
I.g1099.t2__Cnig_chr_I.g46.t2	27	23	23	21	13	11	57	47	33	29	36	29
I.g1100.t1__Cnig_chr_I.g45.t1	244	244	181	181	126	126	73	79	51	55	53	58
I.g1101.t1__Cnig_chr_I.g44.t1	985	966	852	840	511	501	274	281	165	167	212	217
I.g1102.t1__Cnig_chr_I.g43.t1	470	482	409	422	225	232	194	199	90	92	157	161
I.g1103.t1__Cnig_chr_I.g42.t1	388	390	328	327	198	200	166	165	92	92	128	128
I.g1104.t1__Cnig_chr_I.g41.t3	5	2	5	2	3	1	8	4	1	0	5	3
I.g1105.t1__Cnig_chr_I.g40.t1	105	135	93	115	56	70	55	58	38	41	43	44
I.g1109.t1__Cnig_chr_I.g38.t3	3	1	5	1	2	1	8	12	3	6	4	6
I.g1112.t2__Cnig_chr_I.g35.t2	41	41	33	33	18	17	98	96	39	40	74	73
I.g1114.t2__Cnig_chr_I.g34.t2	5	7	3	4	2	3	11	18	4	8	10	15
I.g1115.t3__Cnig_chr_I.g33.t3	322	257	260	220	171	140	331	273	196	162	245	199
I.g1116.t1__Cnig_chr_I.g29.t1	342	344	300	300	172	172	149	148	81	80	119	120
I.g1117.t1__Cnig_chr_I.g28.t1	729	728	664	664	418	415	416	413	242	235	309	304
I.g1119.t1__Cnig_chr_I.g26.t1	193	194	165	163	97	97	162	161	61	61	128	127
I.g1120.t1__Cnig_chr_I.g25.t1	421	414	413	407	204	203	132	129	45	44	99	97
I.g1121.t1__Cnig_chr_I.g24.t1	0	0	1	0	0	0	6	4	3	2	4	3
I.g1123.t1__Cnig_chr_I.g22.t2	0	2	1	0	0	1	2	3	1	1	2	2
I.g1125.t1__Cnig_chr_I.g19.t1	69	69	40	43	43	43	906	905	511	511	694	695
I.g1126.t1__Cnig_chr_I.g18.t1	2	1	1	1	0	0	199	197	74	74	162	161
I.g1129.t1__Cnig_chr_I.g16.t1	530	601	482	555	277	312	156	159	69	72	118	120
I.g1130.t2__Cnig_chr_I.g15.t1	2	0	2	0	1	0	5	0	0	1	2	0
I.g1131.t2__Cnig_chr_I.g9.t1	1	1	0	1	1	0	2	2	0	0	2	2
I.g1132.t1__Cnig_chr_I.g8.t1	15	17	12	13	9	10	143	147	39	41	120	125
I.g1133.t3__Cnig_chr_I.g6.t1	800	232	848	232	384	119	924	586	612	423	711	434
I.g1134.t1__Cnig_chr_I.g5.t1	7085	7052	7045	7012	3707	3691	5474	5330	1993	1894	4408	4288
I.g1135.t1__Cnig_chr_I.g4.t1	1257	1203	1064	1018	636	609	1263	1075	634	505	992	837
I.g1141.t1__Cnig_chr_I.g623.t1	49	48	51	50	27	26	94	89	55	56	71	68
I.g1142.t1__Cnig_chr_I.g624.t1	112	112	94	94	71	71	547	545	353	350	420	420
I.g1143.t2__Cnig_chr_I.g625.t1	597	611	548	562	341	350	384	388	234	227	296	303
I.g1144.t2__Cnig_chr_I.g1613.t1	56	584	50	511	29	318	54	263	32	159	42	189
I.g1147.t1__Cnig_chr_I.g632.t2	1	1	0	0	1	0	101	102	57	57	83	85
I.g1148.t1__Cnig_chr_I.g633.t1	0	0	0	0	0	0	28	28	11	10	23	23
I.g1149.t1__Cnig_chr_I.g635.t1	14	10	10	8	5	4	27	18	15	14	18	13
I.g1150.t1__Cnig_chr_I.g639.t1	0	3	0	4	0	1	3	3	2	2	1	3
I.g1151.t1__Cnig_chr_I.g640.t1	43	43	33	33	25	25	89	80	43	39	66	60
I.g1152.t1__Cnig_chr_I.g641.t1	0	1	0	0	0	0	5	5	4	3	4	4
I.g1154.t1__Cnig_chr_I.g644.t3	688	687	550	546	364	361	348	351	246	249	288	284
I.g1155.t1__Cnig_chr_I.g645.t1	20	21	18	17	9	9	38	38	7	8	30	29
I.g1156.t1__Cnig_chr_I.g646.t2	94	293	81	260	54	160	54	179	38	107	39	134
I.g1158.t1__Cnig_chr_I.g647.t1	371	372	330	322	196	189	112	101	54	34	88	80
I.g1159.t1__Cnig_chr_I.g648.t1	10691	10694	12341	12341	5780	5780	10469	10472	5535	5536	8292	8292
I.g1160.t1__Cnig_chr_I.g649.t1	32	30	31	29	15	14	53	52	25	25	37	36
I.g1161.t1__Cnig_chr_I.g650.t3	1188	1168	997	985	588	587	146	145	95	91	118	116
I.g1162.t2__Cnig_chr_I.g651.t2	1808	1096	1610	930	895	563	1787	574	620	310	1433	454
I.g1163.t2__Cnig_chr_I.g653.t1	2035	2016	2193	2163	1049	1038	493	486	353	353	390	383
I.g1165.t1__Cnig_chr_I.g655.t1	278	281	285	277	137	146	45	40	28	23	32	29
I.g1166.t1__Cnig_chr_I.g657.t2	161	170	142	150	79	83	66	59	40	38	55	49
I.g1167.t1__Cnig_chr_I.g656.t1	275	267	281	272	131	125	83	80	35	35	64	63
I.g1168.t3__Cnig_chr_I.g658.t2	55	55	40	41	28	28	182	182	121	117	139	140
I.g1169.t1__Cnig_chr_I.g659.t1	8	8	5	5	3	3	19	18	13	12	16	16
I.g1170.t1__Cnig_chr_I.g660.t2	128	121	73	69	61	58	1026	989	517	452	794	759
I.g1171.t1__Cnig_chr_I.g662.t1	4	7	5	6	2	4	20	22	9	6	15	15
I.g1172.t1__Cnig_chr_I.g663.t2	1185	422	960	319	615	226	692	191	436	144	529	145
I.g1173.t2__Cnig_chr_I.g666.t3	117	154	127	165	67	85	21	25	11	13	15	17
I.g1175.t2__Cnig_chr_I.g668.t2	975	967	843	843	504	504	346	351	268	264	253	257
I.g1176.t1__Cnig_chr_I.g674.t1	13	0	14	0	7	0	11	0	1	0	6	0
I.g1180.t1__Cnig_chr_I.g698.t1	149	145	145	142	74	71	129	123	61	58	97	92
I.g1181.t1__Cnig_chr_I.g697.t1	712	665	597	563	365	344	188	177	119	115	140	131
I.g1182.t2__Cnig_chr_I.g696.t1	343	299	308	266	181	158	86	71	44	40	64	57
I.g1183.t1__Cnig_chr_I.g695.t1	546	545	504	501	284	280	237	228	146	139	181	177
I.g1184.t1__Cnig_chr_I.g694.t2	1454	1417	1298	1260	755	737	270	261	233	228	205	198
I.g1185.t1__Cnig_chr_I.g693.t1	7	4	8	4	3	2	27	21	7	5	20	17
I.g1186.t1__Cnig_chr_I.g692.t1	212	212	211	211	114	114	29	28	20	19	21	19
I.g1187.t1__Cnig_chr_I.g691.t1	5341	5341	5615	5614	2551	2552	5028	5024	3126	3126	4099	4096
I.g1188.t1__Cnig_chr_I.g690.t1	4142	4146	4761	4764	2123	2125	4478	4480	2591	2592	3670	3672
I.g1189.t1__Cnig_chr_I.g689.t1	519	572	466	518	275	302	115	129	90	100	85	96
I.g1190.t1__Cnig_chr_I.g688.t1	137	125	130	118	71	65	28	23	15	14	23	22
I.g1191.t1__Cnig_chr_I.g687.t1	4	3	5	3	1	1	16	11	2	1	11	8
I.g1195.t1__Cnig_chr_I.g683.t2	1	2	1	1	1	1	3	3	0	0	2	2
I.g1196.t1__Cnig_chr_I.g682.t3	1322	1297	1131	1105	736	719	324	316	231	227	229	224
I.g1197.t1__Cnig_chr_I.g680.t1	1588	268	1371	268	845	138	408	95	338	58	310	73
I.g1198.t1__Cnig_chr_I.g702.t1	298	282	250	236	148	140	160	153	66	62	131	124
I.g1199.t1__Cnig_chr_I.g704.t1	23	9	17	8	10	4	1839	841	946	364	1378	621
I.g1200.t1__Cnig_chr_I.g705.t1	16	13	8	7	8	7	126	123	66	63	99	95
I.g1201.t1__Cnig_chr_I.g706.t1	8	5	8	5	2	1	50	42	31	28	41	32
I.g1205.t1__Cnig_chr_I.g676.t1	0	1	0	1	0	0	0	3	0	4	0	1
I.g1211.t2__Cnig_chr_I.g751.t1	829	486	728	411	454	262	455	237	254	144	343	184
I.g1212.t1__Cnig_chr_I.g752.t1	2429	2452	1874	1889	1299	1303	775	783	550	557	576	580
I.g1213.t3__Cnig_chr_I.g753.t3	17	4	15	4	9	2	85	78	54	51	68	59
I.g1217.t1__Cnig_chr_I.g763.t1	2517	2434	1826	1773	1266	1226	595	586	482	476	429	421
I.g1218.t2__Cnig_chr_I.g766.t1	248	108	240	104	141	63	87	39	35	9	70	31
I.g1221.t1__Cnig_chr_I.g778.t1	48	17	45	13	31	7	66	54	21	12	52	43
I.g1222.t1__Cnig_chr_I.g779.t1	47	12	47	13	31	6	72	49	39	17	56	35
I.g1226.t1__Cnig_chr_I.g549.t1	578	302	515	301	283	149	240	97	129	41	198	79
I.g1232.t1__Cnig_chr_I.g788.t1	282	289	266	265	141	155	73	66	44	39	55	51
I.g1233.t1__Cnig_chr_I.g787.t1	272	248	236	217	146	135	62	57	32	32	41	38
I.g1234.t1__Cnig_chr_I.g786.t1	470	460	402	394	241	238	91	85	62	63	62	62
I.g1235.t2__Cnig_chr_I.g785.t1	27	24	24	22	15	13	62	44	50	36	44	33
I.g1236.t2__Cnig_chr_I.g784.t1	69	64	62	58	40	39	129	124	77	77	93	90
I.g1237.t1__Cnig_chr_I.g783.t1	777	543	696	489	421	301	868	600	445	296	658	461
I.g1241.t1__Cnig_chr_I.g794.t1	127	127	83	83	63	63	63	63	47	47	49	48
I.g1242.t1__Cnig_chr_I.g795.t3	945	947	775	781	465	469	718	712	489	486	507	505
I.g1243.t1__Cnig_chr_I.g798.t1	6220	6231	5698	5700	3299	3305	254	243	351	346	177	171
I.g1244.t1__Cnig_chr_I.g799.t1	198	189	211	201	101	96	15	14	7	7	12	12
I.g1245.t1__Cnig_chr_I.g800.t1	583	605	578	605	306	319	52	54	28	31	41	44
I.g1246.t1__Cnig_chr_I.g803.t1	758	749	596	591	395	382	487	463	342	324	374	353
I.g1247.t1__Cnig_chr_I.g804.t1	311	315	276	278	168	170	131	131	66	69	108	109
I.g1248.t3__Cnig_chr_I.g805.t1	320	313	263	258	151	149	129	126	76	77	99	98
I.g1249.t1__Cnig_chr_I.g806.t1	437	440	390	392	254	255	945	935	699	687	698	692
I.g1252.t1__Cnig_chr_I.g809.t3	26	25	21	21	14	13	237	231	156	152	189	182
I.g1254.t3__Cnig_chr_I.g811.t1	1936	1544	1580	1222	999	799	922	476	581	340	719	360
I.g1255.t1__Cnig_chr_I.g814.t1	3	3	3	3	2	1	37	35	7	6	30	29
I.g1256.t3__Cnig_chr_I.g815.t2	4	4	5	4	2	2	12	11	8	7	10	9
I.g1258.t2__Cnig_chr_I.g818.t1	1115	1097	1094	1073	578	567	904	887	550	547	702	684
I.g1259.t1__Cnig_chr_I.g819.t1	41	40	25	26	22	22	75	75	60	59	57	56
I.g1263.t1__Cnig_chr_I.g825.t1	6763	5896	7500	6556	3488	3007	424	379	391	359	303	264
I.g1264.t3__Cnig_chr_I.g830.t1	802	808	687	693	391	393	225	216	145	139	172	163
I.g1265.t1__Cnig_chr_I.g831.t1	499	483	476	461	278	266	127	115	56	52	92	82
I.g1266.t2__Cnig_chr_I.g833.t1	1150	572	949	460	610	309	397	179	261	132	306	135
I.g1268.t1__Cnig_chr_I.g835.t2	101	317	62	213	49	161	27	112	20	74	24	93
I.g1269.t1__Cnig_chr_I.g836.t1	1052	907	1010	904	574	498	183	156	134	108	137	121
I.g1271.t2__Cnig_chr_I.g838.t2	9	17	7	13	2	7	20	20	9	9	15	16
I.g1272.t1__Cnig_chr_I.g839.t1	491	496	400	407	251	253	181	184	109	102	140	140
I.g1273.t2__Cnig_chr_I.g840.t1	308	310	231	233	164	165	92	73	68	63	70	55
I.g1274.t1__Cnig_chr_I.g841.t1	12	16	11	15	9	11	385	387	213	215	303	306
I.g1275.t1__Cnig_chr_I.g842.t1	605	597	545	538	321	319	260	251	155	151	197	192
I.g1276.t1__Cnig_chr_I.g843.t1	779	758	728	703	413	403	1223	1202	688	682	936	920
I.g1280.t1__Cnig_chr_I.g851.t1	238	224	238	228	112	107	130	124	19	17	103	94
I.g1281.t2__Cnig_chr_I.g852.t1	74	72	41	41	32	32	222	218	194	192	155	153
I.g1282.t1__Cnig_chr_I.g853.t1	47	48	29	29	21	21	110	107	73	72	84	82
I.g1283.t1__Cnig_chr_I.g854.t1	1	1	1	1	0	0	326	329	186	186	260	261
I.g1285.t3__Cnig_chr_I.g856.t1	0	0	0	1	0	1	13	14	6	6	9	10
I.g1287.t2__Cnig_chr_I.g857.t1	13	5	13	5	7	3	15	10	6	5	15	8
I.g1288.t1__Cnig_chr_I.g858.t1	699	719	630	644	390	400	187	191	110	111	142	142
I.g1289.t1__Cnig_chr_I.g859.t1	1380	1369	1307	1299	743	741	296	295	226	223	223	222
I.g1290.t1__Cnig_chr_I.g860.t1	139	141	144	145	68	69	107	106	53	53	86	84
I.g1291.t1__Cnig_chr_I.g861.t1	607	611	553	555	314	317	752	745	504	496	569	561
I.g1292.t3__Cnig_chr_I.g862.t2	2037	2049	1686	1697	1096	1100	453	455	358	356	340	341
I.g1293.t1__Cnig_chr_I.g864.t1	3745	3772	3489	3513	1938	1951	697	699	567	569	498	498
I.g1295.t1__Cnig_chr_I.g865.t2	136	182	121	161	76	106	580	747	348	476	434	572
I.g1296.t2__Cnig_chr_I.g866.t3	9	6	8	6	5	4	10	9	3	4	7	6
I.g1297.t1__Cnig_chr_I.g867.t1	343	334	356	347	176	173	106	102	55	58	86	83
I.g1298.t1__Cnig_chr_I.g868.t1	564	565	487	490	278	279	231	234	127	128	175	177
I.g1299.t1__Cnig_chr_I.g869.t1	1456	1360	1275	1213	787	738	404	370	323	307	319	281
I.g1300.t3__Cnig_chr_I.g870.t3	1795	1651	1550	1414	934	852	558	495	375	339	431	383
I.g1306.t1__Cnig_chr_I.g872.t1	1	0	1	1	0	0	90	82	30	33	73	64
I.g1309.t1__Cnig_chr_I.g874.t1	48	52	42	43	23	24	132	137	45	45	102	105
I.g1311.t1__Cnig_chr_I.g875.t3	187	393	181	370	95	211	137	270	71	168	111	218
I.g1313.t1__Cnig_chr_I.g878.t1	1522	1479	1328	1288	807	784	480	466	314	306	353	346
I.g1314.t3__Cnig_chr_I.g879.t1	44	46	45	50	28	30	148	146	83	82	111	111
I.g1315.t1__Cnig_chr_I.g880.t1	24	25	22	25	12	13	52	53	29	28	40	40
I.g1316.t1__Cnig_chr_I.g881.t2	928	945	828	847	501	510	237	242	170	169	177	181
I.g1317.t1__Cnig_chr_I.g882.t1	479	481	427	430	247	248	498	499	263	263	380	382
I.g1318.t3__Cnig_chr_I.g883.t1	69	65	47	43	26	25	148	136	79	75	116	107
I.g1319.t1__Cnig_chr_I.g884.t1	5	5	5	5	4	4	25	24	18	18	16	15
I.g1320.t1__Cnig_chr_I.g885.t1	0	0	0	0	1	0	195	188	42	46	154	152
I.g1321.t3__Cnig_chr_I.g886.t2	2	3	2	2	1	1	556	558	364	363	416	418
I.g1322.t1__Cnig_chr_I.g887.t1	1836	1840	1730	1735	965	966	146	147	122	123	112	112
I.g1323.t1__Cnig_chr_I.g888.t1	504	509	493	496	258	259	119	119	61	60	93	94
I.g1325.t1__Cnig_chr_I.g890.t1	43	43	44	45	25	25	26	28	30	14	21	24
I.g1326.t1__Cnig_chr_I.g892.t1	3	2	3	2	1	0	28	35	13	15	26	30
I.g1327.t3__Cnig_chr_I.g893.t1	111	75	61	48	58	41	751	562	586	394	573	418
I.g1328.t1__Cnig_chr_I.g899.t1	619	645	549	573	328	346	118	124	98	103	101	104
I.g1329.t1__Cnig_chr_I.g901.t2	87	89	65	65	47	47	477	488	251	256	375	385
I.g1330.t1__Cnig_chr_I.g902.t1	9	6	6	4	5	3	43	48	19	20	33	37
I.g1331.t1__Cnig_chr_I.g903.t1	1347	1344	1063	1059	705	703	354	360	239	242	270	273
I.g1332.t2__Cnig_chr_I.g904.t1	39	42	28	34	21	22	182	192	123	126	141	150
I.g1333.t2__Cnig_chr_I.g905.t1	1374	1478	1118	1219	696	753	123	123	118	120	82	85
I.g1334.t1__Cnig_chr_I.g906.t1	2218	2239	1855	1865	1180	1183	359	355	286	286	267	265
I.g1336.t1__Cnig_chr_I.g908.t1	876	697	706	588	443	357	121	97	89	73	87	72
I.g1337.t1__Cnig_chr_I.g909.t1	5823	5853	5556	5586	3079	3096	168	166	208	206	126	126
I.g1339.t1__Cnig_chr_I.g928.t1	19	18	14	14	10	11	135	122	64	56	102	94
I.g1340.t2__Cnig_chr_I.g929.t1	13	12	17	15	8	8	658	657	319	319	502	502
I.g1341.t1__Cnig_chr_I.g930.t1	2163	2098	1868	1808	1126	1090	383	367	376	358	291	282
I.g1342.t1__Cnig_chr_I.g931.t1	6	8	6	8	4	4	39	38	10	10	33	33
I.g1343.t2__Cnig_chr_I.g932.t1	736	657	742	659	388	344	470	413	310	280	345	306
I.g1344.t1__Cnig_chr_I.g933.t1	176	173	188	187	87	87	101	101	40	39	69	68
I.g1347.t1__Cnig_chr_I.g934.t1	23	24	17	18	12	13	250	248	126	126	196	196
I.g1348.t1__Cnig_chr_I.g935.t1	2	2	2	3	1	1	150	147	79	78	123	120
I.g1349.t1__Cnig_chr_I.g938.t2	20	18	16	15	6	6	22	20	10	9	16	15
I.g1350.t2__Cnig_chr_I.g940.t1	1637	1204	1444	1047	866	641	279	96	227	112	217	68
I.g1351.t1__Cnig_chr_I.g941.t1	1364	1358	1326	1319	707	704	441	440	224	223	337	333
I.g1352.t1__Cnig_chr_I.g942.t1	432	314	368	259	222	161	338	233	222	159	253	179
I.g1353.t1__Cnig_chr_I.g949.t1	94	92	83	81	45	44	177	174	123	121	139	137
I.g1354.t1__Cnig_chr_I.g950.t2	271	264	246	240	136	134	258	258	115	115	184	182
I.g1355.t1__Cnig_chr_I.g951.t1	17	17	20	19	13	13	44	43	18	18	35	35
I.g1356.t4__Cnig_chr_I.g952.t1	2528	2532	2202	2205	1325	1328	542	543	334	334	405	406
I.g1357.t4__Cnig_chr_I.g953.t1	12	10	10	8	6	6	53	47	34	29	40	35
I.g1359.t1__Cnig_chr_I.g954.t1	105	97	79	72	50	46	284	243	184	166	216	188
I.g1360.t1__Cnig_chr_I.g956.t2	3	3	3	3	2	2	410	387	263	236	305	291
I.g1361.t1__Cnig_chr_I.g957.t1	1002	1004	936	938	511	515	130	130	97	96	103	103
I.g1362.t1__Cnig_chr_I.g958.t1	381	376	363	364	196	196	51	50	38	38	38	38
I.g1363.t1__Cnig_chr_I.g959.t1	665	2473	580	2076	333	1260	288	886	145	581	219	669
I.g1364.t1__Cnig_chr_I.g990.t1	1	1	1	2	0	2	2	1	2	2	0	1
I.g1365.t1__Cnig_chr_I.g989.t1	1	2	1	3	1	2	118	111	68	56	83	82
I.g1366.t3__Cnig_chr_I.g988.t2	165	166	128	129	91	90	558	552	339	332	406	402
I.g1367.t1__Cnig_chr_I.g986.t1	0	0	0	0	0	0	98	64	46	38	84	58
I.g1368.t1__Cnig_chr_I.g985.t1	0	0	1	0	0	0	86	68	47	39	63	51
I.g1369.t1__Cnig_chr_I.g983.t1	2	2	2	1	2	1	55	49	31	29	39	34
I.g1370.t1__Cnig_chr_I.g982.t2	13	16	16	20	4	5	3	2	0	0	2	2
I.g1371.t3__Cnig_chr_I.g981.t2	0	0	0	0	1	0	155	145	91	88	127	120
I.g1372.t1__Cnig_chr_I.g980.t1	855	216	716	176	446	107	2813	623	1082	267	2114	484
I.g1373.t2__Cnig_chr_I.g979.t3	15	15	10	11	8	8	127	139	78	81	103	114
I.g1374.t2__Cnig_chr_I.g978.t1	221	223	168	168	102	101	806	800	584	572	595	587
I.g1376.t2__Cnig_chr_I.g977.t1	1	1	1	2	0	1	13	14	5	5	8	8
I.g1377.t3__Cnig_chr_I.g976.t2	28	40	29	42	13	18	120	123	80	82	94	96
I.g1378.t2__Cnig_chr_I.g975.t1	522	531	516	528	282	286	149	149	109	109	116	116
I.g1379.t1__Cnig_chr_I.g974.t1	243	249	243	250	123	123	157	158	105	104	122	122
I.g1380.t1__Cnig_chr_I.g973.t1	943	942	986	987	486	486	264	263	68	68	213	213
I.g1381.t1__Cnig_chr_I.g972.t1	1926	1756	2172	1968	1035	941	651	595	386	348	481	434
I.g1382.t1__Cnig_chr_I.g971.t1	364	364	362	361	205	204	79	78	48	48	66	66
I.g1383.t2__Cnig_chr_I.g970.t1	30	30	29	28	14	14	124	121	76	77	91	88
I.g1387.t2__Cnig_chr_I.g968.t1	121	115	124	118	79	78	197	193	80	82	145	144
I.g1388.t1__Cnig_chr_I.g967.t1	1507	1132	1303	971	814	616	636	421	425	304	469	309
I.g1389.t1__Cnig_chr_I.g966.t1	184	182	185	181	100	97	148	142	79	77	106	104
I.g1390.t1__Cnig_chr_I.g964.t1	60	61	55	56	35	35	213	219	130	131	163	167
I.g1391.t1__Cnig_chr_I.g963.t1	6	6	5	6	3	2	131	130	65	66	105	104
I.g1392.t1__Cnig_chr_I.g962.t1	1021	1048	870	896	512	523	115	105	100	104	88	80
