# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "references/annotations/nigoni.chr.transcript.ortho.gff" "-o" "counts/Cni_fc.counts.txt" "STAR/BAM/9F1_Cni.bam" "STAR/BAM/9F2_Cni.bam" "STAR/BAM/9F3_Cni.bam" "STAR/BAM/9M1_Cni.bam" "STAR/BAM/9M2_Cni.bam" "STAR/BAM/9M3_Cni.bam" 
Geneid	Chr	Start	End	Strand	Length	STAR/BAM/9F1_Cni.bam	STAR/BAM/9F2_Cni.bam	STAR/BAM/9F3_Cni.bam	STAR/BAM/9M1_Cni.bam	STAR/BAM/9M2_Cni.bam	STAR/BAM/9M3_Cni.bam
Cnig_chr_IV.g12805.t1	Cnig_chr_IV	4004542	4005952	-	1411	9	11	5	3	3	3
Cnig_chr_I.g202.t1	Cnig_chr_I	964319	967101	-	2783	69	40	49	93	137	62
Cnig_chr_IV.g15318.t1	Cnig_chr_IV	15195526	15198423	+	2898	8	11	9	3	3	11
Cnig_chr_I.g178.t1	Cnig_chr_I	914971	917765	-	2795	25	21	39	34	35	47
Cnig_chr_V.g17907.t1	Cnig_chr_V	5968040	5968776	+	737	0	0	0	1	0	0
Cnig_chr_II.g8135.t1	Cnig_chr_II	18350365	18351885	+	1521	144	76	97	155	139	143
Cnig_chr_II.g8130.t1	Cnig_chr_II	18318394	18320853	-	2460	17	19	17	51	82	50
Cnig_chr_V.g18462.t2	Cnig_chr_V	8277708	8278719	+	1012	0	0	1	0	3	3
Cnig_chr_V.g19724.t1	Cnig_chr_V	12895304	12896498	+	1195	22	27	20	5	9	23
Cnig_chr_V.g18650.t2	Cnig_chr_V	9038674	9039918	-	1245	1	1	6	4	1	3
Cnig_chr_IV.g13696.t1	Cnig_chr_IV	8703539	8705073	+	1535	1	0	1	3	7	9
Cnig_chr_X.g24926.t1	Cnig_chr_X	14477237	14478318	+	1082	14	15	7	91	78	80
Cnig_chr_V.g19362.t2	Cnig_chr_V	11567814	11568965	+	1152	0	3	0	7	3	3
Cnig_chr_V.g19360.t1	Cnig_chr_V	11566010	11566271	+	262	3	2	2	1	1	3
Cnig_chr_V.g18652.t1	Cnig_chr_V	9043646	9043894	+	249	3	1	2	3	8	3
Cnig_chr_V.g21013.t1	Cnig_chr_V	17503889	17504651	+	763	0	1	2	10	7	5
Cnig_chr_V.g17905.t4	Cnig_chr_V	5959055	5962304	-	3250	0	0	0	1	0	1
Cnig_chr_V.g21312.t1	Cnig_chr_V	18351605	18353503	+	1899	0	6	1	1	3	3
Cnig_chr_V.g17147.t2	Cnig_chr_V	3132766	3134603	-	1838	1	0	0	12	12	14
Cnig_chr_V.g20908.t1	Cnig_chr_V	17141569	17142251	+	683	8	2	5	6	7	8
Cnig_chr_V.g17474.t1	Cnig_chr_V	4399044	4401852	+	2809	4	2	2	2	2	8
Cnig_chr_V.g17955.t2	Cnig_chr_V	6157879	6159094	-	1216	2	4	2	0	2	2
Cnig_chr_X.g23720.t1	Cnig_chr_X	8449966	8451085	+	1120	0	3	0	5	6	2
Cnig_chr_I.g2776.t1	Cnig_chr_I	11527522	11528863	+	1342	332	300	306	562	549	615
Cnig_chr_X.g23411.t2	Cnig_chr_X	6700653	6702939	-	2287	180	151	144	325	322	298
Cnig_chr_II.g7107.t2	Cnig_chr_II	14172794	14174018	+	1225	1491	1682	1691	1655	1414	1764
Cnig_chr_V.g18300.t2	Cnig_chr_V	7587369	7588329	+	961	2	12	2	440	396	1140
Cnig_chr_II.g7255.t2	Cnig_chr_II	14799908	14800621	-	714	1	5	1	48	54	178
Cnig_chr_II.g6908.t1	Cnig_chr_II	13327978	13329323	-	1346	352	420	419	480	458	570
Cnig_chr_II.g7071.t1	Cnig_chr_II	14064830	14066765	-	1936	572	607	657	229	220	216
Cnig_chr_II.g6648.t1	Cnig_chr_II	12239687	12240488	+	802	194	140	163	140	156	164
Cnig_chr_I.g3646.t1	Cnig_chr_I	15417132	15418315	+	1184	1	2	2	20	24	127
Cnig_chr_X.g26467.t1	Cnig_chr_X	22538118	22538711	-	594	4	4	3	367	300	371
Cnig_chr_II.g7256.t1	Cnig_chr_II	14801467	14802213	-	747	0	17	0	196	423	908
Cnig_chr_II.g7248.t1	Cnig_chr_II	14781590	14784914	-	3325	0	8	0	262	285	667
Cnig_chr_I.g3607.t1	Cnig_chr_I	15224045	15225615	-	1571	10	9	5	602	846	1738
Cnig_chr_II.g7247.t1	Cnig_chr_II	14779284	14780631	+	1348	4	10	7	280	365	636
Cnig_chr_II.g7258.t1	Cnig_chr_II	14807277	14808124	-	848	3	22	2	265	406	925
Cnig_chr_II.g6745.t1	Cnig_chr_II	12631150	12631892	-	743	1	2	0	4	2	2
Cnig_chr_IV.g12588.t1	Cnig_chr_IV	2885440	2886874	-	1435	129	77	101	201	221	231
Cnig_chr_V.g20885.t1	Cnig_chr_V	17048269	17049270	+	1002	2	18	2	12	4	334
Cnig_chr_III.g8425.t2	Cnig_chr_III	327565	328901	+	1337	15	24	14	10	13	16
Cnig_chr_I.g2964.t1	Cnig_chr_I	12245775	12247483	+	1709	50	24	26	68	118	72
Cnig_chr_III.g8678.t1	Cnig_chr_III	1540493	1541603	+	1111	5	4	2	23	30	20
Cnig_chr_I.g3610.t3	Cnig_chr_I	15232424	15234291	-	1868	4	4	0	404	411	972
Cnig_chr_II.g4285.t1	Cnig_chr_II	1832358	1834887	+	2530	23	40	43	9	22	17
Cnig_chr_II.g6748.t1	Cnig_chr_II	12638727	12639473	+	747	0	0	0	0	0	1
Cnig_chr_II.g6730.t1	Cnig_chr_II	12554493	12555807	-	1315	343	227	265	493	551	373
Cnig_chr_II.g6728.t1	Cnig_chr_II	12550471	12551371	-	901	13	5	13	75	86	76
Cnig_chr_V.g16933.t1	Cnig_chr_V	2240302	2241312	+	1011	113	125	115	66	67	51
Cnig_chr_IV.g12027.t1	Cnig_chr_IV	234389	235306	+	918	70	121	52	2268	2709	5790
Cnig_chr_II.g7257.t2	Cnig_chr_II	14802919	14806061	-	3143	0	18	1	237	237	794
Cnig_chr_I.g3619.t1	Cnig_chr_I	15288037	15290352	-	2316	18	59	9	1471	2311	5232
Cnig_chr_V.g16484.t2	Cnig_chr_V	566774	567661	+	888	1	1	0	2	6	2
Cnig_chr_II.g7915.t1	Cnig_chr_II	17470800	17471792	-	993	380	415	374	217	217	270
Cnig_chr_III.g8679.t2	Cnig_chr_III	1545830	1548085	+	2256	2	2	1	2	2	4
Cnig_chr_III.g8719.t1	Cnig_chr_III	1770075	1773124	+	3050	5	11	5	33	32	28
Cnig_chr_IV.g12028.t2	Cnig_chr_IV	236223	237125	-	903	32	52	27	1593	2481	4730
Cnig_chr_III.g8965.t1	Cnig_chr_III	3275649	3275965	+	317	47	32	42	40	67	51
Cnig_chr_II.g6729.t1	Cnig_chr_II	12552203	12553902	-	1700	337	476	462	13	19	27
Cnig_chr_I.g2444.t1	Cnig_chr_I	10099809	10100693	+	885	6	1	2	31	35	83
Cnig_chr_II.g6731.t1	Cnig_chr_II	12556368	12557061	-	694	6	14	10	24	21	16
Cnig_chr_II.g5630.t3	Cnig_chr_II	8218638	8221753	-	3116	781	673	897	1474	1250	1338
Cnig_chr_II.g6732.t1	Cnig_chr_II	12558421	12559107	-	687	12	10	13	12	12	11
Cnig_chr_II.g4287.t1	Cnig_chr_II	1840492	1842703	-	2212	174	229	269	99	87	159
Cnig_chr_II.g7259.t1	Cnig_chr_II	14808594	14809498	-	905	1	5	0	238	260	308
Cnig_chr_I.g2528.t2	Cnig_chr_I	10432517	10433504	-	988	11	34	3	2372	2314	3468
Cnig_chr_II.g4880.t1	Cnig_chr_II	4897356	4898673	+	1318	772	948	947	1379	1389	1502
Cnig_chr_III.g8430.t1	Cnig_chr_III	356222	357440	+	1219	462	323	478	381	565	451
Cnig_chr_II.g6726.t1	Cnig_chr_II	12543696	12544734	-	1039	286	219	218	338	331	260
Cnig_chr_III.g11931.t1	Cnig_chr_III	15477580	15478332	-	753	1495	2809	1909	5	12	19
Cnig_chr_II.g7253.t2	Cnig_chr_II	14797278	14798022	+	745	0	13	2	200	217	690
Cnig_chr_IV.g12600.t1	Cnig_chr_IV	2919174	2919553	-	380	84	70	68	278	501	248
Cnig_chr_I.g1022.t1	Cnig_chr_I	4871134	4872934	+	1801	125	134	89	237	205	193
Cnig_chr_III.g11932.t1	Cnig_chr_III	15479379	15480132	+	754	25	67	49	6	21	25
Cnig_chr_X.g25154.t2	Cnig_chr_X	15798513	15799156	-	644	10	40	10	149	186	488
Cnig_chr_I.g467.t1	Cnig_chr_I	2550965	2552200	-	1236	7	15	5	322	454	719
Cnig_chr_X.g22666.t1	Cnig_chr_X	2473329	2474360	-	1032	39	24	30	464	487	509
Cnig_chr_X.g22517.t2	Cnig_chr_X	1659894	1662883	-	2990	39	40	40	1843	1717	1845
Cnig_chr_X.g24905.t1	Cnig_chr_X	14355681	14355971	-	291	0	0	0	0	0	0
Cnig_chr_II.g8152.t1	Cnig_chr_II	18416162	18416746	-	585	6	23	3	799	766	1741
Cnig_chr_X.g22898.t1	Cnig_chr_X	3752479	3754110	-	1632	39	29	16	158	224	147
Cnig_chr_III.g10301.t1	Cnig_chr_III	8557309	8557573	+	265	0	0	0	2	1	3
Cnig_chr_X.g26441.t1	Cnig_chr_X	22406930	22407946	-	1017	0	0	0	0	0	0
Cnig_chr_IV.g12122.t1	Cnig_chr_IV	604395	605567	-	1173	82	72	74	118	114	115
Cnig_chr_V.g21486.t1	Cnig_chr_V	19027664	19028004	-	341	0	0	0	21	18	33
Cnig_chr_IV.g12081.t1	Cnig_chr_IV	462144	462936	-	793	1	13	0	568	531	968
Cnig_chr_III.g10343.t2	Cnig_chr_III	8675600	8676795	+	1196	4	0	3	53	44	63
Cnig_chr_V.g17355.t1	Cnig_chr_V	4021586	4023513	+	1928	1	0	1	1	6	2
Cnig_chr_III.g8852.t1	Cnig_chr_III	2528407	2530031	-	1625	1	2	2	99	86	267
Cnig_chr_I.g1021.t1	Cnig_chr_I	4868346	4868746	+	401	19	22	21	31	38	27
Cnig_chr_V.g21489.t1	Cnig_chr_V	19036963	19037340	+	378	0	0	0	10	5	6
Cnig_chr_X.g22756.t1	Cnig_chr_X	3059652	3060190	-	539	170	100	172	249	331	234
Cnig_chr_V.g18580.t1	Cnig_chr_V	8789869	8791698	+	1830	5	5	6	33	61	44
Cnig_chr_X.g25553.t3	Cnig_chr_X	17747692	17748679	+	988	17	27	21	451	582	1296
Cnig_chr_V.g20387.t1	Cnig_chr_V	15393175	15394593	-	1419	2	0	1	26	28	29
Cnig_chr_X.g24121.t2	Cnig_chr_X	10471729	10472389	+	661	23	10	11	37	32	44
Cnig_chr_X.g25155.t2	Cnig_chr_X	15803653	15804376	-	724	20	29	19	160	164	226
Cnig_chr_X.g22573.t1	Cnig_chr_X	1978542	1979094	-	553	126	569	269	96	164	415
Cnig_chr_X.g25552.t1	Cnig_chr_X	17743155	17743970	-	816	6	12	5	130	105	182
Cnig_chr_V.g18246.t3	Cnig_chr_V	7402386	7403230	+	845	1	0	0	0	0	0
Cnig_chr_V.g16869.t2	Cnig_chr_V	2008809	2012262	-	3454	3	3	2	14	5	5
Cnig_chr_V.g20392.t1	Cnig_chr_V	15405528	15406526	+	999	0	0	0	0	0	0
Cnig_chr_I.g1761.t1	Cnig_chr_I	7641414	7641809	-	396	0	3	5	179	148	253
Cnig_chr_II.g4271.t1	Cnig_chr_II	1767184	1768498	+	1315	0	0	0	2	3	4
Cnig_chr_V.g17720.t1	Cnig_chr_V	5331108	5331838	-	731	0	0	1	10	4	3
Cnig_chr_V.g17061.t1	Cnig_chr_V	2770416	2771409	-	994	5	0	0	5	4	3
Cnig_chr_V.g20389.t2	Cnig_chr_V	15397908	15399196	-	1289	1	0	1	1	2	0
Cnig_chr_V.g17418.t1	Cnig_chr_V	4206612	4208631	-	2020	0	0	0	0	1	0
Cnig_chr_V.g17707.t1	Cnig_chr_V	5294076	5297479	-	3404	0	0	0	3	2	0
Cnig_chr_V.g17858.t2	Cnig_chr_V	5788201	5789505	+	1305	0	0	0	0	0	0
Cnig_chr_V.g20690.t3	Cnig_chr_V	16362749	16364017	+	1269	0	0	1	0	0	0
Cnig_chr_V.g20388.t1	Cnig_chr_V	15395484	15397143	-	1660	0	0	1	2	1	1
Cnig_chr_V.g18405.t1	Cnig_chr_V	8066178	8067304	+	1127	0	0	2	12	12	7
Cnig_chr_X.g25455.t1	Cnig_chr_X	17216604	17218007	-	1404	0	0	0	2	4	2
Cnig_chr_V.g18401.t1	Cnig_chr_V	8045129	8046306	+	1178	0	1	0	1	1	1
Cnig_chr_V.g18349.t1	Cnig_chr_V	7838471	7839726	+	1256	0	0	0	9	10	6
Cnig_chr_V.g21432.t3	Cnig_chr_V	18821358	18825462	+	4105	0	1	0	1	5	5
Cnig_chr_V.g20386.t3	Cnig_chr_V	15385861	15389470	-	3610	1	5	1	3	10	2
Cnig_chr_V.g18411.t3	Cnig_chr_V	8077315	8081417	+	4103	0	1	0	5	5	9
Cnig_chr_V.g18392.t2	Cnig_chr_V	8006306	8010286	+	3981	11	7	13	79	49	68
Cnig_chr_V.g22014.t2	Cnig_chr_V	21418571	21419163	+	593	1	1	1	4	5	1
Cnig_chr_IV.g13695.t3	Cnig_chr_IV	8700857	8701307	-	451	0	0	1	2	1	0
Cnig_chr_I.g674.t1	Cnig_chr_I	3515589	3515870	-	282	0	0	0	0	0	0
Cnig_chr_I.g580.t3	Cnig_chr_I	3133366	3135870	-	2505	5	4	1	2	2	1
Cnig_chr_IV.g13370.t1	Cnig_chr_IV	7252812	7254025	-	1214	0	0	0	2	0	0
Cnig_chr_III.g9747.t1	Cnig_chr_III	6469277	6470459	-	1183	17	19	12	28	27	27
Cnig_chr_IV.g14828.t2	Cnig_chr_IV	12840507	12842350	+	1844	2	3	3	3	4	3
Cnig_chr_I.g456.t3	Cnig_chr_I	2507144	2511135	-	3992	0	1	1	5	2	2
Cnig_chr_I.g736.t1	Cnig_chr_I	3704722	3705813	-	1092	5	1	0	6	10	3
Cnig_chr_I.g676.t1	Cnig_chr_I	3519299	3520508	-	1210	9	3	9	13	10	7
Cnig_chr_I.g15.t1	Cnig_chr_I	39498	39971	-	474	0	0	0	0	0	0
Cnig_chr_I.g9.t1	Cnig_chr_I	24237	25513	-	1277	0	0	0	2	1	2
Cnig_chr_I.g496.t3	Cnig_chr_I	2734529	2736081	-	1553	0	0	0	0	0	0
Cnig_chr_V.g16409.t2	Cnig_chr_V	349224	350372	+	1149	4	5	3	9	2	8
Cnig_chr_I.g3789.t1	Cnig_chr_I	15948658	15951687	-	3030	3	6	7	7	8	12
Cnig_chr_III.g9746.t1	Cnig_chr_III	6462779	6463230	-	452	0	1	0	6	5	6
Cnig_chr_V.g19800.t1	Cnig_chr_V	13214802	13215356	-	555	1	2	2	4	1	3
Cnig_chr_I.g1254.t1	Cnig_chr_I	5741428	5742062	-	635	0	3	1	97	105	160
Cnig_chr_V.g16402.t1	Cnig_chr_V	335372	336639	+	1268	1	3	2	2	6	5
Cnig_chr_IV.g13940.t1	Cnig_chr_IV	9520990	9521609	-	620	0	1	2	13	5	14
Cnig_chr_V.g19653.t1	Cnig_chr_V	12624158	12624598	-	441	8	7	3	565	457	846
Cnig_chr_IV.g13732.t1	Cnig_chr_IV	8804878	8806118	+	1241	1	3	0	1	0	3
Cnig_chr_IV.g13119.t1	Cnig_chr_IV	5870313	5870864	-	552	0	0	0	0	1	0
Cnig_chr_V.g20138.t1	Cnig_chr_V	14470704	14472005	-	1302	2	2	1	16	23	13
Cnig_chr_V.g17894.t3	Cnig_chr_V	5918518	5921897	+	3380	1	0	0	3	2	0
Cnig_chr_IV.g13733.t3	Cnig_chr_IV	8807413	8808379	+	967	0	0	1	6	3	2
Cnig_chr_V.g17575.t2	Cnig_chr_V	4849267	4850862	-	1596	0	0	1	0	0	0
Cnig_chr_IV.g13730.t1	Cnig_chr_IV	8797605	8798952	-	1348	0	0	0	1	0	0
Cnig_chr_V.g19802.t1	Cnig_chr_V	13216988	13218013	+	1026	1	3	0	28	29	42
Cnig_chr_V.g17007.t1	Cnig_chr_V	2488274	2489745	-	1472	30	16	28	28	30	23
Cnig_chr_V.g16475.t1	Cnig_chr_V	542363	544064	-	1702	353	386	358	318	426	273
Cnig_chr_X.g22677.t1	Cnig_chr_X	2542202	2544249	-	2048	304	253	309	335	294	278
Cnig_chr_II.g4293.t2	Cnig_chr_II	1880383	1886685	-	6303	526	502	531	239	224	290
Cnig_chr_II.g5460.t1	Cnig_chr_II	7483921	7486076	+	2156	1255	1404	1402	1049	915	1133
Cnig_chr_IV.g11968.t1	Cnig_chr_IV	97243	99185	-	1943	988	1196	1193	330	320	303
Cnig_chr_X.g22678.t1	Cnig_chr_X	2545254	2547574	-	2321	110	100	114	219	216	193
Cnig_chr_I.g2773.t1	Cnig_chr_I	11520818	11522944	+	2127	926	1139	1046	1124	875	1116
Cnig_chr_V.g19803.t2	Cnig_chr_V	13218176	13219335	-	1160	0	1	1	10	8	12
Cnig_chr_I.g655.t1	Cnig_chr_I	3434767	3437132	-	2366	649	753	729	402	428	436
Cnig_chr_IV.g13969.t1	Cnig_chr_IV	9597256	9598206	+	951	112515	92822	115548	104027	78543	91632
Cnig_chr_IV.g15752.t1	Cnig_chr_IV	17716003	17719629	-	3627	2816	2025	2702	15582	12172	12150
Cnig_chr_III.g10433.t1	Cnig_chr_III	8954719	8956622	-	1904	169	74	131	384	297	205
Cnig_chr_IV.g13229.t1	Cnig_chr_IV	6348835	6349871	+	1037	29750	88251	53418	12464	7994	53886
Cnig_chr_IV.g13536.t1	Cnig_chr_IV	8086099	8087056	+	958	117466	73152	106963	103534	69222	78704
Cnig_chr_IV.g14303.t1	Cnig_chr_IV	10911444	10912368	-	925	44888	150461	80197	15483	11645	84068
Cnig_chr_IV.g12299.t1	Cnig_chr_IV	1621343	1623335	+	1993	132230	74731	120812	137293	90843	95762
Cnig_chr_IV.g13532.t1	Cnig_chr_IV	8069721	8070683	-	963	37264	57290	41897	11083	6612	18274
Cnig_chr_IV.g15749.t1	Cnig_chr_IV	17707811	17710757	+	2947	140461	75706	123973	142165	93556	97214
Cnig_chr_X.g26131.t1	Cnig_chr_X	20857723	20858715	-	993	12	10	9	5	0	11
Cnig_chr_V.g21040.t2	Cnig_chr_V	17588272	17592193	-	3922	19	18	23	15	26	23
Cnig_chr_III.g9707.t1	Cnig_chr_III	6305697	6306658	+	962	12419	25518	18033	6309	5278	15524
Cnig_chr_X.g26168.t1	Cnig_chr_X	21034351	21035437	+	1087	54	29	39	72	89	57
Cnig_chr_II.g7240.t1	Cnig_chr_II	14755404	14756508	-	1105	158148	89508	146491	161358	114421	119225
Cnig_chr_X.g26144.t1	Cnig_chr_X	20916422	20917372	-	951	2	2	3	3	2	2
Cnig_chr_V.g16501.t1	Cnig_chr_V	610752	611803	-	1052	159	52	70	164	96	84
Cnig_chr_IV.g13077.t1	Cnig_chr_IV	5656366	5657235	+	870	14055	82406	34451	3383	2855	68695
Cnig_chr_III.g9835.t1	Cnig_chr_III	6788515	6789555	-	1041	1304	12237	5282	111	180	9650
Cnig_chr_V.g16912.t1	Cnig_chr_V	2150333	2151329	+	997	27714	104435	52198	11463	8723	72174
Cnig_chr_III.g8619.t1	Cnig_chr_III	1208484	1210313	+	1830	4787	8050	4587	6928	12373	12665
Cnig_chr_I.g1130.t1	Cnig_chr_I	5233146	5234031	-	886	49	42	37	99	95	83
Cnig_chr_X.g26169.t1	Cnig_chr_X	21035594	21036604	+	1011	13	3	7	14	14	13
