"","dn","ds","prop_cons_500bp_upstream_5bp_win","num_cons_windows_500bp_upstream_5bp","num_windows_500bp_upstream_5bp","position","domain","chromosome","enc","ds_ENCc"
"I.g760__Cnig_chr_I.g178",0.100337782705,0.198946419911,0.316831683168317,32,101,434350,"armA","I",52.564171742841,0.21915774424721
"V.g15057__Cnig_chr_V.g17907",0.0331572954546,0.384341740151,0.376237623762376,38,101,4803249,"armA","V",46.6089678183455,0.420739903914327
"II.g7216__Cnig_chr_II.g8135",0.0372131962466,0.31901868412,0.225225225225225,25,111,15886814,"armB","II",47.9440467524745,0.351787969913191
"II.g7207__Cnig_chr_II.g8130",0.0608296367601,0.336250593087,0.443396226415094,47,106,15856807,"armB","II",49.4355309652792,0.364965875731542
"V.g15513__Cnig_chr_V.g18462",0.0307583164646,0.329451313726,0.548076923076923,57,104,7033265,"center","V",48.6423559358593,0.360322525370052
"V.g16702__Cnig_chr_V.g19724",0.0291691533763,0.235092681265,0.46,46,100,11647532,"center","V",43.3763031328807,0.28027755071444
"V.g15694__Cnig_chr_V.g18650",0.0164526867203,0.280479066699,0.477477477477477,53,111,7767235,"center","V",48.4423816925465,0.31189382832171
"IV.g11943__Cnig_chr_IV.g13696",0.0485883906015,0.221102795229,0.485148514851485,49,101,8106187,"center","IV",49.8831117298138,0.248601508624521
"X.g20971__Cnig_chr_X.g24926",0.0899706559298,0.160269512677,0.388349514563107,40,103,13632210,"center","X",46.4058622544151,0.197219737661366
"V.g16349__Cnig_chr_V.g19362",0.0423560230983,0.285386077,0.752475247524752,76,101,10249745,"center","V",45.8721164062929,0.323787076541877
"V.g16348__Cnig_chr_V.g19360",0.0584821382525,0.203637307147,0.673267326732673,68,101,10248038,"center","V",34.7831509609816,0.272179222995333
"V.g15696__Cnig_chr_V.g18652",1.9988350364e-11,0.172610572947,0.532710280373832,57,107,7770879,"center","V",43.6207287540471,0.217131069130326
"V.g17785__Cnig_chr_V.g21013",0.0406348372707,0.282407483922,0.398058252427184,41,103,15919805,"armB","V",49.30438789775,0.311479226530464
"V.g15055__Cnig_chr_V.g17905",0.0660183661289,0.322940414427,0.401869158878505,43,107,4789290,"armA","V",52.1378050209564,0.344310646124186
"V.g17967__Cnig_chr_V.g21312",0.0309124918106,0.232858776538,NA,NA,NA,16679051,"armB","V",47.5396802139885,0.266727170995001
"V.g14530__Cnig_chr_V.g17147",0.0192305862501,0.251838374225,0.475247524752475,48,101,2602145,"armA","V",45.9214801145346,0.29010519827449
"V.g17729__Cnig_chr_V.g20908",0.201356352048,0.335575855569,0.224852071005917,38,169,15698546,"armB","V",48.4339165770038,0.367013626221755
"V.g14787__Cnig_chr_V.g17474",0.171378946223,0.42999811713,0.485148514851485,49,101,3714036,"armA","V",48.4723919549955,0.461331307860162
"V.g15108__Cnig_chr_V.g17955",0.116862957303,0.416528423125,NA,NA,NA,4992978,"armA","V",48.2883933430916,0.448361740471053
"X.g19871__Cnig_chr_X.g23720",0.138458847949,0.33371749168,0.245098039215686,25,102,7775015,"armA","X",45.9101509320376,0.37201510957975
"I.g3119__Cnig_chr_I.g2776",0.112312074858,0.244690050182,NA,NA,NA,10996886,"armB","I",47.0726782254848,0.279827802715718
"X.g19622__Cnig_chr_X.g23411",0.139852579937,0.21633357967,0.259615384615385,27,104,6215947,"armA","X",51.7324700307303,0.238805552379613
"II.g6618__Cnig_chr_II.g7107",0.0706651081397,0.239805523403,NA,NA,NA,12987190,"armB","II",44.1222812503185,0.282962749776535
"V.g14041__Cnig_chr_V.g18300",0.0876646693877,0.157506857168,NA,NA,NA,595192,"armA","V",45.1049950528559,0.197992969214273
"II.g6714__Cnig_chr_II.g7255",0.0606929853781,0.189717549102,0.104347826086957,12,115,13359515,"armB","II",45.3988266019567,0.229404997632428
"II.g6345__Cnig_chr_II.g6908",0.26094867643,0.675246121037,NA,NA,NA,11696273,"armB","II",47.127998618578,0.710233507213596
"II.g6499__Cnig_chr_II.g7071",0.0528397775142,0.274417119767,NA,NA,NA,12452473,"armB","II",37.8244159078486,0.33469257354713
"II.g6598__Cnig_chr_II.g6648",0.262020388243,0.670080154247,0.0660377358490566,7,106,12906455,"armB","II",43.8659382475156,0.713934146520955
"I.g3685__Cnig_chr_I.g3646",0.0487573062493,0.18055003697,NA,NA,NA,14276816,"armB","I",40.8356113318823,0.232640760650122
"X.g22224__Cnig_chr_X.g26467",0.18444126225,0.515064014673,0.313725490196078,32,102,20555246,"armB","X",39.4467922128732,0.570929687516533
"II.g6715__Cnig_chr_II.g7256",0.0690792427877,0.229648473902,0.43,43,100,13361210,"armB","II",43.1651701473859,0.275407223906549
"II.g6711__Cnig_chr_II.g7248",0.0413072062487,0.224058178733,0.405660377358491,43,106,13352144,"armB","II",48.5191146034437,0.25526437263524
"I.g3663__Cnig_chr_I.g3607",0.0124827569891,0.26167095252,0.173913043478261,20,115,14107156,"armB","I",43.6382731634194,0.306143761245272
"II.g6710__Cnig_chr_II.g7247",0.0617967862762,0.264053811452,NA,NA,NA,13350239,"armB","II",45.8464278794742,0.302524634977069
"II.g6718__Cnig_chr_II.g7258",0.0423836282774,0.363798244248,NA,NA,NA,13370894,"armB","II",44.2852335751341,0.406512549917306
"II.g6324__Cnig_chr_II.g6745",0.117109525756,0.458627677645,0.174757281553398,18,103,11596324,"center","II",46.860740176382,0.49434149897717
"IV.g10875__Cnig_chr_IV.g12588",0.00344517122279,0.246625869899,0.552380952380952,58,105,2427965,"armA","IV",38.4456159116062,0.305212839986475
"V.g17707__Cnig_chr_V.g20885",0.0629623547506,0.296104372129,0.274509803921569,28,102,15626846,"armB","V",48.2664942400905,0.327997213425597
"III.g7485__Cnig_chr_III.g8425",0.0501437263096,0.18647430252,0.376712328767123,55,146,391902,"armA","III",48.8977866881418,0.216651227851717
"I.g3213__Cnig_chr_I.g2964",0.0344764278882,0.210058269591,0.450980392156863,46,102,11442211,"armB","I",44.3765873541647,0.252524266559046
"III.g7646__Cnig_chr_III.g8678",0.125266787147,0.361799918016,0.0612244897959184,9,147,1277295,"armA","III",40.6018948324443,0.414525906499114
"I.g3661__Cnig_chr_I.g3610",0.0247217772527,0.266881486545,0.392156862745098,40,102,14098532,"armB","I",44.7815938245946,0.308246635450257
"II.g4189__Cnig_chr_II.g4285",0.0557275381859,0.352319967139,0.42156862745098,43,102,1678445,"armA","II",37.7786379868506,0.412719849883427
"II.g6327__Cnig_chr_II.g6748",0.0848964036633,0.396233738042,0.524752475247525,53,101,11603000,"center","II",46.7097186082348,0.43235805108942
"II.g6305__Cnig_chr_II.g6730",0.0159908398709,0.174300069443,0.441441441441441,49,111,11518395,"center","II",42.9692788259909,0.220591271636389
"II.g6303__Cnig_chr_II.g6728",0.0414831294371,0.286805542103,0.441666666666667,53,120,11513995,"center","II",42.2398300499299,0.335079458970497
"V.g14328__Cnig_chr_V.g16933",0.0837252929614,0.166864008627,0.242990654205607,26,107,1728804,"armA","V",49.1838001930143,0.196263520668415
"IV.g10495__Cnig_chr_IV.g12027",0.0138342438554,0.127932117549,0.712871287128713,72,101,323864,"tipA","IV",39.4018464011527,0.183919957600653
"II.g6716__Cnig_chr_II.g7257",0.0291325734713,0.197153663432,0.603960396039604,61,101,13362955,"armB","II",45.303778615229,0.237099461889406
"I.g3651__Cnig_chr_I.g3619",0.0661189223882,0.237489389415,NA,NA,NA,14036792,"armB","I",43.6150488986566,0.28202532401292
"V.g14005__Cnig_chr_V.g16484",0.09674852258,0.134695211714,0.504950495049505,51,101,470817,"armA","V",47.4764798374383,0.168735391110681
"II.g7102__Cnig_chr_II.g7915",0.16794714043,0.244190430815,0.0283018867924528,3,106,15294012,"armB","II",46.3616024242612,0.281260958441032
"III.g7645__Cnig_chr_III.g8679",0.0736945055879,0.336959322658,NA,NA,NA,1272796,"armA","III",44.4991642445834,0.37909214338761
"III.g7606__Cnig_chr_III.g8719",0.0353904002167,0.310926906416,0.568627450980392,58,102,1060516,"armA","III",44.8703826322051,0.352050718468659
"IV.g10494__Cnig_chr_IV.g12028",0.0265177843731,0.225576392372,0.72,72,100,322483,"tipA","IV",42.2362330826573,0.273860086156023
"III.g10176__Cnig_chr_III.g8965",0.125773849104,0.471767173344,NA,NA,NA,13305390,"armB","III",41.621966640236,0.52172050470803
"II.g6304__Cnig_chr_II.g6729",0.0793856753676,0.216492026533,0.428571428571429,45,105,11515794,"center","II",45.5605525437574,0.255739887790797
"I.g2831__Cnig_chr_I.g2444",0.0199622109164,0.161148406695,0.372727272727273,41,110,9673288,"center","I",41.5173621982809,0.211386063386384
"II.g6306__Cnig_chr_II.g6731",0.0971793298635,0.126602748,NA,NA,NA,11520754,"center","II",45.727323598658,0.165397308863555
"II.g5288__Cnig_chr_II.g5630",0.170649747225,0.423045477853,0.653465346534653,66,101,7341615,"center","II",46.770268456562,0.459005210361343
"II.g6307__Cnig_chr_II.g6732",0.0754170598381,0.193489347917,0.336206896551724,39,116,11521952,"center","II",45.5171944172673,0.232855060895788
"II.g4191__Cnig_chr_II.g4287",0.372539291647,0.544558573729,0.307692307692308,44,143,1685251,"armA","II",42.3188988959677,0.592617573570862
"II.g6717__Cnig_chr_II.g7259",0.109301788559,0.25075282228,0.401960784313726,41,102,13368455,"armB","II",45.5931856014303,0.28991198362571
"I.g2913__Cnig_chr_I.g2528",0.0543502366628,0.123200123745,0.57843137254902,59,102,10040971,"center","I",48.8957452430683,0.153382597928448
"II.g4603__Cnig_chr_II.g4880",0.0898120172377,0.172801267974,0.237623762376238,24,101,4107703,"armA","II",44.3794980641171,0.2152593533415
"III.g7488__Cnig_chr_III.g8430",0.0953402998235,0.42898777381,NA,NA,NA,397087,"armA","III",49.0297663935537,0.458805965112416
"II.g6301__Cnig_chr_II.g6726",0.119911347007,0.227855111043,0.362745098039216,37,102,11509042,"center","II",45.8252974649742,0.266383369146444
"III.g10423__Cnig_chr_III.g11931",0.0876048091393,0.174596459426,NA,NA,NA,14558892,"tipB","III",38.3681104142076,0.233394097201268
"II.g6713__Cnig_chr_II.g7253",0.0722686453138,0.170697977311,0.58252427184466,60,103,13356610,"armB","II",42.9626608377131,0.217007167857926
"IV.g10879__Cnig_chr_IV.g12600",0.0685383876212,0.273676062865,0.666666666666667,70,105,2439097,"armA","IV",39.8139302967878,0.328543817704842
"I.g1424__Cnig_chr_I.g1022",0.0205432622419,0.0877103500059,0.820754716981132,87,106,4060047,"armA","I",45.393240616581,0.127412981802839
"III.g10422__Cnig_chr_III.g11932",8.62354751745e-12,0.0867982394254,NA,NA,NA,14557093,"tipB","III",36.0210580321625,0.151975400138401
"X.g21176__Cnig_chr_X.g25154",0.155621995649,0.163376474986,NA,NA,NA,14849089,"center","X",46.8642427030263,0.19908077610071
"I.g979__Cnig_chr_I.g467",0.0641453616502,0.142805618645,0.495049504950495,50,101,1917023,"armA","I",45.9265050169877,0.181058784507435
"X.g18953__Cnig_chr_X.g22666",0.128516447714,0.328550266719,NA,NA,NA,2201564,"armA","X",40.3284309230866,0.382019557437606
"X.g18853__Cnig_chr_X.g22517",0.0947420094445,0.386781549216,0.480392156862745,49,102,1622299,"armA","X",48.3380707054766,0.418479838526358
"X.g21237__Cnig_chr_X.g24905",0.311653312263,0.313745532984,NA,NA,NA,15179818,"center","X",41.1288165516192,0.365039295574083
"II.g7234__Cnig_chr_II.g8152",0.040019790096,0.216546320517,0.190789473684211,29,152,15945093,"armB","II",41.5626284304785,0.266660939065384
"X.g19192__Cnig_chr_X.g22898",0.174593595028,0.290167100865,NA,NA,NA,3712033,"armA","X",46.09849933719,0.327952768976093
"III.g9726__Cnig_chr_III.g10301",0.124835577264,0.385370862945,0.122137404580153,16,131,10693089,"center","III",41.6385440613027,0.435279135221831
"X.g21155__Cnig_chr_X.g26441",0.00612767218691,0.00902664387118,NA,NA,NA,14711288,"center","X",48.3434395800197,0.0407103400439674
"IV.g10702__Cnig_chr_IV.g12122",0.0455458364351,0.275317799847,NA,NA,NA,1513676,"armA","IV",46.631526405065,0.311654647117129
"V.g18063__Cnig_chr_V.g21486",0.158411622319,0.204463259441,NA,NA,NA,17067997,"armB","V",44.636341907743,0.24622321757267
"IV.g10450__Cnig_chr_IV.g12081",0.14200575771,0.365248010771,NA,NA,NA,97167,"tipA","IV",41.7628617414024,0.414818375169068
"III.g9048__Cnig_chr_III.g10343",0.0799490892857,0.193486244837,0.480769230769231,50,104,7931408,"center","III",43.6907943314749,0.237816295778556
"V.g14672__Cnig_chr_V.g17355",0.018928113567,0.276748210677,0.37037037037037,40,108,3277429,"armA","V",50.7998392035265,0.301755167181649
"III.g7835__Cnig_chr_III.g8852",0.0365373621881,0.128730191375,NA,NA,NA,2499186,"armA","III",39.9002008473417,0.183363454236597
"I.g1423__Cnig_chr_I.g1021",0.0551368999548,0.0951020547106,0.509615384615385,53,104,4057396,"armA","I",38.933289960946,0.152363477994049
"V.g18062__Cnig_chr_V.g21489",0.249227153426,0.342186003761,NA,NA,NA,17066344,"armB","V",40.4779784033598,0.395248809482517
"X.g19050__Cnig_chr_X.g22756",0.0528507427235,0.394750329373,NA,NA,NA,2872465,"armA","X",40.549217626344,0.447619499766831
"V.g15632__Cnig_chr_V.g18580",0.00625959912664,0.236354766159,0.643564356435644,65,101,7520793,"center","V",48.6857047255381,0.267108151460447
"X.g21507__Cnig_chr_X.g25553",0.0885069523387,0.308938077299,0.180952380952381,19,105,16576336,"armB","X",50.2095474012335,0.335549505915772
"V.g17310__Cnig_chr_V.g20387",0.0518827150397,0.302928567784,0.42156862745098,43,102,14113010,"armB","V",48.9182042926803,0.333049996026055
"X.g20258__Cnig_chr_X.g24121",0.0552714815954,0.284816534404,0.214285714285714,24,112,9799456,"center","X",47.058651494113,0.319992412995411
"X.g21377__Cnig_chr_X.g25155",0.295264839147,0.237436686974,NA,NA,NA,15868445,"armB","X",46.0404748609456,0.275380071410464
"X.g18910__Cnig_chr_X.g22573",0.0216357052715,0.244241910023,0.450980392156863,46,102,1919206,"armA","X",46.0783270454367,0.282082408439087
"X.g21506__Cnig_chr_X.g25552",0.0977964637666,0.269452472819,0.41747572815534,43,103,16572495,"armB","X",48.2780886678496,0.301313799302206
"V.g15357__Cnig_chr_V.g18246",0.03328560988,0.225577654463,0.201923076923077,21,104,6238176,"center","V",50.3219699887537,0.25188350725143
"V.g14262__Cnig_chr_V.g16869",0.118813859134,0.597147454904,0.269230769230769,28,104,1504904,"armA","V",51.7666755058451,0.619526453713772
"V.g17314__Cnig_chr_V.g20392",0.0623771471778,0.348761789887,0.57843137254902,59,102,14125005,"armB","V",46.2072033280357,0.386251989687147
"I.g2132__Cnig_chr_I.g1761",0.03734312576,0.0830969125139,NA,NA,NA,6905219,"center","I",43.6856362119883,0.12744098373972
"II.g4179__Cnig_chr_II.g4271",0.038061500124,0.267628120491,0.352941176470588,42,119,1619311,"armA","II",41.2338525876832,0.318636384637808
"V.g14905__Cnig_chr_V.g17720",0.0516210712187,0.349210177188,NA,NA,NA,4276120,"armA","V",42.007184174651,0.398116448795027
"V.g14467__Cnig_chr_V.g17061",0.0350913072699,0.353140374174,0.165137614678899,18,109,2336471,"armA","V",46.2377127935955,0.390547646197654
"V.g17312__Cnig_chr_V.g20389",0.0241968284928,0.269118919562,0.252252252252252,28,111,14119381,"armB","V",48.7751913701749,0.29962907122007
"V.g14727__Cnig_chr_V.g17418",0.018888795883,0.310524594362,NA,NA,NA,3473104,"armA","V",46.8083902614693,0.346380707994729
"V.g14897__Cnig_chr_V.g17707",0.13755293536,0.590281841999,0.4,40,100,4246567,"armA","V",47.8086450262558,0.623419163216039
"V.g15008__Cnig_chr_V.g17858",0.0508820462583,0.451143514656,0.339285714285714,38,112,4601408,"armA","V",42.7150974655412,0.498125607189859
"V.g17560__Cnig_chr_V.g20690",0.0690042172605,0.430820151933,0.420560747663551,45,107,14970221,"armB","V",41.4128423245888,0.481341904086747
"V.g17311__Cnig_chr_V.g20388",0.0251004490751,0.272305706139,0.311926605504587,34,109,14117124,"armB","V",51.3759568803844,0.295746717221014
"V.g15454__Cnig_chr_V.g18405",0.0943298916199,0.416711439753,0.372549019607843,38,102,6790102,"center","V",44.1541402633651,0.459782070145099
"X.g21413__Cnig_chr_X.g25455",0.312470362588,0.549772823653,NA,NA,NA,16075800,"armB","X",46.175824420031,0.587348314461097
"V.g15453__Cnig_chr_V.g18401",0.0349715516211,0.153321014292,0.542857142857143,57,105,6772191,"center","V",48.0498814651881,0.185802630758962
"V.g15416__Cnig_chr_V.g18349",0.0188643328921,0.241616545395,0.396825396825397,50,126,6565127,"center","V",45.0024088229323,0.282381497066626
"V.g18059__Cnig_chr_V.g21432",0.0361632508517,0.333204593173,NA,NA,NA,17043008,"armB","V",46.754739488863,0.369206534967507
