"gene","sex","class","chromosome","logFC.F1.vs.briggsae","logFC.F1.vs.nigoni","F1_dist_from_zero"
"I.g1040.t1__Cnig_chr_I.g542.t1","female","C. briggsae dominant","I",0.196588558216693,1.74020938767253,1.75127832572819
"I.g1041.t1__Cnig_chr_I.g543.t1","female","underdominant","I",-2.26315196216274,-4.28467264504553,4.84564510452865
"I.g1042.t3__Cnig_chr_I.g545.t2","female","underdominant","I",-2.4840428972897,-1.06431567857129,2.70245018071159
"I.g1045.t1__Cnig_chr_I.g547.t1","female","additive","I",-3.30977327337722,0.963884125743379,3.44727018509171
"I.g1046.t1__Cnig_chr_I.g548.t1","female","C. nigoni dominant","I",0.938976016511917,0.195896765134897,0.959193151651379
"I.g1052.t1__Cnig_chr_I.g554.t1","female","C. briggsae dominant","I",-0.380715890058644,-1.28432772351366,1.33956794912723
"I.g1056.t1__Cnig_chr_I.g580.t3","female","C. briggsae dominant","I",-0.708882756558968,2.65301293931184,2.74608674639071
"I.g1057.t1__Cnig_chr_I.g579.t1","female","overdominant","I",1.17670002505941,0.637979809139533,1.33852201545008
"I.g1059.t1__Cnig_chr_I.g578.t1","female","overdominant","I",0.880833044342656,0.894139407827318,1.25513032496062
"I.g1060.t1__Cnig_chr_I.g577.t3","female","overdominant","I",1.21328851563272,0.83059108361531,1.4703572934316
"I.g1061.t1__Cnig_chr_I.g576.t1","female","C. nigoni dominant","I",-0.916792880266993,-0.260718524531475,0.953143921106419
"I.g1063.t1__Cnig_chr_I.g575.t1","female","overdominant","I",3.41420960790609,0.710912237637948,3.48743795017799
"I.g1065.t1__Cnig_chr_I.g569.t3","female","overdominant","I",1.3471949443565,0.57074005482301,1.46310574746977
"I.g1066.t1__Cnig_chr_I.g568.t1","female","overdominant","I",0.591753012504197,0.550209589583187,0.808023650815427
"I.g1067.t1__Cnig_chr_I.g567.t1","female","overdominant","I",0.485602953701226,0.298193114921194,0.569850298262411
"I.g1069.t2__Cnig_chr_I.g566.t1","female","overdominant","I",1.44527844984566,2.99492945476449,3.32542211404871
"I.g1070.t1__Cnig_chr_I.g564.t2","female","underdominant","I",-0.889372670465918,-1.16871614069154,1.46863241298992
"I.g1071.t1__Cnig_chr_I.g563.t1","female","C. briggsae dominant","I",-0.126092741733323,-2.66187703275614,2.66486185702608
"I.g1072.t1__Cnig_chr_I.g562.t3","female","C. briggsae dominant","I",0.286209349854975,-0.900552569340139,0.944939533562616
"I.g1075.t1__Cnig_chr_I.g72.t1","female","additive","I",-2.03562048681543,2.66585294512444,3.35417988357383
"I.g1077.t3__Cnig_chr_I.g70.t2","female","underdominant","I",-5.47582832369017,-2.62081058868449,6.07069550976561
"I.g1078.t1__Cnig_chr_I.g69.t1","female","underdominant","I",-3.83083254040266,-5.50451318342171,6.70633605921082
"I.g1079.t1__Cnig_chr_I.g68.t1","female","underdominant","I",-0.752016684871434,-1.2098563547031,1.4245285161556
"I.g1080.t1__Cnig_chr_I.g67.t1","female","ambiguous","I",-0.153198406779773,-0.47266728314609,0.496874342662777
"I.g1081.t2__Cnig_chr_I.g66.t1","female","underdominant","I",-0.720323918126336,-1.51366293216734,1.67631799466638
"I.g1082.t1__Cnig_chr_I.g64.t1","female","ambiguous","I",-0.502136323487895,0.557996759313995,0.750667217061502
"I.g1083.t2__Cnig_chr_I.g63.t1","female","C. briggsae dominant","I",0.259422648480689,0.556514620602842,0.61401028777168
"I.g1084.t2__Cnig_chr_I.g60.t2","female","overdominant","I",0.603215026649352,0.82514708104945,1.02212331630778
"I.g1085.t1__Cnig_chr_I.g59.t1","female","C. nigoni dominant","I",0.864212483681374,-0.0118240689315572,0.86429336776168
"I.g1086.t1__Cnig_chr_I.g58.t1","female","underdominant","I",-0.543468716897521,-3.35018735296132,3.39398196020371
"I.g1087.t1__Cnig_chr_I.g57.t1","female","underdominant","I",-2.4841207396085,-2.46390820151339,3.49881400969501
"I.g1088.t1__Cnig_chr_I.g56.t1","female","underdominant","I",-1.59920357628363,-1.83934629626843,2.43734422599573
"I.g1089.t2__Cnig_chr_I.g55.t2","female","underdominant","I",-3.21589954938902,-2.21459035580955,3.90466648458036
"I.g1090.t1__Cnig_chr_I.g54.t1","female","overdominant","I",1.03793430721518,1.52386278546839,1.84376392605716
"I.g1091.t1__Cnig_chr_I.g53.t1","female","C. briggsae dominant","I",-0.168406112364712,1.02962878603989,1.04331014359287
"I.g1092.t1__Cnig_chr_I.g52.t2","female","overdominant","I",1.43814194417918,0.756826193207916,1.62512711451537
"I.g1093.t2__Cnig_chr_I.g51.t2","female","C. briggsae dominant","I",-1.04679340461725,-6.13653732554203,6.22518006002402
"I.g1094.t2__Cnig_chr_I.g50.t1","female","ambiguous","I",-0.154752400486647,-0.236098741026911,0.28229580402633
"I.g1095.t1__Cnig_chr_I.g49.t1","female","overdominant","I",1.31568501803283,0.998689881966289,1.65178949839799
"I.g1096.t1__Cnig_chr_I.g48.t2","female","C. nigoni dominant","I",0.835272946780275,-0.107019622642264,0.842101000624924
"I.g1097.t1__Cnig_chr_I.g47.t2","female","C. nigoni dominant","I",2.19607153044711,-0.403125336364553,2.23276514744819
"I.g1099.t2__Cnig_chr_I.g46.t2","female","underdominant","I",-1.10410915656221,-5.32319116289489,5.43648978536029
"I.g1100.t1__Cnig_chr_I.g45.t1","female","additive","I",1.72311873380221,-1.03943308966519,2.01235168861485
"I.g1101.t1__Cnig_chr_I.g44.t1","female","overdominant","I",1.21824833092602,1.31462396720507,1.79230722002508
"I.g1102.t1__Cnig_chr_I.g43.t1","female","ambiguous","I",-0.633614412297908,0.153844223287001,0.652023978478096
"I.g1103.t1__Cnig_chr_I.g42.t1","female","ambiguous","I",0.217311739453734,0.178863490701148,0.281454330949458
"I.g1104.t1__Cnig_chr_I.g41.t3","female","additive","I",-1.30741848218906,2.39427703644114,2.72798563317312
"I.g1105.t1__Cnig_chr_I.g40.t1","female","overdominant","I",1.03138656890218,0.873457370582567,1.35154949326202
"I.g1109.t1__Cnig_chr_I.g38.t3","female","no change","I",1.6591462779708,0.793756623635999,1.83924330888287
"I.g1112.t2__Cnig_chr_I.g35.t2","female","underdominant","I",-1.91403306921051,-2.31472734234812,3.00357874200851
"I.g1114.t2__Cnig_chr_I.g34.t2","female","no change","I",-0.384285721499673,-0.354601572140104,0.522893670561002
"I.g1115.t3__Cnig_chr_I.g33.t3","female","overdominant","I",0.667746155762178,0.211325059980604,0.700387899317923
"I.g1116.t1__Cnig_chr_I.g29.t1","female","overdominant","I",1.42035353784425,0.252592750409604,1.44263899504559
"I.g1117.t1__Cnig_chr_I.g28.t1","female","C. nigoni dominant","I",1.20854339307391,0.285612848320894,1.24183405979566
"I.g1119.t1__Cnig_chr_I.g26.t1","female","ambiguous","I",-0.142343996919023,-0.542766144269553,0.561121110656264
"I.g1120.t1__Cnig_chr_I.g25.t1","female","C. briggsae dominant","I",0.0541170710991672,0.916591693709326,0.918187884020087
"I.g1121.t1__Cnig_chr_I.g24.t1","female","underdominant","I",-2.47089409765583,-2.18612882820573,3.29916305982936
"I.g1123.t1__Cnig_chr_I.g22.t2","female","ambiguous","I",-1.47282230555934,-0.325138487390392,1.50828398510879
"I.g1125.t1__Cnig_chr_I.g19.t1","female","underdominant","I",-1.50897031641779,-2.49330855564821,2.9143745417325
"I.g1126.t1__Cnig_chr_I.g18.t1","female","C. nigoni dominant","I",-4.97498386675149,-0.458199272046466,4.99603953620681
"I.g1129.t1__Cnig_chr_I.g16.t1","female","overdominant","I",0.994113805364447,0.792713210264701,1.27147807363885
"I.g1131.t2__Cnig_chr_I.g9.t1","female","additive","I",-1.44015117677286,3.70805767651394,3.97790486868581
"I.g1132.t1__Cnig_chr_I.g8.t1","female","underdominant","I",-1.75386683180682,-2.099971590795,2.73604267983125
"I.g1133.t3__Cnig_chr_I.g6.t1","female","C. nigoni dominant","I",-0.793264555575805,-0.285631950395179,0.843121738670895
"I.g1134.t1__Cnig_chr_I.g5.t1","female","underdominant","I",-0.935869173501725,-0.613719222273461,1.11915253370519
"I.g1135.t1__Cnig_chr_I.g4.t1","female","C. nigoni dominant","I",0.678895433250633,0.052447816480557,0.68091833779253
"I.g1141.t1__Cnig_chr_I.g623.t1","female","underdominant","I",-0.718686896902797,-1.09463704350167,1.30948123804271
"I.g1142.t1__Cnig_chr_I.g624.t1","female","underdominant","I",-0.49391400521687,-1.63792581272623,1.71077526652224
"I.g1143.t2__Cnig_chr_I.g625.t1","female","C. nigoni dominant","I",0.534138321920845,-0.0999364529830053,0.543406884000599
"I.g1144.t2__Cnig_chr_I.g1613.t1","female","additive","I",4.22956641959062,-0.255967998954262,4.23730477004159
"I.g1147.t1__Cnig_chr_I.g632.t2","female","C. nigoni dominant","I",-5.08059772029858,-0.550173628545196,5.11029981674752
"I.g1148.t1__Cnig_chr_I.g633.t1","female","C. nigoni dominant","I",-2.78132484028302,-0.461142863304711,2.81929434567451
"I.g1149.t1__Cnig_chr_I.g635.t1","female","underdominant","I",-1.52355054363191,-1.12777611439144,1.89554351656535
"I.g1150.t1__Cnig_chr_I.g639.t1","female","C. nigoni dominant","I",2.7242172753647,0.115818959867642,2.72667816121747
"I.g1151.t1__Cnig_chr_I.g640.t1","female","underdominant","I",-1.05853491502513,-2.60755687033574,2.81422262771842
"I.g1152.t1__Cnig_chr_I.g641.t1","female","underdominant","I",-4.20519583963589,-10.276945550143,11.1040209784697
"I.g1154.t1__Cnig_chr_I.g644.t3","female","C. nigoni dominant","I",1.62850329730237,-0.111999168460902,1.63235008593764
"I.g1155.t1__Cnig_chr_I.g645.t1","female","underdominant","I",-0.919724193705734,-1.04581600047022,1.39270373709816
"I.g1156.t1__Cnig_chr_I.g646.t2","female","overdominant","I",2.20654299525867,0.279335489978242,2.22415384042707
"I.g1158.t1__Cnig_chr_I.g647.t1","female","C. briggsae dominant","I",-0.112029897672196,1.43558444597693,1.43994909615005
"I.g1159.t1__Cnig_chr_I.g648.t1","female","ambiguous","I",-0.322749222991201,-0.783165600226999,0.847062818402708
"I.g1160.t1__Cnig_chr_I.g649.t1","female","ambiguous","I",-0.425672664199032,-0.861335886335776,0.960779228614013
"I.g1161.t1__Cnig_chr_I.g650.t3","female","C. briggsae dominant","I",0.155120960380905,2.52945091840771,2.53420292419196
"I.g1162.t2__Cnig_chr_I.g651.t2","female","additive","I",-1.16312168666111,1.39768157596454,1.81834150966536
"I.g1163.t2__Cnig_chr_I.g653.t1","female","additive","I",0.859247298800763,-0.263330646493612,0.89869291188879
"I.g1165.t1__Cnig_chr_I.g655.t1","female","overdominant","I",0.907376893629645,1.24255523213418,1.53859557129124
"I.g1166.t1__Cnig_chr_I.g657.t2","female","overdominant","I",0.709700483180697,0.845710455258279,1.10403847304344
"I.g1167.t1__Cnig_chr_I.g656.t1","female","additive","I",-0.63838809486305,0.685757871096982,0.936911531274079
"I.g1168.t3__Cnig_chr_I.g658.t2","female","C. briggsae dominant","I",-0.225678594017846,-1.50596269199547,1.52277853198688
"I.g1169.t1__Cnig_chr_I.g659.t1","female","underdominant","I",-0.756257180211856,-1.03953146383856,1.28551568910392
"I.g1170.t1__Cnig_chr_I.g660.t2","female","underdominant","I",-1.47267010449367,-1.47066585050349,2.08125329561458
"I.g1171.t1__Cnig_chr_I.g662.t1","female","C. briggsae dominant","I",-0.702655422534307,-2.97206422381685,3.05399580767703
"I.g1172.t1__Cnig_chr_I.g663.t2","female","overdominant","I",1.09890375907155,3.57187383747241,3.73709408264249
"I.g1173.t2__Cnig_chr_I.g666.t3","female","overdominant","I",2.81406134509759,0.434860019075603,2.84746281629153
"I.g1175.t2__Cnig_chr_I.g668.t2","female","overdominant","I",1.44363171894126,1.32311833258999,1.9582427484786
"I.g1176.t1__Cnig_chr_I.g674.t1","female","C. briggsae dominant","I",0.158821779990265,6.40788894557753,6.4098568702159
"I.g1180.t1__Cnig_chr_I.g698.t1","female","overdominant","I",0.491592957647942,0.717288396697126,0.86957821962454
"I.g1181.t1__Cnig_chr_I.g697.t1","female","overdominant","I",1.119003380948,0.897597574178149,1.43452081607189
"I.g1182.t2__Cnig_chr_I.g696.t1","female","overdominant","I",0.820633700997907,1.75288014248902,1.93546595556364
"I.g1183.t1__Cnig_chr_I.g695.t1","female","overdominant","I",0.441881761861535,1.2835127689795,1.35744779627037
"I.g1184.t1__Cnig_chr_I.g694.t2","female","overdominant","I",1.89185785631772,1.89478160329794,2.67755923794552
"I.g1185.t1__Cnig_chr_I.g693.t1","female","C. briggsae dominant","I",-0.834928608095679,1.27099967429892,1.52070574164911
"I.g1186.t1__Cnig_chr_I.g692.t1","female","overdominant","I",0.877150074528861,2.17546855368182,2.34564611169384
"I.g1187.t1__Cnig_chr_I.g691.t1","female","underdominant","I",-0.610403288528233,-0.859314648133673,1.05404641223391
"I.g1188.t1__Cnig_chr_I.g690.t1","female","underdominant","I",-0.566889673257919,-0.865967253659217,1.03501844720592
"I.g1189.t1__Cnig_chr_I.g689.t1","female","overdominant","I",1.20157062847162,1.0410710030345,1.58984301381141
"I.g1190.t1__Cnig_chr_I.g688.t1","female","C. briggsae dominant","I",0.306656304349296,1.06371065175551,1.10703136344699
"I.g1191.t1__Cnig_chr_I.g687.t1","female","no change","I",-0.814286108250742,-0.563788632512542,0.990413796471203
"I.g1195.t1__Cnig_chr_I.g683.t2","female","no change","I",-0.162171398447231,-0.164274458915419,0.230836869512399
"I.g1196.t1__Cnig_chr_I.g682.t3","female","overdominant","I",1.51990873536754,1.46421271056732,2.11046000332473
"I.g1197.t1__Cnig_chr_I.g680.t1","female","overdominant","I",0.877946106851356,2.57857846305124,2.72394130932499
"I.g1198.t1__Cnig_chr_I.g702.t1","female","no change","I",0.0148485854435972,-0.120705370152472,0.121615241122653
"I.g1199.t1__Cnig_chr_I.g704.t1","female","underdominant","I",-4.39256495337746,-1.0267439759729,4.51096775224968
"I.g1200.t1__Cnig_chr_I.g705.t1","female","underdominant","I",-1.27802403950808,-3.62178624272344,3.84066153592598
"I.g1201.t1__Cnig_chr_I.g706.t1","female","underdominant","I",-2.39534446368869,-2.75695965965123,3.65219135104779
"I.g1211.t2__Cnig_chr_I.g751.t1","female","overdominant","I",0.75438515192222,1.31620010808624,1.51706284707224
"I.g1212.t1__Cnig_chr_I.g752.t1","female","overdominant","I",1.94983455177031,1.38396064334645,2.39106709266161
"I.g1213.t3__Cnig_chr_I.g753.t3","female","additive","I",-1.91975861222277,3.27364382154848,3.7950252963012
"I.g1217.t1__Cnig_chr_I.g763.t1","female","overdominant","I",1.92069623242879,1.54339024186671,2.46396579845491
"I.g1218.t2__Cnig_chr_I.g766.t1","female","overdominant","I",8.1570222459298,2.12377026143644,8.4289626908627
"I.g1221.t1__Cnig_chr_I.g778.t1","female","ambiguous","I",-0.508197044499656,0.153102210550439,0.530758441208067
"I.g1222.t1__Cnig_chr_I.g779.t1","female","no change","I",0.37426087552795,0.0866963750503987,0.384171139464987
"I.g1226.t1__Cnig_chr_I.g549.t1","female","overdominant","I",2.02645541868307,0.761630805469794,2.16485635730192
"I.g1232.t1__Cnig_chr_I.g788.t1","female","overdominant","I",0.450179407005447,0.589330705031377,0.741601091143045
"I.g1233.t1__Cnig_chr_I.g787.t1","female","C. briggsae dominant","I",0.445823094191797,1.20736119324144,1.28704284398778
"I.g1234.t1__Cnig_chr_I.g786.t1","female","overdominant","I",1.48087683751367,1.49882284375473,2.10700406379425
"I.g1235.t2__Cnig_chr_I.g785.t1","female","C. briggsae dominant","I",-0.302953682443649,-2.18334886507229,2.20426704378544
"I.g1236.t2__Cnig_chr_I.g784.t1","female","C. briggsae dominant","I",0.11201472165781,-1.11893361336515,1.12452644654826
"I.g1237.t1__Cnig_chr_I.g783.t1","female","overdominant","I",0.76150882418527,0.786582880476435,1.09480971733477
"I.g1241.t1__Cnig_chr_I.g794.t1","female","C. nigoni dominant","I",2.2875620053123,0.20825875081104,2.29702234108373
"I.g1242.t1__Cnig_chr_I.g795.t3","female","C. nigoni dominant","I",0.894857568237691,0.116964582413352,0.902469268713015
"I.g1243.t1__Cnig_chr_I.g798.t1","female","overdominant","I",1.86254058936799,2.82134156964751,3.38068420584715
"I.g1244.t1__Cnig_chr_I.g799.t1","female","overdominant","I",0.66585772281995,2.02411860366104,2.1308267477028
"I.g1245.t1__Cnig_chr_I.g800.t1","female","overdominant","I",2.27687210187784,2.22803982088914,3.18564091067674
"I.g1246.t1__Cnig_chr_I.g803.t1","female","overdominant","I",0.727547078064096,0.36972729150339,0.816102334809818
"I.g1247.t1__Cnig_chr_I.g804.t1","female","C. nigoni dominant","I",0.4074463048418,-0.13921553974542,0.430573405862282
"I.g1248.t3__Cnig_chr_I.g805.t1","female","ambiguous","I",-0.534314976670711,-0.0495778843967952,0.536610157298466
"I.g1249.t1__Cnig_chr_I.g806.t1","female","underdominant","I",-0.709137978773657,-0.716277526634928,1.00793361294355
"I.g1252.t1__Cnig_chr_I.g809.t3","female","underdominant","I",-1.81096588041759,-1.96693475553407,2.67365475567892
"I.g1254.t3__Cnig_chr_I.g811.t1","female","overdominant","I",1.11023094053257,1.83446118773057,2.14426224856142
"I.g1255.t1__Cnig_chr_I.g814.t1","female","underdominant","I",-1.82752681584715,-2.28115274078961,2.92292868360697
"I.g1256.t3__Cnig_chr_I.g815.t2","female","C. nigoni dominant","I",-2.36214410907359,-0.496301130753169,2.41371904007445
"I.g1258.t2__Cnig_chr_I.g818.t1","female","overdominant","I",0.381811190218865,0.2139015365255,0.437645578412848
"I.g1259.t1__Cnig_chr_I.g819.t1","female","additive","I",0.987494224971834,-1.32779101579368,1.65474282774549
"I.g1263.t1__Cnig_chr_I.g825.t1","female","overdominant","I",0.769525165752969,1.93160763309174,2.07924915028127
"I.g1264.t3__Cnig_chr_I.g830.t1","female","overdominant","I",1.11034338078108,0.975597043944568,1.47805683767497
"I.g1265.t1__Cnig_chr_I.g831.t1","female","overdominant","I",0.612953433824988,1.94149482709385,2.03595532261148
"I.g1266.t2__Cnig_chr_I.g833.t1","female","overdominant","I",0.517013615478459,1.609749071036,1.6907380489867
"I.g1268.t1__Cnig_chr_I.g835.t2","female","overdominant","I",3.57676182652244,0.645735471216471,3.63458380869878
"I.g1269.t1__Cnig_chr_I.g836.t1","female","overdominant","I",1.03645798392287,2.35931338552593,2.57693709732296
"I.g1271.t2__Cnig_chr_I.g838.t2","female","C. briggsae dominant","I",0.0848552100129268,-3.16663207113654,3.16776878585177
"I.g1272.t1__Cnig_chr_I.g839.t1","female","overdominant","I",0.707851250504136,1.02026556296757,1.24177099813846
"I.g1273.t2__Cnig_chr_I.g840.t1","female","overdominant","I",2.41388627743507,0.909626999299763,2.57958683479436
"I.g1274.t1__Cnig_chr_I.g841.t1","female","additive","I",-2.09537644641896,0.957716112981423,2.30387122150341
"I.g1275.t1__Cnig_chr_I.g842.t1","female","overdominant","I",1.0759549407407,0.532423254838211,1.20048055244425
"I.g1276.t1__Cnig_chr_I.g843.t1","female","underdominant","I",-1.43268882582174,-1.61844249286044,2.1614701881661
"I.g1280.t1__Cnig_chr_I.g851.t1","female","no change","I",0.127936724943835,0.108776263175306,0.167928797470052
"I.g1281.t2__Cnig_chr_I.g852.t1","female","C. briggsae dominant","I",-0.589213978200407,-2.78288523602788,2.84457788591009
"I.g1282.t1__Cnig_chr_I.g853.t1","female","underdominant","I",-0.874536765978165,-2.21462612359178,2.38104670729969
"I.g1283.t1__Cnig_chr_I.g854.t1","female","underdominant","I",-6.33748683883989,-4.18067541915207,7.59221880564378
"I.g1285.t3__Cnig_chr_I.g856.t1","female","underdominant","I",-3.39732636676927,-4.01981576468779,5.26314974367804
"I.g1287.t2__Cnig_chr_I.g857.t1","female","no change","I",0.21733240387727,0.193604158303651,0.291060034851125
"I.g1288.t1__Cnig_chr_I.g858.t1","female","overdominant","I",1.25115540619605,1.31004205175702,1.81151870755599
"I.g1289.t1__Cnig_chr_I.g859.t1","female","overdominant","I",1.57825226417838,1.82379602817344,2.41186901836841
"I.g1290.t1__Cnig_chr_I.g860.t1","female","C. nigoni dominant","I",-1.05173359459673,-0.13167604057903,1.05994440121449
"I.g1291.t1__Cnig_chr_I.g861.t1","female","additive","I",-1.47316527171575,0.342599391193456,1.51247818517672
"I.g1292.t3__Cnig_chr_I.g862.t2","female","overdominant","I",2.12229529026617,1.73938136913815,2.74400890056699
"I.g1293.t1__Cnig_chr_I.g864.t1","female","overdominant","I",2.03263456265894,1.38128395098917,2.45754931152478
"I.g1295.t1__Cnig_chr_I.g865.t2","female","C. briggsae dominant","I",-0.165332085135319,-1.76053036745443,1.76827652619844
"I.g1296.t2__Cnig_chr_I.g866.t3","female","C. briggsae dominant","I",0.531575513801974,-3.56060333450652,3.60006508726895
"I.g1297.t1__Cnig_chr_I.g867.t1","female","C. briggsae dominant","I",0.175384160351165,0.712844472776231,0.734102748986616
"I.g1298.t1__Cnig_chr_I.g868.t1","female","C. briggsae dominant","I",0.154816811853566,-0.495557894291352,0.519178073330318
"I.g1299.t1__Cnig_chr_I.g869.t1","female","overdominant","I",0.935701204587281,0.911510166810828,1.30628768977802
"I.g1300.t3__Cnig_chr_I.g870.t3","female","overdominant","I",1.64761140992713,0.187506375716568,1.65824666411738
"I.g1306.t1__Cnig_chr_I.g872.t1","female","C. nigoni dominant","I",-5.07750092985131,0.380486534410389,5.09173700180091
"I.g1309.t1__Cnig_chr_I.g874.t1","female","underdominant","I",-3.1494535063015,-1.65058222712462,3.55576701667228
"I.g1311.t1__Cnig_chr_I.g875.t3","female","additive","I",0.97562182124189,-0.61330507509646,1.15238060258858
"I.g1313.t1__Cnig_chr_I.g878.t1","female","overdominant","I",1.08926703141855,0.334743591991362,1.13954198611313
"I.g1314.t3__Cnig_chr_I.g879.t1","female","underdominant","I",-1.08795158191887,-1.06931810296481,1.52547692540006
"I.g1315.t1__Cnig_chr_I.g880.t1","female","underdominant","I",-2.74183286445589,-4.74126963920722,5.47697774765231
"I.g1316.t1__Cnig_chr_I.g881.t2","female","overdominant","I",1.40666643992756,1.13909062625028,1.81003810126464
"I.g1317.t1__Cnig_chr_I.g882.t1","female","C. briggsae dominant","I",-0.0258734011851522,0.388650843786127,0.389511118281053
"I.g1318.t3__Cnig_chr_I.g883.t1","female","underdominant","I",-1.53390598634838,-1.54043162358981,2.17388986885512
"I.g1319.t1__Cnig_chr_I.g884.t1","female","C. briggsae dominant","I",0.216667899905225,-1.28740312025721,1.3055082431365
"I.g1320.t1__Cnig_chr_I.g885.t1","female","C. nigoni dominant","I",-7.39929100209799,-1.53463980560471,7.55676032878341
"I.g1321.t3__Cnig_chr_I.g886.t2","female","C. nigoni dominant","I",-4.43461736476353,-1.07081708137329,4.56206974887748
"I.g1322.t1__Cnig_chr_I.g887.t1","female","overdominant","I",0.499466521474291,1.63897225796515,1.71338754181679
"I.g1323.t1__Cnig_chr_I.g888.t1","female","C. briggsae dominant","I",0.464850319815089,1.00329045572163,1.10574751113186
"I.g1325.t1__Cnig_chr_I.g890.t1","female","C. briggsae dominant","I",-0.876241843014298,-7.03279629502869,7.08717316670182
"I.g1326.t1__Cnig_chr_I.g892.t1","female","additive","I",-1.16028785996551,1.65424523898659,2.02059279140879
"I.g1327.t3__Cnig_chr_I.g893.t1","female","underdominant","I",-0.666247093233718,-3.17767044514035,3.24676371902251
"I.g1328.t1__Cnig_chr_I.g899.t1","female","overdominant","I",1.1280343909189,0.996070482929729,1.50486477600469
"I.g1329.t1__Cnig_chr_I.g901.t2","female","underdominant","I",-1.20627796526421,-2.6900567665712,2.94813702816837
"I.g1330.t1__Cnig_chr_I.g902.t1","female","ambiguous","I",-0.572825290643802,-0.954747698903936,1.11340557846793
"I.g1331.t1__Cnig_chr_I.g903.t1","female","overdominant","I",1.58705076751206,1.51213688064122,2.19209673245867
"I.g1332.t2__Cnig_chr_I.g904.t1","female","C. briggsae dominant","I",-0.167824202905087,3.53687761953183,3.54085699494146
"I.g1333.t2__Cnig_chr_I.g905.t1","female","overdominant","I",1.42268450492624,1.78731926480233,2.28441269364595
"I.g1334.t1__Cnig_chr_I.g906.t1","female","overdominant","I",1.44310465234131,1.87201719567861,2.36368344296048
"I.g1336.t1__Cnig_chr_I.g908.t1","female","overdominant","I",0.576590038963415,1.74106576957617,1.83405727473863
"I.g1337.t1__Cnig_chr_I.g909.t1","female","overdominant","I",0.728683809454562,3.51545617095222,3.59018275078683
"I.g1339.t1__Cnig_chr_I.g928.t1","female","underdominant","I",-1.0778250456622,-1.93563414254882,2.21548783857132
"I.g1340.t2__Cnig_chr_I.g929.t1","female","C. nigoni dominant","I",-4.20135089124462,0.442973185637253,4.22463898511525
