seq1,seq2,dn,ds
V.g15257.t2,Cnig_chr_V.g18136.t2,0.162639088525,0.427790153295
V.g17016.t2,Cnig_chr_V.g20552.t1,0.0282785696354,0.0158483786702
IV.g10565.t1,Cnig_chr_IV.g12138.t1,0.105341074489,0.310236665862
X.g18812.t1,Cnig_chr_X.g22474.t1,0.104193485376,0.263913853763
II.g7135.t1,Cnig_chr_II.g8014.t2,0.216429523813,0.438663119858
II.g4807.t1,Cnig_chr_II.g5147.t1,0.127109278479,0.277178668961
II.g7208.t1,Cnig_chr_II.g8131.t1,0.104465697706,0.330693275535
IV.g11002.t1,Cnig_chr_IV.g12805.t1,0.0922050320824,0.32677408772
I.g764.t2,Cnig_chr_I.g202.t1,0.109021133661,0.224146175913
IV.g13265.t1,Cnig_chr_IV.g15318.t1,0.0871147643438,0.414349080664
I.g760.t1,Cnig_chr_I.g178.t1,0.100337782705,0.198946419911
V.g15057.t1,Cnig_chr_V.g17907.t1,0.0331572954546,0.384341740151
II.g7216.t1,Cnig_chr_II.g8135.t1,0.0372131962466,0.31901868412
II.g7207.t2,Cnig_chr_II.g8130.t1,0.0608296367601,0.336250593087
V.g15513.t2,Cnig_chr_V.g18462.t2,0.0307583164646,0.329451313726
V.g16702.t1,Cnig_chr_V.g19724.t1,0.0291691533763,0.235092681265
V.g15694.t1,Cnig_chr_V.g18650.t2,0.0164526867203,0.280479066699
IV.g11943.t1,Cnig_chr_IV.g13696.t1,0.0485883906015,0.221102795229
X.g20971.t1,Cnig_chr_X.g24926.t1,0.0899706559298,0.160269512677
V.g16349.t3,Cnig_chr_V.g19362.t2,0.0423560230983,0.285386077
V.g16348.t1,Cnig_chr_V.g19360.t1,0.0584821382525,0.203637307147
V.g15696.t2,Cnig_chr_V.g18652.t1,1.9988350364e-11,0.172610572947
V.g17785.t1,Cnig_chr_V.g21013.t1,0.0406348372707,0.282407483922
V.g15055.t2,Cnig_chr_V.g17905.t4,0.0660183661289,0.322940414427
V.g17967.t1,Cnig_chr_V.g21312.t1,0.0309124918106,0.232858776538
V.g14530.t3,Cnig_chr_V.g17147.t2,0.0192305862501,0.251838374225
V.g17729.t1,Cnig_chr_V.g20908.t1,0.201356352048,0.335575855569
V.g14787.t2,Cnig_chr_V.g17474.t1,0.171378946223,0.42999811713
V.g15108.t2,Cnig_chr_V.g17955.t2,0.116862957303,0.416528423125
X.g19871.t1,Cnig_chr_X.g23720.t1,0.138458847949,0.33371749168
I.g3119.t1,Cnig_chr_I.g2776.t1,0.112312074858,0.244690050182
X.g19622.t1,Cnig_chr_X.g23411.t2,0.139852579937,0.21633357967
II.g6618.t1,Cnig_chr_II.g7107.t2,0.0706651081397,0.239805523403
V.g14041.t1,Cnig_chr_V.g18300.t2,0.0876646693877,0.157506857168
II.g6714.t2,Cnig_chr_II.g7255.t2,0.0606929853781,0.189717549102
II.g6345.t3,Cnig_chr_II.g6908.t1,0.26094867643,0.675246121037
II.g6499.t1,Cnig_chr_II.g7071.t1,0.0528397775142,0.274417119767
II.g6598.t1,Cnig_chr_II.g6648.t1,0.262020388243,0.670080154247
I.g3685.t1,Cnig_chr_I.g3646.t1,0.0487573062493,0.18055003697
X.g22224.t1,Cnig_chr_X.g26467.t1,0.18444126225,0.515064014673
II.g6715.t1,Cnig_chr_II.g7256.t1,0.0690792427877,0.229648473902
II.g6711.t1,Cnig_chr_II.g7248.t1,0.0413072062487,0.224058178733
I.g3663.t1,Cnig_chr_I.g3607.t1,0.0124827569891,0.26167095252
II.g6710.t2,Cnig_chr_II.g7247.t1,0.0617967862762,0.264053811452
II.g6718.t1,Cnig_chr_II.g7258.t1,0.0423836282774,0.363798244248
II.g6324.t1,Cnig_chr_II.g6745.t1,0.117109525756,0.458627677645
IV.g10875.t1,Cnig_chr_IV.g12588.t1,0.00344517122279,0.246625869899
V.g17707.t1,Cnig_chr_V.g20885.t1,0.0629623547506,0.296104372129
III.g7485.t3,Cnig_chr_III.g8425.t2,0.0501437263096,0.18647430252
I.g3213.t1,Cnig_chr_I.g2964.t1,0.0344764278882,0.210058269591
III.g7646.t1,Cnig_chr_III.g8678.t1,0.125266787147,0.361799918016
I.g3661.t1,Cnig_chr_I.g3610.t3,0.0247217772527,0.266881486545
II.g4189.t1,Cnig_chr_II.g4285.t1,0.0557275381859,0.352319967139
II.g6327.t1,Cnig_chr_II.g6748.t1,0.0848964036633,0.396233738042
II.g6305.t1,Cnig_chr_II.g6730.t1,0.0159908398709,0.174300069443
II.g6303.t1,Cnig_chr_II.g6728.t1,0.0414831294371,0.286805542103
V.g14328.t1,Cnig_chr_V.g16933.t1,0.0837252929614,0.166864008627
IV.g10495.t1,Cnig_chr_IV.g12027.t1,0.0138342438554,0.127932117549
II.g6716.t1,Cnig_chr_II.g7257.t2,0.0291325734713,0.197153663432
I.g3651.t1,Cnig_chr_I.g3619.t1,0.0661189223882,0.237489389415
V.g14005.t1,Cnig_chr_V.g16484.t2,0.09674852258,0.134695211714
II.g7102.t1,Cnig_chr_II.g7915.t1,0.16794714043,0.244190430815
III.g7645.t1,Cnig_chr_III.g8679.t2,0.0736945055879,0.336959322658
III.g7606.t1,Cnig_chr_III.g8719.t1,0.0353904002167,0.310926906416
IV.g10494.t1,Cnig_chr_IV.g12028.t2,0.0265177843731,0.225576392372
III.g10176.t1,Cnig_chr_III.g8965.t1,0.125773849104,0.471767173344
II.g6304.t2,Cnig_chr_II.g6729.t1,0.0793856753676,0.216492026533
I.g2831.t1,Cnig_chr_I.g2444.t1,0.0199622109164,0.161148406695
II.g6306.t1,Cnig_chr_II.g6731.t1,0.0971793298635,0.126602748
II.g5288.t3,Cnig_chr_II.g5630.t3,0.170649747225,0.423045477853
II.g6307.t1,Cnig_chr_II.g6732.t1,0.0754170598381,0.193489347917
II.g4191.t1,Cnig_chr_II.g4287.t1,0.372539291647,0.544558573729
II.g6717.t1,Cnig_chr_II.g7259.t1,0.109301788559,0.25075282228
I.g2913.t1,Cnig_chr_I.g2528.t2,0.0543502366628,0.123200123745
II.g4603.t1,Cnig_chr_II.g4880.t1,0.0898120172377,0.172801267974
III.g7488.t2,Cnig_chr_III.g8430.t1,0.0953402998235,0.42898777381
II.g6301.t1,Cnig_chr_II.g6726.t1,0.119911347007,0.227855111043
III.g10423.t1,Cnig_chr_III.g11931.t1,0.0876048091393,0.174596459426
II.g6713.t1,Cnig_chr_II.g7253.t2,0.0722686453138,0.170697977311
IV.g10879.t1,Cnig_chr_IV.g12600.t1,0.0685383876212,0.273676062865
I.g1424.t1,Cnig_chr_I.g1022.t1,0.0205432622419,0.0877103500059
III.g10422.t1,Cnig_chr_III.g11932.t1,8.62354751745e-12,0.0867982394254
X.g21176.t1,Cnig_chr_X.g25154.t2,0.155621995649,0.163376474986
I.g979.t2,Cnig_chr_I.g467.t1,0.0641453616502,0.142805618645
X.g18953.t1,Cnig_chr_X.g22666.t1,0.128516447714,0.328550266719
X.g18853.t1,Cnig_chr_X.g22517.t2,0.0947420094445,0.386781549216
X.g21237.t1,Cnig_chr_X.g24905.t1,0.311653312263,0.313745532984
II.g7234.t1,Cnig_chr_II.g8152.t1,0.040019790096,0.216546320517
X.g19192.t1,Cnig_chr_X.g22898.t1,0.174593595028,0.290167100865
III.g9726.t2,Cnig_chr_III.g10301.t1,0.124835577264,0.385370862945
X.g21155.t2,Cnig_chr_X.g26441.t1,0.00612767218691,0.00902664387118
IV.g10702.t1,Cnig_chr_IV.g12122.t1,0.0455458364351,0.275317799847
V.g18063.t2,Cnig_chr_V.g21486.t1,0.158411622319,0.204463259441
IV.g10450.t1,Cnig_chr_IV.g12081.t1,0.14200575771,0.365248010771
III.g9048.t1,Cnig_chr_III.g10343.t2,0.0799490892857,0.193486244837
V.g14672.t3,Cnig_chr_V.g17355.t1,0.018928113567,0.276748210677
III.g7835.t1,Cnig_chr_III.g8852.t1,0.0365373621881,0.128730191375
I.g1423.t1,Cnig_chr_I.g1021.t1,0.0551368999548,0.0951020547106
V.g18062.t1,Cnig_chr_V.g21489.t1,0.249227153426,0.342186003761
X.g19050.t1,Cnig_chr_X.g22756.t1,0.0528507427235,0.394750329373
V.g15632.t1,Cnig_chr_V.g18580.t1,0.00625959912664,0.236354766159
X.g21507.t1,Cnig_chr_X.g25553.t3,0.0885069523387,0.308938077299
V.g17310.t1,Cnig_chr_V.g20387.t1,0.0518827150397,0.302928567784
X.g20258.t1,Cnig_chr_X.g24121.t2,0.0552714815954,0.284816534404
X.g21377.t1,Cnig_chr_X.g25155.t2,0.295264839147,0.237436686974
X.g18910.t1,Cnig_chr_X.g22573.t1,0.0216357052715,0.244241910023
X.g21506.t1,Cnig_chr_X.g25552.t1,0.0977964637666,0.269452472819
V.g15357.t3,Cnig_chr_V.g18246.t3,0.03328560988,0.225577654463
V.g14262.t3,Cnig_chr_V.g16869.t2,0.118813859134,0.597147454904
V.g17314.t1,Cnig_chr_V.g20392.t1,0.0623771471778,0.348761789887
I.g2132.t1,Cnig_chr_I.g1761.t1,0.03734312576,0.0830969125139
II.g4179.t1,Cnig_chr_II.g4271.t1,0.038061500124,0.267628120491
V.g14905.t1,Cnig_chr_V.g17720.t1,0.0516210712187,0.349210177188
V.g14467.t3,Cnig_chr_V.g17061.t1,0.0350913072699,0.353140374174
V.g17312.t1,Cnig_chr_V.g20389.t2,0.0241968284928,0.269118919562
V.g14727.t1,Cnig_chr_V.g17418.t1,0.018888795883,0.310524594362
V.g14897.t1,Cnig_chr_V.g17707.t1,0.13755293536,0.590281841999
V.g15008.t1,Cnig_chr_V.g17858.t2,0.0508820462583,0.451143514656
V.g17560.t1,Cnig_chr_V.g20690.t3,0.0690042172605,0.430820151933
V.g17311.t1,Cnig_chr_V.g20388.t1,0.0251004490751,0.272305706139
V.g15454.t1,Cnig_chr_V.g18405.t1,0.0943298916199,0.416711439753
X.g21413.t1,Cnig_chr_X.g25455.t1,0.312470362588,0.549772823653
V.g15453.t1,Cnig_chr_V.g18401.t1,0.0349715516211,0.153321014292
V.g15416.t1,Cnig_chr_V.g18349.t1,0.0188643328921,0.241616545395
V.g18059.t2,Cnig_chr_V.g21432.t3,0.0361632508517,0.333204593173
V.g17307.t2,Cnig_chr_V.g20386.t3,0.0125618630845,0.282628785289
V.g18182.t1,Cnig_chr_V.g18411.t3,0.182693396498,0.665837558825
V.g15445.t2,Cnig_chr_V.g18392.t2,0.0287903213406,0.236879580482
V.g18450.t1,Cnig_chr_V.g22014.t2,0.0386239245352,0.330944642399
IV.g11944.t1,Cnig_chr_IV.g13695.t3,0.0560853202588,0.305407270843
I.g1176.t1,Cnig_chr_I.g674.t1,0.122527156786,0.4599358433
I.g1056.t1,Cnig_chr_I.g580.t3,0.0923100810625,0.332787406807
IV.g11430.t1,Cnig_chr_IV.g13370.t1,0.232680721048,0.332143703958
III.g8323.t2,Cnig_chr_III.g9747.t1,0.276245943228,0.47783379843
IV.g12780.t1,Cnig_chr_IV.g14828.t2,0.0507836391191,0.238739309723
I.g969.t2,Cnig_chr_I.g456.t3,0.0841977816306,0.301227037446
I.g3028.t1,Cnig_chr_I.g736.t1,0.39069447592,0.672252984202
I.g1205.t1,Cnig_chr_I.g676.t1,0.270745540065,0.791320080911
I.g1130.t2,Cnig_chr_I.g15.t1,0.169804970587,0.307914651244
I.g1131.t2,Cnig_chr_I.g9.t1,0.120647919684,0.277719571877
I.g1005.t1,Cnig_chr_I.g496.t3,0.106532834308,0.188383230665
V.g13954.t2,Cnig_chr_V.g16409.t2,0.0473728513137,0.379665219895
I.g3770.t1,Cnig_chr_I.g3789.t1,0.0986172393527,0.411751895245
III.g8521.t2,Cnig_chr_III.g9746.t1,0.0178651112833,0.0861693638239
V.g16768.t1,Cnig_chr_V.g19800.t1,0.035083673147,0.24220711426
I.g1646.t1,Cnig_chr_I.g1254.t1,0.0603234492303,0.117216343663
V.g13947.t1,Cnig_chr_V.g16402.t1,0.0189274827678,0.216335119201
IV.g11717.t1,Cnig_chr_IV.g13940.t1,0.0307945828354,0.131049456962
V.g16614.t1,Cnig_chr_V.g19653.t1,0.0151985145049,0.094610933551
IV.g11908.t3,Cnig_chr_IV.g13732.t1,0.0755144364779,0.28533709478
IV.g11225.t1,Cnig_chr_IV.g13119.t1,0.138017343375,0.316506974346
V.g17098.t1,Cnig_chr_V.g20138.t1,0.0148171012146,0.145387243382
V.g15050.t1,Cnig_chr_V.g17894.t3,0.0376832115408,0.446206563794
IV.g11907.t3,Cnig_chr_IV.g13733.t3,0.0267282357797,0.246662902025
V.g14832.t1,Cnig_chr_V.g17575.t2,0.139266341955,0.611015824498
IV.g11909.t2,Cnig_chr_IV.g13730.t1,0.220072988699,0.622756092773
V.g16769.t3,Cnig_chr_V.g19802.t1,0.0305641344191,0.239796395998
V.g14399.t1,Cnig_chr_V.g17007.t1,0.214269769639,0.570929313703
V.g13994.t2,Cnig_chr_V.g16475.t1,0.0432928519768,0.221229086477
X.g18983.t1,Cnig_chr_X.g22677.t1,0.0506223091299,0.210046527485
II.g4196.t1,Cnig_chr_II.g4293.t2,0.0984910254952,0.301555968426
II.g5127.t2,Cnig_chr_II.g5460.t1,0.0362420993753,0.216740564489
IV.g10539.t1,Cnig_chr_IV.g11968.t1,0.0493619558116,0.130855832918
X.g18984.t1,Cnig_chr_X.g22678.t1,0.0622067757978,0.346312596745
I.g3118.t4,Cnig_chr_I.g2773.t1,0.0537587384945,0.195297864624
V.g16770.t1,Cnig_chr_V.g19803.t2,0.056893142017,0.151316177036
I.g1165.t1,Cnig_chr_I.g655.t1,0.127907465401,0.262244750697
IV.g11690.t1,Cnig_chr_IV.g13969.t1,4.55714030701e-12,0.0455577040132
IV.g13479.t1,Cnig_chr_IV.g15752.t1,2.14138247784e-11,0.209595678519
III.g9109.t1,Cnig_chr_III.g10433.t1,0.0155287927385,0.128462884628
IV.g11342.t1,Cnig_chr_IV.g13229.t1,0.00321160957001,0.0726947802448
IV.g11595.t1,Cnig_chr_IV.g13536.t1,0.00149299072808,0.126930390114
IV.g12319.t1,Cnig_chr_IV.g14303.t1,0.00295029739211,0.065287353097
IV.g10680.t1,Cnig_chr_IV.g12299.t1,4.12232984499e-12,0.04151559343
IV.g11591.t1,Cnig_chr_IV.g13532.t1,0.00314909590423,0.0999225712067
IV.g13478.t1,Cnig_chr_IV.g15749.t1,0.00150327243764,0.0309988558736
X.g21977.t1,Cnig_chr_X.g26131.t1,0.0136727423206,0.18141046755
V.g17801.t1,Cnig_chr_V.g21040.t2,0.0582656518165,0.301511988301
III.g8433.t1,Cnig_chr_III.g9707.t1,0.00614985568713,0.0846089822805
X.g22005.t1,Cnig_chr_X.g26168.t1,0.0697484306567,0.347486736334
II.g6707.t1,Cnig_chr_II.g7240.t1,0.0053375855623,0.159801418156
X.g21985.t1,Cnig_chr_X.g26144.t1,0.045305055542,0.157308006706
V.g14017.t1,Cnig_chr_V.g16501.t1,0.00447367868293,0.0681398169346
IV.g11191.t1,Cnig_chr_IV.g13077.t1,0.00503604595793,0.0700563100061
III.g8586.t1,Cnig_chr_III.g9835.t1,0.0105230723151,0.195461823591
V.g14319.t1,Cnig_chr_V.g16912.t1,0.00291998719311,0.109791613024
III.g7694.t1,Cnig_chr_III.g8619.t1,0.00813409069763,0.134581595182
I.g1519.t2,Cnig_chr_I.g1130.t1,0.0247601709464,0.14530666088
X.g22006.t1,Cnig_chr_X.g26169.t1,0.00466082815443,0.170456273669
V.g18050.t1,Cnig_chr_V.g21423.t1,0.217968330904,0.661245472403
V.g14990.t1,Cnig_chr_V.g17838.t1,0.0693471247349,0.353868946814
V.g14991.t1,Cnig_chr_V.g17839.t1,0.0195891985419,0.23999797302
V.g18052.t1,Cnig_chr_V.g21427.t2,0.0929252649406,0.429458459394
V.g14987.t1,Cnig_chr_V.g17833.t2,0.0204386867627,0.0484720972154
V.g14978.t1,Cnig_chr_V.g17822.t1,0.0263503959271,0.316080929277
V.g14982.t1,Cnig_chr_V.g17826.t1,0.102098353348,0.244833242935
V.g14976.t1,Cnig_chr_V.g17820.t3,0.0823859227548,0.389210809572
V.g14998.t1,Cnig_chr_V.g17844.t1,0.0757159083032,0.346893390907
V.g14979.t1,Cnig_chr_V.g17823.t1,0.0241242890061,0.309977408792
V.g14997.t1,Cnig_chr_V.g17843.t1,0.0133381555142,0.300790777899
V.g14989.t1,Cnig_chr_V.g17837.t1,0.026994259025,0.237491196662
V.g14981.t1,Cnig_chr_V.g17831.t2,0.0594794515437,0.319974219266
V.g14984.t1,Cnig_chr_V.g17828.t3,0.0406357369655,0.265874204006
V.g14999.t1,Cnig_chr_V.g17846.t1,0.0448469058813,0.271488402597
V.g14859.t1,Cnig_chr_V.g17625.t1,0.0689221722949,0.220665323075
V.g15361.t1,Cnig_chr_V.g18252.t1,0.0180254039207,0.207056274529
V.g15360.t2,Cnig_chr_V.g18249.t1,0.0406363609373,0.293254243777
V.g18231.t1,Cnig_chr_V.g21673.t1,0.0157896243629,0.237101322955
V.g18512.t1,Cnig_chr_V.g21671.t1,0.0279065068792,0.236888135078
V.g15359.t1,Cnig_chr_V.g18248.t1,0.0170026660621,0.318434434071
V.g18510.t1,Cnig_chr_V.g21672.t1,0.0510737621261,0.401910266987
V.g18020.t1,Cnig_chr_V.g21392.t1,0.0541322122748,0.240699367874
V.g18014.t1,Cnig_chr_V.g21367.t3,0.0905749429422,0.285887799303
V.g18035.t1,Cnig_chr_V.g21402.t1,0.0470123956441,0.303921905389
V.g15248.t1,Cnig_chr_V.g18128.t3,0.0385482745433,0.164194752891
V.g14887.t2,Cnig_chr_V.g17692.t2,0.0265841167457,0.239419917883
V.g14888.t1,Cnig_chr_V.g17695.t1,0.049852345509,0.294102484858
V.g14892.t1,Cnig_chr_V.g17700.t2,0.0386618199625,0.317431924425
V.g14890.t1,Cnig_chr_V.g17697.t1,0.0287156315584,0.33464248157
V.g14730.t1,Cnig_chr_V.g17421.t1,0.00391880488527,0.330196568045
V.g15246.t1,Cnig_chr_V.g18125.t2,0.0192949517096,0.1809387083
V.g14713.t3,Cnig_chr_V.g17404.t2,0.0522558250368,0.321663274428
V.g15243.t1,Cnig_chr_V.g18118.t2,0.0456790064596,0.277346781584
V.g15247.t1,Cnig_chr_V.g18126.t1,0.0210829754374,0.270939176007
V.g14729.t1,Cnig_chr_V.g17420.t1,0.0392168639677,0.394299016716
V.g15006.t3,Cnig_chr_V.g17426.t1,0.0970348108443,0.501448655138
V.g15005.t1,Cnig_chr_V.g17853.t2,0.0426958356214,0.283757242373
V.g14716.t1,Cnig_chr_V.g17407.t1,0.0185876719601,0.262119859314
V.g15053.t3,Cnig_chr_V.g17897.t1,0.151973276218,0.575191376393
V.g14891.t3,Cnig_chr_V.g17699.t1,0.013352535622,0.288291850918
IV.g11270.t2,Cnig_chr_IV.g13170.t1,0.0122953720947,0.23147604976
V.g17248.t1,Cnig_chr_V.g20321.t3,0.180437818293,0.510688711206
V.g17242.t2,Cnig_chr_V.g20313.t2,0.0433928133396,0.236068938611
V.g17551.t3,Cnig_chr_V.g20681.t1,0.0266546639313,0.312225610723
V.g17241.t2,Cnig_chr_V.g20310.t1,0.0330241982881,0.245450490158
IV.g11276.t1,Cnig_chr_IV.g13175.t1,0.0106666540004,0.217380280074
X.g20389.t2,Cnig_chr_X.g24259.t1,0.0214906682904,0.203003462138
V.g15077.t2,Cnig_chr_V.g17938.t1,0.0671625688402,0.256929138325
V.g15440.t1,Cnig_chr_V.g18390.t1,0.131077675764,0.398353284469
V.g15083.t3,Cnig_chr_V.g17946.t1,0.103365613903,0.39700212992
V.g15079.t1,Cnig_chr_V.g17939.t2,0.230461057741,0.514971767691
V.g15428.t1,Cnig_chr_V.g18367.t1,0.0498738270962,0.296636489239
IV.g10709.t1,Cnig_chr_IV.g12130.t1,0.212359728934,0.542046004005
X.g22089.t2,Cnig_chr_X.g26272.t1,0.0688446306561,0.415576710578
IV.g10561.t1,Cnig_chr_IV.g12136.t1,0.213508401487,0.444052262825
V.g15427.t3,Cnig_chr_V.g18366.t2,0.0962541330546,0.398143940153
V.g14701.t1,Cnig_chr_V.g17387.t1,0.0190795364397,0.290711471353
V.g15429.t2,Cnig_chr_V.g18369.t1,0.0703071717189,0.271783912212
V.g14190.t1,Cnig_chr_V.g16714.t2,0.0606435266662,0.197887922834
V.g15994.t2,Cnig_chr_V.g18954.t1,0.00265955134933,0.196481116605
V.g16139.t1,Cnig_chr_V.g19127.t1,0.0394905909554,0.305322548252
V.g15298.t2,Cnig_chr_V.g18183.t2,0.113981280999,0.489131070336
V.g14567.t1,Cnig_chr_V.g17200.t2,0.0149744917761,0.343432526452
V.g15051.t1,Cnig_chr_V.g17895.t1,0.0671929796437,0.2816609828
V.g15017.t2,Cnig_chr_V.g17867.t3,0.0505066947024,0.358069281991
V.g14577.t1,Cnig_chr_V.g17217.t1,0.0164583347711,0.233666200523
V.g15995.t2,Cnig_chr_V.g18955.t1,0.0134882660557,0.276073303934
V.g15431.t1,Cnig_chr_V.g18373.t1,0.105086442506,0.307211954552
V.g15052.t1,Cnig_chr_V.g17896.t1,0.104220747386,0.378423602774
V.g14755.t1,Cnig_chr_V.g17544.t1,0.00538035024843,0.21520919233
V.g15267.t1,Cnig_chr_V.g18147.t2,0.0566697336665,0.341085414638
V.g15279.t1,Cnig_chr_V.g18152.t1,0.0262752938576,0.15114788401
V.g15266.t1,Cnig_chr_V.g18145.t1,0.0429096976778,0.199684211087
V.g14759.t1,Cnig_chr_V.g17548.t1,0.00384482771182,0.22182975076
V.g14753.t2,Cnig_chr_V.g17542.t1,0.0394411167649,0.330903912714
V.g17409.t1,Cnig_chr_V.g20499.t2,0.0208555040393,0.30121673285
V.g14570.t3,Cnig_chr_V.g17202.t1,0.0183879428296,0.226282248252
II.g6620.t1,Cnig_chr_II.g7116.t2,0.14426064038,0.448748868285
V.g15066.t1,Cnig_chr_V.g17918.t1,0.0172969161477,0.0744616637832
II.g7146.t1,Cnig_chr_II.g8045.t1,0.0413397670696,0.18841084818
V.g14757.t1,Cnig_chr_V.g17546.t1,0.00943766397853,0.296118762378
V.g14758.t1,Cnig_chr_V.g17547.t1,0.00942943836472,0.235634012102
V.g14756.t1,Cnig_chr_V.g17545.t1,0.0281359020329,0.366444338312
V.g14754.t1,Cnig_chr_V.g17543.t2,0.0492981190244,0.400356843881
V.g14685.t1,Cnig_chr_V.g17374.t1,0.0136594704486,0.311002117666
V.g18040.t2,Cnig_chr_V.g21406.t1,0.0074132960154,0.212515090265
