I.g1000,WBGene00040698,Cbr-imb-3
I.g1522,WBGene00026805,CBG04059
I.g1523,WBGene00026804,Cbr-obr-4
I.g1525,WBGene00026802,CBG04056
I.g1526,WBGene00026800,Cbr-calu-2
I.g1528,WBGene00026798,Cbr-hrpf-1
I.g1529,WBGene00026797,Cbr-fnci-1
I.g1530,WBGene00026796,Cbr-unc-37
I.g1531,WBGene00026795,CBG04049
I.g1533,WBGene00026793,Cbr-dhod-1
I.g1534,WBGene00026793,Cbr-dhod-1
I.g1535,WBGene00026792,Cbr-smg-5
I.g1536,WBGene00026789,CBG04043
I.g1538,WBGene00026789,CBG04043
I.g1539,WBGene00026788,Cbr-ngp-1
I.g1540,WBGene00026787,Cbr-nepr-1
I.g1541,WBGene00026786,CBG04040
I.g1542,WBGene00026785,CBG04039
I.g1543,WBGene00026784,CBG04037
I.g1544,WBGene00026782,CBG04035
I.g1545,WBGene00026781,CBG04034
I.g1546,WBGene00026780,CBG04032
I.g1547,WBGene00026779,Cbr-gpa-14
I.g1548,WBGene00026778,Cbr-air-2
I.g1549,WBGene00026777,CBG04029
I.g1550,WBGene00026776,CBG04028
I.g1551,WBGene00026775,Cbr-hpo-27
I.g1552,WBGene00026774,Cbr-stam-1
I.g1553,WBGene00026773,Cbr-tyr-4
I.g1554,WBGene00026772,CBG04024
I.g1556,WBGene00026770,Cbr-col-54
I.g1558,WBGene00303304,CBG31364
I.g1560,WBGene00026767,Cbr-dhhc-3
I.g1562,WBGene00026766,CBG04018
I.g1563,WBGene00026765,Cbr-vpr-1
I.g1564,WBGene00026764,Cbr-cdc-7
I.g1565,WBGene00026763,Cbr-noah-1
I.g1567,WBGene00026761,CBG04012
I.g1568,WBGene00026760,CBG04011
I.g1569,WBGene00026759,Cbr-lim-7
I.g1571,WBGene00086666,CBG25252
I.g1572,WBGene00026758,CBG04006
I.g1575,WBGene00026756,CBG04004
I.g1576,WBGene00026755,Cbr-eif-3.H
I.g1577,WBGene00026754,Cbr-cps-6
I.g1578,WBGene00026753,CBG04001
I.g1579,WBGene00026752,Cbr-cmt-1
I.g1581,WBGene00026750,CBG03998
I.g1582,WBGene00026749,CBG03997
I.g1584,WBGene00026747,Cbr-dmsr-2
I.g1585,WBGene00026746,CBG03993
I.g1586,WBGene00026745,CBG03992
I.g1587,WBGene00026744,Cbr-eif-3.I
I.g1591,WBGene00026739,Cbr-ubxn-1
I.g1592,WBGene00026738,Cbr-tipn-1
I.g1594,WBGene00026737,Cbr-did-2
I.g1595,WBGene00026736,CBG03983
I.g1597,WBGene00026734,Cbr-zwl-1
I.g1599,WBGene00026731,Cbr-sydn-1
I.g1601,WBGene00026728,Cbr-ugt-31
I.g1603,WBGene00026727,CBG03974
I.g1604,WBGene00086661,CBG25247
I.g1605,WBGene00026726,CBG03972
I.g1610,WBGene00026721,Cbr-ugt-66
I.g1611,WBGene00026720,CBG03965
I.g1614,WBGene00026718,Cbr-ugt-25
I.g1615,WBGene00026717,Cbr-mlst-8
I.g1616,WBGene00026716,Cbr-let-502
I.g1617,WBGene00026715,Cbr-viln-1
I.g1618,WBGene00026714,Cbr-cpg-1
I.g1619,WBGene00026713,Cbr-rpa-2
I.g1621,WBGene00026711,CBG03954
I.g1623,WBGene00026710,Cbr-zig-7
I.g1624,WBGene00026709,Cbr-gnrr-1
I.g1626,WBGene00026707,CBG03949
I.g1627,WBGene00026706,CBG03948
I.g1629,WBGene00270377,CBG29949
I.g1630,WBGene00026703,Cbr-pdxk-1
I.g1631,WBGene00026702,Cbr-rga-6
I.g1633,WBGene00026701,CBG03940
I.g1635,WBGene00026700,Cbr-trhr-1
I.g1636,WBGene00026699,Cbr-idhg-2
I.g1639,WBGene00026697,Cbr-rege-1
I.g1640,WBGene00026696,CBG03934
I.g1662,WBGene00026673,CBG03910
I.g1664,WBGene00026672,CBG03909
I.g1665,WBGene00026671,CBG03908
I.g1666,WBGene00026670,Cbr-col-45
I.g1667,WBGene00026669,CBG03906
I.g1670,WBGene00026667,Cbr-rab-11.1
I.g1672,WBGene00026665,CBG03902
I.g1673,WBGene00270402,CBG29974
I.g1674,WBGene00026664,Cbr-hum-7
I.g1676,WBGene00086652,CBG25238
I.g1677,WBGene00026663,Cbr-gcy-17
I.g1678,WBGene00026661,CBG03896
I.g1679,WBGene00271435,CBG30870
I.g1680,WBGene00026660,CBG03895
I.g1681,WBGene00026659,Cbr-afd-1
I.g1682,WBGene00026658,Cbr-abt-2
I.g1685,WBGene00026656,CBG03889
I.g1688,WBGene00270414,CBG29986
I.g1689,WBGene00026655,CBG03886
I.g1690,WBGene00026653,Cbr-eif-2gamma
I.g1691,WBGene00086649,CBG25235
I.g1693,WBGene00086648,CBG25234
I.g1694,WBGene00026650,Cbr-icp-1
I.g1697,WBGene00026647,CBG03877
I.g1698,WBGene00026646,Cbr-cdk-7
I.g1699,WBGene00026645,CBG03875
I.g1700,WBGene00026644,CBG03874
I.g1702,WBGene00026643,CBG03873
I.g1703,WBGene00026641,Cbr-scpl-1
I.g1704,WBGene00026640,Cbr-mut-16
I.g1705,WBGene00026639,Cbr-ncx-4
I.g1706,WBGene00026638,CBG03867
I.g1707,WBGene00026637,CBG03866
I.g1708,WBGene00270857,CBG29830
I.g1709,WBGene00026636,CBG03865
I.g1710,WBGene00026635,CBG03864
I.g1711,WBGene00026634,CBG03863
I.g1712,WBGene00026633,Cbr-nhr-62
I.g1713,WBGene00026632,CBG03859
I.g1714,WBGene00026631,CBG03858
I.g1715,WBGene00026629,Cbr-ztf-11
I.g1716,WBGene00026628,Cbr-lsl-1
I.g1718,WBGene00026626,Cbr-col-64
I.g1719,WBGene00026625,Cbr-oct-1
I.g1721,WBGene00026623,Cbr-nhr-69
I.g1723,WBGene00026622,Cbr-inx-20
I.g1724,WBGene00026621,Cbr-nhr-49
I.g1725,WBGene00026620,CBG03843
I.g1726,WBGene00026618,Cbr-ensa-1
I.g1727,WBGene00026617,Cbr-zig-1
I.g1733,WBGene00026613,Cbr-strl-1
I.g1735,WBGene00026611,Cbr-epg-8
I.g1736,WBGene00026610,Cbr-dsbn-1
I.g1737,WBGene00026609,CBG03830
I.g1738,WBGene00026608,Cbr-sqv-5
I.g1739,WBGene00026607,CBG03827
I.g1741,WBGene00026604,Cbr-mom-5
I.g1742,WBGene00026603,Cbr-tsp-7
I.g1743,WBGene00026602,CBG03822
I.g1744,WBGene00026601,Cbr-eif-3.C
I.g1745,WBGene00026600,Cbr-sys-1
I.g1746,WBGene00086641,CBG25227
I.g1747,WBGene00026599,CBG03818
I.g1748,WBGene00026598,Cbr-fce-1
I.g1749,WBGene00026597,CBG03816
I.g1750,WBGene00026596,Cbr-ocrl-1
I.g1751,WBGene00026595,Cbr-eat-16
I.g1752,WBGene00026594,Cbr-ceh-5
I.g1753,WBGene00026593,Cbr-gfi-2
I.g1754,WBGene00026592,CBG03810
I.g1756,WBGene00270413,CBG29985
I.g1757,WBGene00026589,Cbr-sur-6
I.g1759,WBGene00026587,CBG03805
I.g1760,WBGene00026586,CBG03803
I.g1761,WBGene00026585,CBG03802
I.g1762,WBGene00026584,Cbr-cox-7C
I.g1763,WBGene00026583,CBG03800
I.g1764,WBGene00026582,Cbr-gpx-1
I.g1765,WBGene00026581,Cbr-drsh-1
I.g1768,WBGene00026578,Cbr-hrdl-1
I.g1769,WBGene00026577,Cbr-rme-2
I.g1771,WBGene00026576,CBG03793
I.g1774,WBGene00026575,CBG03790
I.g1775,WBGene00026574,CBG03789
I.g1776,WBGene00026573,Cbr-nubp-1
I.g1777,WBGene00026572,Cbr-ercc-1
I.g1781,WBGene00026569,CBG03783
I.g1783,WBGene00026568,Cbr-cfi-1
I.g1784,WBGene00026567,Cbr-alg-5
I.g1785,.
I.g1789,WBGene00026563,CBG03773
I.g1792,WBGene00086639,CBG25225
I.g1794,WBGene00026560,Cbr-pgl-1
I.g1795,WBGene00026559,Cbr-dhs-4
I.g1797,WBGene00026558,CBG03766
I.g1798,WBGene00026557,Cbr-lab-1
I.g1799,WBGene00026556,Cbr-npp-14
I.g1809,WBGene00026507,CBG03703
I.g1810,WBGene00086634,CBG25220
I.g1811,WBGene00026508,Cbr-hsr-9
I.g1812,WBGene00026509,Cbr-rps-19
I.g1814,WBGene00026510,CBG03708
I.g1815,WBGene00026511,Cbr-nra-2
I.g1816,WBGene00026512,Cbr-lin-53
I.g1818,WBGene00026515,Cbr-ate-1
I.g1819,WBGene00026516,Cbr-ile-1
I.g1821,WBGene00026518,Cbr-aqp-9
I.g1823,WBGene00026520,Cbr-cri-1
I.g1825,WBGene00026522,CBG03722
I.g1826,WBGene00026523,CBG03723
I.g1828,WBGene00026525,Cbr-dut-1
I.g1830,WBGene00026526,CBG03726
I.g1831,WBGene00026527,Cbr-lem-3
I.g1832,WBGene00026527,Cbr-lem-3
I.g1834,WBGene00026530,CBG03731
I.g1835,WBGene00026531,CBG03732
I.g1836,WBGene00026532,Cbr-rig-5
I.g1837,WBGene00026534,CBG03735
I.g1838,WBGene00026535,CBG03736
I.g1839,WBGene00026536,CBG03737
I.g1840,WBGene00086637,CBG25223
I.g1843,WBGene00026538,CBG03740
I.g1844,WBGene00026539,Cbr-pabp-2
I.g1850,WBGene00026546,CBG03752
I.g1852,WBGene00026546,CBG03752
I.g1853,WBGene00026548,CBG03754
I.g1854,WBGene00026549,Cbr-twk-29
I.g1856,WBGene00042904,CBG24898
I.g1862,WBGene00042587,CBG24491
I.g1863,WBGene00042588,CBG24492
I.g1864,WBGene00042589,Cbr-smn-1
I.g1865,WBGene00042590,Cbr-usp-48
I.g1866,WBGene00042591,CBG24495
I.g1868,WBGene00042593,CBG24497
I.g1869,WBGene00042594,Cbr-sac-1
I.g1870,WBGene00042595,Cbr-stl-1
I.g1873,WBGene00042597,Cbr-sas-4
I.g1875,WBGene00041999,Cbr-glna-3
I.g1878,WBGene00042001,CBG23727
I.g1879,WBGene00042002,Cbr-gras-1
I.g1880,WBGene00042003,CBG23729
I.g1881,WBGene00042004,CBG23731
I.g1882,WBGene00042005,CBG23732
I.g1883,WBGene00042006,Cbr-taf-5
I.g1884,WBGene00042007,Cbr-apb-3
I.g1885,WBGene00042008,Cbr-nud-2
I.g1887,WBGene00042009,CBG23737
I.g1889,WBGene00042010,Cbr-bro-1
I.g1890,WBGene00087985,CBG26571
I.g1891,WBGene00042011,Cbr-slx-1
I.g1892,WBGene00042012,Cbr-npp-6
I.g1894,WBGene00042013,Cbr-spd-5
I.g1895,WBGene00042014,Cbr-hcp-6
I.g1897,WBGene00042015,Cbr-let-630
I.g1898,WBGene00042016,CBG23746
I.g1899,WBGene00042017,Cbr-unc-63
I.g1900,WBGene00042018,Cbr-trf-2
I.g1901,WBGene00030042,CBG08194
I.g1902,WBGene00086728,CBG25314
I.g1903,WBGene00030043,Cbr-irx-1
I.g1904,WBGene00030044,Cbr-swah-1
I.g1905,WBGene00030045,CBG08203
I.g1907,WBGene00030046,CBG08205
I.g1908,WBGene00030047,CBG08207
I.g1909,WBGene00030048,Cbr-rskn-2
I.g1911,WBGene00030050,CBG08211
I.g1912,WBGene00030051,Cbr-cyc-1
I.g1913,WBGene00030052,CBG08213
I.g1914,WBGene00030053,Cbr-eif-2beta
I.g1915,WBGene00030054,Cbr-aho-3
I.g1917,WBGene00030056,CBG08217
I.g1919,WBGene00030058,Cbr-scbp-2
I.g1920,WBGene00030059,Cbr-vacl-14
I.g1921,WBGene00270863,CBG29836
I.g1923,WBGene00030061,Cbr-apr-1
I.g1924,WBGene00030062,CBG08225
I.g1926,WBGene00030063,CBG08226
I.g1927,WBGene00030064,Cbr-cnnm-5
I.g1935,WBGene00030068,CBG08235
I.g1936,WBGene00030069,CBG08236
I.g1938,WBGene00030070,CBG08237
I.g1940,WBGene00030071,Cbr-rbg-2
I.g1942,WBGene00030071,Cbr-rbg-2
I.g1944,WBGene00030073,CBG08242
I.g1945,WBGene00304204,CBG31487
I.g1946,WBGene00030074,CBG08243
I.g1951,WBGene00030078,Cbr-smgl-1
I.g1952,WBGene00030079,Cbr-nmy-2
I.g1953,WBGene00030080,CBG08251
I.g1955,WBGene00030082,Cbr-pigu-1
I.g1956,WBGene00086737,Cbr-ctf-8
I.g1957,WBGene00086738,CBG25324
I.g1958,WBGene00030083,CBG08254
I.g1959,WBGene00030084,Cbr-jph-1
I.g1960,WBGene00030085,CBG08258
I.g1961,WBGene00030086,Cbr-nhr-26
I.g1963,WBGene00030087,CBG08261
I.g1966,WBGene00030089,CBG08264
I.g1967,WBGene00030090,Cbr-suro-1
I.g1972,WBGene00030095,Cbr-drh-3
I.g1975,WBGene00270339,CBG29911
I.g1976,WBGene00030097,CBG08273
I.g1977,WBGene00030098,CBG08274
I.g1980,WBGene00030099,Cbr-nlp-8
I.g1981,WBGene00030100,CBG08278
I.g1982,WBGene00030101,Cbr-pck-2
I.g1986,WBGene00032041,CBG10762
I.g1987,WBGene00032042,Cbr-plin-1
I.g1989,WBGene00032043,CBG10764
I.g1990,WBGene00032044,CBG10765
I.g1992,WBGene00032046,CBG10767
I.g1995,WBGene00032049,CBG10770
I.g1996,WBGene00032050,Cbr-pat-10
I.g1999,WBGene00032052,Cbr-mes-3
I.g2000,WBGene00032053,Cbr-dyf-1
I.g2003,WBGene00032054,Cbr-cil-7
I.g2004,WBGene00032055,CBG10776
I.g2006,WBGene00032056,Cbr-snf-1
I.g2007,WBGene00032057,CBG10778
I.g2008,WBGene00032058,CBG10779
I.g2010,WBGene00032060,Cbr-nuo-6
I.g2011,WBGene00032061,Cbr-cutl-6
I.g2012,WBGene00032062,Cbr-sem-4
I.g2013,WBGene00032063,Cbr-ubql-1
I.g2014,WBGene00032064,Cbr-pdi-3
I.g2015,WBGene00032065,Cbr-chd-1
I.g2018,WBGene00032069,Cbr-lfe-2
I.g2020,WBGene00032071,CBG10797
I.g2022,WBGene00270412,CBG29984
I.g2023,WBGene00032073,Cbr-phat-2
I.g2024,WBGene00032074,CBG10800
I.g2025,WBGene00032075,Cbr-kin-32
I.g2026,WBGene00032076,Cbr-vha-16
I.g2029,WBGene00032077,Cbr-fhod-1
I.g2031,WBGene00032077,Cbr-fhod-1
I.g2032,WBGene00032078,CBG10807
I.g2033,WBGene00032079,CBG10808
I.g2034,WBGene00032080,CBG10809
I.g2036,WBGene00032082,CBG10811
I.g2037,WBGene00032083,Cbr-chp-1
I.g2038,WBGene00032084,Cbr-pas-3
I.g2039,WBGene00032085,Cbr-use-1
I.g2040,WBGene00032086,Cbr-aap-1
I.g2041,WBGene00270398,CBG29970
I.g2044,WBGene00032089,CBG10818
I.g2045,WBGene00032090,CBG10819
I.g2050,WBGene00032092,CBG10823
I.g2051,WBGene00032093,CBG10824
I.g2052,WBGene00032094,Cbr-elpc-1
I.g2053,WBGene00032095,CBG10826
I.g2057,WBGene00032100,Cbr-mtm-1
I.g2064,WBGene00039475,CBG20503
I.g2067,WBGene00039472,Cbr-dip-2
