"sex","species_AS","species_parents","logFC_F1_cis","logFC_parents","trans_effects","p.value","genes","type","chromosome"
"female","no DE","Cni",0.00375522335597342,0.56604205412626,"sig",0.041345688765821,"I.g1046.t1__Cnig_chr_I.g548.t1","trans only","I"
"female","no DE","Cni",0.00226348142449031,0.717411506695846,"non sig",0.0504078957863542,"I.g1052.t1__Cnig_chr_I.g554.t1","ambiguous","I"
"female","no DE","Cbr",-1.23588168322043,-3.5447329608892,"non sig",0.0609286056173392,"I.g1056.t1__Cnig_chr_I.g580.t3","ambiguous","I"
"female","Cni","no DE",0.415197633885344,0.356135176489533,"non sig",0.781708153342803,"I.g1057.t1__Cnig_chr_I.g579.t1","ambiguous","I"
"female","no DE","no DE",-0.0913852421204479,-0.201682730870464,"non sig",0.679930025399862,"I.g1059.t1__Cnig_chr_I.g578.t1","conserved","I"
"female","no DE","no DE",-0.034382152918502,0.204157025263265,"non sig",0.449754495297745,"I.g1060.t1__Cnig_chr_I.g577.t3","conserved","I"
"female","no DE","Cbr",-0.0346705516355077,-0.837222221203608,"sig",0.0166733511170973,"I.g1061.t1__Cnig_chr_I.g576.t1","trans only","I"
"female","Cni","Cni",1.186270634277,2.5116008909845,"non sig",0.176315957665561,"I.g1063.t1__Cnig_chr_I.g575.t1","cis only","I"
"female","no DE","Cni",-0.0388572214869366,0.595690605904824,"sig",0.00959734868223498,"I.g1065.t1__Cnig_chr_I.g569.t3","trans only","I"
"female","no DE","no DE",0.00110163157309229,-0.137215553159754,"non sig",0.55309258527346,"I.g1066.t1__Cnig_chr_I.g568.t1","conserved","I"
"female","no DE","no DE",-0.0068175771579076,0.00388715106506923,"non sig",0.892942820941879,"I.g1067.t1__Cnig_chr_I.g567.t1","conserved","I"
"female","Cni","Cbr",0.841643664781836,-1.73284510784677,"sig",0.000307235144202576,"I.g1069.t2__Cnig_chr_I.g566.t1","cis-trans (compensatory)","I"
"female","no DE","no DE",0.100166710187573,0.094487963475631,"non sig",0.989413380381727,"I.g1070.t1__Cnig_chr_I.g564.t2","conserved","I"
"female","no DE","Cni",0.333173336775184,2.34876411562439,"sig",0.000511271074686931,"I.g1071.t1__Cnig_chr_I.g563.t1","trans only","I"
"female","no DE","Cni",0.308884142349533,1.00796267833395,"non sig",0.184877534504833,"I.g1072.t1__Cnig_chr_I.g562.t3","ambiguous","I"
"female","no DE","Cbr",-1.49766664066154,-4.88140574916366,"sig",0.0199157487361272,"I.g1075.t1__Cnig_chr_I.g72.t1","trans only","I"
"female","no DE","Cbr",-0.564107966921301,-3.03767484573624,"sig",0.00560426774215468,"I.g1077.t3__Cnig_chr_I.g70.t2","trans only","I"
"female","no DE","Cni",0.00828551583434285,1.48667669465961,"sig",0.0158503030078261,"I.g1078.t1__Cnig_chr_I.g69.t1","trans only","I"
"female","no DE","no DE",-0.0220009905514496,0.270751186972087,"non sig",0.175632982916264,"I.g1079.t1__Cnig_chr_I.g68.t1","conserved","I"
"female","no DE","no DE",0.0816415209565364,0.13381679626205,"non sig",0.862090222518247,"I.g1080.t1__Cnig_chr_I.g67.t1","conserved","I"
"female","no DE","Cni",-0.334537039908576,0.611630374987352,"sig",0.0341699896396627,"I.g1081.t2__Cnig_chr_I.g66.t1","trans only","I"
"female","Cbr","Cbr",-1.78273360515388,-1.24737845563587,"non sig",0.278091635867147,"I.g1082.t1__Cnig_chr_I.g64.t1","cis only","I"
"female","no DE","Cbr",0.107006195412174,-0.481289329591802,"sig",0.00251868536708748,"I.g1083.t2__Cnig_chr_I.g63.t1","trans only","I"
"female","Cbr","Cbr",-0.378732410203294,-0.40431222344917,"non sig",0.871898338652499,"I.g1084.t2__Cnig_chr_I.g60.t2","cis only","I"
"female","no DE","Cni",0.0670948895157633,0.69267022572385,"sig",0.0129336255858627,"I.g1085.t1__Cnig_chr_I.g59.t1","trans only","I"
"female","no DE","Cni",-5.10625634758252e-05,2.61571250079611,"sig",0.000226048672855524,"I.g1086.t1__Cnig_chr_I.g58.t1","trans only","I"
"female","no DE","no DE",-0.185959013051274,-0.206496547432849,"non sig",0.97492473492499,"I.g1087.t1__Cnig_chr_I.g57.t1","conserved","I"
"female","no DE","no DE",-0.22445073334862,0.0513220241342338,"non sig",0.440881366314277,"I.g1088.t1__Cnig_chr_I.g56.t1","conserved","I"
"female","no DE","no DE",-0.0460319322829788,-1.17844885809023,"non sig",0.233615275140188,"I.g1089.t2__Cnig_chr_I.g55.t2","conserved","I"
"female","no DE","Cbr",-0.145560795475821,-0.670867899837642,"sig",0.0374875849423244,"I.g1090.t1__Cnig_chr_I.g54.t1","trans only","I"
"female","no DE","Cbr",0.0252544046663851,-1.38017444125964,"sig",0.00150279722088258,"I.g1091.t1__Cnig_chr_I.g53.t1","trans only","I"
"female","Cbr","Cni",-0.334874313099323,0.494720905072579,"sig",0.00137903537405305,"I.g1092.t1__Cnig_chr_I.g52.t2","cis-trans (compensatory)","I"
"female","no DE","Cni",0.00773411587607688,4.90555308322888,"sig",0.00014507948796712,"I.g1093.t2__Cnig_chr_I.g51.t2","trans only","I"
"female","no DE","no DE",-0.0912535195596924,-0.0927612865241756,"non sig",0.995962220445346,"I.g1094.t2__Cnig_chr_I.g50.t1","conserved","I"
"female","no DE","no DE",-0.0113778634491632,0.128308945060288,"non sig",0.321568306103487,"I.g1095.t1__Cnig_chr_I.g49.t1","conserved","I"
"female","Cni","Cni",0.13298551243484,0.75736203111314,"sig",0.0148327261953129,"I.g1096.t1__Cnig_chr_I.g48.t2","cis-trans (enhancing)","I"
"female","no DE","Cni",-0.187022117842922,2.4165087996845,"sig",0.000687061319794143,"I.g1097.t1__Cnig_chr_I.g47.t2","trans only","I"
"female","no DE","Cni",-0.184302533397403,4.0378730321065,"sig",0.000132027097245822,"I.g1099.t2__Cnig_chr_I.g46.t2","trans only","I"
"female","no DE","Cni",0.00783106451131341,2.56787725674321,"sig",0.00393521186576093,"I.g1100.t1__Cnig_chr_I.g45.t1","trans only","I"
"female","no DE","no DE",-0.0175586210588921,-0.281063547495538,"non sig",0.171434033878964,"I.g1101.t1__Cnig_chr_I.g44.t1","conserved","I"
"female","no DE","Cbr",0.0494279175174488,-0.965019148405565,"non sig",0.0862177328414558,"I.g1102.t1__Cnig_chr_I.g43.t1","ambiguous","I"
"female","no DE","no DE",0.0129717451165414,-0.146168076201065,"non sig",0.134831238494,"I.g1103.t1__Cnig_chr_I.g42.t1","conserved","I"
"female","Cbr","Cbr",-1.14740532863078,-3.88559699784293,"sig",0.0012373531560298,"I.g1104.t1__Cnig_chr_I.g41.t3","cis-trans (enhancing)","I"
"female","Cni","no DE",0.338258050167248,-0.0256780333042669,"sig",0.0108294589493975,"I.g1105.t1__Cnig_chr_I.g40.t1","cis-trans (compensatory)","I"
"female","Cbr","no DE",-1.33188171388047,0.685743130421826,"non sig",0.189674606839668,"I.g1109.t1__Cnig_chr_I.g38.t3","ambiguous","I"
"female","no DE","no DE",-0.0127512970163542,0.219363067233403,"non sig",0.430635737232039,"I.g1112.t2__Cnig_chr_I.g35.t2","conserved","I"
"female","no DE","no DE",0.431118688371149,-0.215874983250937,"non sig",0.069294360153014,"I.g1114.t2__Cnig_chr_I.g34.t2","conserved","I"
"female","Cbr","no DE",-0.277169990754149,0.266809336212438,"non sig",0.0749211184276038,"I.g1115.t3__Cnig_chr_I.g33.t3","ambiguous","I"
"female","no DE","Cni",0.0112278278351076,0.985304185601025,"sig",0.000830285664659932,"I.g1116.t1__Cnig_chr_I.g29.t1","trans only","I"
"female","no DE","Cni",0.0043723419252425,0.733829468948749,"sig",0.0253891585405758,"I.g1117.t1__Cnig_chr_I.g28.t1","trans only","I"
"female","no DE","no DE",0.00457942049592673,0.222932861636683,"non sig",0.766734757826283,"I.g1119.t1__Cnig_chr_I.g26.t1","conserved","I"
"female","no DE","Cbr",-0.0104661585553644,-1.04053400237236,"sig",0.00154147933512122,"I.g1120.t1__Cnig_chr_I.g25.t1","trans only","I"
"female","no DE","no DE",-0.493507594469554,-0.463924876729963,"non sig",0.941677723904517,"I.g1121.t1__Cnig_chr_I.g24.t1","conserved","I"
"female","no DE","Cbr",0.734877208466512,-1.33172466697696,"non sig",0.121495978611376,"I.g1123.t1__Cnig_chr_I.g22.t2","ambiguous","I"
"female","no DE","Cni",0.0443315357811945,0.788783617337434,"non sig",0.10295494078806,"I.g1125.t1__Cnig_chr_I.g19.t1","ambiguous","I"
"female","no DE","Cbr",-0.287727064081963,-4.69867005506682,"sig",0.000243602731588532,"I.g1126.t1__Cnig_chr_I.g18.t1","trans only","I"
"female","Cni","no DE",0.194378997482783,0.0186867428226088,"non sig",0.592584071962973,"I.g1129.t1__Cnig_chr_I.g16.t1","ambiguous","I"
"female","no DE","Cbr",0.196121848941187,-5.33972812742487,"sig",0.000659332835186037,"I.g1131.t2__Cnig_chr_I.g9.t1","trans only","I"
"female","no DE","no DE",0.152734506773553,0.161447496675782,"non sig",0.998404441376571,"I.g1132.t1__Cnig_chr_I.g8.t1","conserved","I"
"female","Cbr","Cbr",-1.77614119963512,-0.685753964296191,"sig",0.00282660875670558,"I.g1133.t3__Cnig_chr_I.g6.t1","cis-trans (enhancing)","I"
"female","no DE","Cbr",0.00140870330691127,-0.505656427782719,"sig",0.0458029053627122,"I.g1134.t1__Cnig_chr_I.g5.t1","trans only","I"
"female","no DE","Cni",-0.0552661598623977,0.441492447664045,"sig",0.0283924359247927,"I.g1135.t1__Cnig_chr_I.g4.t1","trans only","I"
"female","no DE","no DE",-0.027070745962111,0.190160324913684,"non sig",0.548796148774317,"I.g1141.t1__Cnig_chr_I.g623.t1","conserved","I"
"female","no DE","Cni",0.00795471138685199,0.945659687507441,"sig",0.0131342047903299,"I.g1142.t1__Cnig_chr_I.g624.t1","trans only","I"
"female","no DE","Cni",0.0436756369387939,0.445073482823336,"sig",0.0216039231337746,"I.g1143.t2__Cnig_chr_I.g625.t1","trans only","I"
"female","Cni","Cni",3.38467927227756,4.29695719761456,"sig",0.000115181099844889,"I.g1144.t2__Cnig_chr_I.g1613.t1","cis-trans (enhancing)","I"
"female","no DE","Cbr",-0.377022355964637,-4.71726764582122,"sig",0.00531428697986565,"I.g1147.t1__Cnig_chr_I.g632.t2","trans only","I"
"female","no DE","Cbr",0.00829054878870099,-2.49947363174776,"sig",0.0157433678373714,"I.g1148.t1__Cnig_chr_I.g633.t1","trans only","I"
"female","no DE","Cbr",-0.3561547346253,-0.581128039770301,"non sig",0.418805424488848,"I.g1149.t1__Cnig_chr_I.g635.t1","ambiguous","I"
"female","Cni","Cni",2.5827101617733,2.42434066385582,"non sig",0.860076556923043,"I.g1150.t1__Cnig_chr_I.g639.t1","cis only","I"
"female","no DE","Cni",0.0078681941129478,1.36043582448035,"sig",0.0106457498255852,"I.g1151.t1__Cnig_chr_I.g640.t1","trans only","I"
"female","no DE","Cni",0.56221049153138,5.88751076160873,"sig",0.000868867112746542,"I.g1152.t1__Cnig_chr_I.g641.t1","trans only","I"
"female","no DE","Cni",0.000132766039851765,1.55283160452881,"sig",0.000276708472342025,"I.g1154.t1__Cnig_chr_I.g644.t3","trans only","I"
"female","no DE","no DE",0.0058968913368262,-0.0565987246595665,"non sig",0.873926758182825,"I.g1155.t1__Cnig_chr_I.g645.t1","conserved","I"
"female","Cni","Cni",1.63796475519395,1.73505771770955,"non sig",0.588699337683894,"I.g1156.t1__Cnig_chr_I.g646.t2","cis only","I"
"female","no DE","Cbr",-0.0167211917483716,-1.73142256928029,"sig",3.82314301116879e-05,"I.g1158.t1__Cnig_chr_I.g647.t1","trans only","I"
"female","no DE","no DE",0.00817518830813407,0.277600369869522,"non sig",0.317575324888291,"I.g1159.t1__Cnig_chr_I.g648.t1","conserved","I"
"female","no DE","no DE",-0.0856407098684869,0.252614918379584,"non sig",0.0980754621884207,"I.g1160.t1__Cnig_chr_I.g649.t1","conserved","I"
"female","no DE","Cbr",-0.00771162508343811,-2.55799804379714,"sig",0.00128369363136306,"I.g1161.t1__Cnig_chr_I.g650.t3","trans only","I"
"female","Cbr","Cbr",-0.722206982895672,-2.74443646001628,"sig",4.34298547170631e-05,"I.g1162.t2__Cnig_chr_I.g651.t2","cis-trans (enhancing)","I"
"female","no DE","Cni",-0.00814381677217758,0.939695078090657,"sig",0.00307781597034861,"I.g1163.t2__Cnig_chr_I.g653.t1","trans only","I"
"female","no DE","Cbr",0.0227787936837028,-0.515922108525122,"sig",0.0146265951223696,"I.g1165.t1__Cnig_chr_I.g655.t1","trans only","I"
"female","no DE","no DE",0.084586554816047,-0.317382992475751,"sig",0.0381237899731197,"I.g1166.t1__Cnig_chr_I.g657.t2","ambiguous","I"
"female","no DE","Cbr",-0.0422213961831816,-1.4982105214488,"sig",0.00212100885351159,"I.g1167.t1__Cnig_chr_I.g656.t1","trans only","I"
"female","no DE","Cni",0.0203845965502896,1.09191907700839,"sig",0.00371751838980594,"I.g1168.t3__Cnig_chr_I.g658.t2","trans only","I"
"female","no DE","no DE",0.00760360373278941,0.0981400960149216,"non sig",0.784836527489795,"I.g1169.t1__Cnig_chr_I.g659.t1","conserved","I"
"female","no DE","no DE",-0.0709798880584063,-0.187427136221837,"non sig",0.819807087784814,"I.g1170.t1__Cnig_chr_I.g660.t2","conserved","I"
"female","no DE","Cni",0.588524175917655,2.08415863540693,"sig",0.0071695639737786,"I.g1171.t1__Cnig_chr_I.g662.t1","trans only","I"
"female","Cbr","Cbr",-1.50508680759595,-2.66032615430718,"sig",0.00118490024133097,"I.g1172.t1__Cnig_chr_I.g663.t2","cis-trans (enhancing)","I"
"female","Cni","Cni",0.382724030897118,2.18997086419705,"sig",0.000637224764189864,"I.g1173.t2__Cnig_chr_I.g666.t3","cis-trans (enhancing)","I"
"female","no DE","no DE",0.00363414383107808,-0.0649849372214954,"non sig",0.724384367574745,"I.g1175.t2__Cnig_chr_I.g668.t2","conserved","I"
"female","Cbr","Cbr",-4.5047513113672,-6.4366790010156,"sig",0.0105482825943489,"I.g1176.t1__Cnig_chr_I.g674.t1","cis-trans (enhancing)","I"
"female","no DE","no DE",-0.0329045082512711,-0.402981842540173,"non sig",0.125182797837208,"I.g1180.t1__Cnig_chr_I.g698.t1","conserved","I"
"female","no DE","no DE",-0.0819910907838154,0.0360366934887074,"non sig",0.601032291150909,"I.g1181.t1__Cnig_chr_I.g697.t1","conserved","I"
"female","Cbr","Cbr",-0.193983152040729,-1.11734804396902,"sig",0.000683009679014013,"I.g1182.t2__Cnig_chr_I.g696.t1","cis-trans (enhancing)","I"
"female","no DE","Cbr",-0.00150009643010748,-1.02477265269884,"sig",0.000115572378093627,"I.g1183.t1__Cnig_chr_I.g695.t1","trans only","I"
"female","no DE","no DE",-0.0304652757186774,-0.1881014648895,"non sig",0.516953030623905,"I.g1184.t1__Cnig_chr_I.g694.t2","conserved","I"
"female","Cbr","Cbr",-0.737507469741844,-2.29069722244773,"sig",0.0134762735120118,"I.g1185.t1__Cnig_chr_I.g693.t1","cis-trans (enhancing)","I"
"female","no DE","Cbr",0.00814788159231713,-1.48260601438769,"sig",9.87631538255893e-05,"I.g1186.t1__Cnig_chr_I.g692.t1","trans only","I"
"female","no DE","no DE",0.00811506541029207,0.0695877452434965,"non sig",0.831556094026265,"I.g1187.t1__Cnig_chr_I.g691.t1","conserved","I"
"female","no DE","no DE",0.00928218798206367,0.11833035295299,"non sig",0.735475541265287,"I.g1188.t1__Cnig_chr_I.g690.t1","conserved","I"
"female","Cni","no DE",0.151174361645743,-0.0251794877861746,"non sig",0.175658944659109,"I.g1189.t1__Cnig_chr_I.g689.t1","ambiguous","I"
"female","no DE","Cbr",-0.124954143343845,-0.936459142326411,"non sig",0.0574698114120743,"I.g1190.t1__Cnig_chr_I.g688.t1","ambiguous","I"
"female","no DE","no DE",-0.38042379306559,-0.435766450263205,"non sig",0.863140208486402,"I.g1191.t1__Cnig_chr_I.g687.t1","conserved","I"
"female","no DE","no DE",0.302589493823754,-0.191930070043714,"non sig",0.585847043539645,"I.g1195.t1__Cnig_chr_I.g683.t2","conserved","I"
"female","no DE","no DE",-0.0235017387514389,-0.132805385039225,"non sig",0.665253381956479,"I.g1196.t1__Cnig_chr_I.g682.t3","conserved","I"
"female","Cbr","Cbr",-2.49377096763265,-1.88724548373255,"sig",0.0358194014650833,"I.g1197.t1__Cnig_chr_I.g680.t1","cis-trans (enhancing)","I"
"female","no DE","no DE",-0.0728391723622453,-0.0462548807786131,"non sig",0.900144240923019,"I.g1198.t1__Cnig_chr_I.g702.t1","conserved","I"
"female","Cbr","Cbr",-1.17994040920639,-3.55249185022247,"sig",0.00019622794892099,"I.g1199.t1__Cnig_chr_I.g704.t1","cis-trans (enhancing)","I"
"female","no DE","Cni",-0.216974308806512,2.15914888022313,"sig",0.0021631508950138,"I.g1200.t1__Cnig_chr_I.g705.t1","trans only","I"
"female","no DE","no DE",-0.639423268016547,0.181182813760835,"non sig",0.168188605780288,"I.g1201.t1__Cnig_chr_I.g706.t1","conserved","I"
"female","Cbr","Cbr",-0.788282865721539,-0.748853084634862,"non sig",0.818579496065271,"I.g1211.t2__Cnig_chr_I.g751.t1","cis only","I"
"female","no DE","no DE",0.0180620328776512,0.377150144742699,"non sig",0.201722492315043,"I.g1212.t1__Cnig_chr_I.g752.t1","conserved","I"
"female","Cbr","Cbr",-1.88095715985334,-5.37354471342265,"sig",0.00205129924149551,"I.g1213.t3__Cnig_chr_I.g753.t3","cis-trans (enhancing)","I"
"female","no DE","no DE",-0.0378410344185174,0.190114145339681,"non sig",0.320124578476743,"I.g1217.t1__Cnig_chr_I.g763.t1","conserved","I"
"female","Cbr","Cni",-1.17976944610115,5.84092645962166,"sig",5.40700814804487e-05,"I.g1218.t2__Cnig_chr_I.g766.t1","cis-trans (compensatory)","I"
"female","Cbr","Cbr",-1.71553085667294,-0.846059461779346,"sig",0.0416427180359683,"I.g1221.t1__Cnig_chr_I.g778.t1","cis-trans (enhancing)","I"
"female","Cbr","no DE",-1.96727304935962,0.0999850500581746,"sig",0.000243388922816198,"I.g1222.t1__Cnig_chr_I.g779.t1","cis-trans (compensatory)","I"
"female","Cbr","Cni",-0.86510689867069,1.0852692464724,"sig",1.08592741000083e-05,"I.g1226.t1__Cnig_chr_I.g549.t1","cis-trans (compensatory)","I"
"female","no DE","no DE",0.0545321125434009,-0.321026014431693,"non sig",0.0571830305740812,"I.g1232.t1__Cnig_chr_I.g788.t1","conserved","I"
"female","no DE","Cbr",-0.115463422008682,-0.946333260625158,"sig",0.0188063831725605,"I.g1233.t1__Cnig_chr_I.g787.t1","trans only","I"
"female","no DE","no DE",-0.0188830473664471,-0.201356430606543,"non sig",0.470876423587715,"I.g1234.t1__Cnig_chr_I.g786.t1","conserved","I"
"female","no DE","Cni",-0.151341789876761,1.69416275575386,"sig",0.000183447754884574,"I.g1235.t2__Cnig_chr_I.g785.t1","trans only","I"
"female","no DE","Cni",-0.0767176445520509,1.04035003947308,"sig",0.00031806061850834,"I.g1236.t2__Cnig_chr_I.g784.t1","trans only","I"
"female","Cbr","no DE",-0.4974579341651,-0.210746309743911,"non sig",0.258541443162209,"I.g1237.t1__Cnig_chr_I.g783.t1","ambiguous","I"
"female","no DE","Cni",0.00769773720586314,1.88208332198254,"sig",0.0425727441010302,"I.g1241.t1__Cnig_chr_I.g794.t1","trans only","I"
"female","no DE","Cni",0.0164475630561314,0.594157068780762,"sig",0.00474478212990847,"I.g1242.t1__Cnig_chr_I.g795.t3","trans only","I"
"female","no DE","Cbr",0.00984829151051708,-1.14410206768857,"sig",0.00278611539567874,"I.g1243.t1__Cnig_chr_I.g798.t1","trans only","I"
"female","no DE","Cbr",-0.0612913679146477,-1.53886366509979,"sig",0.00105825508273464,"I.g1244.t1__Cnig_chr_I.g799.t1","trans only","I"
"female","no DE","no DE",0.0675999581569064,-0.133197521830531,"non sig",0.270863471086049,"I.g1245.t1__Cnig_chr_I.g800.t1","conserved","I"
"female","no DE","no DE",-0.016097797104531,0.171091673292827,"non sig",0.252208747844984,"I.g1246.t1__Cnig_chr_I.g803.t1","conserved","I"
"female","no DE","Cni",0.0231979537105174,0.360275613601136,"sig",0.0167761384640502,"I.g1247.t1__Cnig_chr_I.g804.t1","trans only","I"
"female","no DE","Cbr",-0.0191313654426215,-0.662926947996019,"non sig",0.0697713379621605,"I.g1248.t3__Cnig_chr_I.g805.t1","ambiguous","I"
"female","no DE","no DE",0.0158825942316337,-0.18510100242316,"non sig",0.480624091054588,"I.g1249.t1__Cnig_chr_I.g806.t1","conserved","I"
"female","no DE","no DE",-0.039716896481282,-0.0294961552425743,"non sig",0.961026986888656,"I.g1252.t1__Cnig_chr_I.g809.t3","conserved","I"
"female","Cbr","Cbr",-0.332586769062658,-0.910727466806829,"sig",0.0183076188938842,"I.g1254.t3__Cnig_chr_I.g811.t1","cis-trans (enhancing)","I"
"female","no DE","no DE",-0.158198790682704,0.267415146561472,"non sig",0.352534613312199,"I.g1255.t1__Cnig_chr_I.g814.t1","conserved","I"
"female","no DE","Cbr",-0.0987787174957973,-2.0498569662336,"sig",0.000134738929804266,"I.g1256.t3__Cnig_chr_I.g815.t2","trans only","I"
"female","no DE","no DE",-0.0182037010334505,-0.015703716563923,"non sig",0.991835652285561,"I.g1258.t2__Cnig_chr_I.g818.t1","conserved","I"
"female","no DE","Cni",0.01398977804884,2.12190270141882,"sig",0.00546696597383311,"I.g1259.t1__Cnig_chr_I.g819.t1","trans only","I"
"female","no DE","Cbr",-0.193329644465956,-1.34276103254706,"sig",0.0127579800318275,"I.g1263.t1__Cnig_chr_I.g825.t1","trans only","I"
"female","no DE","no DE",0.0183812366208692,-0.0482612780592061,"non sig",0.530513235981248,"I.g1264.t3__Cnig_chr_I.g830.t1","conserved","I"
"female","no DE","Cbr",-0.0430893898274903,-1.51372755968958,"sig",0.0002309984023633,"I.g1265.t1__Cnig_chr_I.g831.t1","trans only","I"
"female","Cbr","Cbr",-1.00619278200905,-1.2803356299013,"sig",0.0494070847764175,"I.g1266.t2__Cnig_chr_I.g833.t1","cis-trans (enhancing)","I"
"female","Cni","Cni",1.71339941373617,2.73800936485942,"non sig",0.145062534789958,"I.g1268.t1__Cnig_chr_I.g835.t2","cis only","I"
"female","no DE","Cbr",-0.184367283750928,-1.50777943938182,"sig",0.000465979367737256,"I.g1269.t1__Cnig_chr_I.g836.t1","trans only","I"
"female","Cni","Cni",1.03349053240041,3.06574556154681,"sig",0.00783189126135063,"I.g1271.t2__Cnig_chr_I.g838.t2","cis-trans (enhancing)","I"
"female","no DE","Cbr",0.0254021495942631,-0.4966531436463,"sig",0.0211172794296329,"I.g1272.t1__Cnig_chr_I.g839.t1","trans only","I"
"female","no DE","Cni",0.0181280240733106,1.30369926407272,"non sig",0.122575149573484,"I.g1273.t2__Cnig_chr_I.g840.t1","ambiguous","I"
"female","no DE","Cbr",0.391412329459618,-3.24425762973523,"sig",0.000125545288146043,"I.g1274.t1__Cnig_chr_I.g841.t1","trans only","I"
"female","no DE","no DE",-0.00824137800463461,0.357900934181781,"sig",0.0415310112899499,"I.g1275.t1__Cnig_chr_I.g842.t1","ambiguous","I"
"female","no DE","no DE",-0.0341245889121189,0.000627910477576133,"non sig",0.851161995427121,"I.g1276.t1__Cnig_chr_I.g843.t1","conserved","I"
